Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,HALF,12,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,192,144,15,0.000000,0.000035,0.000021,0.000009,0.000007,0.000006,0.000042,0.000007,0.000007,0.000343,0.000090,0.000089,0.000018,0.000000,0.000535,0.000005,0.000198,0.000063,0.000030,0.000022,0.000029,0.000000,0.000036,0.000015,0.000021,0.000015,0.000552,0.000557,0.000562,0.000562,0.008804,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.304946,1.154425,1.304946,,1.304946,,1.029775,,,,1.304946,1.154425,1.029775,,,
0,tsukubaSetHalfSize,HALF,12,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,192,144,15,0.000000,0.000038,0.000021,0.000008,0.000007,0.000006,0.000043,0.000008,0.000007,0.000604,0.000092,0.000092,0.000017,0.000000,0.000813,0.000005,0.000317,0.000102,0.000054,0.000084,0.000044,0.000000,0.000038,0.000016,0.000020,0.000018,0.000828,0.000833,0.000838,0.000838,0.008804,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.469987,1.172154,1.469987,,,1.469987,0.997971,,,,1.469987,1.172154,0.997971,,,
1,tsukubaSet,HALF,12,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,384,288,15,0.000000,0.000248,0.000133,0.000036,0.000013,0.000008,0.000188,0.000014,0.000014,0.001983,0.000517,0.000516,0.000114,0.000000,0.003074,0.000014,0.001427,0.000339,0.000101,0.000046,0.000065,0.000000,0.000372,0.000079,0.000029,0.000037,0.003091,0.003106,0.003137,0.003137,0.085439,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,0.661938,1.466109,0.661938,,0.661938,,1.000839,,,,0.661938,1.466109,1.000839,,,
1,tsukubaSet,HALF,12,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,384,288,15,0.000000,0.000262,0.000132,0.000037,0.000013,0.000008,0.000189,0.000013,0.000013,0.003139,0.000528,0.000527,0.000111,0.000000,0.004251,0.000014,0.002240,0.000529,0.000164,0.000089,0.000123,0.000000,0.000377,0.000082,0.000030,0.000036,0.004269,0.004283,0.004312,0.004312,0.085439,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,0.664786,1.451865,0.664786,,,0.664786,0.997926,,,,0.664786,1.451865,0.997926,,,
2,venus,HALF,12,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,434,383,15,0.000000,0.000510,0.000272,0.000071,0.000021,0.000009,0.000376,0.000009,0.000009,0.004758,0.001138,0.001138,0.000237,0.000000,0.007031,0.000019,0.003469,0.000797,0.000251,0.000091,0.000140,0.000000,0.000882,0.000176,0.000054,0.000024,0.007048,0.007067,0.007111,0.007111,0.213138,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,0.487793,2.065146,0.487793,,0.487793,,0.983064,,,,0.487793,2.065146,0.983064,,,
2,venus,HALF,12,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,434,383,15,0.000000,0.000526,0.000265,0.000070,0.000021,0.000009,0.000372,0.000009,0.000009,0.007913,0.001149,0.001148,0.000243,0.000000,0.010189,0.000019,0.005864,0.001332,0.000407,0.000133,0.000170,0.000000,0.000888,0.000181,0.000056,0.000023,0.010206,0.010226,0.010270,0.010270,0.213138,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,0.396942,2.065038,0.396942,,,0.396942,1.000508,,,,0.396942,2.065038,1.000508,,,
3,barn1,HALF,12,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,432,381,15,0.000000,0.000740,0.000421,0.000106,0.000030,0.000011,0.000566,0.000010,0.000009,0.007922,0.001959,0.001959,0.000359,0.000000,0.011562,0.000019,0.005827,0.001362,0.000402,0.000130,0.000189,0.000000,0.001221,0.000492,0.000213,0.000039,0.011579,0.011598,0.011642,0.011642,0.408973,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,0.356891,1.574562,,,0.356891,,1.006594,,,,0.356891,1.574562,1.006594,,,
3,barn1,HALF,12,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,432,381,15,0.000000,0.000754,0.000422,0.000107,0.000031,0.000011,0.000568,0.000010,0.000009,0.010799,0.002034,0.002033,0.000365,0.000000,0.014492,0.000018,0.007939,0.001913,0.000560,0.000168,0.000220,0.000000,0.001265,0.000493,0.000225,0.000040,0.014509,0.014527,0.014571,0.014571,0.408973,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,0.373328,1.576826,,,,0.373328,0.996458,,,,0.373328,1.576826,0.996458,,,
4,conesQuarterSize,HALF,12,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,450,375,15,0.000000,0.001445,0.001031,0.000439,0.000086,0.000017,0.001565,0.000014,0.000014,0.020161,0.007702,0.007701,0.000796,0.000000,0.031678,0.000019,0.015079,0.003602,0.000813,0.000239,0.000425,0.000000,0.005337,0.001763,0.000484,0.000123,0.031697,0.031716,0.031762,0.031762,0.899673,,2.332252,1.489943,0.790667,0.159852,0.111081,0.073624,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.023905,0.020840,0.007052,0.003064,0.000421,0.000415,0.299220,1.465099,,0.299220,0.299220,,0.992560,,,,0.299220,1.465099,0.992560,,,
4,conesQuarterSize,HALF,12,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,450,375,15,0.000000,0.001436,0.001016,0.000446,0.000088,0.000017,0.001563,0.000014,0.000014,0.024508,0.007777,0.007776,0.000808,0.000000,0.036118,0.000020,0.018418,0.004305,0.001039,0.000291,0.000477,0.000000,0.005387,0.001752,0.000503,0.000124,0.036143,0.036164,0.036217,0.036217,0.899673,,2.332252,1.489943,0.790667,0.159852,0.111081,0.073624,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.023905,0.020840,0.007052,0.003064,0.000421,0.000415,0.310432,1.471768,,0.310432,,0.310432,1.003817,,,,0.310432,1.471768,1.003817,,,
