Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,HALF,12,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256 w/ float16,192,144,15,0.000000,0.000052,0.000014,0.000007,0.000007,0.000005,0.000032,0.000006,0.000005,0.000222,0.000089,0.000088,0.000014,0.000000,0.000420,0.000005,0.000101,0.000041,0.000027,0.000033,0.000021,0.000000,0.000037,0.000015,0.000020,0.000016,0.000436,0.000442,0.000447,0.000447,0.008884,,2.691024,2.691024,0.814815,0.792824,0.100803,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,3.167390,3.167390,0.975839,0.535482,0.098090,0.000000,1.645455,1.144100,1.645455,,1.645455,,1.032524,,,,1.645455,1.144100,1.032524,,,
0,tsukubaSetHalfSize,HALF,12,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,192,144,15,0.000000,0.000052,0.000015,0.000007,0.000007,0.000006,0.000035,0.000008,0.000008,0.000583,0.000095,0.000095,0.000014,0.000000,0.000787,0.000006,0.000193,0.000079,0.000182,0.000079,0.000041,0.000000,0.000037,0.000017,0.000020,0.000020,0.000802,0.000808,0.000813,0.000813,0.008884,,2.691024,2.691024,0.814815,0.792824,0.100803,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,3.167390,3.167390,0.975839,0.535482,0.098090,0.000000,1.501120,1.161671,1.501120,,,1.501120,0.988330,,,,1.501120,1.161671,0.988330,,,
1,tsukubaSet,HALF,12,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,384,288,15,0.000000,0.000376,0.000075,0.000021,0.000009,0.000008,0.000115,0.000015,0.000015,0.001274,0.000516,0.000515,0.000097,0.000000,0.002396,0.000014,0.000810,0.000178,0.000075,0.000132,0.000062,0.000000,0.000370,0.000080,0.000030,0.000035,0.002415,0.002433,0.002463,0.002463,0.085053,,5.381655,5.131376,0.792969,0.792969,0.334816,0.095432,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,6.577863,6.259321,0.987883,0.987639,0.446434,0.127884,0.842755,1.472759,0.842755,,0.842755,,1.000379,,,,0.842755,1.472759,1.000379,,,
1,tsukubaSet,HALF,12,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,384,288,15,0.000000,0.000379,0.000076,0.000022,0.000009,0.000009,0.000116,0.000015,0.000015,0.002196,0.000521,0.000521,0.000093,0.000000,0.003336,0.000015,0.001335,0.000310,0.000119,0.000293,0.000117,0.000000,0.000371,0.000081,0.000031,0.000033,0.003356,0.003370,0.003406,0.003406,0.085053,,5.381655,5.131376,0.792969,0.792969,0.334816,0.095432,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,6.577863,6.259321,0.987883,0.987639,0.446434,0.127884,0.846081,1.458451,0.846081,,,0.846081,1.003144,,,,0.846081,1.458451,1.003144,,,
2,venus,HALF,12,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,434,383,15,0.000000,0.000738,0.000143,0.000039,0.000013,0.000007,0.000208,0.000009,0.000009,0.003411,0.000946,0.000946,0.000212,0.000000,0.005507,0.000019,0.002220,0.000524,0.000165,0.000386,0.000114,0.000000,0.000690,0.000174,0.000055,0.000023,0.005525,0.005545,0.005603,0.005603,0.213653,,8.888581,7.529309,1.000000,1.000000,0.793884,0.415799,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,8.876009,7.514842,0.990194,0.990194,0.761734,0.408694,0.602804,2.060171,0.602804,,0.602804,,0.957232,,,,0.602804,2.060171,0.957232,,,
2,venus,HALF,12,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256 w/ float16,434,383,15,0.000000,0.000784,0.000174,0.000044,0.000014,0.000007,0.000249,0.000010,0.000010,0.005824,0.000867,0.000866,0.000226,0.000000,0.007956,0.000020,0.004281,0.000989,0.000290,0.000110,0.000151,0.000000,0.000591,0.000180,0.000063,0.000024,0.007976,0.007997,0.008042,0.008042,0.213653,,8.888581,7.529309,1.000000,1.000000,0.793884,0.415799,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,8.876009,7.514842,0.990194,0.990194,0.761734,0.408694,0.510265,2.060063,0.510265,,,0.510265,1.007153,,,,0.510265,2.060063,1.007153,,,
3,barn1,HALF,12,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,432,381,15,0.000000,0.001070,0.000221,0.000056,0.000018,0.000007,0.000308,0.000009,0.000009,0.006122,0.001985,0.001985,0.000319,0.000000,0.009831,0.000019,0.004012,0.001030,0.000274,0.000623,0.000164,0.000000,0.001227,0.000491,0.000209,0.000055,0.009848,0.009867,0.009912,0.009912,0.412698,,8.252467,7.095519,1.000000,1.000000,0.581116,0.429693,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,8.295033,7.109809,0.990145,0.990145,0.579670,0.445356,0.417223,1.560351,,,0.417223,,1.001898,,,,0.417223,1.560351,1.001898,,,
3,barn1,HALF,12,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,432,381,15,0.000000,0.001080,0.000238,0.000058,0.000018,0.000007,0.000325,0.000010,0.000009,0.008541,0.002041,0.002040,0.000321,0.000000,0.012293,0.000019,0.005652,0.001502,0.000381,0.000785,0.000210,0.000000,0.001262,0.000504,0.000202,0.000055,0.012311,0.012329,0.012374,0.012374,0.412698,,8.252467,7.095519,1.000000,1.000000,0.581116,0.429693,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,8.295033,7.109809,0.990145,0.990145,0.579670,0.445356,0.444260,1.562595,,,,0.444260,1.007000,,,,0.444260,1.562595,1.007000,,,
4,conesQuarterSize,HALF,12,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,450,375,15,0.000000,0.002098,0.000745,0.000428,0.000082,0.000012,0.001255,0.000014,0.000014,0.015088,0.007793,0.007792,0.000697,0.000000,0.026920,0.000019,0.010213,0.002600,0.000536,0.001406,0.000312,0.000000,0.005379,0.001798,0.000492,0.000126,0.026939,0.026958,0.027004,0.027004,0.913393,,32.461636,9.680087,0.967828,0.967828,0.967828,0.967763,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,33.217880,9.904392,0.990246,0.990246,0.990246,0.990246,0.352553,1.443093,,0.352553,0.352553,,0.994293,,,,0.352553,1.443093,0.994293,,,
4,conesQuarterSize,HALF,12,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,450,375,15,0.000000,0.002084,0.000882,0.000482,0.000081,0.000011,0.001463,0.000014,0.000014,0.017477,0.007812,0.007812,0.000690,0.000000,0.029544,0.000020,0.011654,0.003068,0.000648,0.001722,0.000391,0.000000,0.005419,0.001770,0.000485,0.000124,0.029562,0.029581,0.029628,0.029628,0.913393,,32.461636,9.680087,0.967828,0.967828,0.967828,0.967763,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,33.217880,9.904392,0.990246,0.990246,0.990246,0.990246,0.378677,1.449661,,0.378677,,0.378677,1.001709,,,,0.378677,1.449661,1.001709,,,
