Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,96,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256,192,144,15,0.000000,0.000018,0.000026,0.000031,0.000029,0.000025,0.000111,0.000014,0.000014,0.000470,0.000167,0.000167,0.000041,0.000000,0.000823,0.000022,0.000123,0.000092,0.000085,0.000076,0.000085,0.000000,0.000042,0.000042,0.000044,0.000039,0.000840,0.000861,0.000867,0.000867,0.008319,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.309970,1.258903,1.309970,,1.309970,,1.959887,,,,,,,,,,,,,,,,,,,,,,,,1.309970,1.258903,1.959887,,,,
0,tsukubaSetHalfSize,FLOAT,96,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512,192,144,15,0.000000,0.000020,0.000033,0.000035,0.000037,0.000031,0.000137,0.000020,0.000020,0.000694,0.000220,0.000218,0.000047,0.000000,0.001143,0.000028,0.000202,0.000134,0.000118,0.000124,0.000106,0.000000,0.000051,0.000051,0.000063,0.000050,0.001160,0.001188,0.001195,0.001195,0.008319,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.762231,1.314701,1.762231,,,1.762231,1.629132,,,,,,,,,,,,,,,,,,,,,,,,1.762231,1.314701,1.629132,,,,
1,tsukubaSet,FLOAT,96,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512,384,288,15,0.000000,0.000039,0.000039,0.000030,0.000031,0.000030,0.000131,0.000030,0.000029,0.000763,0.000414,0.000413,0.000050,0.000000,0.001426,0.000024,0.000283,0.000162,0.000104,0.000092,0.000120,0.000000,0.000205,0.000075,0.000058,0.000075,0.001446,0.001469,0.001496,0.001496,0.082047,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.531087,1.454518,1.531087,,1.531087,,1.018560,,,,,,,,,,,,,,,,,,,,,,,,1.531087,1.454518,1.018560,,,,
1,tsukubaSet,FLOAT,96,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512,384,288,15,0.000000,0.000044,0.000038,0.000030,0.000033,0.000030,0.000129,0.000047,0.000046,0.000994,0.000416,0.000415,0.000049,0.000000,0.001682,0.000023,0.000404,0.000215,0.000133,0.000115,0.000117,0.000000,0.000210,0.000067,0.000062,0.000069,0.001703,0.001725,0.001753,0.001753,0.082047,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.944709,1.486695,1.944709,,,1.944709,0.983818,,,,,,,,,,,,,,,,,,,,,,,,1.944709,1.486695,0.983818,,,,
2,venus,FLOAT,96,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512,434,383,15,0.000000,0.000069,0.000046,0.000030,0.000029,0.000034,0.000141,0.000064,0.000064,0.001261,0.000447,0.000446,0.000058,0.000000,0.002041,0.000027,0.000595,0.000241,0.000163,0.000116,0.000144,0.000000,0.000222,0.000067,0.000072,0.000076,0.002066,0.002093,0.002143,0.002143,0.207360,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.722034,2.114969,1.722034,,1.722034,,0.997481,,,,,,,,,,,,,,,,,,,,,,,,1.722034,2.114969,0.997481,,,,
2,venus,FLOAT,96,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256,434,383,15,0.000000,0.000079,0.000046,0.000030,0.000029,0.000033,0.000143,0.000064,0.000064,0.001885,0.000450,0.000448,0.000065,0.000000,0.002699,0.000027,0.001056,0.000368,0.000200,0.000151,0.000107,0.000000,0.000234,0.000061,0.000065,0.000079,0.002722,0.002749,0.002797,0.002797,0.207360,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.016290,2.110547,2.016290,,,2.016290,1.003252,,,,,,,,,,,,,,,,,,,,,,,,2.016290,2.110547,1.003252,,,,
3,barn1,FLOAT,96,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256,432,381,15,0.000000,0.000092,0.000059,0.000037,0.000035,0.000036,0.000168,0.000096,0.000096,0.002604,0.000697,0.000696,0.000109,0.000000,0.003766,0.000027,0.001684,0.000424,0.000217,0.000158,0.000114,0.000000,0.000351,0.000104,0.000127,0.000109,0.003787,0.003816,0.003871,0.003871,0.390424,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.504202,1.638181,,,1.504202,,1.015195,,,,,,,,,,,,,,,,,,,,,,,,1.504202,1.638181,1.015195,,,,
3,barn1,FLOAT,96,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512,432,381,15,0.000000,0.000114,0.000063,0.000038,0.000037,0.000041,0.000180,0.000101,0.000101,0.002788,0.000878,0.000876,0.000116,0.000000,0.004181,0.000029,0.001761,0.000440,0.000240,0.000158,0.000184,0.000000,0.000494,0.000121,0.000139,0.000127,0.004202,0.004231,0.004289,0.004289,0.390424,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.563140,1.623162,,,,1.563140,1.001076,,,,,,,,,,,,,,,,,,,,,,,,1.563140,1.623162,1.001076,,,,
4,conesQuarterSize,FLOAT,96,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512,450,375,15,0.000000,0.000190,0.000167,0.000101,0.000058,0.000050,0.000388,0.000183,0.000182,0.004968,0.002082,0.002081,0.000372,0.000000,0.008180,0.000027,0.003576,0.000613,0.000300,0.000190,0.000296,0.000000,0.001061,0.000507,0.000316,0.000191,0.008209,0.008236,0.008296,0.008296,0.844024,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.013146,1.567112,,2.013146,2.013146,,1.004157,,,,,,,,,,,,,,,,,,,,,,,,2.013146,1.567112,1.004157,,,,
4,conesQuarterSize,FLOAT,96,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512,450,375,15,0.000000,0.000214,0.000170,0.000101,0.000058,0.000062,0.000398,0.000182,0.000182,0.005486,0.002027,0.002025,0.000345,0.000000,0.008652,0.000026,0.003939,0.000724,0.000332,0.000207,0.000289,0.000000,0.001050,0.000474,0.000316,0.000173,0.008679,0.008704,0.008769,0.008769,0.844024,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.081185,1.579931,,2.081185,,2.081185,0.999512,,,,,,,,,,,,,,,,,,,,,,,,2.081185,1.579931,0.999512,,,,
