Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000016,0.000013,0.000012,0.000012,0.000009,0.000044,0.000013,0.000013,0.000299,0.000118,0.000117,0.000018,0.000000,0.000506,0.000009,0.000104,0.000058,0.000040,0.000050,0.000042,0.000000,0.000032,0.000023,0.000026,0.000038,0.000522,0.000531,0.000536,0.000536,0.007108,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.109660,1.473425,1.109660,,1.109660,,1.026497,,,,,,,,,,,,,,,,,,1.109660,1.473425,1.026497,,,,
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000016,0.000012,0.000012,0.000010,0.000009,0.000045,0.000014,0.000014,0.000465,0.000108,0.000108,0.000019,0.000000,0.000663,0.000007,0.000199,0.000085,0.000059,0.000067,0.000039,0.000000,0.000030,0.000023,0.000025,0.000028,0.000679,0.000686,0.000691,0.000691,0.007108,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.863013,1.538732,1.863013,,,1.863013,0.995558,,,,,,,,,,,,,,,,,,1.863013,1.538732,0.995558,,,,
1,tsukubaSet,FLOAT,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000089,0.000052,0.000016,0.000016,0.000013,0.000097,0.000027,0.000027,0.001214,0.000695,0.000694,0.000105,0.000000,0.002227,0.000014,0.000794,0.000207,0.000084,0.000053,0.000075,0.000000,0.000540,0.000080,0.000040,0.000038,0.002246,0.002260,0.002290,0.002290,0.079386,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000885,1.503279,1.000885,,1.000885,,1.018997,,,,,,,,,,,,,,,,,,1.000885,1.503279,1.018997,,,,
1,tsukubaSet,FLOAT,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000094,0.000047,0.000015,0.000017,0.000013,0.000091,0.000036,0.000036,0.001849,0.000714,0.000713,0.000100,0.000000,0.002872,0.000012,0.001241,0.000313,0.000123,0.000080,0.000085,0.000000,0.000550,0.000092,0.000049,0.000039,0.002889,0.002901,0.002931,0.002931,0.079386,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.162792,1.536534,1.162792,,,1.162792,0.983581,,,,,,,,,,,,,,,,,,1.162792,1.536534,0.983581,,,,
2,venus,FLOAT,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000184,0.000098,0.000028,0.000012,0.000022,0.000157,0.000013,0.000012,0.003532,0.001030,0.001029,0.000255,0.000000,0.005166,0.000016,0.002707,0.000503,0.000173,0.000079,0.000069,0.000000,0.000744,0.000141,0.000107,0.000037,0.005186,0.005202,0.005247,0.005247,0.205064,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.713980,2.138652,0.713980,,0.713980,,1.012444,,,,,,,,,,,,,,,,,,0.713980,2.138652,1.012444,,,,
2,venus,FLOAT,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000212,0.000094,0.000028,0.000013,0.000009,0.000145,0.000012,0.000012,0.007062,0.001029,0.001028,0.000264,0.000001,0.008690,0.000016,0.005696,0.000827,0.000301,0.000122,0.000097,0.000000,0.000756,0.000150,0.000088,0.000037,0.008713,0.008730,0.008776,0.008776,0.205064,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.638689,2.134181,0.638689,,,0.638689,0.997239,,,,,,,,,,,,,,,,,,0.638689,2.134181,0.997239,,,,
3,barn1,FLOAT,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000274,0.000167,0.000053,0.000024,0.000010,0.000254,0.000012,0.000012,0.007604,0.001985,0.001985,0.000406,0.000000,0.010496,0.000016,0.006265,0.000851,0.000260,0.000121,0.000110,0.000000,0.001529,0.000257,0.000157,0.000053,0.010517,0.010533,0.010578,0.010578,0.389988,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.543283,1.640013,,,0.543283,,1.001905,,,,,,,,,,,,,,,,,,0.543283,1.640013,1.001905,,,,
3,barn1,FLOAT,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000268,0.000153,0.000039,0.000025,0.000010,0.000227,0.000013,0.000012,0.009548,0.002056,0.002055,0.000416,0.000000,0.012508,0.000017,0.007656,0.001187,0.000411,0.000154,0.000121,0.000000,0.001534,0.000306,0.000168,0.000067,0.012532,0.012549,0.012597,0.012597,0.389988,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.534322,1.624976,,,,0.534322,1.004993,,,,,,,,,,,,,,,,,,0.534322,1.624976,1.004993,,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000000,0.000526,0.000532,0.000240,0.000062,0.000017,0.000839,0.000025,0.000024,0.014406,0.004769,0.004768,0.000785,0.000001,0.021342,0.000021,0.011109,0.002342,0.000486,0.000195,0.000243,0.000000,0.003052,0.001226,0.000418,0.000093,0.021378,0.021400,0.021470,0.021470,0.847017,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.774441,1.561575,,0.774441,0.774441,,0.999753,,,,,,,,,,,,,,,,,,0.774441,1.561575,0.999753,,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000001,0.000508,0.000607,0.000247,0.000068,0.000017,0.000939,0.000026,0.000025,0.021551,0.005459,0.005458,0.000818,0.000001,0.029291,0.000024,0.016463,0.003538,0.000740,0.000242,0.000264,0.000000,0.003336,0.001568,0.000445,0.000108,0.029328,0.029351,0.029421,0.029421,0.847017,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.601615,1.574349,,0.601615,,0.601615,0.969434,,,,,,,,,,,,,,,,,,0.601615,1.574349,0.969434,,,,
