Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000015,0.000012,0.000014,0.000012,0.000010,0.000046,0.000013,0.000013,0.000272,0.000129,0.000128,0.000018,0.000000,0.000492,0.000008,0.000095,0.000047,0.000039,0.000047,0.000039,0.000000,0.000029,0.000024,0.000039,0.000036,0.000507,0.000515,0.000520,0.000520,0.007051,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.115934,1.485338,1.115934,,1.115934,,1.001358,,,,,,,,,,,,,,,,,,1.115934,1.485338,1.001358,,,,
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000017,0.000013,0.000012,0.000011,0.000008,0.000044,0.000019,0.000019,0.000482,0.000112,0.000111,0.000018,0.000000,0.000715,0.000008,0.000203,0.000080,0.000057,0.000076,0.000048,0.000000,0.000032,0.000024,0.000024,0.000028,0.000730,0.000738,0.000743,0.000743,0.007051,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.056094,1.551172,2.056094,,,2.056094,1.182214,,,,,,,,,,,,,,,,,,2.056094,1.551172,1.182214,,,,
1,tsukubaSet,FLOAT,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000095,0.000047,0.000035,0.000016,0.000012,0.000108,0.000025,0.000024,0.001163,0.000723,0.000723,0.000107,0.000000,0.002232,0.000013,0.000786,0.000183,0.000078,0.000060,0.000088,0.000000,0.000557,0.000083,0.000043,0.000040,0.002253,0.002266,0.002297,0.002297,0.081448,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.579476,1.465219,0.579476,,0.579476,,0.591711,,,,,,,,,,,,,,,,,,0.579476,1.465219,0.591711,,,,
1,tsukubaSet,FLOAT,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000103,0.000050,0.000017,0.000016,0.000013,0.000097,0.000034,0.000034,0.001881,0.000727,0.000726,0.000104,0.000000,0.002941,0.000012,0.001310,0.000289,0.000121,0.000085,0.000087,0.000000,0.000551,0.000093,0.000043,0.000042,0.002959,0.002971,0.003002,0.003002,0.081448,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.153020,1.497632,1.153020,,,1.153020,0.999061,,,,,,,,,,,,,,,,,,1.153020,1.497632,0.999061,,,,
2,venus,FLOAT,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000186,0.000101,0.000025,0.000013,0.000010,0.000148,0.000014,0.000014,0.003470,0.000973,0.000973,0.000259,0.000000,0.005032,0.000016,0.002696,0.000447,0.000172,0.000079,0.000070,0.000000,0.000746,0.000123,0.000067,0.000039,0.005050,0.005066,0.005113,0.005113,0.207159,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.723250,2.117028,0.723250,,0.723250,,0.999231,,,,,,,,,,,,,,,,,,0.723250,2.117028,0.999231,,,,
2,venus,FLOAT,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000187,0.000100,0.000028,0.000013,0.000011,0.000151,0.000013,0.000013,0.006947,0.001071,0.001070,0.000254,0.000000,0.008598,0.000028,0.005600,0.000831,0.000295,0.000124,0.000092,0.000000,0.000792,0.000157,0.000089,0.000038,0.008619,0.008647,0.008694,0.008694,0.207159,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.633558,2.112602,0.633558,,,0.633558,0.979905,,,,,,,,,,,,,,,,,,0.633558,2.112602,0.979905,,,,
3,barn1,FLOAT,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000282,0.000148,0.000038,0.000023,0.000009,0.000216,0.000011,0.000011,0.007550,0.002040,0.002040,0.000401,0.000000,0.010480,0.000031,0.006233,0.000850,0.000254,0.000122,0.000104,0.000000,0.001547,0.000287,0.000164,0.000052,0.010499,0.010516,0.010562,0.010562,0.387075,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.285652,1.652356,,,0.285652,,0.526005,,,,,,,,,,,,,,,,,,0.285652,1.652356,0.526005,,,,
3,barn1,FLOAT,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000268,0.000152,0.000039,0.000025,0.000010,0.000226,0.000012,0.000012,0.009592,0.002046,0.002046,0.000396,0.000000,0.012523,0.000018,0.007690,0.001248,0.000354,0.000156,0.000130,0.000000,0.001552,0.000282,0.000166,0.000052,0.012545,0.012563,0.012610,0.012610,0.387075,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.527815,1.637206,,,,0.527815,0.993780,,,,,,,,,,,,,,,,,,0.527815,1.637206,0.993780,,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000000,0.000532,0.000555,0.000230,0.000062,0.000029,0.000862,0.000025,0.000024,0.014433,0.004802,0.004800,0.000785,0.000000,0.021437,0.000022,0.011123,0.002382,0.000492,0.000197,0.000236,0.000000,0.003042,0.001256,0.000409,0.000094,0.021475,0.021497,0.021564,0.021564,0.850422,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.773333,1.555321,,0.773333,0.773333,,1.002678,,,,,,,,,,,,,,,,,,0.773333,1.555321,1.002678,,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000001,0.000511,0.000512,0.000221,0.000061,0.000017,0.000811,0.000025,0.000025,0.016721,0.004976,0.004975,0.000785,0.000001,0.023809,0.000021,0.012889,0.002785,0.000601,0.000212,0.000261,0.000000,0.003003,0.001511,0.000412,0.000091,0.023854,0.023876,0.023943,0.023943,0.850422,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.770508,1.568044,,0.770508,,0.770508,1.010407,,,,,,,,,,,,,,,,,,0.770508,1.568044,1.010407,,,,
