Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,24,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,192,144,3,0.000000,0.000016,0.000012,0.000016,0.000011,0.000009,0.000049,0.000008,0.000008,0.000262,0.000112,0.000111,0.000018,0.000000,0.000474,0.000009,0.000108,0.000051,0.000035,0.000031,0.000034,0.000000,0.000030,0.000024,0.000027,0.000029,0.000490,0.000499,0.000504,0.000504,0.007123,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.209406,1.470332,1.209406,,1.209406,,1.052463,,,,,,,,,,,,,,,,,,,,,,,,1.209406,1.470332,1.052463,,,,
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000019,0.000012,0.000011,0.000010,0.000009,0.000042,0.000014,0.000014,0.000448,0.000117,0.000117,0.000017,0.000000,0.000662,0.000008,0.000197,0.000082,0.000054,0.000071,0.000044,0.000000,0.000032,0.000024,0.000024,0.000035,0.000679,0.000685,0.000697,0.000697,0.007123,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.917054,1.535502,1.917054,,,1.917054,1.034026,,,,,,,,,,,,,,,,,,,,,,,,1.917054,1.535502,1.034026,,,,
1,tsukubaSet,FLOAT,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000102,0.000056,0.000017,0.000017,0.000015,0.000102,0.000024,0.000024,0.001246,0.000708,0.000707,0.000105,0.000000,0.002274,0.000014,0.000786,0.000179,0.000080,0.000062,0.000078,0.000000,0.000513,0.000103,0.000068,0.000037,0.002292,0.002306,0.002338,0.002338,0.080477,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978830,1.482898,0.978830,,0.978830,,1.017209,,,,,,,,,,,,,,,,,,,,,,,,0.978830,1.482898,1.017209,,,,
1,tsukubaSet,FLOAT,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000093,0.000047,0.000016,0.000019,0.000015,0.000098,0.000037,0.000036,0.001918,0.000709,0.000708,0.000105,0.000000,0.002948,0.000013,0.001340,0.000296,0.000126,0.000087,0.000089,0.000000,0.000553,0.000080,0.000041,0.000039,0.002968,0.002981,0.003012,0.003012,0.080477,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.128064,1.515702,1.128064,,,1.128064,0.980662,,,,,,,,,,,,,,,,,,,,,,,,1.128064,1.515702,0.980662,,,,
2,venus,FLOAT,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000202,0.000079,0.000026,0.000012,0.000016,0.000133,0.000013,0.000012,0.003478,0.001021,0.001021,0.000266,0.000000,0.005112,0.000016,0.002689,0.000426,0.000174,0.000084,0.000083,0.000000,0.000741,0.000157,0.000090,0.000039,0.005133,0.005149,0.005195,0.005195,0.207642,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.703971,2.112101,0.703971,,0.703971,,0.988289,,,,,,,,,,,,,,,,,,,,,,,,0.703971,2.112101,0.988289,,,,
2,venus,FLOAT,24,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,434,383,3,0.000000,0.000231,0.000140,0.000034,0.000013,0.000009,0.000196,0.000014,0.000014,0.006391,0.001019,0.001018,0.000262,0.000000,0.008105,0.000014,0.004971,0.000951,0.000267,0.000119,0.000085,0.000000,0.000779,0.000148,0.000056,0.000038,0.008126,0.008140,0.008188,0.008188,0.207642,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680641,2.107684,0.680641,,,0.680641,0.991540,,,,,,,,,,,,,,,,,,,,,,,,0.680641,2.107684,0.991540,,,,
3,barn1,FLOAT,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000274,0.000145,0.000038,0.000024,0.000010,0.000218,0.000027,0.000027,0.007554,0.002043,0.002043,0.000399,0.000000,0.010485,0.000017,0.006250,0.000821,0.000254,0.000118,0.000102,0.000000,0.001528,0.000294,0.000177,0.000052,0.010505,0.010521,0.010568,0.010568,0.389041,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.537383,1.644003,,,0.537383,,0.990108,,,,,,,,,,,,,,,,,,,,,,,,0.537383,1.644003,0.990108,,,,
3,barn1,FLOAT,24,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,432,381,3,0.000000,0.000333,0.000158,0.000043,0.000015,0.000010,0.000226,0.000012,0.000011,0.010032,0.001490,0.001489,0.000364,0.000000,0.012430,0.000018,0.007935,0.001462,0.000393,0.000162,0.000085,0.000000,0.001036,0.000274,0.000128,0.000051,0.012453,0.012469,0.012518,0.012518,0.389041,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.536302,1.628931,,,,0.536302,1.002433,,,,,,,,,,,,,,,,,,,,,,,,0.536302,1.628931,1.002433,,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000000,0.000554,0.000541,0.000252,0.000077,0.000017,0.000887,0.000025,0.000025,0.014474,0.004720,0.004719,0.000779,0.000001,0.021438,0.000021,0.011098,0.002354,0.000585,0.000188,0.000237,0.000000,0.002989,0.001223,0.000434,0.000091,0.021473,0.021494,0.021559,0.021559,0.863044,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.772537,1.532575,,0.772537,0.772537,,1.001419,,,,,,,,,,,,,,,,,,,,,,,,0.772537,1.532575,1.001419,,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000000,0.000522,0.000535,0.000246,0.000061,0.000023,0.000863,0.000024,0.000024,0.016688,0.004940,0.004939,0.000778,0.000001,0.023799,0.000022,0.012819,0.002746,0.000647,0.000215,0.000263,0.000000,0.003080,0.001364,0.000436,0.000097,0.023834,0.023856,0.023922,0.023922,0.863044,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.769549,1.545112,,0.769549,,0.769549,1.008280,,,,,,,,,,,,,,,,,,,,,,,,0.769549,1.545112,1.008280,,,,
