Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,24,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,192,144,3,0.000000,0.000015,0.000013,0.000012,0.000010,0.000014,0.000053,0.000009,0.000009,0.000819,0.000110,0.000110,0.000058,0.000000,0.001046,0.000110,0.000466,0.000152,0.000115,0.000051,0.000037,0.000000,0.000031,0.000027,0.000027,0.000029,0.001074,0.001137,0.001142,0.001142,0.007191,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.527852,1.456392,0.527852,,0.527852,,1.040207,,,,,,,,,,,,,,,,,,0.527852,1.456392,1.040207,,,,
0,tsukubaSetHalfSize,FLOAT,24,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,192,144,3,0.000000,0.000019,0.000012,0.000015,0.000010,0.000008,0.000045,0.000008,0.000007,0.002231,0.000113,0.000113,0.000033,0.000000,0.002447,0.000007,0.001528,0.000408,0.000144,0.000064,0.000043,0.000000,0.000031,0.000022,0.000027,0.000026,0.002463,0.002470,0.002475,0.002475,0.007191,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533290,1.520944,0.533290,,,0.533290,1.020928,,,,,,,,,,,,,,,,,,0.533290,1.520944,1.020928,,,,
1,tsukubaSet,FLOAT,24,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,384,288,3,0.000000,0.000089,0.000046,0.000015,0.000018,0.000019,0.000099,0.000027,0.000026,0.007767,0.000771,0.000770,0.000587,0.000001,0.009348,0.000013,0.005703,0.001386,0.000388,0.000195,0.000081,0.000000,0.000610,0.000084,0.000039,0.000038,0.009370,0.009383,0.009414,0.009414,0.080996,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.233432,1.473400,0.233432,,0.233432,,0.976928,,,,,,,,,,,,,,,,,,0.233432,1.473400,0.976928,,,,
1,tsukubaSet,FLOAT,24,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,384,288,3,0.000000,0.000114,0.000047,0.000016,0.000019,0.000014,0.000094,0.000035,0.000035,0.012770,0.000775,0.000775,0.000595,0.000000,0.014384,0.000014,0.009316,0.002474,0.000657,0.000252,0.000111,0.000000,0.000613,0.000082,0.000041,0.000041,0.014405,0.014419,0.014450,0.014450,0.080996,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.237771,1.505994,0.237771,,,0.237771,0.991714,,,,,,,,,,,,,,,,,,0.237771,1.505994,0.991714,,,,
2,venus,FLOAT,24,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,434,383,3,0.000000,0.000172,0.000105,0.000024,0.000012,0.000009,0.000151,0.000016,0.000016,0.016677,0.001005,0.001004,0.000581,0.000000,0.018567,0.000031,0.011893,0.003465,0.000964,0.000264,0.000087,0.000000,0.000780,0.000133,0.000054,0.000037,0.018588,0.018605,0.018650,0.018650,0.208688,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.195617,2.101515,0.195617,,0.195617,,0.985870,,,,,,,,,,,,,,,,,,0.195617,2.101515,0.985870,,,,
2,venus,FLOAT,24,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,434,383,3,0.000000,0.000234,0.000097,0.000025,0.000013,0.000009,0.000144,0.000012,0.000012,0.023166,0.001017,0.001017,0.000582,0.000000,0.025130,0.000018,0.016639,0.004789,0.001328,0.000337,0.000113,0.000000,0.000782,0.000141,0.000058,0.000037,0.025153,0.025170,0.025215,0.025215,0.208688,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222270,2.097121,0.222270,,,0.222270,0.997089,,,,,,,,,,,,,,,,,,0.222270,2.097121,0.997089,,,,
3,barn1,FLOAT,24,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,432,381,3,0.000000,0.000324,0.000128,0.000038,0.000014,0.000010,0.000191,0.000012,0.000012,0.027282,0.001444,0.001443,0.000775,0.000001,0.030015,0.000018,0.020056,0.005381,0.001369,0.000424,0.000114,0.000000,0.001019,0.000269,0.000115,0.000053,0.030040,0.030059,0.030108,0.030108,0.395980,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.189554,1.615197,,,0.189554,,0.994998,,,,,,,,,,,,,,,,,,0.189554,1.615197,0.994998,,,,
3,barn1,FLOAT,24,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,432,381,3,0.000000,0.000324,0.000136,0.000038,0.000015,0.000010,0.000196,0.000011,0.000011,0.033803,0.001448,0.001447,0.000780,0.000001,0.036557,0.000018,0.024658,0.006807,0.001719,0.000469,0.000133,0.000000,0.001012,0.000263,0.000122,0.000051,0.036581,0.036599,0.036647,0.036647,0.395980,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.183186,1.600388,,,,0.183186,1.002397,,,,,,,,,,,,,,,,,,0.183186,1.600388,1.002397,,,,
4,conesQuarterSize,FLOAT,24,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,450,375,3,0.000001,0.000544,0.000424,0.000130,0.000061,0.000017,0.000620,0.000026,0.000025,0.061572,0.004882,0.004881,0.001933,0.000001,0.069597,0.000021,0.044755,0.012024,0.003633,0.000897,0.000241,0.000000,0.003375,0.001031,0.000422,0.000090,0.069636,0.069657,0.069729,0.069729,0.857648,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.239200,1.542218,,0.239200,0.239200,,1.002872,,,,,,,,,,,,,,,,,,0.239200,1.542218,1.002872,,,,
4,conesQuarterSize,FLOAT,24,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,450,375,3,0.000000,0.000667,0.000427,0.000119,0.000063,0.000018,0.000628,0.000027,0.000027,0.069115,0.004826,0.004825,0.001921,0.000001,0.077151,0.000021,0.050185,0.013695,0.004020,0.000999,0.000291,0.000000,0.003331,0.001014,0.000390,0.000090,0.077189,0.077210,0.077282,0.077282,0.857648,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.235227,1.554833,,0.235227,,0.235227,0.995646,,,,,,,,,,,,,,,,,,0.235227,1.554833,0.995646,,,,
