Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,192,144,3,0.000000,0.000018,0.000014,0.000013,0.000012,0.000010,0.000048,0.000012,0.000012,0.000310,0.000117,0.000116,0.000017,0.000000,0.000522,0.000008,0.000106,0.000053,0.000045,0.000053,0.000042,0.000000,0.000031,0.000028,0.000026,0.000032,0.000537,0.000546,0.000551,0.000551,0.007094,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.106302,1.476381,1.106302,,1.106302,,1.052941,,,,,,,,,,,,,,,,,,1.106302,1.476381,1.052941,,,,
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,192,144,3,0.000000,0.000017,0.000013,0.000012,0.000011,0.000010,0.000047,0.000014,0.000014,0.000444,0.000108,0.000108,0.000017,0.000000,0.000652,0.000009,0.000199,0.000088,0.000056,0.000059,0.000044,0.000000,0.000031,0.000022,0.000023,0.000028,0.000667,0.000676,0.000681,0.000681,0.007094,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.804796,1.541818,1.804796,,,1.804796,0.951189,,,,,,,,,,,,,,,,,,1.804796,1.541818,0.951189,,,,
1,tsukubaSet,FLOAT,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000102,0.000057,0.000016,0.000016,0.000014,0.000103,0.000027,0.000027,0.001187,0.000724,0.000724,0.000101,0.000000,0.002229,0.000013,0.000768,0.000204,0.000077,0.000068,0.000074,0.000000,0.000557,0.000091,0.000041,0.000040,0.002247,0.002260,0.002290,0.002290,0.079430,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.955504,1.502447,0.955504,,0.955504,,0.972915,,,,,,,,,,,,,,,,,,0.955504,1.502447,0.972915,,,,
1,tsukubaSet,FLOAT,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000097,0.000059,0.000018,0.000016,0.000013,0.000106,0.000038,0.000038,0.001901,0.000755,0.000755,0.000102,0.000000,0.002986,0.000018,0.001252,0.000342,0.000120,0.000082,0.000109,0.000000,0.000588,0.000088,0.000044,0.000041,0.003004,0.003017,0.003047,0.003047,0.079430,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.154239,1.535684,1.154239,,,1.154239,1.015086,,,,,,,,,,,,,,,,,,1.154239,1.535684,1.015086,,,,
2,venus,FLOAT,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000175,0.000112,0.000043,0.000013,0.000009,0.000176,0.000013,0.000013,0.003553,0.001042,0.001042,0.000254,0.000000,0.005201,0.000017,0.002700,0.000532,0.000175,0.000080,0.000075,0.000000,0.000742,0.000158,0.000104,0.000037,0.005222,0.005238,0.005283,0.005283,0.206252,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.702509,2.126333,0.702509,,0.702509,,1.003007,,,,,,,,,,,,,,,,,,0.702509,2.126333,1.003007,,,,
2,venus,FLOAT,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000175,0.000130,0.000048,0.000014,0.000010,0.000202,0.000013,0.000013,0.006985,0.001032,0.001031,0.000251,0.000000,0.008656,0.000017,0.005571,0.000917,0.000293,0.000122,0.000095,0.000000,0.000747,0.000158,0.000092,0.000037,0.008676,0.008694,0.008738,0.008738,0.206252,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.642436,2.121887,0.642436,,,0.642436,0.998744,,,,,,,,,,,,,,,,,,0.642436,2.121887,0.998744,,,,
3,barn1,FLOAT,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000271,0.000186,0.000050,0.000026,0.000011,0.000263,0.000013,0.000013,0.007818,0.002062,0.002061,0.000403,0.000000,0.010789,0.000017,0.006264,0.000984,0.000318,0.000119,0.000116,0.000000,0.001558,0.000272,0.000177,0.000053,0.010808,0.010824,0.010870,0.010870,0.390520,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.536832,1.637779,,,0.536832,,1.017317,,,,,,,,,,,,,,,,,,0.536832,1.637779,1.017317,,,,
3,barn1,FLOAT,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000274,0.000189,0.000048,0.000025,0.000010,0.000271,0.000013,0.000013,0.009698,0.002056,0.002055,0.000393,0.000000,0.012687,0.000018,0.007723,0.001342,0.000367,0.000159,0.000122,0.000000,0.001550,0.000278,0.000177,0.000053,0.012709,0.012727,0.012790,0.012790,0.390520,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.522486,1.622763,,,,0.522486,0.997842,,,,,,,,,,,,,,,,,,0.522486,1.622763,0.997842,,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.000559,0.000515,0.000235,0.000062,0.000018,0.000830,0.000027,0.000026,0.014841,0.005656,0.005655,0.000788,0.000001,0.022676,0.000021,0.011310,0.002477,0.000637,0.000196,0.000241,0.000000,0.003268,0.001852,0.000448,0.000108,0.022711,0.022730,0.022795,0.022795,0.865443,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.752834,1.528327,,0.752834,0.752834,,1.031835,,,,,,,,,,,,,,,,,,0.752834,1.528327,1.031835,,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.000555,0.000510,0.000248,0.000075,0.000016,0.000834,0.000025,0.000025,0.016842,0.004769,0.004768,0.000777,0.000000,0.023785,0.000020,0.012902,0.002826,0.000711,0.000201,0.000246,0.000000,0.002988,0.001253,0.000422,0.000105,0.023818,0.023838,0.023899,0.023899,0.865443,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.766056,1.540829,,0.766056,,0.766056,1.002742,,,,,,,,,,,,,,,,,,0.766056,1.540829,1.002742,,,,
5,conesHalfSize,FLOAT,24,64,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,900,750,3,0.000001,0.006183,0.007073,0.001612,0.000682,0.000142,0.009492,0.000223,0.000222,0.165226,0.056593,0.056591,0.010414,0.000001,0.247492,0.000070,0.129590,0.028062,0.005608,0.001596,0.000388,0.000000,0.039962,0.009803,0.005472,0.001354,0.247550,0.247620,0.247903,0.247903,7.684031,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.915962,1.329602,,0.915962,0.915962,,0.992217,,,,,,,,,,,,,,,,,,0.915962,1.329602,0.992217,,,,
5,conesHalfSize,FLOAT,24,64,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,900,750,3,0.000000,0.006445,0.007057,0.001709,0.000621,0.000149,0.009521,0.000206,0.000205,0.170186,0.056327,0.056325,0.010696,0.000001,0.253930,0.000072,0.133077,0.028839,0.006133,0.001728,0.000459,0.000000,0.040069,0.009774,0.004461,0.002165,0.253970,0.254042,0.254328,0.254328,7.684031,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.921667,1.334859,,0.921667,,0.921667,1.012412,,,,,,,,,,,,,,,,,,0.921667,1.334859,1.012412,,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,900,750,3,0.000001,0.020359,0.014991,0.004213,0.001917,0.000325,0.021367,0.000464,0.000463,0.343938,0.132588,0.132586,0.021859,0.000002,0.540844,0.000084,0.264928,0.061879,0.013102,0.003303,0.000767,0.000000,0.089807,0.024843,0.015291,0.003604,0.540882,0.540953,0.541236,0.541236,16.709216,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.888973,1.117892,,0.888973,0.888973,,1.023571,,,,,,,,,,,,,,,,,,0.888973,1.117892,1.023571,,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,900,750,3,0.000001,0.020338,0.014930,0.004271,0.001729,0.000391,0.021267,0.000696,0.000694,0.350612,0.130002,0.130000,0.021595,0.000001,0.544501,0.000085,0.269397,0.061994,0.014436,0.003728,0.000892,0.000000,0.089221,0.023431,0.013513,0.003835,0.544536,0.544606,0.544901,0.544901,16.709216,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.871613,1.113781,,0.871613,,0.871613,1.002085,,,,,,,,,,,,,,,,,,0.871613,1.113781,1.002085,,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,192,144,3,0.000000,0.000017,0.000014,0.000012,0.000010,0.000009,0.000044,0.000012,0.000012,0.000361,0.000134,0.000133,0.000020,0.000000,0.000579,0.000007,0.000165,0.000065,0.000041,0.000046,0.000039,0.000000,0.000061,0.000026,0.000022,0.000019,0.000596,0.000603,0.000608,0.000608,0.007094,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,1.248087,1.565276,1.248087,,1.248087,,1.056193,,,,,,,,,,1.248087,1.565276,1.056193,,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,192,144,3,0.000000,0.000019,0.000015,0.000013,0.000010,0.000009,0.000047,0.000015,0.000014,0.000689,0.000113,0.000112,0.000024,0.000000,0.000910,0.000009,0.000374,0.000133,0.000069,0.000057,0.000044,0.000000,0.000044,0.000025,0.000022,0.000017,0.000927,0.000935,0.000941,0.000941,0.007094,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,2.230844,1.590058,2.230844,,,2.230844,1.039046,,,,,,,,,,2.230844,1.590058,1.039046,,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000126,0.000087,0.000025,0.000015,0.000013,0.000139,0.000028,0.000027,0.002776,0.001128,0.001128,0.000253,0.000000,0.004428,0.000014,0.002001,0.000434,0.000129,0.000066,0.000068,0.000000,0.000792,0.000236,0.000063,0.000044,0.004448,0.004462,0.004493,0.004493,0.079430,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.855855,1.536112,0.855855,,0.855855,,1.042544,,,,,,,,,,0.855855,1.536112,1.042544,,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000130,0.000101,0.000028,0.000017,0.000011,0.000157,0.000026,0.000026,0.004432,0.001079,0.001078,0.000253,0.000000,0.006077,0.000013,0.003403,0.000661,0.000190,0.000097,0.000081,0.000000,0.000796,0.000200,0.000047,0.000039,0.006100,0.006113,0.006158,0.006158,0.079430,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.989774,1.545718,0.989774,,,0.989774,1.029075,,,,,,,,,,0.989774,1.545718,1.029075,,,,
2,venus,DOUBLE,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000245,0.000211,0.000051,0.000016,0.000010,0.000287,0.000014,0.000013,0.007856,0.001863,0.001862,0.000549,0.000000,0.010794,0.000017,0.006282,0.001098,0.000272,0.000125,0.000083,0.000000,0.001430,0.000310,0.000066,0.000056,0.010820,0.010837,0.010888,0.010888,0.206252,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.547478,2.109320,0.547478,,0.547478,,0.991410,,,,,,,,,,0.547478,2.109320,0.991410,,,,
2,venus,DOUBLE,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000255,0.000278,0.000050,0.000015,0.000009,0.000349,0.000013,0.000013,0.014645,0.001823,0.001822,0.000532,0.000000,0.017586,0.000018,0.011794,0.002080,0.000459,0.000198,0.000114,0.000000,0.001404,0.000301,0.000083,0.000041,0.017609,0.017627,0.017689,0.017689,0.206252,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.544095,2.096268,0.544095,,,0.544095,1.022149,,,,,,,,,,0.544095,2.096268,1.022149,,,,
3,barn1,DOUBLE,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000298,0.000357,0.000074,0.000018,0.000011,0.000457,0.000021,0.000020,0.015503,0.002287,0.002286,0.000735,0.000001,0.019172,0.000022,0.011679,0.003095,0.000436,0.000163,0.000121,0.000000,0.001459,0.000608,0.000152,0.000067,0.019203,0.019225,0.019284,0.019284,0.390520,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,0.611930,1.641464,,,0.611930,,0.964335,,,,,,,,,,0.611930,1.641464,0.964335,,,,
3,barn1,DOUBLE,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000316,0.000344,0.000071,0.000018,0.000011,0.000441,0.000021,0.000021,0.019058,0.002205,0.002205,0.000742,0.000000,0.022752,0.000020,0.014252,0.003831,0.000591,0.000241,0.000158,0.000000,0.001419,0.000568,0.000153,0.000067,0.022787,0.022807,0.022864,0.022864,0.390520,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,0.685948,1.651578,,,,0.685948,0.987044,,,,,,,,,,0.685948,1.651578,0.987044,,,,
