Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000016,0.000013,0.000015,0.000011,0.000009,0.000048,0.000028,0.000028,0.000429,0.000111,0.000111,0.000020,0.000000,0.000795,0.000008,0.000189,0.000089,0.000042,0.000048,0.000041,0.000000,0.000042,0.000026,0.000022,0.000023,0.000813,0.000821,0.000827,0.000827,0.006955,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,1.123604,1.596586,1.123604,,1.123604,,1.292190,,,,1.123604,1.596586,1.292190,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000019,0.000014,0.000012,0.000011,0.000009,0.000046,0.000016,0.000015,0.000675,0.000127,0.000126,0.000023,0.000000,0.000898,0.000008,0.000384,0.000130,0.000072,0.000060,0.000042,0.000000,0.000043,0.000026,0.000022,0.000019,0.000913,0.000921,0.000926,0.000926,0.006955,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,2.095536,1.621864,2.095536,,,2.095536,0.960769,,,,2.095536,1.621864,0.960769,,
1,tsukubaSet,DOUBLE,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000124,0.000068,0.000021,0.000017,0.000013,0.000117,0.000041,0.000041,0.002634,0.001033,0.001033,0.000256,0.000000,0.004198,0.000013,0.002027,0.000337,0.000119,0.000060,0.000067,0.000000,0.000768,0.000186,0.000047,0.000039,0.004217,0.004229,0.004260,0.004260,0.078440,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,0.860847,1.555489,0.860847,,0.860847,,0.994280,,,,0.860847,1.555489,0.994280,,
1,tsukubaSet,DOUBLE,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000129,0.000078,0.000022,0.000018,0.000012,0.000129,0.000029,0.000028,0.004356,0.001058,0.001057,0.000257,0.000000,0.005955,0.000026,0.003393,0.000574,0.000190,0.000107,0.000089,0.000000,0.000780,0.000183,0.000057,0.000039,0.005974,0.005987,0.006018,0.006018,0.078440,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,0.975980,1.565217,0.975980,,,0.975980,0.991650,,,,0.975980,1.565217,0.991650,,
2,venus,DOUBLE,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000225,0.000239,0.000042,0.000013,0.000009,0.000302,0.000013,0.000013,0.007344,0.001799,0.001798,0.000546,0.000000,0.010208,0.000018,0.005787,0.001096,0.000244,0.000124,0.000079,0.000000,0.001400,0.000293,0.000065,0.000040,0.010237,0.010255,0.010310,0.010310,0.207130,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,0.574641,2.100379,0.574641,,0.574641,,0.985371,,,,0.574641,2.100379,0.985371,,
2,venus,DOUBLE,24,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,434,383,3,0.000000,0.000254,0.000175,0.000039,0.000013,0.000009,0.000235,0.000014,0.000014,0.013264,0.001638,0.001638,0.000489,0.000000,0.015896,0.000019,0.010726,0.001800,0.000450,0.000186,0.000100,0.000000,0.001171,0.000364,0.000073,0.000030,0.015920,0.015939,0.015992,0.015992,0.207130,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,0.583305,2.087383,0.583305,,,0.583305,0.990642,,,,0.583305,2.087383,0.990642,,
3,barn1,DOUBLE,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000321,0.000350,0.000067,0.000018,0.000011,0.000443,0.000021,0.000020,0.015431,0.002286,0.002285,0.000736,0.000000,0.019220,0.000020,0.011614,0.003121,0.000422,0.000173,0.000127,0.000000,0.001486,0.000580,0.000151,0.000067,0.019253,0.019273,0.019331,0.019331,0.392380,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,0.603088,1.633683,,,0.603088,,0.952724,,,,0.603088,1.633683,0.952724,,
3,barn1,DOUBLE,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000324,0.000355,0.000070,0.000018,0.000012,0.000454,0.000021,0.000020,0.019077,0.002275,0.002274,0.000737,0.000000,0.022858,0.000019,0.014150,0.003876,0.000598,0.000229,0.000159,0.000000,0.001489,0.000569,0.000161,0.000071,0.022888,0.022908,0.022971,0.022971,0.392380,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,0.690822,1.643750,,,,0.690822,0.998728,,,,0.690822,1.643750,0.998728,,
4,conesQuarterSize,DOUBLE,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000001,0.000992,0.000970,0.000227,0.000072,0.000022,0.001289,0.000038,0.000036,0.032697,0.009223,0.009221,0.001841,0.000001,0.046117,0.000023,0.025499,0.005603,0.001074,0.000294,0.000273,0.000000,0.006358,0.002108,0.000625,0.000142,0.046156,0.046179,0.046249,0.046249,0.864503,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,1.071979,1.518710,,1.071979,1.071979,,1.016307,,,,1.071979,1.518710,1.016307,,
4,conesQuarterSize,DOUBLE,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000001,0.000919,0.000951,0.000241,0.000073,0.000022,0.001280,0.000036,0.000036,0.036827,0.008739,0.008737,0.001828,0.000001,0.049611,0.000023,0.028469,0.006419,0.001296,0.000357,0.000298,0.000000,0.005914,0.002076,0.000636,0.000136,0.049650,0.049673,0.049741,0.049741,0.864503,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,0.998520,1.509803,,0.998520,,0.998520,0.989130,,,,0.998520,1.509803,0.989130,,
