Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000016,0.000012,0.000009,0.000011,0.000009,0.000041,0.000011,0.000011,0.000266,0.000119,0.000119,0.000016,0.000000,0.000469,0.000007,0.000094,0.000047,0.000043,0.000049,0.000036,0.000000,0.000042,0.000024,0.000022,0.000031,0.000486,0.000494,0.000499,0.000499,0.007047,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.148619,1.486149,1.148619,,1.148619,,0.988937,,,,,,,,,,,,,,,,,,,,,,,,1.148619,1.486149,0.988937,,,,
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000018,0.000012,0.000012,0.000010,0.000009,0.000042,0.000017,0.000017,0.000430,0.000118,0.000117,0.000015,0.000000,0.000662,0.000007,0.000202,0.000084,0.000053,0.000055,0.000038,0.000000,0.000030,0.000023,0.000022,0.000035,0.000677,0.000684,0.000689,0.000689,0.007047,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.789309,1.552019,1.789309,,,1.789309,0.953757,,,,,,,,,,,,,,,,,,,,,,,,1.789309,1.552019,0.953757,,,,
1,tsukubaSet,FLOAT,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000091,0.000053,0.000016,0.000016,0.000014,0.000099,0.000026,0.000025,0.001200,0.000712,0.000711,0.000106,0.000000,0.002232,0.000013,0.000793,0.000197,0.000077,0.000059,0.000073,0.000000,0.000556,0.000080,0.000042,0.000043,0.002251,0.002264,0.002294,0.002294,0.079964,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.985223,1.492414,0.985223,,0.985223,,1.004992,,,,,,,,,,,,,,,,,,,,,,,,0.985223,1.492414,1.004992,,,,
1,tsukubaSet,FLOAT,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000115,0.000051,0.000017,0.000015,0.000014,0.000096,0.000040,0.000040,0.001861,0.000722,0.000722,0.000104,0.000000,0.002916,0.000013,0.001254,0.000317,0.000128,0.000080,0.000100,0.000000,0.000559,0.000084,0.000042,0.000037,0.002935,0.002949,0.002979,0.002979,0.079964,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.164243,1.525429,1.164243,,,1.164243,1.001003,,,,,,,,,,,,,,,,,,,,,,,,1.164243,1.525429,1.001003,,,,
2,venus,FLOAT,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000173,0.000096,0.000029,0.000012,0.000010,0.000146,0.000013,0.000013,0.003500,0.000993,0.000993,0.000273,0.000000,0.005079,0.000017,0.002702,0.000471,0.000170,0.000082,0.000078,0.000000,0.000759,0.000140,0.000070,0.000041,0.005097,0.005112,0.005160,0.005160,0.207343,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.714292,2.115151,0.714292,,0.714292,,0.996039,,,,,,,,,,,,,,,,,,,,,,,,0.714292,2.115151,0.996039,,,,
2,venus,FLOAT,24,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,434,383,3,0.000000,0.000188,0.000155,0.000031,0.000013,0.000010,0.000207,0.000013,0.000013,0.006326,0.001028,0.001027,0.000256,0.000000,0.008010,0.000017,0.004963,0.000903,0.000253,0.000117,0.000076,0.000000,0.000796,0.000140,0.000057,0.000037,0.008031,0.008048,0.008096,0.008096,0.207343,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.683032,2.110728,0.683032,,,0.683032,0.983816,,,,,,,,,,,,,,,,,,,,,,,,0.683032,2.110728,0.983816,,,,
3,barn1,FLOAT,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000288,0.000163,0.000039,0.000024,0.000011,0.000237,0.000014,0.000013,0.007570,0.002031,0.002030,0.000400,0.000000,0.010518,0.000018,0.006193,0.000881,0.000253,0.000116,0.000117,0.000000,0.001524,0.000281,0.000176,0.000051,0.010543,0.010561,0.010639,0.010639,0.390101,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.542774,1.639537,,,0.542774,,1.006739,,,,,,,,,,,,,,,,,,,,,,,,0.542774,1.639537,1.006739,,,,
3,barn1,FLOAT,24,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,432,381,3,0.000000,0.000290,0.000142,0.000056,0.000015,0.000010,0.000223,0.000011,0.000010,0.010062,0.001507,0.001506,0.000376,0.000000,0.012404,0.000017,0.007933,0.001489,0.000377,0.000157,0.000079,0.000000,0.001064,0.000265,0.000129,0.000049,0.012426,0.012442,0.012492,0.012492,0.390101,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.546416,1.624505,,,,0.546416,1.019207,,,,,,,,,,,,,,,,,,,,,,,,0.546416,1.624505,1.019207,,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000000,0.000543,0.000530,0.000232,0.000073,0.000016,0.000851,0.000027,0.000027,0.014465,0.004898,0.004897,0.000785,0.000000,0.021484,0.000022,0.011139,0.002357,0.000532,0.000196,0.000241,0.000000,0.003052,0.001299,0.000446,0.000098,0.021519,0.021541,0.021608,0.021608,0.855710,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.767552,1.545711,,0.767552,0.767552,,0.997228,,,,,,,,,,,,,,,,,,,,,,,,0.767552,1.545711,0.997228,,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000000,0.000636,0.000538,0.000248,0.000070,0.000018,0.000867,0.000026,0.000025,0.016718,0.004961,0.004960,0.000757,0.000000,0.023957,0.000022,0.012803,0.002779,0.000692,0.000208,0.000270,0.000000,0.003045,0.001396,0.000430,0.000098,0.023989,0.024012,0.024078,0.024078,0.855710,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.755206,1.558355,,0.755206,,0.755206,0.995929,,,,,,,,,,,,,,,,,,,,,,,,0.755206,1.558355,0.995929,,,,
