Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX512 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,HALF,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,192,144,3,0.000000,0.000018,0.000012,0.000014,0.000011,0.000010,0.000047,0.000012,0.000012,0.000297,0.000119,0.000119,0.000018,0.000000,0.000506,0.000013,0.000066,0.000050,0.000084,0.000050,0.000041,0.000000,0.000028,0.000026,0.000033,0.000033,0.000523,0.000535,0.000541,0.000541,0.007610,,0.896934,0.896934,0.759440,0.119900,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003472,0.003472,0.002242,0.000362,0.000000,0.000000,1.461498,1.335626,1.461498,,1.461498,,1.109711,,,1.461498,1.335626,1.109711,,
0,tsukubaSetHalfSize,HALF,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000023,0.000015,0.000013,0.000012,0.000009,0.000050,0.000013,0.000013,0.000512,0.000110,0.000110,0.000016,0.000000,0.000713,0.000008,0.000211,0.000093,0.000052,0.000088,0.000054,0.000000,0.000032,0.000022,0.000026,0.000027,0.000729,0.000737,0.000742,0.000742,0.007610,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.699183,1.356138,1.699183,,,1.699183,1.021062,,,1.699183,1.356138,1.021062,,
1,tsukubaSet,HALF,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000095,0.000043,0.000017,0.000023,0.000026,0.000110,0.000026,0.000026,0.000807,0.000325,0.000325,0.000036,0.000000,0.001367,0.000013,0.000394,0.000109,0.000063,0.000150,0.000084,0.000000,0.000193,0.000049,0.000040,0.000044,0.001383,0.001395,0.001425,0.001425,0.076629,,1.490307,1.455169,0.398953,0.223009,0.073712,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004494,0.004494,0.001890,0.000479,0.000326,0.000000,1.474389,1.634669,1.474389,,1.474389,,1.012551,,,1.474389,1.634669,1.012551,,
1,tsukubaSet,HALF,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000115,0.000040,0.000015,0.000019,0.000014,0.000089,0.000023,0.000023,0.001466,0.000323,0.000322,0.000034,0.000000,0.002050,0.000011,0.000606,0.000201,0.000096,0.000359,0.000180,0.000000,0.000188,0.000047,0.000040,0.000045,0.002071,0.002111,0.002186,0.002186,0.076629,,1.490307,1.455169,0.398953,0.223009,0.073712,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004494,0.004494,0.001890,0.000479,0.000326,0.000000,1.410456,1.618787,1.410456,,,1.410456,1.073463,,,1.410456,1.618787,1.073463,,
2,venus,HALF,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000223,0.000074,0.000023,0.000012,0.000008,0.000116,0.000009,0.000009,0.001854,0.000467,0.000466,0.000106,0.000000,0.002747,0.000015,0.001074,0.000296,0.000106,0.000289,0.000093,0.000000,0.000306,0.000105,0.000038,0.000020,0.002768,0.002783,0.002832,0.002832,0.199037,,0.446654,0.423928,0.883956,0.025261,0.013993,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002238,0.002238,0.001678,0.000126,0.000066,0.000000,1.245150,2.211452,1.245150,,1.245150,,0.999289,,,1.245150,2.211452,0.999289,,
2,venus,HALF,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000219,0.000077,0.000025,0.000012,0.000009,0.000123,0.000012,0.000012,0.003161,0.000471,0.000470,0.000107,0.000000,0.004093,0.000016,0.002029,0.000508,0.000173,0.000342,0.000113,0.000000,0.000310,0.000094,0.000049,0.000019,0.004113,0.004130,0.004177,0.004177,0.199037,,0.446654,0.423928,0.883956,0.025261,0.013993,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002238,0.002238,0.001678,0.000126,0.000066,0.000000,0.977948,2.211336,0.977948,,,0.977948,1.002492,,,0.977948,2.211336,1.002492,,
3,barn1,HALF,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000285,0.000128,0.000073,0.000013,0.000009,0.000222,0.000013,0.000013,0.003235,0.001451,0.001450,0.000179,0.000000,0.005368,0.000016,0.002024,0.000507,0.000179,0.000393,0.000127,0.000000,0.000864,0.000411,0.000147,0.000043,0.005387,0.005404,0.005451,0.005451,0.388815,,0.500237,0.486434,0.850230,0.039097,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001604,0.001604,0.000784,0.000140,0.000103,0.000000,0.737937,1.656196,,,0.737937,,0.974518,,,0.737937,1.656196,0.974518,,
3,barn1,HALF,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000334,0.000111,0.000083,0.000013,0.000009,0.000216,0.000012,0.000012,0.004342,0.001428,0.001427,0.000187,0.000000,0.006527,0.000016,0.002754,0.000718,0.000255,0.000442,0.000146,0.000000,0.000860,0.000398,0.000128,0.000044,0.006548,0.006563,0.006610,0.006610,0.388815,,0.500237,0.486434,0.850230,0.039097,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001604,0.001604,0.000784,0.000140,0.000103,0.000000,0.825865,1.658577,,,,0.825865,0.999952,,,0.825865,1.658577,0.999952,,
4,conesQuarterSize,HALF,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.001251,0.000828,0.000223,0.000043,0.000011,0.001104,0.000025,0.000024,0.008002,0.004626,0.004626,0.000444,0.000000,0.015418,0.000019,0.005129,0.001151,0.000310,0.001075,0.000320,0.000000,0.003173,0.001038,0.000338,0.000082,0.015441,0.015459,0.015511,0.015511,0.856229,,2.316924,1.475779,0.790524,0.157505,0.109879,0.073576,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.040545,0.035994,0.010643,0.005683,0.000741,0.000622,0.617107,1.539437,,0.617107,0.617107,,0.999682,,,0.617107,1.539437,0.999682,,
4,conesQuarterSize,HALF,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.001247,0.000744,0.000213,0.000045,0.000011,0.001013,0.000025,0.000025,0.009308,0.004877,0.004877,0.000430,0.000000,0.016875,0.000018,0.006049,0.001379,0.000355,0.001202,0.000355,0.000000,0.003438,0.001029,0.000327,0.000083,0.016899,0.016916,0.016968,0.016968,0.856229,,2.316924,1.475779,0.790524,0.157505,0.109879,0.073576,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.040545,0.035994,0.010643,0.005683,0.000741,0.000622,0.672121,1.546444,,0.672121,,0.672121,1.018229,,,0.672121,1.546444,1.018229,,
