Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX512 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,HALF,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000019,0.000014,0.000013,0.000009,0.000009,0.000045,0.000013,0.000013,0.000288,0.000120,0.000120,0.000015,0.000000,0.000509,0.000008,0.000104,0.000055,0.000037,0.000053,0.000039,0.000000,0.000026,0.000022,0.000032,0.000031,0.000528,0.000536,0.000541,0.000541,0.007710,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.317570,1.318352,1.317570,,1.317570,,1.001973,,,1.317570,1.318352,1.001973,,
0,tsukubaSetHalfSize,HALF,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000021,0.000014,0.000013,0.000010,0.000009,0.000046,0.000013,0.000013,0.000511,0.000112,0.000111,0.000019,0.000000,0.000719,0.000008,0.000212,0.000085,0.000056,0.000085,0.000068,0.000000,0.000026,0.000024,0.000027,0.000029,0.000734,0.000742,0.000747,0.000747,0.007710,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.686636,1.338599,1.686636,,,1.686636,1.020103,,,1.686636,1.338599,1.020103,,
1,tsukubaSet,HALF,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000102,0.000041,0.000015,0.000017,0.000013,0.000085,0.000023,0.000023,0.000771,0.000327,0.000327,0.000040,0.000000,0.001339,0.000011,0.000355,0.000116,0.000063,0.000151,0.000077,0.000000,0.000187,0.000061,0.000041,0.000041,0.001359,0.001370,0.001400,0.001400,0.077112,,1.490307,1.455169,0.398953,0.223009,0.073712,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004494,0.004494,0.001890,0.000479,0.000326,0.000000,1.498366,1.624421,1.498366,,1.498366,,1.011082,,,1.498366,1.624421,1.011082,,
1,tsukubaSet,HALF,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000104,0.000041,0.000015,0.000018,0.000012,0.000087,0.000024,0.000024,0.001392,0.000326,0.000326,0.000037,0.000000,0.001972,0.000012,0.000627,0.000189,0.000101,0.000344,0.000145,0.000000,0.000182,0.000046,0.000041,0.000051,0.001990,0.002002,0.002031,0.002031,0.077112,,1.490307,1.455169,0.398953,0.223009,0.073712,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004494,0.004494,0.001890,0.000479,0.000326,0.000000,1.400822,1.608639,1.400822,,,1.400822,0.990373,,,1.400822,1.608639,0.990373,,
2,venus,HALF,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000197,0.000077,0.000023,0.000024,0.000008,0.000132,0.000010,0.000010,0.001874,0.000512,0.000512,0.000109,0.000000,0.002815,0.000016,0.001051,0.000304,0.000114,0.000291,0.000098,0.000000,0.000325,0.000111,0.000044,0.000038,0.002834,0.002849,0.002897,0.002897,0.197945,,0.446654,0.423928,0.883956,0.025261,0.013993,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002238,0.002238,0.001678,0.000126,0.000066,0.000000,1.223060,2.223650,1.223060,,1.223060,,1.004044,,,1.223060,2.223650,1.004044,,
2,venus,HALF,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000214,0.000090,0.000025,0.000011,0.000008,0.000134,0.000010,0.000010,0.003111,0.000438,0.000437,0.000109,0.000000,0.004002,0.000016,0.001931,0.000536,0.000176,0.000332,0.000137,0.000000,0.000288,0.000095,0.000036,0.000019,0.004023,0.004037,0.004084,0.004084,0.197945,,0.446654,0.423928,0.883956,0.025261,0.013993,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002238,0.002238,0.001678,0.000126,0.000066,0.000000,0.993701,2.223534,0.993701,,,0.993701,0.996070,,,0.993701,2.223534,0.996070,,
3,barn1,HALF,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000288,0.000121,0.000073,0.000013,0.000009,0.000216,0.000013,0.000013,0.003259,0.001444,0.001444,0.000186,0.000000,0.005399,0.000015,0.002038,0.000504,0.000184,0.000405,0.000129,0.000000,0.000850,0.000409,0.000145,0.000042,0.005420,0.005435,0.005481,0.005481,0.390899,,0.500237,0.486434,0.850230,0.039097,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001604,0.001604,0.000784,0.000140,0.000103,0.000000,0.762759,1.647365,,,0.762759,,1.012939,,,0.762759,1.647365,1.012939,,
3,barn1,HALF,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000289,0.000108,0.000077,0.000013,0.000009,0.000208,0.000012,0.000012,0.004356,0.001454,0.001453,0.000185,0.000000,0.006498,0.000017,0.002790,0.000711,0.000236,0.000445,0.000163,0.000000,0.000861,0.000406,0.000155,0.000044,0.006519,0.006536,0.006597,0.006597,0.390899,,0.500237,0.486434,0.850230,0.039097,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001604,0.001604,0.000784,0.000140,0.000103,0.000000,0.831857,1.649734,,,,0.831857,1.005203,,,0.831857,1.649734,1.005203,,
4,conesQuarterSize,HALF,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.001240,0.000877,0.000232,0.000043,0.000011,0.001163,0.000026,0.000026,0.008096,0.004691,0.004691,0.000428,0.000000,0.015602,0.000017,0.005170,0.001228,0.000309,0.001076,0.000316,0.000000,0.003232,0.001028,0.000349,0.000082,0.015621,0.015638,0.015688,0.015688,0.854387,,2.316924,1.475779,0.790524,0.157505,0.109879,0.073576,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.040545,0.035994,0.010643,0.005683,0.000741,0.000622,0.613096,1.542755,,0.613096,0.613096,,1.004512,,,0.613096,1.542755,1.004512,,
4,conesQuarterSize,HALF,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.001231,0.000834,0.000220,0.000044,0.000010,0.001108,0.000027,0.000027,0.009524,0.004668,0.004668,0.000450,0.000000,0.016990,0.000017,0.006081,0.001470,0.000401,0.001220,0.000353,0.000000,0.003221,0.001026,0.000336,0.000094,0.017014,0.017030,0.017081,0.017081,0.854387,,2.316924,1.475779,0.790524,0.157505,0.109879,0.073576,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.040545,0.035994,0.010643,0.005683,0.000741,0.000622,0.655119,1.549777,,0.655119,,0.655119,0.999096,,,0.655119,1.549777,0.999096,,
