Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over AVX512 CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over AVX512 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX512 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000015,0.000011,0.000012,0.000010,0.000009,0.000043,0.000012,0.000012,0.000275,0.000114,0.000113,0.000015,0.000000,0.000464,0.000008,0.000091,0.000061,0.000039,0.000047,0.000038,0.000000,0.000030,0.000025,0.000024,0.000031,0.000483,0.000491,0.000496,0.000496,0.006992,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.294347,1.497798,1.294347,,1.294347,,1.107769,,,,,,,,,,,,,,,,,,,,,1.294347,1.497798,1.107769,,,,
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000017,0.000012,0.000012,0.000010,0.000009,0.000043,0.000015,0.000015,0.000444,0.000108,0.000107,0.000024,0.000000,0.000658,0.000008,0.000200,0.000085,0.000057,0.000060,0.000041,0.000000,0.000030,0.000023,0.000025,0.000027,0.000674,0.000706,0.000712,0.000712,0.006992,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.980572,1.564185,1.980572,,,1.980572,1.090989,,,,,,,,,,,,,,,,,,,,,1.980572,1.564185,1.090989,,,,
1,tsukubaSet,FLOAT,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000102,0.000048,0.000017,0.000015,0.000014,0.000094,0.000027,0.000027,0.001183,0.000715,0.000714,0.000102,0.000000,0.002204,0.000013,0.000772,0.000183,0.000080,0.000058,0.000076,0.000000,0.000552,0.000080,0.000043,0.000041,0.002222,0.002234,0.002265,0.002265,0.080901,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.997835,1.475120,0.997835,,0.997835,,1.004707,,,,,,,,,,,,,,,,,,,,,0.997835,1.475120,1.004707,,,,
1,tsukubaSet,FLOAT,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000095,0.000052,0.000016,0.000016,0.000015,0.000098,0.000037,0.000037,0.001804,0.000695,0.000694,0.000105,0.000000,0.002816,0.000013,0.001237,0.000291,0.000125,0.000092,0.000083,0.000000,0.000520,0.000098,0.000040,0.000041,0.002843,0.002854,0.002887,0.002887,0.080901,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.188355,1.507752,1.188355,,,1.188355,0.990151,,,,,,,,,,,,,,,,,,,,,1.188355,1.507752,0.990151,,,,
2,venus,FLOAT,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000172,0.000149,0.000029,0.000012,0.000009,0.000199,0.000013,0.000013,0.003525,0.001066,0.001065,0.000255,0.000000,0.005238,0.000017,0.002733,0.000489,0.000178,0.000090,0.000070,0.000000,0.000775,0.000164,0.000099,0.000038,0.005258,0.005275,0.005324,0.005324,0.206996,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.720273,2.118697,0.720273,,0.720273,,1.036224,,,,,,,,,,,,,,,,,,,,,0.720273,2.118697,1.036224,,,,
2,venus,FLOAT,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000193,0.000122,0.000032,0.000012,0.000010,0.000177,0.000014,0.000014,0.006641,0.001044,0.001043,0.000253,0.000000,0.008301,0.000017,0.005246,0.000928,0.000288,0.000123,0.000095,0.000000,0.000753,0.000157,0.000095,0.000037,0.008320,0.008335,0.008383,0.008383,0.206996,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.661996,2.114267,0.661996,,,0.661996,0.987269,,,,,,,,,,,,,,,,,,,,,0.661996,2.114267,0.987269,,,,
3,barn1,FLOAT,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000281,0.000170,0.000039,0.000024,0.000010,0.000242,0.000025,0.000025,0.007568,0.002044,0.002043,0.000409,0.000000,0.010550,0.000017,0.006201,0.000872,0.000259,0.000121,0.000103,0.000000,0.001545,0.000295,0.000168,0.000053,0.010573,0.010589,0.010638,0.010638,0.391873,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.586309,1.632121,,,0.586309,,1.087390,,,,,,,,,,,,,,,,,,,,,0.586309,1.632121,1.087390,,,,
3,barn1,FLOAT,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000270,0.000188,0.000041,0.000026,0.000011,0.000264,0.000015,0.000014,0.009708,0.002065,0.002064,0.000413,0.000000,0.012706,0.000018,0.007775,0.001310,0.000382,0.000148,0.000128,0.000000,0.001558,0.000280,0.000165,0.000064,0.012726,0.012742,0.012790,0.012790,0.391873,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.524937,1.617157,,,,0.524937,1.002507,,,,,,,,,,,,,,,,,,,,,0.524937,1.617157,1.002507,,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000001,0.000559,0.000539,0.000250,0.000067,0.000016,0.000869,0.000024,0.000024,0.014411,0.004862,0.004861,0.000813,0.000001,0.021473,0.000021,0.011120,0.002343,0.000526,0.000189,0.000233,0.000000,0.003057,0.001289,0.000423,0.000108,0.021505,0.021527,0.021593,0.021593,0.861922,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.771644,1.534570,,0.771644,0.771644,,1.001838,,,,,,,,,,,,,,,,,,,,,0.771644,1.534570,1.001838,,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.000553,0.000540,0.000247,0.000079,0.000017,0.000865,0.000026,0.000025,0.016793,0.004913,0.004911,0.000781,0.000001,0.023867,0.000021,0.012959,0.002788,0.000631,0.000203,0.000266,0.000000,0.003153,0.001241,0.000423,0.000094,0.023900,0.023920,0.023985,0.023985,0.861922,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.756315,1.547123,,0.756315,,0.756315,0.993526,,,,,,,,,,,,,,,,,,,,,0.756315,1.547123,0.993526,,,,
