Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,192,144,3,0.000000,0.000017,0.000014,0.000012,0.000010,0.000009,0.000045,0.000011,0.000011,0.000292,0.000114,0.000113,0.000016,0.000000,0.000488,0.000013,0.000093,0.000049,0.000039,0.000049,0.000040,0.000000,0.000031,0.000023,0.000023,0.000037,0.000504,0.000517,0.000523,0.000523,0.006852,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.098920,1.528524,1.098920,,1.098920,,0.991031,,,,,,,,,,,,,,,,,,1.098920,1.528524,0.991031,,,,
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,192,144,3,0.000000,0.000018,0.000011,0.000012,0.000011,0.000009,0.000044,0.000016,0.000015,0.000468,0.000112,0.000111,0.000016,0.000000,0.000674,0.000008,0.000198,0.000086,0.000065,0.000058,0.000043,0.000000,0.000034,0.000024,0.000024,0.000025,0.000690,0.000698,0.000703,0.000703,0.006852,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.987424,1.596273,1.987424,,,1.987424,1.080755,,,,,,,,,,,,,,,,,,1.987424,1.596273,1.080755,,,,
1,tsukubaSet,FLOAT,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000102,0.000046,0.000015,0.000017,0.000014,0.000091,0.000022,0.000022,0.001207,0.000719,0.000718,0.000103,0.000000,0.002244,0.000014,0.000798,0.000177,0.000077,0.000057,0.000079,0.000000,0.000561,0.000078,0.000044,0.000038,0.002261,0.002273,0.002303,0.002303,0.081899,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999708,1.457155,0.999708,,0.999708,,1.023451,,,,,,,,,,,,,,,,,,0.999708,1.457155,1.023451,,,,
1,tsukubaSet,FLOAT,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000122,0.000050,0.000017,0.000016,0.000015,0.000098,0.000038,0.000038,0.001828,0.000717,0.000716,0.000101,0.000000,0.002899,0.000012,0.001227,0.000300,0.000122,0.000084,0.000104,0.000000,0.000556,0.000080,0.000043,0.000040,0.002919,0.002931,0.002961,0.002961,0.081899,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.158935,1.489390,1.158935,,,1.158935,0.990489,,,,,,,,,,,,,,,,,,1.158935,1.489390,0.990489,,,,
2,venus,FLOAT,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000190,0.000091,0.000028,0.000012,0.000009,0.000140,0.000009,0.000009,0.003491,0.001026,0.001025,0.000263,0.000000,0.005107,0.000016,0.002736,0.000433,0.000184,0.000090,0.000070,0.000000,0.000766,0.000137,0.000088,0.000036,0.005127,0.005143,0.005188,0.005188,0.206698,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.707843,2.121744,0.707843,,0.707843,,0.992439,,,,,,,,,,,,,,,,,,0.707843,2.121744,0.992439,,,,
2,venus,FLOAT,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000228,0.000080,0.000027,0.000012,0.000010,0.000129,0.000010,0.000009,0.006955,0.001033,0.001033,0.000263,0.000000,0.008629,0.000017,0.005574,0.000874,0.000291,0.000122,0.000099,0.000000,0.000768,0.000139,0.000088,0.000037,0.008650,0.008667,0.008712,0.008712,0.206698,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.640200,2.117307,0.640200,,,0.640200,0.992209,,,,,,,,,,,,,,,,,,0.640200,2.117307,0.992209,,,,
3,barn1,FLOAT,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000265,0.000150,0.000039,0.000024,0.000010,0.000223,0.000010,0.000010,0.007584,0.002040,0.002039,0.000401,0.000000,0.010491,0.000017,0.006214,0.000862,0.000278,0.000120,0.000115,0.000000,0.001556,0.000270,0.000172,0.000051,0.010511,0.010528,0.010574,0.010574,0.397884,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.608787,1.607468,,,0.608787,,1.122268,,,,,,,,,,,,,,,,,,0.608787,1.607468,1.122268,,,,
3,barn1,FLOAT,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000342,0.000176,0.000039,0.000025,0.000010,0.000250,0.000015,0.000015,0.009499,0.002038,0.002037,0.000399,0.000000,0.012526,0.000017,0.007658,0.001207,0.000395,0.000151,0.000120,0.000000,0.001535,0.000280,0.000179,0.000052,0.012547,0.012564,0.012611,0.012611,0.397884,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.528236,1.592730,,,,0.528236,0.994648,,,,,,,,,,,,,,,,,,0.528236,1.592730,0.994648,,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.000549,0.000549,0.000244,0.000075,0.000016,0.000868,0.000025,0.000024,0.014478,0.004838,0.004837,0.000781,0.000001,0.021503,0.000022,0.011226,0.002332,0.000504,0.000184,0.000235,0.000000,0.003033,0.001279,0.000439,0.000093,0.021539,0.021561,0.021628,0.021628,0.866115,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.771359,1.527141,,0.771359,0.771359,,1.003099,,,,,,,,,,,,,,,,,,0.771359,1.527141,1.003099,,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.000664,0.000537,0.000226,0.000061,0.000016,0.000837,0.000024,0.000024,0.016746,0.004861,0.004860,0.000792,0.000000,0.023902,0.000021,0.012910,0.002784,0.000617,0.000201,0.000262,0.000000,0.003067,0.001286,0.000423,0.000093,0.023937,0.023958,0.024023,0.024023,0.866115,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.758004,1.539633,,0.758004,,0.758004,0.997348,,,,,,,,,,,,,,,,,,0.758004,1.539633,0.997348,,,,
