Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,HALF,24,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,192,144,3,0.000000,0.000019,0.000014,0.000013,0.000010,0.000008,0.000045,0.000008,0.000008,0.000242,0.000117,0.000116,0.000016,0.000000,0.000476,0.000007,0.000104,0.000051,0.000031,0.000026,0.000032,0.000000,0.000026,0.000036,0.000027,0.000027,0.000496,0.000510,0.000515,0.000515,0.007475,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.651401,1.359736,1.651401,,1.651401,,1.194896,,,,1.651401,1.359736,1.194896,,
0,tsukubaSetHalfSize,HALF,24,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,192,144,3,0.000000,0.000021,0.000013,0.000012,0.000009,0.000007,0.000043,0.000008,0.000008,0.000480,0.000115,0.000114,0.000019,0.000000,0.000684,0.000008,0.000248,0.000094,0.000055,0.000034,0.000051,0.000000,0.000032,0.000030,0.000028,0.000025,0.000703,0.000724,0.000729,0.000729,0.007475,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.762995,1.380619,1.762995,,,1.762995,1.040350,,,,1.762995,1.380619,1.040350,,
1,tsukubaSet,HALF,24,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,384,288,3,0.000000,0.000117,0.000066,0.000022,0.000022,0.000011,0.000121,0.000020,0.000020,0.001217,0.000322,0.000322,0.000053,0.000000,0.001879,0.000011,0.000811,0.000235,0.000086,0.000049,0.000038,0.000000,0.000176,0.000048,0.000057,0.000040,0.001898,0.001909,0.001938,0.001938,0.075228,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,1.083044,1.665106,1.083044,,1.083044,,1.011451,,,,1.083044,1.665106,1.011451,,
1,tsukubaSet,HALF,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000129,0.000067,0.000023,0.000022,0.000013,0.000126,0.000022,0.000022,0.001733,0.000325,0.000324,0.000046,0.000000,0.002388,0.000011,0.001042,0.000309,0.000131,0.000085,0.000153,0.000000,0.000196,0.000047,0.000041,0.000043,0.002408,0.002420,0.002449,0.002449,0.075228,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,1.188611,1.648928,1.188611,,,1.188611,1.013387,,,,1.188611,1.648928,1.013387,,
2,venus,HALF,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000253,0.000132,0.000037,0.000016,0.000010,0.000195,0.000010,0.000010,0.002463,0.000445,0.000444,0.000119,0.000000,0.003467,0.000017,0.001681,0.000437,0.000161,0.000081,0.000096,0.000000,0.000299,0.000094,0.000037,0.000020,0.003490,0.003507,0.003551,0.003551,0.198330,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,0.987714,2.219332,0.987714,,0.987714,,0.994103,,,,0.987714,2.219332,0.994103,,
2,venus,HALF,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000237,0.000127,0.000037,0.000015,0.000010,0.000189,0.000011,0.000011,0.003955,0.000513,0.000513,0.000115,0.000000,0.005014,0.000016,0.002804,0.000697,0.000252,0.000103,0.000113,0.000000,0.000329,0.000116,0.000062,0.000019,0.005032,0.005046,0.005092,0.005092,0.198330,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,0.795817,2.219216,0.795817,,,0.795817,0.994488,,,,0.795817,2.219216,0.994488,,
3,barn1,HALF,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000351,0.000193,0.000109,0.000023,0.000010,0.000330,0.000012,0.000011,0.004325,0.001401,0.001400,0.000197,0.000000,0.006611,0.000015,0.002885,0.000968,0.000245,0.000102,0.000133,0.000000,0.000818,0.000420,0.000128,0.000046,0.006630,0.006645,0.006690,0.006690,0.385968,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,0.629282,1.668408,,,0.629282,,1.019872,,,,0.629282,1.668408,1.019872,,
3,barn1,HALF,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000359,0.000190,0.000097,0.000019,0.000011,0.000316,0.000012,0.000012,0.005445,0.001457,0.001457,0.000193,0.000000,0.007778,0.000015,0.003868,0.001005,0.000322,0.000118,0.000134,0.000000,0.000875,0.000392,0.000158,0.000043,0.007799,0.007814,0.007859,0.007859,0.385968,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,0.685748,1.670807,,,,0.685748,0.987255,,,,0.685748,1.670807,0.987255,,
4,conesQuarterSize,HALF,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000000,0.001238,0.000660,0.000219,0.000044,0.000012,0.000925,0.000026,0.000026,0.009920,0.004610,0.004609,0.000557,0.000000,0.017279,0.000073,0.007374,0.001721,0.000438,0.000172,0.000274,0.000000,0.003169,0.001018,0.000341,0.000081,0.017300,0.017374,0.017422,0.017422,0.842166,,2.332252,1.489943,0.790667,0.159852,0.111081,0.073624,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.023905,0.020840,0.007052,0.003064,0.000421,0.000415,0.550478,1.565142,,0.550478,0.550478,,1.001637,,,,0.550478,1.565142,1.001637,,
4,conesQuarterSize,HALF,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000000,0.001226,0.000852,0.000231,0.000048,0.000013,0.001138,0.000027,0.000027,0.011879,0.004728,0.004727,0.000566,0.000000,0.019563,0.000018,0.008819,0.002040,0.000543,0.000193,0.000331,0.000000,0.003281,0.001012,0.000350,0.000089,0.019584,0.019602,0.019651,0.019651,0.842166,,2.332252,1.489943,0.790667,0.159852,0.111081,0.073624,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.023905,0.020840,0.007052,0.003064,0.000421,0.000415,0.570746,1.572266,,0.570746,,0.570746,1.001366,,,,0.570746,1.572266,1.001366,,
