Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup over AVX256 (w/ float16) CPU vectorization - HALF,Speedup over AVX512 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,HALF,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000020,0.000014,0.000015,0.000010,0.000009,0.000049,0.000013,0.000013,0.000282,0.000105,0.000104,0.000016,0.000000,0.000484,0.000008,0.000093,0.000059,0.000034,0.000051,0.000041,0.000000,0.000026,0.000025,0.000027,0.000026,0.000502,0.000516,0.000522,0.000522,0.007624,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.642582,1.333135,1.642582,,1.642582,,1.204301,,,,,,1.642582,1.333135,1.204301,,
0,tsukubaSetHalfSize,HALF,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000020,0.000016,0.000015,0.000010,0.000010,0.000051,0.000014,0.000014,0.000482,0.000114,0.000113,0.000015,0.000000,0.000698,0.000009,0.000189,0.000083,0.000058,0.000092,0.000057,0.000000,0.000029,0.000026,0.000027,0.000030,0.000726,0.000733,0.000739,0.000739,0.007624,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.747165,1.353609,1.747165,,,1.747165,1.044978,,,,,,1.747165,1.353609,1.044978,,
1,tsukubaSet,HALF,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000118,0.000067,0.000022,0.000022,0.000013,0.000125,0.000023,0.000023,0.001064,0.000325,0.000324,0.000047,0.000000,0.001705,0.000014,0.000658,0.000191,0.000084,0.000052,0.000078,0.000000,0.000193,0.000049,0.000041,0.000042,0.001725,0.001737,0.001767,0.001767,0.076800,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,1.178429,1.631031,1.178429,,1.178429,,1.003434,,,,,,1.178429,1.631031,1.003434,,
1,tsukubaSet,HALF,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000125,0.000075,0.000022,0.000021,0.000013,0.000128,0.000022,0.000022,0.001761,0.000331,0.000330,0.000049,0.000000,0.002420,0.000013,0.001001,0.000316,0.000137,0.000083,0.000171,0.000000,0.000186,0.000054,0.000042,0.000046,0.002438,0.002449,0.002479,0.002479,0.076800,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,1.175781,1.615185,1.175781,,,1.175781,1.014596,,,,,,1.175781,1.615185,1.014596,,
2,venus,HALF,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000247,0.000139,0.000038,0.000015,0.000010,0.000203,0.000012,0.000012,0.002575,0.000481,0.000480,0.000122,0.000000,0.003587,0.000018,0.001751,0.000476,0.000160,0.000077,0.000088,0.000000,0.000311,0.000111,0.000039,0.000019,0.003606,0.003623,0.003674,0.003674,0.199426,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,0.971783,2.207137,0.971783,,0.971783,,1.011750,,,,,,0.971783,2.207137,1.011750,,
2,venus,HALF,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000254,0.000144,0.000038,0.000015,0.000009,0.000206,0.000013,0.000012,0.003979,0.000523,0.000522,0.000110,0.000000,0.005070,0.000016,0.002791,0.000733,0.000241,0.000107,0.000105,0.000000,0.000326,0.000120,0.000047,0.000030,0.005088,0.005102,0.005147,0.005147,0.199426,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,0.781175,2.207022,0.781175,,,0.781175,0.986904,,,,,,0.781175,2.207022,0.986904,,
3,barn1,HALF,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000352,0.000213,0.000103,0.000019,0.000011,0.000345,0.000012,0.000011,0.004239,0.001483,0.001482,0.000178,0.000000,0.006592,0.000016,0.002855,0.000928,0.000249,0.000104,0.000138,0.000000,0.000859,0.000428,0.000152,0.000043,0.006614,0.006630,0.006677,0.006677,0.392042,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,0.615732,1.642560,,,0.615732,,0.996067,,,,,,0.615732,1.642560,0.996067,,
3,barn1,HALF,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000341,0.000105,0.000086,0.000012,0.000009,0.000211,0.000013,0.000012,0.005798,0.001479,0.001478,0.000207,0.000000,0.008041,0.000016,0.003860,0.001051,0.000338,0.000396,0.000130,0.000000,0.000874,0.000416,0.000150,0.000043,0.008061,0.008076,0.008123,0.008123,0.392042,,8.252467,7.095519,1.000000,1.000000,0.581116,0.429693,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,8.295033,7.109809,0.990145,0.990145,0.579670,0.445356,0.680065,1.644922,,,,0.680065,1.011899,,,,,,0.680065,1.644922,1.011899,,
4,conesQuarterSize,HALF,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.001252,0.000809,0.000219,0.000042,0.000011,0.001069,0.000025,0.000025,0.010487,0.004629,0.004628,0.000544,0.000000,0.017982,0.000017,0.007329,0.001663,0.000478,0.000805,0.000230,0.000000,0.003200,0.001013,0.000331,0.000087,0.018004,0.018021,0.018071,0.018071,0.845103,,32.461636,9.680087,0.967828,0.967828,0.967828,0.967763,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,33.217880,9.904392,0.990246,0.990246,0.990246,0.990246,0.528432,1.559704,,0.528432,0.528432,,0.997308,,,,,,0.528432,1.559704,0.997308,,
4,conesQuarterSize,HALF,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.001250,0.000853,0.000223,0.000041,0.000010,0.001126,0.000025,0.000025,0.012585,0.004662,0.004661,0.000559,0.000000,0.020197,0.000017,0.008835,0.002015,0.000580,0.000885,0.000270,0.000000,0.003234,0.001011,0.000335,0.000082,0.020218,0.020235,0.020286,0.020286,0.845103,,32.461636,9.680087,0.967828,0.967828,0.967828,0.967763,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,33.217880,9.904392,0.990246,0.990246,0.990246,0.990246,0.546553,1.566804,,0.546553,,0.546553,0.989914,,,,,,0.546553,1.566804,0.989914,,
