Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,64,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,192,144,3,0.000000,0.000011,0.000020,0.000019,0.000018,0.000019,0.000076,0.000010,0.000009,0.000380,0.000093,0.000092,0.000030,0.000000,0.000599,0.000018,0.000110,0.000074,0.000069,0.000064,0.000069,0.000000,0.000029,0.000022,0.000022,0.000019,0.000623,0.000641,0.000644,0.000644,0.010706,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.164892,0.978253,1.164892,,1.164892,,1.294841,,,,,,,,,,,,,,,,,,,,,1.164892,0.978253,1.294841,,,,
0,tsukubaSetHalfSize,FLOAT,64,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,192,144,3,0.000000,0.000012,0.000020,0.000020,0.000019,0.000019,0.000079,0.000010,0.000010,0.000519,0.000095,0.000094,0.000031,0.000000,0.000763,0.000018,0.000214,0.000097,0.000073,0.000066,0.000066,0.000000,0.000029,0.000022,0.000023,0.000020,0.000789,0.000807,0.000810,0.000810,0.010706,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.700986,1.021612,1.700986,,,1.700986,1.065627,,,,,,,,,,,,,,,,,,,,,1.700986,1.021612,1.065627,,,,
1,tsukubaSet,FLOAT,64,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000031,0.000039,0.000022,0.000038,0.000020,0.000106,0.000025,0.000025,0.000911,0.000203,0.000202,0.000045,0.000000,0.001321,0.000025,0.000492,0.000176,0.000091,0.000080,0.000067,0.000000,0.000114,0.000040,0.000024,0.000025,0.001340,0.001366,0.001381,0.001381,0.093483,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.655046,1.276589,1.655046,,1.655046,,1.016106,,,,,,,,,,,,,,,,,,,,,1.655046,1.276589,1.016106,,,,
1,tsukubaSet,FLOAT,64,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000030,0.000028,0.000021,0.000019,0.000019,0.000087,0.000012,0.000012,0.001860,0.000228,0.000228,0.000044,0.000000,0.002262,0.000019,0.001178,0.000386,0.000151,0.000079,0.000074,0.000000,0.000113,0.000067,0.000024,0.000025,0.002281,0.002300,0.002316,0.002316,0.093483,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.154030,1.304829,1.154030,,,1.154030,0.771348,,,,,,,,,,,,,,,,,,,,,1.154030,1.304829,0.771348,,,,
2,venus,FLOAT,64,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000045,0.000040,0.000024,0.000020,0.000020,0.000104,0.000015,0.000015,0.002616,0.000241,0.000241,0.000070,0.000000,0.003496,0.000021,0.001786,0.000473,0.000195,0.000094,0.000066,0.000000,0.000117,0.000052,0.000038,0.000034,0.003516,0.003536,0.003558,0.003558,0.278424,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.180671,1.575157,1.180671,,1.180671,,1.135332,,,,,,,,,,,,,,,,,,,,,1.180671,1.575157,1.135332,,,,
2,venus,FLOAT,64,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000049,0.000041,0.000025,0.000021,0.000021,0.000108,0.000015,0.000015,0.002855,0.000239,0.000239,0.000069,0.000000,0.003335,0.000021,0.001937,0.000525,0.000213,0.000110,0.000072,0.000000,0.000116,0.000049,0.000037,0.000036,0.003355,0.003377,0.003400,0.003400,0.278424,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.641116,1.571863,1.641116,,,1.641116,0.992563,,,,,,,,,,,,,,,,,,,,,1.641116,1.571863,0.992563,,,,
3,barn1,FLOAT,64,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,432,381,3,0.000000,0.000058,0.000061,0.000031,0.000024,0.000022,0.000137,0.000025,0.000024,0.003824,0.000400,0.000399,0.000120,0.000000,0.004554,0.000023,0.002596,0.000702,0.000280,0.000119,0.000080,0.000000,0.000190,0.000095,0.000068,0.000048,0.004584,0.004607,0.004632,0.004632,0.408941,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.248769,1.564003,,,1.248769,,1.008367,,,,,,,,,,,,,,,,,,,,,1.248769,1.564003,1.008367,,,,
3,barn1,FLOAT,64,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,432,381,3,0.000000,0.000056,0.000059,0.000030,0.000023,0.000022,0.000134,0.000019,0.000018,0.004135,0.000392,0.000392,0.000099,0.000000,0.004832,0.000023,0.002824,0.000754,0.000297,0.000132,0.000086,0.000000,0.000190,0.000088,0.000064,0.000049,0.004859,0.004883,0.004908,0.004908,0.408941,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.223188,1.549664,,,,1.223188,0.896312,,,,,,,,,,,,,,,,,,,,,1.223188,1.549664,0.896312,,,,
4,conesQuarterSize,FLOAT,64,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,450,375,3,0.000001,0.000176,0.000173,0.000069,0.000030,0.000025,0.000296,0.000033,0.000033,0.010952,0.001586,0.001586,0.000801,0.000001,0.014732,0.000045,0.008432,0.001536,0.000586,0.000200,0.000116,0.000000,0.001092,0.000302,0.000105,0.000091,0.014778,0.014802,0.014828,0.014828,0.946700,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.206522,1.397148,,1.206522,1.206522,,1.075680,,,,,,,,,,,,,,,,,,,,,1.206522,1.397148,1.075680,,,,
4,conesQuarterSize,FLOAT,64,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,450,375,3,0.000000,0.000169,0.000173,0.000070,0.000038,0.000025,0.000298,0.000033,0.000033,0.011079,0.001568,0.001567,0.000802,0.000000,0.013929,0.000031,0.008525,0.001562,0.000614,0.000199,0.000122,0.000000,0.001094,0.000291,0.000101,0.000084,0.013969,0.014001,0.014027,0.014027,0.946700,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.264303,1.408577,,1.264303,,1.264303,0.971273,,,,,,,,,,,,,,,,,,,,,1.264303,1.408577,0.971273,,,,
