Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,64,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,192,144,3,0.000000,0.000011,0.000019,0.000019,0.000019,0.000019,0.000076,0.000010,0.000010,0.000374,0.000095,0.000094,0.000031,0.000000,0.000596,0.000018,0.000098,0.000074,0.000069,0.000065,0.000065,0.000000,0.000030,0.000024,0.000022,0.000019,0.000621,0.000639,0.000653,0.000653,0.010539,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.180999,0.993711,1.180999,,1.180999,,1.331005,,,,,,,,,,,,,,,,,,,,,1.180999,0.993711,1.331005,,,,
0,tsukubaSetHalfSize,FLOAT,64,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,192,144,3,0.000000,0.000011,0.000020,0.000019,0.000019,0.000019,0.000077,0.000010,0.000009,0.000518,0.000093,0.000093,0.000031,0.000000,0.000748,0.000018,0.000211,0.000095,0.000067,0.000065,0.000064,0.000000,0.000029,0.000022,0.000022,0.000019,0.000775,0.000793,0.000796,0.000796,0.010539,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.737785,1.037755,1.737785,,,1.737785,1.069284,,,,,,,,,,,,,,,,,,,,,1.737785,1.037755,1.069284,,,,
1,tsukubaSet,FLOAT,64,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000031,0.000027,0.000032,0.000020,0.000019,0.000099,0.000012,0.000012,0.000904,0.000202,0.000202,0.000044,0.000000,0.001292,0.000019,0.000483,0.000172,0.000092,0.000078,0.000067,0.000000,0.000113,0.000040,0.000024,0.000025,0.001311,0.001330,0.001346,0.001346,0.093257,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.690634,1.279676,1.690634,,1.690634,,1.011400,,,,,,,,,,,,,,,,,,,,,1.690634,1.279676,1.011400,,,,
1,tsukubaSet,FLOAT,64,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000031,0.000032,0.000021,0.000027,0.000019,0.000094,0.000013,0.000012,0.001854,0.000207,0.000206,0.000045,0.000000,0.002232,0.000020,0.001156,0.000383,0.000183,0.000080,0.000066,0.000000,0.000110,0.000040,0.000023,0.000040,0.002252,0.002272,0.002287,0.002287,0.093257,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.520154,1.307985,1.520154,,,1.520154,1.003623,,,,,,,,,,,,,,,,,,,,,1.520154,1.307985,1.003623,,,,
2,venus,FLOAT,64,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000043,0.000039,0.000024,0.000020,0.000020,0.000103,0.000015,0.000015,0.002477,0.000245,0.000244,0.000070,0.000000,0.002951,0.000027,0.001670,0.000462,0.000186,0.000093,0.000066,0.000000,0.000119,0.000053,0.000038,0.000034,0.002971,0.002999,0.003029,0.003029,0.279596,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.176647,1.568555,1.176647,,1.176647,,0.963288,,,,,,,,,,,,,,,,,,,,,1.176647,1.568555,0.963288,,,,
2,venus,FLOAT,64,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000047,0.000040,0.000024,0.000020,0.000020,0.000104,0.000015,0.000015,0.002794,0.000271,0.000270,0.000069,0.000000,0.003296,0.000021,0.001905,0.000518,0.000209,0.000100,0.000071,0.000000,0.000114,0.000083,0.000047,0.000033,0.003313,0.003332,0.003355,0.003355,0.279596,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.669395,1.565276,1.669395,,,1.669395,0.996313,,,,,,,,,,,,,,,,,,,,,1.669395,1.565276,0.996313,,,,
3,barn1,FLOAT,64,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,432,381,3,0.000000,0.000061,0.000067,0.000030,0.000023,0.000022,0.000141,0.000019,0.000018,0.003715,0.000393,0.000393,0.000098,0.000000,0.004434,0.000022,0.002549,0.000687,0.000275,0.000119,0.000080,0.000000,0.000189,0.000085,0.000065,0.000054,0.004466,0.004488,0.004512,0.004512,0.409366,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.048905,1.562379,,,1.048905,,0.825169,,,,,,,,,,,,,,,,,,,,,1.048905,1.562379,0.825169,,,,
3,barn1,FLOAT,64,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,432,381,3,0.000000,0.000063,0.000060,0.000030,0.000024,0.000027,0.000136,0.000019,0.000019,0.004035,0.000393,0.000393,0.000100,0.000000,0.004747,0.000022,0.002753,0.000761,0.000297,0.000125,0.000084,0.000000,0.000192,0.000089,0.000064,0.000049,0.004773,0.004795,0.004820,0.004820,0.409366,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.394526,1.548054,,,,1.394526,1.003585,,,,,,,,,,,,,,,,,,,,,1.394526,1.548054,1.003585,,,,
4,conesQuarterSize,FLOAT,64,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,450,375,3,0.000001,0.000162,0.000185,0.000062,0.000030,0.000025,0.000302,0.000034,0.000033,0.010666,0.001541,0.001540,0.000784,0.000000,0.013657,0.000049,0.008299,0.001480,0.000585,0.000196,0.000127,0.000000,0.001046,0.000293,0.000108,0.000094,0.013697,0.013747,0.013773,0.013773,0.935734,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.218265,1.413522,,1.218265,1.218265,,1.008903,,,,,,,,,,,,,,,,,,,,,1.218265,1.413522,1.008903,,,,
4,conesQuarterSize,FLOAT,64,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,450,375,3,0.000001,0.000157,0.000169,0.000061,0.000031,0.000026,0.000286,0.000041,0.000041,0.011022,0.001555,0.001555,0.000792,0.000000,0.013854,0.000024,0.008531,0.001557,0.000599,0.000208,0.000124,0.000000,0.001064,0.000302,0.000103,0.000087,0.013894,0.013919,0.013944,0.013944,0.935734,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.264511,1.425085,,1.264511,,1.264511,0.965750,,,,,,,,,,,,,,,,,,,,,1.264511,1.425085,0.965750,,,,
