Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,64,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,192,144,3,0.000000,0.000011,0.000020,0.000019,0.000018,0.000019,0.000075,0.000009,0.000009,0.000404,0.000093,0.000093,0.000030,0.000000,0.000623,0.000018,0.000102,0.000073,0.000068,0.000090,0.000063,0.000000,0.000030,0.000023,0.000022,0.000019,0.000648,0.000666,0.000669,0.000669,0.010645,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.179691,0.983873,1.179691,,1.179691,,1.362694,,,,,,,,,,,,,,,,,,,,,1.179691,0.983873,1.362694,,,,
0,tsukubaSetHalfSize,FLOAT,64,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,192,144,3,0.000000,0.000011,0.000019,0.000018,0.000018,0.000018,0.000074,0.000009,0.000009,0.000538,0.000092,0.000091,0.000030,0.000000,0.000752,0.000018,0.000213,0.000094,0.000078,0.000062,0.000061,0.000000,0.000030,0.000022,0.000021,0.000018,0.000780,0.000799,0.000802,0.000802,0.010645,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.759809,1.027481,1.759809,,,1.759809,1.090894,,,,,,,,,,,,,,,,,,,,,1.759809,1.027481,1.090894,,,,
1,tsukubaSet,FLOAT,64,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000045,0.000027,0.000021,0.000019,0.000018,0.000085,0.000023,0.000023,0.000910,0.000204,0.000203,0.000044,0.000000,0.001297,0.000019,0.000503,0.000183,0.000089,0.000075,0.000064,0.000000,0.000111,0.000040,0.000033,0.000025,0.001315,0.001334,0.001348,0.001348,0.093424,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.706434,1.277392,1.706434,,1.706434,,1.022990,,,,,,,,,,,,,,,,,,,,,1.706434,1.277392,1.022990,,,,
1,tsukubaSet,FLOAT,64,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000030,0.000028,0.000020,0.000019,0.000020,0.000091,0.000012,0.000012,0.001848,0.000195,0.000195,0.000044,0.000000,0.002221,0.000019,0.001162,0.000386,0.000160,0.000078,0.000071,0.000000,0.000108,0.000040,0.000023,0.000025,0.002240,0.002260,0.002276,0.002276,0.093424,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.530446,1.305651,1.530446,,,1.530446,1.005259,,,,,,,,,,,,,,,,,,,,,1.530446,1.305651,1.005259,,,,
2,venus,FLOAT,64,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000045,0.000039,0.000029,0.000019,0.000020,0.000109,0.000014,0.000014,0.002490,0.000251,0.000251,0.000069,0.000000,0.002967,0.000020,0.001696,0.000448,0.000190,0.000092,0.000065,0.000000,0.000126,0.000053,0.000038,0.000034,0.002987,0.003007,0.003030,0.003030,0.275682,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.175653,1.590821,1.175653,,1.175653,,0.962577,,,,,,,,,,,,,,,,,,,,,1.175653,1.590821,0.962577,,,,
2,venus,FLOAT,64,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000041,0.000039,0.000024,0.000028,0.000020,0.000110,0.000015,0.000015,0.002821,0.000234,0.000234,0.000067,0.000000,0.003279,0.000020,0.001932,0.000509,0.000216,0.000099,0.000070,0.000000,0.000113,0.000051,0.000035,0.000034,0.003298,0.003318,0.003341,0.003341,0.275682,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.595879,1.587495,1.595879,,,1.595879,0.948468,,,,,,,,,,,,,,,,,,,,,1.595879,1.587495,0.948468,,,,
3,barn1,FLOAT,64,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,432,381,3,0.000000,0.000056,0.000060,0.000028,0.000022,0.000030,0.000140,0.000018,0.000018,0.003755,0.000418,0.000418,0.000098,0.000000,0.004469,0.000027,0.002599,0.000690,0.000275,0.000116,0.000079,0.000000,0.000192,0.000086,0.000065,0.000083,0.004500,0.004522,0.004546,0.004546,0.410576,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.249735,1.557774,,,1.249735,,0.990601,,,,,,,,,,,,,,,,,,,,,1.249735,1.557774,0.990601,,,,
3,barn1,FLOAT,64,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,432,381,3,0.000000,0.000055,0.000082,0.000027,0.000022,0.000020,0.000152,0.000018,0.000018,0.004051,0.000400,0.000400,0.000105,0.000000,0.004774,0.000022,0.002790,0.000746,0.000300,0.000123,0.000096,0.000000,0.000203,0.000088,0.000063,0.000047,0.004800,0.004822,0.004846,0.004846,0.410576,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.373837,1.543491,,,,1.373837,0.993994,,,,,,,,,,,,,,,,,,,,,1.373837,1.543491,0.993994,,,,
4,conesQuarterSize,FLOAT,64,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,450,375,3,0.000000,0.000161,0.000172,0.000068,0.000037,0.000024,0.000295,0.000033,0.000033,0.010934,0.001564,0.001564,0.000802,0.000000,0.013786,0.000054,0.008529,0.001502,0.000588,0.000196,0.000115,0.000000,0.001078,0.000299,0.000106,0.000085,0.013834,0.013881,0.013908,0.013908,0.958415,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.130348,1.380071,,1.130348,1.130348,,0.945251,,,,,,,,,,,,,,,,,,,,,1.130348,1.380071,0.945251,,,,
4,conesQuarterSize,FLOAT,64,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,450,375,3,0.000001,0.000176,0.000171,0.000068,0.000030,0.000024,0.000292,0.000033,0.000033,0.011303,0.001560,0.001559,0.000808,0.000000,0.014190,0.000024,0.008782,0.001591,0.000602,0.000205,0.000121,0.000000,0.001076,0.000300,0.000108,0.000086,0.014230,0.014254,0.014280,0.014280,0.958415,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.208737,1.391360,,1.208737,,1.208737,0.945343,,,,,,,,,,,,,,,,,,,,,1.208737,1.391360,0.945343,,,,
