Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,48,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX256,192,144,15,0.000000,0.000019,0.000021,0.000022,0.000021,0.000019,0.000083,0.000012,0.000012,0.000412,0.000174,0.000173,0.000030,0.000000,0.000735,0.000015,0.000143,0.000085,0.000063,0.000053,0.000065,0.000000,0.000046,0.000047,0.000047,0.000030,0.000764,0.000779,0.000790,0.000790,0.014990,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.007184,0.698667,1.007184,,1.007184,,1.372399,,,,,,,,,,,,,,,,,,,,,,,,1.007184,0.698667,1.372399,,,,
0,tsukubaSetHalfSize,FLOAT,48,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX256,192,144,15,0.000000,0.000021,0.000025,0.000024,0.000023,0.000022,0.000095,0.000014,0.000013,0.000793,0.000182,0.000181,0.000035,0.000000,0.001141,0.000017,0.000381,0.000157,0.000091,0.000077,0.000075,0.000000,0.000049,0.000050,0.000047,0.000033,0.001166,0.001184,0.001194,0.001194,0.014990,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.285965,0.729634,1.285965,,,1.285965,1.187534,,,,,,,,,,,,,,,,,,,,,,,,1.285965,0.729634,1.187534,,,,
1,tsukubaSet,FLOAT,48,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,384,288,15,0.000000,0.000100,0.000048,0.000024,0.000024,0.000025,0.000122,0.000037,0.000037,0.001378,0.000793,0.000792,0.000109,0.000000,0.002546,0.000021,0.000762,0.000201,0.000125,0.000097,0.000175,0.000000,0.000492,0.000142,0.000085,0.000078,0.002593,0.002613,0.002686,0.002686,0.154656,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.845734,0.771643,0.845734,,0.845734,,1.009796,,,,,,,,,,,,,,,,,,,,,,,,0.845734,0.771643,1.009796,,,,
1,tsukubaSet,FLOAT,48,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,384,288,15,0.000000,0.000110,0.000052,0.000025,0.000024,0.000025,0.000127,0.000045,0.000045,0.002657,0.000806,0.000806,0.000107,0.000000,0.003864,0.000022,0.001718,0.000442,0.000185,0.000121,0.000189,0.000000,0.000504,0.000140,0.000091,0.000072,0.003911,0.003933,0.004000,0.004000,0.154656,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.865559,0.788713,0.865559,,,0.865559,0.999338,,,,,,,,,,,,,,,,,,,,,,,,0.865559,0.788713,0.999338,,,,
2,venus,FLOAT,48,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,434,383,15,0.000001,0.000230,0.000108,0.000045,0.000025,0.000034,0.000216,0.000048,0.000048,0.005161,0.001427,0.001425,0.000480,0.000001,0.007575,0.000038,0.004099,0.000488,0.000214,0.000138,0.000219,0.000000,0.000920,0.000290,0.000119,0.000086,0.007633,0.007674,0.007776,0.007776,0.382884,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.474319,1.145416,0.474319,,0.474319,,0.996677,,,,,,,,,,,,,,,,,,,,,,,,0.474319,1.145416,0.996677,,,,
2,venus,FLOAT,48,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX256,434,383,15,0.000000,0.000207,0.000099,0.000036,0.000020,0.000028,0.000185,0.000052,0.000052,0.006500,0.001352,0.001351,0.000524,0.000001,0.008833,0.000038,0.005212,0.000778,0.000270,0.000134,0.000088,0.000000,0.000900,0.000284,0.000089,0.000081,0.008886,0.008924,0.009024,0.009024,0.382884,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.626185,1.143021,0.626185,,,0.626185,1.005310,,,,,,,,,,,,,,,,,,,,,,,,0.626185,1.143021,1.005310,,,,
3,barn1,FLOAT,48,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,432,381,15,0.000001,0.000339,0.000206,0.000046,0.000025,0.000029,0.000307,0.000062,0.000062,0.009577,0.002856,0.002855,0.000987,0.000001,0.014152,0.000036,0.008026,0.000791,0.000294,0.000168,0.000283,0.000000,0.002116,0.000445,0.000188,0.000108,0.014210,0.014246,0.014349,0.014349,0.626499,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.398465,1.020888,,,0.398465,,0.996797,,,,,,,,,,,,,,,,,,,,,,,,0.398465,1.020888,0.996797,,,,
3,barn1,FLOAT,48,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,432,381,15,0.000000,0.000357,0.000217,0.000047,0.000025,0.000030,0.000324,0.000059,0.000059,0.011341,0.002848,0.002847,0.000981,0.000001,0.015922,0.000036,0.009222,0.001197,0.000410,0.000201,0.000307,0.000000,0.002113,0.000428,0.000188,0.000108,0.015979,0.016015,0.016119,0.016119,0.626499,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.415532,1.011528,,,,0.415532,1.000105,,,,,,,,,,,,,,,,,,,,,,,,0.415532,1.011528,1.000105,,,,
4,conesQuarterSize,FLOAT,48,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,450,375,15,0.000001,0.000834,0.000828,0.000182,0.000056,0.000048,0.001120,0.000087,0.000086,0.023630,0.007355,0.007354,0.002280,0.000001,0.035312,0.000038,0.019532,0.002933,0.000523,0.000243,0.000401,0.000000,0.005225,0.001508,0.000414,0.000193,0.035367,0.035404,0.035510,0.035510,1.271455,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.461617,1.040289,,0.461617,0.461617,,0.985613,,,,,,,,,,,,,,,,,,,,,,,,0.461617,1.040289,0.985613,,,,
4,conesQuarterSize,FLOAT,48,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,450,375,15,0.000000,0.000851,0.000906,0.000190,0.000053,0.000048,0.001202,0.000081,0.000080,0.025166,0.007793,0.007792,0.002285,0.000001,0.037416,0.000039,0.020487,0.003333,0.000647,0.000278,0.000420,0.000000,0.005276,0.001838,0.000503,0.000198,0.037472,0.037514,0.037640,0.037640,1.271455,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.483294,1.048799,,0.483294,,0.483294,0.996315,,,,,,,,,,,,,,,,,,,,,,,,0.483294,1.048799,0.996315,,,,
