Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,96,64,16,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,192,144,15,0.000000,0.000018,0.000028,0.000029,0.000030,0.000026,0.000113,0.000016,0.000016,0.000519,0.000177,0.000176,0.000040,0.000000,0.000893,0.000023,0.000125,0.000096,0.000090,0.000113,0.000092,0.000000,0.000042,0.000044,0.000049,0.000041,0.000910,0.000930,0.000936,0.000936,0.009285,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.413030,1.127981,1.413030,,1.413030,,2.283118,,,,,,,,,,,,,,,,,,,,,,,,1.413030,1.127981,2.283118,,,,
0,tsukubaSetHalfSize,FLOAT,96,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,192,144,15,0.000000,0.000018,0.000029,0.000031,0.000029,0.000024,0.000115,0.000015,0.000014,0.000641,0.000193,0.000192,0.000039,0.000000,0.001022,0.000023,0.000229,0.000126,0.000101,0.000096,0.000085,0.000000,0.000057,0.000049,0.000048,0.000040,0.001038,0.001061,0.001067,0.001067,0.009285,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.850466,1.177976,1.850466,,,1.850466,1.527262,,,,,,,,,,,,,,,,,,,,,,,,1.850466,1.177976,1.527262,,,,
1,tsukubaSet,FLOAT,96,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,384,288,15,0.000000,0.000039,0.000040,0.000031,0.000033,0.000031,0.000135,0.000029,0.000028,0.000771,0.000435,0.000435,0.000052,0.000000,0.001466,0.000024,0.000289,0.000158,0.000108,0.000095,0.000120,0.000000,0.000206,0.000078,0.000064,0.000085,0.001487,0.001512,0.001540,0.001540,0.080996,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.737558,1.473388,1.737558,,1.737558,,1.189507,,,,,,,,,,,,,,,,,,,,,,,,1.737558,1.473388,1.189507,,,,
1,tsukubaSet,FLOAT,96,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,384,288,15,0.000000,0.000041,0.000041,0.000031,0.000033,0.000032,0.000139,0.000047,0.000047,0.001146,0.000499,0.000498,0.000054,0.000000,0.001941,0.000028,0.000513,0.000248,0.000142,0.000122,0.000120,0.000000,0.000264,0.000094,0.000063,0.000073,0.001959,0.001986,0.002014,0.002014,0.080996,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.744363,1.505982,1.744363,,,1.744363,1.014088,,,,,,,,,,,,,,,,,,,,,,,,1.744363,1.505982,1.014088,,,,
2,venus,FLOAT,96,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,434,383,15,0.000000,0.000071,0.000052,0.000031,0.000030,0.000035,0.000149,0.000068,0.000067,0.001291,0.000454,0.000453,0.000063,0.000000,0.002101,0.000027,0.000604,0.000250,0.000168,0.000120,0.000146,0.000000,0.000224,0.000068,0.000075,0.000085,0.002123,0.002152,0.002201,0.002201,0.208111,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.683761,2.107345,1.683761,,1.683761,,1.001441,,,,,,,,,,,,,,,,,,,,,,,,1.683761,2.107345,1.001441,,,,
2,venus,FLOAT,96,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,434,383,15,0.000000,0.000068,0.000048,0.000031,0.000031,0.000034,0.000143,0.000076,0.000075,0.001925,0.000459,0.000459,0.000068,0.000000,0.002737,0.000027,0.001084,0.000362,0.000205,0.000152,0.000112,0.000000,0.000238,0.000061,0.000065,0.000084,0.002765,0.002792,0.002842,0.002842,0.208111,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.973772,2.102939,1.973772,,,1.973772,0.997838,,,,,,,,,,,,,,,,,,,,,,,,1.973772,2.102939,0.997838,,,,
3,barn1,FLOAT,96,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,432,381,15,0.000000,0.000115,0.000064,0.000038,0.000037,0.000040,0.000183,0.000113,0.000113,0.002217,0.000888,0.000887,0.000109,0.000000,0.003611,0.000029,0.001277,0.000354,0.000223,0.000158,0.000187,0.000000,0.000502,0.000128,0.000146,0.000116,0.003638,0.003667,0.003721,0.003721,0.393368,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.658950,1.625920,,,1.658950,,1.076130,,,,,,,,,,,,,,,,,,,,,,,,1.658950,1.625920,1.076130,,,,
3,barn1,FLOAT,96,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,432,381,15,0.000000,0.000099,0.000064,0.000037,0.000037,0.000041,0.000181,0.000110,0.000109,0.002766,0.001059,0.001057,0.000108,0.000001,0.004326,0.000030,0.001734,0.000441,0.000242,0.000161,0.000185,0.000000,0.000673,0.000124,0.000143,0.000120,0.004348,0.004378,0.004428,0.004428,0.393368,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.568464,1.611013,,,,1.568464,1.036915,,,,,,,,,,,,,,,,,,,,,,,,1.568464,1.611013,1.036915,,,,
4,conesQuarterSize,FLOAT,96,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,450,375,15,0.000000,0.000179,0.000166,0.000094,0.000055,0.000051,0.000367,0.000215,0.000214,0.004937,0.002028,0.002027,0.000342,0.000000,0.008083,0.000027,0.003564,0.000603,0.000297,0.000183,0.000286,0.000000,0.001042,0.000504,0.000294,0.000189,0.008113,0.008139,0.008196,0.008196,0.851714,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.022804,1.552963,,2.022804,2.022804,,0.996888,,,,,,,,,,,,,,,,,,,,,,,,2.022804,1.552963,0.996888,,,,
4,conesQuarterSize,FLOAT,96,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,450,375,15,0.000000,0.000189,0.000170,0.000099,0.000060,0.000066,0.000397,0.000212,0.000211,0.005582,0.002043,0.002043,0.000344,0.000000,0.008792,0.000029,0.003981,0.000727,0.000347,0.000210,0.000301,0.000000,0.001045,0.000498,0.000300,0.000193,0.008821,0.008850,0.008908,0.008908,0.851714,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.080311,1.565667,,2.080311,,2.080311,1.014913,,,,,,,,,,,,,,,,,,,,,,,,2.080311,1.565667,1.014913,,,,
