Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,64,64,16,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,AVX512,192,144,15,0.000000,0.000016,0.000020,0.000018,0.000018,0.000015,0.000072,0.000011,0.000011,0.000379,0.000143,0.000142,0.000027,0.000000,0.000645,0.000014,0.000105,0.000065,0.000057,0.000079,0.000060,0.000000,0.000036,0.000032,0.000044,0.000030,0.000668,0.000682,0.000689,0.000689,0.011811,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.153221,0.886729,1.153221,,1.153221,,1.370870,,,,,,,,,,,,,,,,,,,,,,,,1.153221,0.886729,1.370870,,,,
0,tsukubaSetHalfSize,FLOAT,64,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,AVX512,192,144,15,0.000000,0.000019,0.000019,0.000019,0.000018,0.000015,0.000072,0.000012,0.000011,0.000645,0.000140,0.000139,0.000028,0.000000,0.000908,0.000014,0.000293,0.000122,0.000075,0.000083,0.000060,0.000000,0.000036,0.000032,0.000040,0.000030,0.000928,0.000959,0.000965,0.000965,0.011811,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.792285,0.926032,1.792285,,,1.792285,1.337653,,,,,,,,,,,,,,,,,,,,,,,,1.792285,0.926032,1.337653,,,,
1,tsukubaSet,FLOAT,64,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,AVX512,384,288,15,0.000000,0.000070,0.000042,0.000024,0.000023,0.000019,0.000108,0.000027,0.000027,0.000918,0.000487,0.000487,0.000051,0.000000,0.001674,0.000017,0.000492,0.000178,0.000084,0.000061,0.000105,0.000000,0.000300,0.000067,0.000053,0.000060,0.001702,0.001719,0.001757,0.001757,0.119560,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.379618,0.998154,1.379618,,1.379618,,1.077741,,,,,,,,,,,,,,,,,,,,,,,,1.379618,0.998154,1.077741,,,,
1,tsukubaSet,FLOAT,64,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,AVX512,384,288,15,0.000000,0.000085,0.000042,0.000024,0.000024,0.000019,0.000111,0.000037,0.000037,0.001829,0.000527,0.000526,0.000052,0.000000,0.002642,0.000018,0.001101,0.000369,0.000149,0.000088,0.000110,0.000000,0.000333,0.000078,0.000051,0.000062,0.002669,0.002686,0.002724,0.002724,0.119560,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.180429,1.020235,1.180429,,,1.180429,0.928283,,,,,,,,,,,,,,,,,,,,,,,,1.180429,1.020235,0.928283,,,,
2,venus,FLOAT,64,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,AVX512,434,383,15,0.000000,0.000153,0.000071,0.000033,0.000024,0.000023,0.000151,0.000055,0.000055,0.002643,0.000836,0.000836,0.000195,0.000000,0.004028,0.000025,0.001855,0.000339,0.000175,0.000089,0.000163,0.000000,0.000467,0.000197,0.000094,0.000072,0.004094,0.004122,0.004206,0.004206,0.342550,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.884752,1.280282,0.884752,,0.884752,,1.005712,,,,,,,,,,,,,,,,,,,,,,,,0.884752,1.280282,1.005712,,,,
2,venus,FLOAT,64,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,AVX512,434,383,15,0.000000,0.000157,0.000071,0.000035,0.000025,0.000024,0.000157,0.000058,0.000058,0.003929,0.000833,0.000828,0.000198,0.000000,0.005331,0.000026,0.002771,0.000581,0.000246,0.000111,0.000188,0.000000,0.000472,0.000196,0.000088,0.000072,0.005380,0.005407,0.005504,0.005504,0.342550,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.020790,1.277605,1.020790,,,1.020790,0.999630,,,,,,,,,,,,,,,,,,,,,,,,1.020790,1.277605,0.999630,,,,
3,barn1,FLOAT,64,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,AVX512,432,381,15,0.000000,0.000353,0.000156,0.000050,0.000038,0.000027,0.000277,0.000081,0.000081,0.005391,0.001657,0.001656,0.000444,0.000000,0.008229,0.000027,0.004355,0.000480,0.000252,0.000112,0.000175,0.000000,0.001059,0.000314,0.000175,0.000099,0.008283,0.008310,0.008397,0.008397,0.543807,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.687197,1.176125,,,0.687197,,1.005998,,,,,,,,,,,,,,,,,,,,,,,,0.687197,1.176125,1.005998,,,,
3,barn1,FLOAT,64,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,AVX512,432,381,15,0.000000,0.000399,0.000164,0.000055,0.000039,0.000028,0.000284,0.000078,0.000078,0.006510,0.001683,0.001682,0.000465,0.000001,0.009423,0.000027,0.005128,0.000720,0.000335,0.000140,0.000186,0.000000,0.001078,0.000316,0.000185,0.000101,0.009476,0.009512,0.009600,0.009600,0.543807,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.703255,1.165342,,,,0.703255,1.008075,,,,,,,,,,,,,,,,,,,,,,,,0.703255,1.165342,1.008075,,,,
4,conesQuarterSize,FLOAT,64,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,AVX512,450,375,15,0.000000,0.000460,0.000342,0.000119,0.000062,0.000041,0.000567,0.000107,0.000106,0.015718,0.005170,0.005169,0.001421,0.000001,0.023421,0.000026,0.013442,0.001341,0.000447,0.000172,0.000302,0.000000,0.003615,0.001052,0.000331,0.000169,0.023473,0.023507,0.023590,0.023590,1.154801,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.699989,1.145375,,0.699989,0.699989,,0.992880,,,,,,,,,,,,,,,,,,,,,,,,0.699989,1.145375,0.992880,,,,
4,conesQuarterSize,FLOAT,64,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,AVX512,450,375,15,0.000000,0.000492,0.000397,0.000120,0.000060,0.000046,0.000627,0.000121,0.000120,0.017219,0.005489,0.005487,0.001419,0.000001,0.025362,0.000026,0.014435,0.001679,0.000547,0.000205,0.000323,0.000000,0.003677,0.001291,0.000335,0.000171,0.025412,0.025436,0.025524,0.025524,1.154801,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.727786,1.154745,,0.727786,,0.727786,1.017403,,,,,,,,,,,,,,,,,,,,,,,,0.727786,1.154745,1.017403,,,,
