Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,26,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,192,144,15,0.000000,0.000018,0.000019,0.000015,0.000013,0.000010,0.000057,0.000011,0.000011,0.000292,0.000153,0.000152,0.000021,0.000000,0.000549,0.000008,0.000122,0.000054,0.000039,0.000032,0.000040,0.000000,0.000052,0.000037,0.000034,0.000029,0.000567,0.000580,0.000586,0.000586,0.008896,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.984243,1.177240,0.984243,,0.984243,,0.995546,,,,,,,,,,,,,,,,,,,,,0.984243,1.177240,0.995546,,,,
0,tsukubaSetHalfSize,FLOAT,26,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,192,144,15,0.000000,0.000021,0.000018,0.000016,0.000011,0.000010,0.000056,0.000011,0.000010,0.001304,0.000156,0.000155,0.000060,0.000000,0.001622,0.000010,0.000859,0.000246,0.000097,0.000056,0.000043,0.000000,0.000054,0.000036,0.000033,0.000031,0.001642,0.001651,0.001659,0.001659,0.008896,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.769094,1.229418,0.769094,,,0.769094,0.986659,,,,,,,,,,,,,,,,,,,,,0.769094,1.229418,0.986659,,,,
1,tsukubaSet,FLOAT,26,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,384,288,15,0.000000,0.000097,0.000053,0.000024,0.000026,0.000015,0.000118,0.000029,0.000029,0.001319,0.000795,0.000794,0.000112,0.000000,0.002473,0.000015,0.000901,0.000247,0.000084,0.000051,0.000037,0.000000,0.000587,0.000102,0.000047,0.000054,0.002495,0.002508,0.002544,0.002544,0.082538,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.873761,1.445876,0.873761,,0.873761,,0.988407,,,,,,,,,,,,,,,,,,,,,0.873761,1.445876,0.988407,,,,
1,tsukubaSet,FLOAT,26,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,384,288,15,0.000000,0.000100,0.000053,0.000022,0.000024,0.000014,0.000116,0.000028,0.000028,0.004835,0.000790,0.000789,0.000141,0.000000,0.006013,0.000015,0.003482,0.000919,0.000258,0.000110,0.000063,0.000000,0.000585,0.000101,0.000047,0.000054,0.006036,0.006049,0.006086,0.006086,0.082538,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.561673,1.477862,0.561673,,,0.561673,0.986633,,,,,,,,,,,,,,,,,,,,,0.561673,1.477862,0.986633,,,,
2,venus,FLOAT,26,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,434,383,15,0.000000,0.000187,0.000096,0.000033,0.000018,0.000018,0.000167,0.000028,0.000028,0.006487,0.001237,0.001236,0.000262,0.000000,0.008373,0.000025,0.005428,0.000693,0.000209,0.000114,0.000056,0.000000,0.000886,0.000197,0.000090,0.000069,0.008413,0.008436,0.008532,0.008532,0.232538,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.432931,1.885973,0.432931,,0.432931,,0.998148,,,,,,,,,,,,,,,,,,,,,0.432931,1.885973,0.998148,,,,
2,venus,FLOAT,26,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,434,383,15,0.000000,0.000200,0.000100,0.000035,0.000019,0.000018,0.000171,0.000030,0.000029,0.011086,0.001280,0.001279,0.000275,0.000000,0.013058,0.000027,0.008774,0.001588,0.000439,0.000185,0.000076,0.000000,0.000907,0.000211,0.000086,0.000069,0.013097,0.013126,0.013223,0.013223,0.232538,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.420660,1.882030,0.420660,,,0.420660,0.989554,,,,,,,,,,,,,,,,,,,,,0.420660,1.882030,0.989554,,,,
3,barn1,FLOAT,26,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,432,381,15,0.000000,0.000303,0.000158,0.000053,0.000023,0.000022,0.000259,0.000035,0.000034,0.008998,0.002355,0.002353,0.000515,0.000001,0.012471,0.000028,0.007246,0.001179,0.000329,0.000159,0.000072,0.000000,0.001608,0.000440,0.000186,0.000093,0.012512,0.012543,0.012648,0.012648,0.417429,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.452959,1.532202,,,0.452959,,0.998845,,,,,,,,,,,,,,,,,,,,,0.452959,1.532202,0.998845,,,,
3,barn1,FLOAT,26,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,432,381,15,0.000000,0.000301,0.000156,0.000052,0.000023,0.000021,0.000254,0.000035,0.000035,0.015055,0.002422,0.002421,0.000518,0.000001,0.018635,0.000028,0.011718,0.002420,0.000617,0.000243,0.000094,0.000000,0.001701,0.000449,0.000185,0.000092,0.018678,0.018706,0.018824,0.018824,0.417429,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.355383,1.518154,,,,0.355383,0.998878,,,,,,,,,,,,,,,,,,,,,0.355383,1.518154,0.998878,,,,
4,conesQuarterSize,FLOAT,26,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,450,375,15,0.000000,0.000773,0.000899,0.000146,0.000058,0.000032,0.001136,0.000058,0.000057,0.032762,0.009481,0.009479,0.002096,0.000001,0.046409,0.000029,0.027644,0.004120,0.000714,0.000258,0.000117,0.000000,0.007356,0.001471,0.000489,0.000166,0.046454,0.046486,0.046590,0.046590,0.957053,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.357668,1.382035,,0.357668,0.357668,,1.001942,,,,,,,,,,,,,,,,,,,,,0.357668,1.382035,1.001942,,,,
4,conesQuarterSize,FLOAT,26,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,450,375,15,0.000000,0.000786,0.000910,0.000145,0.000057,0.000032,0.001148,0.000063,0.000062,0.039809,0.009496,0.009495,0.002116,0.000001,0.053523,0.000029,0.032818,0.005457,0.001052,0.000356,0.000143,0.000000,0.007315,0.001537,0.000509,0.000174,0.053567,0.053599,0.053703,0.053703,0.957053,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343671,1.393340,,0.343671,,0.343671,1.010835,,,,,,,,,,,,,,,,,,,,,0.343671,1.393340,1.010835,,,,
