Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,96,64,16,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,192,144,15,0.000000,0.000018,0.000030,0.000030,0.000032,0.000027,0.000126,0.000017,0.000017,0.000538,0.000178,0.000178,0.000043,0.000000,0.000928,0.000025,0.000132,0.000098,0.000094,0.000118,0.000095,0.000000,0.000045,0.000042,0.000048,0.000043,0.000945,0.000969,0.000975,0.000975,0.009646,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.258397,1.085709,1.258397,,1.258397,,2.118143,,,,,,,,,,,,,,,,,,,,,,,,1.258397,1.085709,2.118143,,,,
0,tsukubaSetHalfSize,FLOAT,96,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,192,144,15,0.000000,0.000017,0.000030,0.000031,0.000033,0.000029,0.000123,0.000018,0.000018,0.000640,0.000190,0.000189,0.000043,0.000000,0.001034,0.000027,0.000190,0.000123,0.000112,0.000112,0.000096,0.000000,0.000047,0.000044,0.000054,0.000044,0.001048,0.001077,0.001083,0.001083,0.009646,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.835418,1.133831,1.835418,,,1.835418,1.537903,,,,,,,,,,,,,,,,,,,,,,,,1.835418,1.133831,1.537903,,,,
1,tsukubaSet,FLOAT,96,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,384,288,15,0.000000,0.000041,0.000043,0.000035,0.000036,0.000034,0.000148,0.000030,0.000030,0.000867,0.000459,0.000458,0.000058,0.000000,0.001613,0.000028,0.000326,0.000178,0.000117,0.000104,0.000134,0.000000,0.000219,0.000081,0.000075,0.000087,0.001634,0.001660,0.001695,0.001695,0.085865,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.629880,1.389837,1.629880,,1.629880,,1.228489,,,,,,,,,,,,,,,,,,,,,,,,1.629880,1.389837,1.228489,,,,
1,tsukubaSet,FLOAT,96,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,384,288,15,0.000000,0.000043,0.000043,0.000036,0.000037,0.000034,0.000149,0.000051,0.000050,0.001175,0.000543,0.000541,0.000058,0.000000,0.002017,0.000029,0.000536,0.000236,0.000140,0.000126,0.000129,0.000000,0.000274,0.000101,0.000069,0.000093,0.002036,0.002062,0.002095,0.002095,0.085865,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.711418,1.420583,1.711418,,,1.711418,1.034758,,,,,,,,,,,,,,,,,,,,,,,,1.711418,1.420583,1.034758,,,,
2,venus,FLOAT,96,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,434,383,15,0.000000,0.000071,0.000054,0.000036,0.000034,0.000040,0.000164,0.000071,0.000070,0.001416,0.000510,0.000507,0.000071,0.000000,0.002299,0.000031,0.000663,0.000259,0.000197,0.000133,0.000161,0.000000,0.000246,0.000078,0.000085,0.000092,0.002322,0.002353,0.002409,0.002409,0.223059,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.533222,1.966121,1.533222,,1.533222,,0.998087,,,,,,,,,,,,,,,,,,,,,,,,1.533222,1.966121,0.998087,,,,
2,venus,FLOAT,96,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,434,383,15,0.000000,0.000072,0.000051,0.000034,0.000033,0.000038,0.000156,0.000081,0.000080,0.001944,0.000639,0.000637,0.000075,0.000001,0.002974,0.000031,0.001112,0.000372,0.000194,0.000155,0.000114,0.000000,0.000360,0.000103,0.000078,0.000089,0.002996,0.003027,0.003080,0.003080,0.223059,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.025106,1.962010,2.025106,,,2.025106,1.109837,,,,,,,,,,,,,,,,,,,,,,,,2.025106,1.962010,1.109837,,,,
3,barn1,FLOAT,96,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,432,381,15,0.000000,0.000120,0.000069,0.000041,0.000040,0.000040,0.000192,0.000120,0.000118,0.002524,0.001142,0.001140,0.000124,0.000000,0.004231,0.000032,0.001544,0.000366,0.000242,0.000158,0.000200,0.000000,0.000725,0.000135,0.000151,0.000118,0.004260,0.004293,0.004357,0.004357,0.418637,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.638914,1.527779,,,1.638914,,1.244951,,,,,,,,,,,,,,,,,,,,,,,,1.638914,1.527779,1.244951,,,,
3,barn1,FLOAT,96,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,432,381,15,0.000000,0.000103,0.000068,0.000040,0.000037,0.000042,0.000188,0.000117,0.000116,0.003070,0.000979,0.000978,0.000117,0.000000,0.004572,0.000032,0.001983,0.000539,0.000237,0.000186,0.000119,0.000000,0.000548,0.000119,0.000179,0.000130,0.004608,0.004639,0.004697,0.004697,0.418637,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.618719,1.513771,,,,1.618719,1.135361,,,,,,,,,,,,,,,,,,,,,,,,1.618719,1.513771,1.135361,,,,
4,conesQuarterSize,FLOAT,96,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,450,375,15,0.000000,0.000196,0.000226,0.000132,0.000080,0.000057,0.000519,0.000203,0.000202,0.007142,0.003123,0.003120,0.000656,0.000001,0.011844,0.000039,0.005325,0.000870,0.000400,0.000221,0.000310,0.000000,0.001774,0.000777,0.000383,0.000186,0.011895,0.011942,0.012062,0.012062,0.902503,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.416533,1.465569,,1.416533,1.416533,,1.027316,,,,,,,,,,,,,,,,,,,,,,,,1.416533,1.465569,1.027316,,,,
4,conesQuarterSize,FLOAT,96,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,450,375,15,0.000001,0.000207,0.000222,0.000132,0.000079,0.000066,0.000512,0.000215,0.000214,0.007891,0.002697,0.002695,0.000658,0.000001,0.012168,0.000038,0.005866,0.001009,0.000421,0.000239,0.000323,0.000000,0.001468,0.000668,0.000353,0.000204,0.012238,0.012277,0.012366,0.012366,0.902503,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.472190,1.477558,,1.472190,,1.472190,0.997109,,,,,,,,,,,,,,,,,,,,,,,,1.472190,1.477558,0.997109,,,,
