Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,16,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX256,192,144,15,0.000000,0.000020,0.000011,0.000006,0.000005,0.000004,0.000027,0.000005,0.000005,0.000246,0.000087,0.000086,0.000016,0.000000,0.000400,0.000004,0.000137,0.000047,0.000023,0.000018,0.000019,0.000000,0.000035,0.000016,0.000018,0.000016,0.000415,0.000419,0.000427,0.000427,0.010793,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.347111,0.970382,1.347111,,1.347111,,0.992521,,,,,,,,,,,,,,,,,,,,,,,,1.347111,0.970382,0.992521,,,,
0,tsukubaSetHalfSize,FLOAT,16,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,192,144,15,0.000000,0.000026,0.000012,0.000006,0.000006,0.000005,0.000029,0.000007,0.000007,0.001040,0.000091,0.000091,0.000127,0.000000,0.001321,0.000005,0.000655,0.000189,0.000084,0.000065,0.000031,0.000000,0.000038,0.000017,0.000016,0.000019,0.001340,0.001344,0.001353,0.001353,0.010793,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.961566,1.013392,0.961566,,,0.961566,1.006146,,,,,,,,,,,,,,,,,,,,,,,,0.961566,1.013392,1.006146,,,,
1,tsukubaSet,FLOAT,16,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,384,288,15,0.000001,0.000154,0.000095,0.000029,0.000012,0.000009,0.000146,0.000020,0.000020,0.004479,0.001770,0.001769,0.000567,0.000001,0.007280,0.000056,0.003932,0.000326,0.000090,0.000055,0.000069,0.000000,0.001186,0.000382,0.000115,0.000041,0.007322,0.007379,0.007423,0.007423,0.085796,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.311555,1.390964,0.311555,,0.311555,,1.028089,,,,,,,,,,,,,,,,,,,,,,,,0.311555,1.390964,1.028089,,,,
1,tsukubaSet,FLOAT,16,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,384,288,15,0.000001,0.000209,0.000088,0.000030,0.000013,0.000009,0.000142,0.000022,0.000022,0.008388,0.001864,0.001863,0.000596,0.000001,0.011364,0.000056,0.006324,0.001379,0.000378,0.000160,0.000117,0.000000,0.001312,0.000377,0.000120,0.000044,0.011407,0.011463,0.011508,0.011508,0.085796,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.321103,1.421735,0.321103,,,0.321103,1.066639,,,,,,,,,,,,,,,,,,,,,,,,0.321103,1.421735,1.066639,,,,
2,venus,FLOAT,16,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,434,383,15,0.000001,0.000633,0.000501,0.000081,0.000014,0.000010,0.000611,0.000027,0.000026,0.019073,0.006664,0.006663,0.002380,0.000000,0.029457,0.000077,0.017550,0.001069,0.000229,0.000092,0.000134,0.000000,0.005422,0.000955,0.000225,0.000070,0.029498,0.029575,0.029633,0.029633,0.286021,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130304,1.533316,0.130304,,0.130304,,1.043451,,,,,,,,,,,,,,,,,,,,,,,,0.130304,1.533316,1.043451,,,,
2,venus,FLOAT,16,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,434,383,15,0.000001,0.000646,0.000492,0.000083,0.000014,0.000010,0.000600,0.000025,0.000025,0.020896,0.006677,0.006676,0.002349,0.000001,0.031289,0.000077,0.017468,0.002326,0.000625,0.000186,0.000195,0.000000,0.005420,0.000960,0.000224,0.000069,0.031332,0.031411,0.031470,0.031470,0.286021,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.180511,1.530110,0.180511,,,0.180511,1.010628,,,,,,,,,,,,,,,,,,,,,,,,0.180511,1.530110,1.010628,,,,
3,barn1,FLOAT,16,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,432,381,15,0.000001,0.001138,0.001227,0.000154,0.000033,0.000012,0.001432,0.000032,0.000032,0.032768,0.011071,0.011069,0.003938,0.000000,0.050447,0.000075,0.030083,0.001978,0.000364,0.000132,0.000187,0.000000,0.008910,0.001622,0.000411,0.000108,0.050484,0.050559,0.050614,0.050614,0.463497,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.114846,1.379911,,,0.114846,,1.013435,,,,,,,,,,,,,,,,,,,,,,,,0.114846,1.379911,1.013435,,,,
3,barn1,FLOAT,16,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,432,381,15,0.000001,0.001146,0.001204,0.000155,0.000035,0.000012,0.001406,0.000032,0.000032,0.033960,0.011061,0.011059,0.003893,0.000001,0.051569,0.000072,0.030033,0.002782,0.000673,0.000197,0.000239,0.000000,0.008916,0.001637,0.000394,0.000108,0.051608,0.051683,0.051740,0.051740,0.463497,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129726,1.367259,,,,0.129726,1.002211,,,,,,,,,,,,,,,,,,,,,,,,0.129726,1.367259,1.002211,,,,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,450,375,15,0.000000,0.003127,0.004485,0.000745,0.000086,0.000023,0.005338,0.000048,0.000048,0.082960,0.026796,0.026794,0.008521,0.000001,0.126870,0.000077,0.069775,0.011625,0.000851,0.000237,0.000394,0.000000,0.020125,0.005494,0.000954,0.000208,0.126911,0.126986,0.127043,0.127043,0.978810,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.136722,1.351315,,0.136722,0.136722,,1.044391,,,,,,,,,,,,,,,,,,,,,,,,0.136722,1.351315,1.044391,,,,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,450,375,15,0.000001,0.002862,0.004309,0.000725,0.000091,0.000023,0.005167,0.000047,0.000046,0.084302,0.027305,0.027304,0.008614,0.000000,0.128519,0.000078,0.070508,0.011872,0.001143,0.000321,0.000439,0.000000,0.020682,0.005458,0.000935,0.000202,0.128561,0.128637,0.128696,0.128696,0.978810,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.148921,1.362369,,0.148921,,0.148921,1.049694,,,,,,,,,,,,,,,,,,,,,,,,0.148921,1.362369,1.049694,,,,
