Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,192,144,15,0.000000,0.000011,0.000020,0.000020,0.000019,0.000019,0.000078,0.000009,0.000009,0.000373,0.000093,0.000092,0.000032,0.000000,0.000597,0.000018,0.000102,0.000075,0.000065,0.000064,0.000064,0.000000,0.000029,0.000022,0.000022,0.000020,0.000615,0.000633,0.000635,0.000635,0.010541,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.333166,0.993528,1.333166,,1.333166,,1.461274,,,,,,,,,,,,,,,,,,,,,1.333166,0.993528,1.461274,,,,
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,192,144,15,0.000000,0.000011,0.000021,0.000021,0.000020,0.000020,0.000081,0.000010,0.000010,0.000520,0.000096,0.000096,0.000033,0.000000,0.000752,0.000018,0.000214,0.000097,0.000071,0.000066,0.000066,0.000000,0.000029,0.000023,0.000022,0.000021,0.000772,0.000790,0.000793,0.000793,0.010541,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.824898,1.037564,1.824898,,,1.824898,1.119321,,,,,,,,,,,,,,,,,,,,,1.824898,1.037564,1.119321,,,,
1,tsukubaSet,FLOAT,64,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000031,0.000028,0.000021,0.000020,0.000020,0.000092,0.000012,0.000012,0.000899,0.000198,0.000198,0.000044,0.000000,0.001275,0.000019,0.000478,0.000171,0.000094,0.000083,0.000067,0.000000,0.000109,0.000040,0.000024,0.000025,0.001294,0.001313,0.001328,0.001328,0.093762,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.755966,1.272783,1.755966,,1.755966,,1.036697,,,,,,,,,,,,,,,,,,,,,1.755966,1.272783,1.036697,,,,
1,tsukubaSet,FLOAT,64,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000030,0.000028,0.000021,0.000020,0.000020,0.000089,0.000013,0.000012,0.001840,0.000188,0.000188,0.000043,0.000000,0.002204,0.000019,0.001157,0.000381,0.000152,0.000079,0.000066,0.000000,0.000098,0.000040,0.000025,0.000025,0.002220,0.002239,0.002254,0.002254,0.093762,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.537748,1.300939,1.537748,,,1.537748,1.000241,,,,,,,,,,,,,,,,,,,,,1.537748,1.300939,1.000241,,,,
2,venus,FLOAT,64,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000041,0.000040,0.000024,0.000020,0.000021,0.000105,0.000015,0.000015,0.002499,0.000226,0.000226,0.000068,0.000000,0.002955,0.000019,0.001681,0.000462,0.000189,0.000095,0.000067,0.000000,0.000112,0.000045,0.000035,0.000034,0.002971,0.002990,0.003013,0.003013,0.278289,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.220121,1.575921,1.220121,,1.220121,,0.993606,,,,,,,,,,,,,,,,,,,,,1.220121,1.575921,0.993606,,,,
2,venus,FLOAT,64,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000041,0.000040,0.000024,0.000020,0.000020,0.000104,0.000015,0.000015,0.002824,0.000227,0.000227,0.000067,0.000000,0.003286,0.000019,0.001912,0.000516,0.000213,0.000102,0.000071,0.000000,0.000114,0.000044,0.000034,0.000033,0.003303,0.003322,0.003344,0.003344,0.278289,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.682600,1.572626,1.682600,,,1.682600,1.001149,,,,,,,,,,,,,,,,,,,,,1.682600,1.572626,1.001149,,,,
3,barn1,FLOAT,64,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000000,0.000055,0.000051,0.000027,0.000023,0.000022,0.000124,0.000018,0.000018,0.003719,0.000377,0.000376,0.000098,0.000000,0.004403,0.000021,0.002549,0.000690,0.000275,0.000120,0.000081,0.000000,0.000188,0.000080,0.000059,0.000048,0.004433,0.004455,0.004478,0.004478,0.406651,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.284510,1.572812,,,1.284510,,1.002831,,,,,,,,,,,,,,,,,,,,,1.284510,1.572812,1.002831,,,,
3,barn1,FLOAT,64,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000000,0.000055,0.000051,0.000028,0.000023,0.000022,0.000124,0.000018,0.000018,0.004080,0.000371,0.000370,0.000095,0.000000,0.004744,0.000021,0.002817,0.000752,0.000297,0.000126,0.000085,0.000000,0.000184,0.000080,0.000057,0.000048,0.004778,0.004799,0.004823,0.004823,0.406651,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.368883,1.558391,,,,1.368883,0.985754,,,,,,,,,,,,,,,,,,,,,1.368883,1.558391,0.985754,,,,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000000,0.000158,0.000171,0.000063,0.000031,0.000026,0.000291,0.000033,0.000033,0.010463,0.001519,0.001518,0.000779,0.000000,0.013248,0.000025,0.008049,0.001495,0.000589,0.000200,0.000118,0.000000,0.001029,0.000296,0.000106,0.000089,0.013298,0.013322,0.013349,0.013349,0.945349,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.215422,1.399145,,1.215422,1.215422,,0.975515,,,,,,,,,,,,,,,,,,,,,1.215422,1.399145,0.975515,,,,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000000,0.000161,0.000168,0.000063,0.000030,0.000026,0.000292,0.000033,0.000033,0.011127,0.001552,0.001551,0.000793,0.000000,0.013965,0.000045,0.008557,0.001577,0.000608,0.000205,0.000122,0.000000,0.001063,0.000296,0.000107,0.000089,0.014007,0.014037,0.014063,0.014063,0.945349,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.320288,1.410590,,1.320288,,1.320288,1.016913,,,,,,,,,,,,,,,,,,,,,1.320288,1.410590,1.016913,,,,
