Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Parallel Params Per Kernel Setting,Blur Images Parallel Dimensions,Init Message Values Parallel Dimensions,Level 0 Data Costs Parallel Dimensions,Level 1 Data Costs Parallel Dimensions,Level 2 Data Costs Parallel Dimensions,Level 3 Data Costs Parallel Dimensions,Level 4 Data Costs Parallel Dimensions,Level 0 BP Thread Parallel Dimensions,Level 1 BP Thread Parallel Dimensions,Level 2 BP Thread Parallel Dimensions,Level 3 BP Thread Parallel Dimensions,Level 4 BP Thread Parallel Dimensions,Level 0 Copy Thread Parallel Dimensions,Level 1 Copy Thread Parallel Dimensions,Level 2 Copy Thread Parallel Dimensions,Level 3 Copy Thread Parallel Dimensions,Level 4 Copy Thread Parallel Dimensions,Get Output Disparity Parallel Dimensions,Run Success,Acceleration,Device 0,Cuda version,Cuda Runtime Version,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,CUDA output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,CUDA output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,YES,CUDA,NVIDIA GH200 480GB with 132 multiprocessors,12040,12040,192,144,15,0.000000,0.000009,0.000019,0.000018,0.000017,0.000017,0.000072,0.000008,0.000008,0.000314,0.000084,0.000084,0.000014,0.000000,0.000505,0.000035,0.000064,0.000062,0.000061,0.000061,0.000060,0.000000,0.000023,0.000021,0.000020,0.000020,0.000516,0.000550,0.000558,0.000558,0.010479,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.036941,0.999402,1.036941,,1.036941,,0.997879,,,,,,,,,,,,,,,,,,1.036941,0.999402,0.997879,,,,
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,YES,CUDA,NVIDIA GH200 480GB with 132 multiprocessors,12040,12040,192,144,15,0.000000,0.000009,0.000019,0.000019,0.000018,0.000018,0.000074,0.000008,0.000008,0.000698,0.000089,0.000089,0.000013,0.000000,0.000896,0.000035,0.000143,0.000144,0.000137,0.000138,0.000136,0.000000,0.000023,0.000022,0.000021,0.000021,0.000906,0.000941,0.000948,0.000948,0.010479,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.368148,1.043699,1.368148,,,1.368148,1.003352,,,,,,,,,,,,,,,,,,1.368148,1.043699,1.003352,,,,
1,tsukubaSet,FLOAT,64,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,YES,CUDA,NVIDIA GH200 480GB with 132 multiprocessors,12040,12040,384,288,15,0.000000,0.000012,0.000024,0.000023,0.000022,0.000021,0.000090,0.000009,0.000009,0.000409,0.000122,0.000122,0.000020,0.000000,0.000664,0.000050,0.000109,0.000077,0.000073,0.000071,0.000071,0.000000,0.000031,0.000029,0.000027,0.000035,0.000679,0.000735,0.000746,0.000746,0.093570,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.050445,1.275395,3.050445,,3.050445,,1.011283,,,,,,,,,,,,,,,,,,3.050445,1.275395,1.011283,,,,
1,tsukubaSet,FLOAT,64,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,YES,CUDA,NVIDIA GH200 480GB with 132 multiprocessors,12040,12040,384,288,15,0.000000,0.000011,0.000024,0.000023,0.000022,0.000021,0.000090,0.000008,0.000008,0.001097,0.000128,0.000128,0.000020,0.000000,0.001360,0.000051,0.000282,0.000200,0.000203,0.000192,0.000218,0.000000,0.000033,0.000031,0.000029,0.000036,0.001375,0.001426,0.001437,0.001437,0.093570,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.415826,1.303609,2.415826,,,2.415826,1.002321,,,,,,,,,,,,,,,,,,2.415826,1.303609,1.002321,,,,
2,venus,FLOAT,64,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,YES,CUDA,NVIDIA GH200 480GB with 132 multiprocessors,12040,12040,434,383,15,0.000000,0.000014,0.000035,0.000030,0.000030,0.000029,0.000124,0.000009,0.000008,0.000562,0.000179,0.000179,0.000051,0.000000,0.000943,0.000053,0.000229,0.000091,0.000080,0.000078,0.000076,0.000000,0.000062,0.000037,0.000041,0.000038,0.000958,0.001011,0.001023,0.001023,0.282982,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.654271,1.549782,3.654271,,3.654271,,1.010680,,,,,,,,,,,,,,,,,,3.654271,1.549782,1.010680,,,,
2,venus,FLOAT,64,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,YES,CUDA,NVIDIA GH200 480GB with 132 multiprocessors,12040,12040,434,383,15,0.000000,0.000014,0.000035,0.000030,0.000030,0.000029,0.000127,0.000009,0.000009,0.001687,0.000187,0.000186,0.000042,0.000000,0.002069,0.000057,0.000605,0.000305,0.000266,0.000253,0.000256,0.000000,0.000064,0.000040,0.000042,0.000041,0.002086,0.002142,0.002154,0.002154,0.282982,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.677602,1.546541,2.677602,,,2.677602,1.026051,,,,,,,,,,,,,,,,,,2.677602,1.546541,1.026051,,,,
3,barn1,FLOAT,64,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,YES,CUDA,NVIDIA GH200 480GB with 132 multiprocessors,12040,12040,432,381,15,0.000000,0.000016,0.000038,0.000045,0.000045,0.000044,0.000171,0.000009,0.000009,0.000898,0.000258,0.000258,0.000076,0.000000,0.001431,0.000052,0.000445,0.000145,0.000105,0.000103,0.000095,0.000000,0.000105,0.000047,0.000052,0.000052,0.001447,0.001498,0.001510,0.001510,0.417977,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.859144,1.530193,,,3.859144,,1.015631,,,,,,,,,,,,,,,,,,3.859144,1.530193,1.015631,,,,
3,barn1,FLOAT,64,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,YES,CUDA,NVIDIA GH200 480GB with 132 multiprocessors,12040,12040,432,381,15,0.000000,0.000015,0.000032,0.000038,0.000037,0.000037,0.000145,0.000009,0.000009,0.002830,0.000264,0.000264,0.000057,0.000000,0.003323,0.000059,0.001214,0.000476,0.000416,0.000375,0.000346,0.000000,0.000104,0.000049,0.000053,0.000056,0.003340,0.003399,0.003412,0.003412,0.417977,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.098622,1.516163,,,,2.098622,1.069029,,,,,,,,,,,,,,,,,,2.098622,1.516163,1.069029,,,,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,YES,CUDA,NVIDIA GH200 480GB with 132 multiprocessors,12040,12040,450,375,15,0.000000,0.000026,0.000115,0.000090,0.000095,0.000073,0.000375,0.000012,0.000012,0.002935,0.000491,0.000491,0.000135,0.000000,0.003979,0.000054,0.001758,0.000504,0.000217,0.000224,0.000228,0.000000,0.000221,0.000105,0.000078,0.000087,0.003995,0.004049,0.004061,0.004061,0.959584,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.240984,1.378389,,4.240984,4.240984,,1.035659,,,,,,,,,,,,,,,,,,4.240984,1.378389,1.035659,,,,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,YES,CUDA,NVIDIA GH200 480GB with 132 multiprocessors,12040,12040,450,375,15,0.000000,0.000026,0.000094,0.000073,0.000076,0.000059,0.000305,0.000012,0.000012,0.007243,0.000502,0.000501,0.000100,0.000000,0.008193,0.000052,0.003606,0.001500,0.000737,0.000740,0.000660,0.000000,0.000217,0.000098,0.000092,0.000092,0.008208,0.008259,0.008271,0.008271,0.959584,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.448242,1.389665,,2.448242,,2.448242,1.109027,,,,,,,,,,,,,,,,,,2.448242,1.389665,1.109027,,,,
