Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,192,144,15,0.000000,0.000011,0.000020,0.000019,0.000019,0.000018,0.000076,0.000009,0.000009,0.000373,0.000089,0.000088,0.000031,0.000000,0.000591,0.000017,0.000102,0.000074,0.000066,0.000063,0.000063,0.000000,0.000026,0.000021,0.000021,0.000019,0.000612,0.000632,0.000634,0.000634,0.010650,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.281097,0.983375,1.281097,,1.281097,,1.402574,,,,,,,,,,,,,,,,,,,,,1.281097,0.983375,1.402574,,,,
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,192,144,15,0.000000,0.000011,0.000020,0.000020,0.000019,0.000020,0.000080,0.000010,0.000009,0.000525,0.000095,0.000095,0.000032,0.000000,0.000753,0.000018,0.000221,0.000103,0.000067,0.000065,0.000065,0.000000,0.000030,0.000023,0.000022,0.000021,0.000773,0.000791,0.000795,0.000795,0.010650,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.826050,1.026961,1.826050,,,1.826050,1.122062,,,,,,,,,,,,,,,,,,,,,1.826050,1.026961,1.122062,,,,
1,tsukubaSet,FLOAT,64,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000030,0.000028,0.000021,0.000020,0.000020,0.000089,0.000012,0.000012,0.000881,0.000196,0.000196,0.000044,0.000000,0.001251,0.000019,0.000476,0.000170,0.000091,0.000072,0.000066,0.000000,0.000106,0.000040,0.000024,0.000025,0.001270,0.001294,0.001309,0.001309,0.095051,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.740401,1.255526,1.740401,,1.740401,,1.012825,,,,,,,,,,,,,,,,,,,,,1.740401,1.255526,1.012825,,,,
1,tsukubaSet,FLOAT,64,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000030,0.000028,0.000021,0.000020,0.000019,0.000089,0.000013,0.000012,0.001828,0.000190,0.000190,0.000044,0.000000,0.002195,0.000019,0.001148,0.000376,0.000154,0.000080,0.000067,0.000000,0.000099,0.000040,0.000024,0.000025,0.002213,0.002232,0.002248,0.002248,0.095051,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.539278,1.283300,1.539278,,,1.539278,0.998664,,,,,,,,,,,,,,,,,,,,,1.539278,1.283300,0.998664,,,,
2,venus,FLOAT,64,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000041,0.000040,0.000024,0.000020,0.000020,0.000105,0.000015,0.000015,0.002473,0.000225,0.000224,0.000068,0.000000,0.002931,0.000019,0.001663,0.000455,0.000187,0.000101,0.000067,0.000000,0.000114,0.000044,0.000034,0.000034,0.002948,0.002967,0.002992,0.002992,0.274020,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.236349,1.600469,1.236349,,1.236349,,0.999626,,,,,,,,,,,,,,,,,,,,,1.236349,1.600469,0.999626,,,,
2,venus,FLOAT,64,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000041,0.000040,0.000024,0.000020,0.000020,0.000105,0.000015,0.000015,0.002788,0.000232,0.000231,0.000068,0.000000,0.003251,0.000019,0.001888,0.000510,0.000212,0.000102,0.000072,0.000000,0.000116,0.000044,0.000035,0.000034,0.003272,0.003291,0.003315,0.003315,0.274020,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.694106,1.597123,1.694106,,,1.694106,0.999036,,,,,,,,,,,,,,,,,,,,,1.694106,1.597123,0.999036,,,,
3,barn1,FLOAT,64,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000000,0.000055,0.000051,0.000028,0.000023,0.000021,0.000124,0.000018,0.000018,0.003680,0.000369,0.000368,0.000103,0.000000,0.004356,0.000021,0.002524,0.000685,0.000271,0.000119,0.000080,0.000000,0.000183,0.000078,0.000058,0.000049,0.004390,0.004411,0.004436,0.004436,0.413098,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.289750,1.548264,,,1.289750,,0.997568,,,,,,,,,,,,,,,,,,,,,1.289750,1.548264,0.997568,,,,
3,barn1,FLOAT,64,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000000,0.000055,0.000051,0.000028,0.000022,0.000021,0.000123,0.000018,0.000018,0.004035,0.000370,0.000370,0.000096,0.000000,0.004724,0.000021,0.002776,0.000745,0.000295,0.000125,0.000084,0.000000,0.000185,0.000080,0.000058,0.000047,0.004755,0.004776,0.004802,0.004802,0.413098,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.393909,1.534069,,,,1.393909,0.999427,,,,,,,,,,,,,,,,,,,,,1.393909,1.534069,0.999427,,,,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000000,0.000159,0.000171,0.000062,0.000030,0.000025,0.000288,0.000033,0.000033,0.010446,0.001523,0.001522,0.000779,0.000000,0.013248,0.000027,0.008045,0.001486,0.000582,0.000196,0.000122,0.000000,0.001037,0.000291,0.000107,0.000088,0.013291,0.013319,0.013354,0.013354,0.926258,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.247654,1.427983,,1.247654,1.247654,,1.001810,,,,,,,,,,,,,,,,,,,,,1.247654,1.427983,1.001810,,,,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000000,0.000159,0.000174,0.000061,0.000030,0.000025,0.000295,0.000033,0.000033,0.010988,0.001554,0.001553,0.000786,0.000000,0.013840,0.000025,0.008512,0.001563,0.000602,0.000204,0.000122,0.000000,0.001069,0.000295,0.000105,0.000085,0.013880,0.013906,0.013931,0.013931,0.926258,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.292611,1.439664,,1.292611,,1.292611,0.986258,,,,,,,,,,,,,,,,,,,,,1.292611,1.439664,0.986258,,,,
