Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000024,0.000015,0.000011,0.000010,0.000009,0.000044,0.000011,0.000011,0.000326,0.000124,0.000123,0.000020,0.000000,0.000544,0.000008,0.000131,0.000054,0.000046,0.000049,0.000036,0.000000,0.000043,0.000027,0.000027,0.000026,0.000561,0.000568,0.000574,0.000574,0.007338,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.005756,1.427216,1.005756,,1.005756,,0.997153,,,,,,,,,,,,,,,,,,,,1.005756,1.427216,0.997153,,,,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000026,0.000015,0.000011,0.000010,0.000008,0.000044,0.000020,0.000020,0.000561,0.000124,0.000123,0.000020,0.000000,0.000797,0.000008,0.000281,0.000123,0.000058,0.000064,0.000041,0.000000,0.000047,0.000027,0.000025,0.000028,0.000816,0.000824,0.000830,0.000830,0.007338,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.527287,1.490475,1.527287,,,1.527287,0.979952,,,,,,,,,,,,,,,,,,,,1.527287,1.490475,0.979952,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000158,0.000065,0.000023,0.000013,0.000014,0.000113,0.000019,0.000019,0.001941,0.001139,0.001138,0.000182,0.000000,0.003529,0.000016,0.001440,0.000273,0.000104,0.000066,0.000072,0.000000,0.000916,0.000124,0.000059,0.000042,0.003550,0.003565,0.003599,0.003599,0.086688,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.615264,1.376655,0.615264,,0.615264,,0.984320,,,,,,,,,,,,,,,,,,,,0.615264,1.376655,0.984320,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000165,0.000074,0.000025,0.000015,0.000014,0.000126,0.000033,0.000033,0.002860,0.001143,0.001142,0.000200,0.000000,0.004462,0.000017,0.002083,0.000399,0.000145,0.000098,0.000119,0.000000,0.000909,0.000143,0.000049,0.000042,0.004484,0.004500,0.004534,0.004534,0.086688,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.768851,1.407109,0.768851,,,0.768851,1.006266,,,,,,,,,,,,,,,,,,,,0.768851,1.407109,1.006266,,,,
2,venus,FLOAT,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000373,0.000170,0.000046,0.000017,0.000016,0.000249,0.000028,0.000027,0.007965,0.001761,0.001760,0.000376,0.000001,0.010725,0.000031,0.006637,0.000807,0.000240,0.000109,0.000145,0.000000,0.001338,0.000247,0.000139,0.000062,0.010760,0.010788,0.010858,0.010858,0.225325,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.421364,1.946346,0.421364,,0.421364,,1.236385,,,,,,,,,,,,,,,,,,,,0.421364,1.946346,1.236385,,,,
2,venus,FLOAT,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000001,0.000322,0.000159,0.000043,0.000016,0.000019,0.000238,0.000026,0.000026,0.010848,0.001815,0.001814,0.000379,0.000000,0.013620,0.000035,0.008875,0.001244,0.000391,0.000149,0.000176,0.000000,0.001366,0.000260,0.000130,0.000064,0.013656,0.013683,0.013757,0.013757,0.225325,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.438336,1.942276,0.438336,,,0.438336,1.072777,,,,,,,,,,,,,,,,,,,,0.438336,1.942276,1.072777,,,,
3,barn1,FLOAT,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.000484,0.000312,0.000071,0.000028,0.000033,0.000451,0.000038,0.000037,0.015190,0.003838,0.003837,0.001089,0.000001,0.021015,0.000033,0.012966,0.001430,0.000380,0.000154,0.000235,0.000000,0.002873,0.000590,0.000290,0.000088,0.021074,0.021106,0.021184,0.021184,0.419528,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.311956,1.524536,,,0.311956,,1.152144,,,,,,,,,,,,,,,,,,,,0.311956,1.524536,1.152144,,,,
3,barn1,FLOAT,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.000466,0.000326,0.000072,0.000029,0.000019,0.000446,0.000036,0.000035,0.018640,0.003895,0.003894,0.001004,0.000001,0.024475,0.000032,0.015631,0.001978,0.000609,0.000189,0.000251,0.000000,0.002948,0.000569,0.000281,0.000097,0.024514,0.024545,0.024622,0.024622,0.419528,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.273698,1.510558,,,,0.273698,1.006216,,,,,,,,,,,,,,,,,,,,0.273698,1.510558,1.006216,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.000927,0.001448,0.000415,0.000103,0.000029,0.001996,0.000037,0.000036,0.033575,0.010452,0.010451,0.003199,0.000002,0.050200,0.000033,0.026968,0.004822,0.001050,0.000248,0.000469,0.000000,0.007068,0.002559,0.000698,0.000153,0.050245,0.050278,0.050360,0.050360,0.911886,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.330507,1.450488,,0.330507,0.330507,,1.000778,,,,,,,,,,,,,,,,,,,,0.330507,1.450488,1.000778,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.000975,0.001424,0.000333,0.000074,0.000029,0.001857,0.000037,0.000036,0.036673,0.010240,0.010238,0.003253,0.000002,0.053152,0.000033,0.029403,0.005414,0.000976,0.000285,0.000489,0.000000,0.007044,0.002371,0.000656,0.000167,0.053190,0.053223,0.053304,0.053304,0.911886,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.338818,1.462354,,0.338818,,0.338818,0.989152,,,,,,,,,,,,,,,,,,,,0.338818,1.462354,0.989152,,,,
