Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000024,0.000015,0.000010,0.000011,0.000009,0.000043,0.000011,0.000011,0.000308,0.000126,0.000126,0.000019,0.000000,0.000530,0.000008,0.000130,0.000059,0.000042,0.000047,0.000035,0.000000,0.000054,0.000026,0.000023,0.000027,0.000547,0.000554,0.000560,0.000560,0.007435,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.042842,1.408568,1.042842,,1.042842,,1.008223,,,,,,,,,,,,,,,,,,,,,,1.042842,1.408568,1.008223,,,,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000026,0.000014,0.000009,0.000010,0.000008,0.000041,0.000020,0.000020,0.000614,0.000144,0.000143,0.000019,0.000000,0.000872,0.000007,0.000284,0.000114,0.000057,0.000069,0.000042,0.000000,0.000065,0.000027,0.000023,0.000026,0.000891,0.000897,0.000903,0.000903,0.007435,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.551134,1.471000,1.551134,,,1.551134,1.083420,,,,,,,,,,,,,,,,,,,,,,1.551134,1.471000,1.083420,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000145,0.000065,0.000022,0.000015,0.000015,0.000117,0.000041,0.000040,0.001892,0.001121,0.001120,0.000185,0.000000,0.003487,0.000015,0.001410,0.000269,0.000107,0.000066,0.000069,0.000000,0.000899,0.000132,0.000048,0.000042,0.003510,0.003525,0.003560,0.003560,0.084848,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.618563,1.406504,0.618563,,0.618563,,0.978864,,,,,,,,,,,,,,,,,,,,,,0.618563,1.406504,0.978864,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000149,0.000065,0.000023,0.000014,0.000014,0.000115,0.000024,0.000024,0.002848,0.001121,0.001120,0.000194,0.000000,0.004416,0.000016,0.002097,0.000433,0.000142,0.000085,0.000107,0.000000,0.000930,0.000121,0.000047,0.000038,0.004436,0.004452,0.004486,0.004486,0.084848,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.767868,1.437619,0.767868,,,0.767868,0.994266,,,,,,,,,,,,,,,,,,,,,,0.767868,1.437619,0.994266,,,,
2,venus,FLOAT,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000301,0.000169,0.000041,0.000015,0.000018,0.000241,0.000030,0.000030,0.007746,0.001740,0.001739,0.000390,0.000000,0.010419,0.000028,0.006548,0.000727,0.000249,0.000111,0.000134,0.000000,0.001331,0.000245,0.000131,0.000061,0.010447,0.010471,0.010537,0.010537,0.221208,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.316723,1.982577,0.316723,,0.316723,,0.901853,,,,,,,,,,,,,,,,,,,,,,0.316723,1.982577,0.901853,,,,
2,venus,FLOAT,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000304,0.000154,0.000078,0.000016,0.000016,0.000262,0.000027,0.000027,0.010530,0.001813,0.001812,0.000398,0.000001,0.013246,0.000029,0.008552,0.001218,0.000373,0.000148,0.000186,0.000000,0.001389,0.000257,0.000119,0.000063,0.013277,0.013307,0.013374,0.013374,0.221208,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.409858,1.978432,0.409858,,,0.409858,0.975209,,,,,,,,,,,,,,,,,,,,,,0.409858,1.978432,0.975209,,,,
3,barn1,FLOAT,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.000470,0.000317,0.000068,0.000028,0.000021,0.000434,0.000034,0.000034,0.015153,0.003885,0.003884,0.000976,0.000001,0.020871,0.000032,0.012901,0.001476,0.000376,0.000169,0.000238,0.000000,0.002911,0.000621,0.000268,0.000084,0.020909,0.020941,0.021021,0.021021,0.421534,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.314270,1.517280,,,0.314270,,1.151741,,,,,,,,,,,,,,,,,,,,,,0.314270,1.517280,1.151741,,,,
3,barn1,FLOAT,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.000441,0.000327,0.000070,0.000043,0.000018,0.000450,0.000033,0.000033,0.018681,0.003883,0.003882,0.001005,0.000001,0.024471,0.000033,0.015753,0.001913,0.000527,0.000195,0.000252,0.000000,0.002936,0.000596,0.000264,0.000086,0.024512,0.024543,0.024621,0.024621,0.421534,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.229464,1.503369,,,,0.229464,0.843577,,,,,,,,,,,,,,,,,,,,,,0.229464,1.503369,0.843577,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.000903,0.001432,0.000336,0.000076,0.000027,0.001870,0.000039,0.000038,0.033661,0.010332,0.010331,0.003301,0.000002,0.050106,0.000034,0.027363,0.004783,0.000815,0.000258,0.000479,0.000000,0.007108,0.002375,0.000697,0.000159,0.050150,0.050183,0.050286,0.050286,0.901390,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.324335,1.467379,,0.324335,0.324335,,0.980642,,,,,,,,,,,,,,,,,,,,,,0.324335,1.467379,0.980642,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.000922,0.001443,0.000344,0.000076,0.000028,0.001872,0.000038,0.000037,0.037000,0.010540,0.010538,0.003260,0.000001,0.053599,0.000065,0.029726,0.005396,0.001005,0.000307,0.000504,0.000000,0.007271,0.002407,0.000694,0.000178,0.053639,0.053704,0.053786,0.053786,0.901390,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.338034,1.479382,,0.338034,,0.338034,0.995796,,,,,,,,,,,,,,,,,,,,,,0.338034,1.479382,0.995796,,,,
