Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000022,0.000015,0.000011,0.000009,0.000008,0.000043,0.000012,0.000011,0.000334,0.000136,0.000135,0.000020,0.000000,0.000580,0.000007,0.000128,0.000056,0.000052,0.000045,0.000036,0.000000,0.000044,0.000043,0.000032,0.000026,0.000595,0.000602,0.000608,0.000608,0.007391,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.951055,1.416968,0.951055,,0.951055,,0.997722,,,,,,,,,,,,,,,,,,0.951055,1.416968,0.997722,,,,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000025,0.000015,0.000011,0.000010,0.000008,0.000045,0.000015,0.000014,0.000553,0.000127,0.000126,0.000019,0.000000,0.000784,0.000007,0.000272,0.000093,0.000061,0.000078,0.000047,0.000000,0.000044,0.000028,0.000026,0.000024,0.000802,0.000809,0.000815,0.000815,0.007391,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.583998,1.479772,1.583998,,,1.583998,0.998338,,,,,,,,,,,,,,,,,,1.583998,1.479772,0.998338,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000141,0.000065,0.000023,0.000012,0.000015,0.000115,0.000032,0.000032,0.001897,0.001125,0.001124,0.000190,0.000000,0.003504,0.000016,0.001390,0.000284,0.000094,0.000074,0.000073,0.000000,0.000913,0.000124,0.000047,0.000042,0.003527,0.003543,0.003578,0.003578,0.085014,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.632706,1.403758,0.632706,,0.632706,,1.006459,,,,,,,,,,,,,,,,,,0.632706,1.403758,1.006459,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000153,0.000067,0.000023,0.000013,0.000013,0.000115,0.000054,0.000054,0.002904,0.001127,0.001126,0.000183,0.000000,0.004505,0.000016,0.002150,0.000441,0.000141,0.000082,0.000090,0.000000,0.000921,0.000128,0.000045,0.000058,0.004526,0.004540,0.004576,0.004576,0.085014,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.748233,1.434812,0.748233,,,0.748233,0.988317,,,,,,,,,,,,,,,,,,0.748233,1.434812,0.988317,,,,
2,venus,FLOAT,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000294,0.000143,0.000042,0.000034,0.000017,0.000235,0.000028,0.000027,0.007658,0.001819,0.001818,0.000391,0.000000,0.010374,0.000028,0.006399,0.000733,0.000244,0.000109,0.000142,0.000000,0.001380,0.000292,0.000136,0.000067,0.010408,0.010436,0.010507,0.010507,0.222040,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.354523,1.975142,0.354523,,0.354523,,1.006606,,,,,,,,,,,,,,,,,,0.354523,1.975142,1.006606,,,,
2,venus,FLOAT,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000328,0.000195,0.000045,0.000016,0.000018,0.000272,0.000027,0.000027,0.010606,0.001781,0.001780,0.000389,0.000000,0.013396,0.000028,0.008691,0.001207,0.000378,0.000149,0.000177,0.000000,0.001353,0.000238,0.000122,0.000068,0.013428,0.013456,0.013523,0.013523,0.222040,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.445918,1.971012,0.445918,,,0.445918,1.072791,,,,,,,,,,,,,,,,,,0.445918,1.971012,1.072791,,,,
3,barn1,FLOAT,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.000499,0.000351,0.000070,0.000030,0.000020,0.000472,0.000035,0.000034,0.015040,0.003821,0.003820,0.000982,0.000001,0.020830,0.000032,0.012858,0.001422,0.000363,0.000160,0.000243,0.000000,0.002888,0.000557,0.000283,0.000104,0.020868,0.020900,0.020981,0.020981,0.421274,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.314251,1.518214,,,0.314251,,1.149495,,,,,,,,,,,,,,,,,,0.314251,1.518214,1.149495,,,,
3,barn1,FLOAT,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.000444,0.000343,0.000073,0.000029,0.000022,0.000465,0.000034,0.000033,0.018795,0.003902,0.003900,0.000982,0.000001,0.024678,0.000032,0.015806,0.001936,0.000578,0.000190,0.000270,0.000000,0.002970,0.000576,0.000289,0.000086,0.024712,0.024744,0.024823,0.024823,0.421274,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.274882,1.504295,,,,0.274882,1.018854,,,,,,,,,,,,,,,,,,0.274882,1.504295,1.018854,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.000948,0.001429,0.000363,0.000105,0.000030,0.001899,0.000039,0.000038,0.033318,0.010280,0.010279,0.003216,0.000001,0.049694,0.000035,0.026921,0.004779,0.000933,0.000233,0.000479,0.000000,0.007076,0.002409,0.000675,0.000174,0.049743,0.049776,0.049859,0.049859,0.900266,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.330009,1.469210,,0.330009,0.330009,,0.989327,,,,,,,,,,,,,,,,,,0.330009,1.469210,0.989327,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.000938,0.001472,0.000360,0.000079,0.000030,0.001943,0.000041,0.000040,0.038073,0.010341,0.010339,0.003263,0.000001,0.054716,0.000034,0.030602,0.005467,0.001149,0.000317,0.000509,0.000000,0.007125,0.002368,0.000699,0.000172,0.054755,0.054788,0.054870,0.054870,0.900266,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333286,1.481229,,0.333286,,0.333286,1.001596,,,,,,,,,,,,,,,,,,0.333286,1.481229,1.001596,,,,
