Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000022,0.000016,0.000012,0.000011,0.000009,0.000047,0.000011,0.000011,0.000344,0.000127,0.000127,0.000019,0.000000,0.000571,0.000007,0.000141,0.000061,0.000046,0.000048,0.000036,0.000000,0.000046,0.000027,0.000025,0.000031,0.000588,0.000596,0.000602,0.000602,0.007510,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.982106,1.394638,0.982106,,0.982106,,1.021080,,,,,,,,,,,,,,,,,,0.982106,1.394638,1.021080,,,,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000026,0.000015,0.000010,0.000011,0.000009,0.000045,0.000014,0.000014,0.000575,0.000132,0.000131,0.000019,0.000000,0.000832,0.000009,0.000280,0.000095,0.000065,0.000074,0.000043,0.000000,0.000049,0.000028,0.000025,0.000026,0.000851,0.000860,0.000867,0.000867,0.007510,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.634860,1.456453,1.634860,,,1.634860,1.095963,,,,,,,,,,,,,,,,,,1.634860,1.456453,1.095963,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000172,0.000094,0.000023,0.000016,0.000013,0.000141,0.000030,0.000030,0.001833,0.001102,0.001101,0.000180,0.000000,0.003429,0.000018,0.001332,0.000254,0.000102,0.000066,0.000091,0.000000,0.000890,0.000129,0.000045,0.000039,0.003449,0.003467,0.003502,0.003502,0.086060,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.622965,1.386690,0.622965,,0.622965,,0.969976,,,,,,,,,,,,,,,,,,0.622965,1.386690,0.969976,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000156,0.000065,0.000023,0.000016,0.000014,0.000118,0.000039,0.000039,0.002888,0.001135,0.001135,0.000182,0.000000,0.004512,0.000015,0.002158,0.000446,0.000149,0.000092,0.000092,0.000000,0.000896,0.000147,0.000062,0.000040,0.004532,0.004546,0.004582,0.004582,0.086060,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.756988,1.417366,0.756988,,,0.756988,1.001134,,,,,,,,,,,,,,,,,,0.756988,1.417366,1.001134,,,,
2,venus,FLOAT,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000292,0.000148,0.000041,0.000015,0.000020,0.000225,0.000026,0.000025,0.007706,0.001789,0.001788,0.000391,0.000001,0.010417,0.000028,0.006369,0.000729,0.000239,0.000109,0.000145,0.000000,0.001354,0.000253,0.000140,0.000061,0.010447,0.010472,0.010539,0.010539,0.225664,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.348143,1.943426,0.348143,,0.348143,,0.991507,,,,,,,,,,,,,,,,,,0.348143,1.943426,0.991507,,,,
2,venus,FLOAT,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000001,0.000347,0.000145,0.000042,0.000016,0.000014,0.000218,0.000027,0.000026,0.010743,0.001821,0.001821,0.000396,0.000000,0.013408,0.000030,0.008701,0.001239,0.000385,0.000141,0.000197,0.000000,0.001376,0.000258,0.000128,0.000069,0.013440,0.013469,0.013540,0.013540,0.225664,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.416457,1.939362,0.416457,,,0.416457,1.003163,,,,,,,,,,,,,,,,,,0.416457,1.939362,1.003163,,,,
3,barn1,FLOAT,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.000455,0.000350,0.000077,0.000033,0.000020,0.000482,0.000041,0.000040,0.015448,0.004007,0.004006,0.001050,0.000001,0.021541,0.000032,0.013244,0.001471,0.000362,0.000150,0.000236,0.000000,0.003027,0.000602,0.000297,0.000103,0.021581,0.021613,0.021693,0.021693,0.422456,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.310733,1.513970,,,0.310733,,1.175226,,,,,,,,,,,,,,,,,,0.310733,1.513970,1.175226,,,,
3,barn1,FLOAT,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.000485,0.000326,0.000071,0.000029,0.000019,0.000442,0.000036,0.000036,0.018920,0.003961,0.003959,0.001004,0.000001,0.024911,0.000032,0.015917,0.001990,0.000537,0.000196,0.000279,0.000000,0.002981,0.000600,0.000300,0.000087,0.024951,0.024983,0.025063,0.025063,0.422456,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.268371,1.500089,,,,0.268371,1.004331,,,,,,,,,,,,,,,,,,0.268371,1.500089,1.004331,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000000,0.000945,0.001429,0.000369,0.000091,0.000027,0.001914,0.000038,0.000038,0.034638,0.010484,0.010482,0.003400,0.000002,0.051426,0.000055,0.028137,0.004761,0.000993,0.000253,0.000482,0.000000,0.007294,0.002382,0.000673,0.000178,0.051469,0.051502,0.051584,0.051584,0.911543,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325676,1.451035,,0.325676,0.325676,,1.010135,,,,,,,,,,,,,,,,,,0.325676,1.451035,1.010135,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.000958,0.001450,0.000346,0.000090,0.000028,0.001899,0.000037,0.000037,0.036860,0.010538,0.010536,0.003231,0.000002,0.053548,0.000033,0.029690,0.005296,0.001058,0.000282,0.000503,0.000000,0.007123,0.002627,0.000668,0.000181,0.053587,0.053621,0.053706,0.053706,0.911543,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.335941,1.462905,,0.335941,,0.335941,0.988160,,,,,,,,,,,,,,,,,,0.335941,1.462905,0.988160,,,,
