Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000022,0.000016,0.000010,0.000010,0.000010,0.000045,0.000011,0.000011,0.000339,0.000119,0.000119,0.000022,0.000000,0.000566,0.000008,0.000142,0.000057,0.000043,0.000047,0.000037,0.000000,0.000044,0.000028,0.000026,0.000024,0.000581,0.000589,0.000595,0.000595,0.007447,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.021913,1.406427,1.021913,,1.021913,,1.048495,,,,,,,,,,,,,,,,,,1.021913,1.406427,1.048495,,,,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000025,0.000015,0.000010,0.000010,0.000008,0.000044,0.000015,0.000014,0.000525,0.000134,0.000133,0.000019,0.000000,0.000748,0.000007,0.000270,0.000098,0.000057,0.000060,0.000039,0.000000,0.000045,0.000028,0.000023,0.000023,0.000764,0.000771,0.000777,0.000777,0.007447,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.692042,1.468765,1.692042,,,1.692042,1.016508,,,,,,,,,,,,,,,,,,1.692042,1.468765,1.016508,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000141,0.000065,0.000023,0.000013,0.000014,0.000114,0.000034,0.000034,0.001898,0.001090,0.001089,0.000194,0.000000,0.003438,0.000016,0.001380,0.000260,0.000096,0.000065,0.000070,0.000000,0.000888,0.000116,0.000046,0.000043,0.003458,0.003474,0.003508,0.003508,0.085367,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.632111,1.397959,0.632111,,0.632111,,0.985810,,,,,,,,,,,,,,,,,,0.632111,1.397959,0.985810,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000146,0.000064,0.000022,0.000013,0.000015,0.000114,0.000025,0.000024,0.002880,0.001130,0.001129,0.000191,0.000000,0.004488,0.000016,0.002081,0.000431,0.000145,0.000090,0.000103,0.000000,0.000911,0.000143,0.000050,0.000058,0.004510,0.004525,0.004559,0.004559,0.085367,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.747726,1.428885,0.747726,,,0.747726,0.983939,,,,,,,,,,,,,,,,,,0.747726,1.428885,0.983939,,,,
2,venus,FLOAT,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000001,0.000300,0.000174,0.000046,0.000016,0.000016,0.000249,0.000025,0.000025,0.007579,0.001774,0.001773,0.000389,0.000000,0.010333,0.000030,0.006364,0.000708,0.000252,0.000124,0.000137,0.000000,0.001333,0.000257,0.000136,0.000068,0.010367,0.010397,0.010467,0.010467,0.222869,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.349446,1.967795,0.349446,,0.349446,,0.988400,,,,,,,,,,,,,,,,,,0.349446,1.967795,0.988400,,,,
2,venus,FLOAT,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000001,0.000364,0.000142,0.000042,0.000015,0.000017,0.000216,0.000026,0.000025,0.010559,0.001835,0.001834,0.000395,0.000001,0.013265,0.000030,0.008551,0.001225,0.000367,0.000147,0.000188,0.000000,0.001386,0.000242,0.000138,0.000068,0.013298,0.013328,0.013398,0.013398,0.222869,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.217412,1.963681,0.217412,,,0.217412,0.518202,,,,,,,,,,,,,,,,,,0.217412,1.963681,0.518202,,,,
3,barn1,FLOAT,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.000453,0.000346,0.000095,0.000032,0.000020,0.000494,0.000033,0.000033,0.015515,0.004074,0.004073,0.001038,0.000001,0.021530,0.000034,0.013242,0.001460,0.000371,0.000163,0.000242,0.000000,0.003002,0.000656,0.000332,0.000082,0.021572,0.021604,0.021682,0.021682,0.423067,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315209,1.511783,,,0.315209,,1.191546,,,,,,,,,,,,,,,,,,0.315209,1.511783,1.191546,,,,
3,barn1,FLOAT,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.000492,0.000335,0.000072,0.000029,0.000019,0.000455,0.000035,0.000034,0.018587,0.003767,0.003766,0.001020,0.000001,0.024326,0.000032,0.015622,0.001997,0.000511,0.000198,0.000262,0.000000,0.002854,0.000572,0.000272,0.000090,0.024370,0.024402,0.024481,0.024481,0.423067,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.281200,1.497923,,,,0.281200,1.027910,,,,,,,,,,,,,,,,,,0.281200,1.497923,1.027910,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.000987,0.001476,0.000331,0.000084,0.000029,0.001921,0.000039,0.000038,0.033532,0.010210,0.010209,0.003249,0.000001,0.049943,0.000035,0.026993,0.004841,0.001003,0.000251,0.000481,0.000000,0.007058,0.002376,0.000633,0.000159,0.049983,0.050016,0.050098,0.050098,0.900665,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.329670,1.468559,,0.329670,0.329670,,0.993053,,,,,,,,,,,,,,,,,,0.329670,1.468559,0.993053,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.000917,0.001430,0.000334,0.000075,0.000030,0.001863,0.000038,0.000037,0.036487,0.010456,0.010454,0.003219,0.000001,0.053162,0.000033,0.029310,0.005325,0.001103,0.000264,0.000485,0.000000,0.007068,0.002616,0.000635,0.000158,0.053202,0.053236,0.053316,0.053316,0.900665,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343706,1.480572,,0.343706,,0.343706,1.003655,,,,,,,,,,,,,,,,,,0.343706,1.480572,1.003655,,,,
