Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,16,64,16,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,192,144,15,0.000000,0.000021,0.000012,0.000006,0.000006,0.000005,0.000030,0.000007,0.000007,0.000262,0.000090,0.000090,0.000014,0.000000,0.000428,0.000004,0.000123,0.000045,0.000027,0.000041,0.000027,0.000000,0.000038,0.000017,0.000015,0.000020,0.000444,0.000449,0.000457,0.000457,0.010842,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.385553,0.965971,1.385553,,1.385553,,1.093607,,,,,,,,,,,,,,,,,,,,,,,,1.385553,0.965971,1.093607,,,,
0,tsukubaSetHalfSize,FLOAT,16,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,192,144,15,0.000000,0.000026,0.000012,0.000006,0.000006,0.000005,0.000029,0.000007,0.000007,0.001102,0.000091,0.000091,0.000100,0.000000,0.001295,0.000005,0.000684,0.000189,0.000083,0.000065,0.000030,0.000000,0.000038,0.000018,0.000015,0.000019,0.001314,0.001319,0.001327,0.001327,0.010842,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.955872,1.008786,0.955872,,,0.955872,0.981345,,,,,,,,,,,,,,,,,,,,,,,,0.955872,1.008786,0.981345,,,,
1,tsukubaSet,FLOAT,16,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX256,384,288,15,0.000001,0.000167,0.000079,0.000029,0.000014,0.000010,0.000132,0.000020,0.000020,0.004073,0.001690,0.001690,0.000516,0.000000,0.006614,0.000059,0.003455,0.000424,0.000119,0.000041,0.000027,0.000000,0.001097,0.000362,0.000113,0.000041,0.006650,0.006710,0.006753,0.006753,0.084939,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.301514,1.404996,0.301514,,0.301514,,0.905199,,,,,,,,,,,,,,,,,,,,,,,,0.301514,1.404996,0.905199,,,,
1,tsukubaSet,FLOAT,16,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,384,288,15,0.000001,0.000209,0.000103,0.000030,0.000012,0.000009,0.000156,0.000019,0.000019,0.008454,0.001898,0.001897,0.000584,0.000001,0.011328,0.000056,0.006400,0.001419,0.000378,0.000161,0.000117,0.000000,0.001344,0.000394,0.000114,0.000043,0.011369,0.011426,0.011473,0.011473,0.084939,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325575,1.436077,0.325575,,,0.325575,1.078143,,,,,,,,,,,,,,,,,,,,,,,,0.325575,1.436077,1.078143,,,,
2,venus,FLOAT,16,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,434,383,15,0.000001,0.000616,0.000478,0.000082,0.000014,0.000009,0.000584,0.000025,0.000025,0.019072,0.006548,0.006548,0.002372,0.000001,0.029256,0.000075,0.017485,0.001101,0.000238,0.000093,0.000137,0.000000,0.005299,0.000964,0.000222,0.000069,0.029293,0.029440,0.029501,0.029501,0.289046,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131272,1.517270,0.131272,,0.131272,,1.046542,,,,,,,,,,,,,,,,,,,,,,,,0.131272,1.517270,1.046542,,,,
2,venus,FLOAT,16,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,434,383,15,0.000001,0.000618,0.000483,0.000080,0.000018,0.000010,0.000594,0.000026,0.000026,0.020895,0.006547,0.006545,0.002320,0.000001,0.031075,0.000076,0.017307,0.002480,0.000668,0.000203,0.000204,0.000000,0.005302,0.000927,0.000217,0.000067,0.031115,0.031191,0.031252,0.031252,0.289046,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.181342,1.514098,0.181342,,,0.181342,1.008241,,,,,,,,,,,,,,,,,,,,,,,,0.181342,1.514098,1.008241,,,,
3,barn1,FLOAT,16,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,432,381,15,0.000001,0.001129,0.001212,0.000150,0.000035,0.000013,0.001417,0.000034,0.000033,0.032425,0.010946,0.010945,0.003881,0.000001,0.049830,0.000074,0.029760,0.001930,0.000356,0.000129,0.000202,0.000000,0.008851,0.001606,0.000391,0.000109,0.049874,0.049947,0.050004,0.050004,0.493214,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.116340,1.296769,,,0.116340,,1.014246,,,,,,,,,,,,,,,,,,,,,,,,0.116340,1.296769,1.014246,,,,
3,barn1,FLOAT,16,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,432,381,15,0.000001,0.001079,0.001185,0.000154,0.000038,0.000011,0.001398,0.000029,0.000029,0.033910,0.010892,0.010891,0.003792,0.000001,0.051060,0.000075,0.029570,0.003099,0.000745,0.000214,0.000251,0.000000,0.008793,0.001569,0.000393,0.000108,0.051102,0.051178,0.051239,0.051239,0.493214,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130651,1.284880,,,,0.130651,0.999592,,,,,,,,,,,,,,,,,,,,,,,,0.130651,1.284880,0.999592,,,,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,450,375,15,0.000001,0.003084,0.004453,0.000747,0.000092,0.000024,0.005337,0.000050,0.000049,0.081800,0.026204,0.026202,0.008378,0.000001,0.124896,0.000076,0.068751,0.011515,0.000857,0.000238,0.000433,0.000000,0.019591,0.005418,0.000949,0.000214,0.124936,0.125012,0.125072,0.125072,0.971568,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138344,1.361388,,0.138344,0.138344,,1.040383,,,,,,,,,,,,,,,,,,,,,,,,0.138344,1.361388,1.040383,,,,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,450,375,15,0.000001,0.002864,0.004187,0.000729,0.000098,0.000024,0.005051,0.000048,0.000047,0.083009,0.027407,0.027404,0.008458,0.000001,0.126904,0.000075,0.069461,0.011603,0.001203,0.000313,0.000480,0.000000,0.020347,0.005870,0.000929,0.000209,0.126943,0.127019,0.127080,0.127080,0.971568,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.149816,1.372524,,0.149816,,0.149816,1.042743,,,,,,,,,,,,,,,,,,,,,,,,0.149816,1.372524,1.042743,,,,
5,conesHalfSize,FLOAT,16,64,16,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,900,750,7,0.000001,0.029424,0.037295,0.008148,0.001712,0.000239,0.047398,0.000309,0.000309,0.814823,0.199977,0.199969,0.079268,0.000001,1.190565,0.000392,0.631413,0.148592,0.029204,0.002703,0.000489,0.000000,0.146319,0.036463,0.012449,0.002076,1.190612,1.197369,1.197613,1.197613,7.791411,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.202526,1.311277,,0.202526,0.202526,,1.059853,,,,,,,,,,,,,,,,,,,,,,,,0.202526,1.311277,1.059853,,,,
5,conesHalfSize,FLOAT,16,64,16,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,900,750,7,0.000001,0.028969,0.036924,0.008082,0.001681,0.000219,0.046924,0.000308,0.000306,0.811944,0.198828,0.198826,0.078379,0.000001,1.165718,0.000348,0.631273,0.147229,0.029646,0.002880,0.000573,0.000000,0.147781,0.036071,0.012967,0.002087,1.165761,1.166109,1.166342,1.166342,7.791411,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.205627,1.316462,,0.205627,,0.205627,1.035844,,,,,,,,,,,,,,,,,,,,,,,,0.205627,1.316462,1.035844,,,,
6,conesFullSizeCropped,FLOAT,16,64,16,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,900,750,7,0.000001,0.055635,0.072560,0.016903,0.003543,0.000621,0.093624,0.000641,0.000638,1.716454,0.442242,0.442239,0.164746,0.000001,2.482635,0.000354,1.315720,0.311774,0.070516,0.016535,0.001103,0.000000,0.305637,0.091264,0.038744,0.006160,2.482679,2.486762,2.487015,2.487015,15.255250,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.197124,1.224437,,0.197124,0.197124,,1.042944,,,,,,,,,,,,,,,,,,,,,,,,0.197124,1.224437,1.042944,,,,
6,conesFullSizeCropped,FLOAT,16,64,16,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,900,750,7,0.000001,0.059298,0.075482,0.017140,0.003658,0.000591,0.096817,0.000640,0.000639,1.743284,0.445601,0.445599,0.166018,0.000001,2.510331,0.000359,1.340878,0.314182,0.070553,0.015784,0.001211,0.000000,0.306994,0.092582,0.039920,0.006216,2.510374,2.510742,2.510976,2.510976,15.255250,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.197746,1.219934,,0.197746,,0.197746,1.047642,,,,,,,,,,,,,,,,,,,,,,,,0.197746,1.219934,1.047642,,,,
0,tsukubaSetHalfSize,DOUBLE,16,64,16,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,192,144,15,0.000000,0.000025,0.000013,0.000006,0.000005,0.000005,0.000030,0.000006,0.000006,0.000406,0.000100,0.000100,0.000023,0.000000,0.000593,0.000005,0.000233,0.000075,0.000032,0.000040,0.000026,0.000000,0.000054,0.000020,0.000013,0.000012,0.000610,0.000615,0.000624,0.000624,0.010842,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,1.149043,1.024133,1.149043,,1.149043,,0.996898,,,,,,,,,,,,,,1.149043,1.024133,0.996898,,,,
0,tsukubaSetHalfSize,DOUBLE,16,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,192,144,15,0.000000,0.000029,0.000013,0.000006,0.000005,0.000005,0.000030,0.000006,0.000006,0.001837,0.000105,0.000104,0.000230,0.000000,0.002229,0.000006,0.001235,0.000370,0.000132,0.000062,0.000030,0.000000,0.000057,0.000022,0.000013,0.000013,0.002250,0.002256,0.002265,0.002265,0.010842,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,0.759041,1.040348,0.759041,,,0.759041,0.851155,,,,,,,,,,,,,,0.759041,1.040348,0.851155,,,,
