Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,16,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX256,192,144,15,0.000000,0.000020,0.000011,0.000006,0.000006,0.000004,0.000027,0.000005,0.000005,0.000243,0.000086,0.000086,0.000016,0.000000,0.000398,0.000004,0.000137,0.000047,0.000023,0.000018,0.000019,0.000000,0.000036,0.000016,0.000017,0.000017,0.000414,0.000418,0.000426,0.000426,0.010823,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.266896,0.967642,1.266896,,1.266896,,0.930357,,,,,,,,,,,,,,,,,,,,,,,,1.266896,0.967642,0.930357,,,,
0,tsukubaSetHalfSize,FLOAT,16,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,192,144,15,0.000000,0.000026,0.000012,0.000006,0.000006,0.000005,0.000030,0.000007,0.000007,0.001474,0.000092,0.000091,0.000144,0.000000,0.003044,0.000005,0.000676,0.000195,0.000089,0.000065,0.000031,0.000000,0.000039,0.000017,0.000015,0.000019,0.003066,0.003071,0.003079,0.003079,0.010823,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.715875,1.010531,0.715875,,,0.715875,1.704544,,,,,,,,,,,,,,,,,,,,,,,,0.715875,1.010531,1.704544,,,,
1,tsukubaSet,FLOAT,16,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX256,384,288,15,0.000001,0.000161,0.000107,0.000030,0.000012,0.000009,0.000157,0.000018,0.000018,0.004274,0.001693,0.001692,0.000541,0.000000,0.006831,0.000057,0.003620,0.000455,0.000118,0.000041,0.000025,0.000000,0.001157,0.000381,0.000103,0.000037,0.006868,0.006925,0.006967,0.006967,0.085179,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.304777,1.401031,0.304777,,0.304777,,0.943993,,,,,,,,,,,,,,,,,,,,,,,,0.304777,1.401031,0.943993,,,,
1,tsukubaSet,FLOAT,16,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX256,384,288,15,0.000001,0.000214,0.000102,0.000032,0.000014,0.000010,0.000158,0.000021,0.000020,0.010357,0.001915,0.001915,0.000619,0.000001,0.013502,0.000054,0.007768,0.001829,0.000528,0.000154,0.000064,0.000000,0.001357,0.000397,0.000120,0.000045,0.013540,0.013598,0.013645,0.013645,0.085179,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.269871,1.432024,0.269871,,,0.269871,1.062910,,,,,,,,,,,,,,,,,,,,,,,,0.269871,1.432024,1.062910,,,,
2,venus,FLOAT,16,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX256,434,383,15,0.000001,0.000676,0.000499,0.000081,0.000013,0.000009,0.000602,0.000023,0.000023,0.021295,0.006443,0.006442,0.002295,0.000001,0.031344,0.000077,0.019503,0.001335,0.000281,0.000095,0.000054,0.000000,0.005258,0.000935,0.000180,0.000068,0.031380,0.031457,0.031515,0.031515,0.289811,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.121608,1.513263,0.121608,,0.121608,,1.035682,,,,,,,,,,,,,,,,,,,,,,,,0.121608,1.513263,1.035682,,,,
2,venus,FLOAT,16,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,434,383,15,0.000001,0.000668,0.000499,0.000081,0.000014,0.000009,0.000605,0.000026,0.000026,0.024673,0.008002,0.008001,0.004670,0.000001,0.036599,0.000078,0.021241,0.002265,0.000609,0.000186,0.000196,0.000000,0.005680,0.000961,0.000223,0.000067,0.036636,0.036712,0.036773,0.036773,0.289811,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.174345,1.510099,0.174345,,,0.174345,1.140589,,,,,,,,,,,,,,,,,,,,,,,,0.174345,1.510099,1.140589,,,,
3,barn1,FLOAT,16,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,432,381,15,0.000001,0.001159,0.001198,0.000150,0.000035,0.000010,0.001394,0.000028,0.000027,0.036733,0.011620,0.011619,0.003954,0.000000,0.057633,0.000073,0.033677,0.001939,0.000357,0.000129,0.000194,0.000000,0.009318,0.001639,0.000403,0.000112,0.057673,0.057748,0.057806,0.057806,0.481812,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.114561,1.327458,,,0.114561,,1.154563,,,,,,,,,,,,,,,,,,,,,,,,0.114561,1.327458,1.154563,,,,
3,barn1,FLOAT,16,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,432,381,15,0.000001,0.001157,0.001207,0.000156,0.000036,0.000013,0.001412,0.000035,0.000034,0.033698,0.011102,0.011101,0.003864,0.000001,0.051391,0.000074,0.029769,0.002787,0.000677,0.000203,0.000246,0.000000,0.008911,0.001658,0.000400,0.000112,0.051431,0.051504,0.051562,0.051562,0.481812,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130388,1.315287,,,,0.130388,1.003861,,,,,,,,,,,,,,,,,,,,,,,,0.130388,1.315287,1.003861,,,,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,450,375,15,0.000001,0.003093,0.004460,0.000735,0.000088,0.000022,0.005307,0.000048,0.000047,0.082450,0.026843,0.026841,0.008528,0.000000,0.126355,0.000077,0.069468,0.011440,0.000855,0.000236,0.000392,0.000000,0.020296,0.005406,0.000928,0.000204,0.126391,0.126466,0.126524,0.126524,0.943963,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.135724,1.401200,,0.135724,0.135724,,1.032531,,,,,,,,,,,,,,,,,,,,,,,,0.135724,1.401200,1.032531,,,,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,450,375,15,0.000001,0.002983,0.004304,0.000728,0.000090,0.000024,0.005153,0.000047,0.000047,0.083023,0.027459,0.027457,0.008549,0.000001,0.127250,0.000075,0.069453,0.011577,0.001132,0.000312,0.000450,0.000000,0.020866,0.005442,0.000946,0.000202,0.127289,0.127364,0.127422,0.127422,0.943963,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.149778,1.412662,,0.149778,,0.149778,1.045283,,,,,,,,,,,,,,,,,,,,,,,,0.149778,1.412662,1.045283,,,,
