Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of threads,Vectorization,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,24,AVX256,192,144,0.000000,0.000016,0.000023,0.000020,0.000018,0.000017,YES,YES,YES,YES,YES,0.000078,0.000019,0.000019,0.000424,0.000148,0.000147,YES,0.000039,0.000000,0.000725,0.000016,0.000138,0.000090,0.000069,0.000060,0.000066,YES,YES,YES,YES,YES,0.000000,0.000035,0.000033,0.000030,0.000047,YES,YES,YES,YES,YES,0.000738,0.000754,0.000760,0.000760,0.011388,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.762006,0.919686,0.762006,838.796048,1.760298,1.000000,1.509771,0.969710,1.077038,0.762006,0.919686,838.796048,1.637745,
0,tsukubaSetHalfSize,FLOAT,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,24,AVX512,192,144,0.000000,0.000020,0.000023,0.000020,0.000019,0.000018,YES,YES,YES,YES,YES,0.000080,0.000022,0.000022,0.000865,0.000174,0.000173,YES,0.000048,0.000000,0.001208,0.000018,0.000448,0.000166,0.000111,0.000078,0.000060,YES,YES,YES,YES,YES,0.000000,0.000050,0.000035,0.000033,0.000054,YES,YES,YES,YES,YES,0.001223,0.001241,0.001245,0.001245,0.012661,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.038292,0.863829,1.038292,3.649051,No Data,1.074830,1.616728,0.744518,1.126455,1.038292,0.863829,3.649051,No Data,
1,tsukubaSet,FLOAT,64,16,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,24,AVX512,384,288,0.000000,0.000056,0.000042,0.000026,0.000025,0.000024,YES,YES,YES,YES,YES,0.000116,0.000029,0.000029,0.001048,0.000443,0.000442,YES,0.000077,0.000000,0.001767,0.000025,0.000532,0.000209,0.000109,0.000098,0.000093,YES,YES,YES,YES,YES,0.000000,0.000275,0.000080,0.000038,0.000048,YES,YES,YES,YES,YES,0.001781,0.001807,0.001825,0.001825,0.096637,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.232182,1.234918,1.232182,2.272092,2.086196,1.096636,2.624064,0.627799,1.018899,1.232182,1.234918,2.272092,2.051312,
1,tsukubaSet,FLOAT,16,8,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX256,384,288,0.000000,0.000062,0.000091,0.000083,0.000089,0.000087,YES,YES,YES,YES,YES,0.000351,0.000086,0.000086,0.002427,0.000552,0.000551,YES,0.000155,0.000000,0.003630,0.000079,0.000921,0.000587,0.000358,0.000289,0.000270,YES,YES,YES,YES,YES,0.000000,0.000211,0.000118,0.000111,0.000116,YES,YES,YES,YES,YES,0.003646,0.003725,0.003745,0.003745,0.091323,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.925188,1.335686,0.925188,170.353423,No Data,1.000000,1.591750,0.738029,1.378869,0.925188,1.335686,170.353423,No Data,
2,venus,FLOAT,64,16,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,434,383,0.000000,0.000087,0.000072,0.000051,0.000042,0.000055,YES,YES,YES,YES,YES,0.000223,0.000092,0.000092,0.002293,0.000446,0.000445,YES,0.000114,0.000000,0.003300,0.000056,0.001084,0.000497,0.000297,0.000219,0.000196,YES,YES,YES,YES,YES,0.000000,0.000202,0.000101,0.000069,0.000076,YES,YES,YES,YES,YES,0.003316,0.003369,0.003404,0.003404,0.308299,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.086993,1.422520,1.086993,188.274264,1.297292,1.040205,1.969578,0.673897,1.146254,1.086993,1.422520,188.274264,1.297292,
2,venus,FLOAT,64,16,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,434,383,0.000000,0.000080,0.000094,0.000083,0.000082,0.000092,YES,YES,YES,YES,YES,0.000352,0.000129,0.000129,0.002989,0.000570,0.000570,YES,0.000159,0.000000,0.004295,0.000077,0.001233,0.000647,0.000429,0.000354,0.000320,YES,YES,YES,YES,YES,0.000000,0.000196,0.000116,0.000107,0.000150,YES,YES,YES,YES,YES,0.004312,0.004389,0.004416,0.004416,0.313572,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.272740,1.395671,1.272740,145.232789,No Data,1.014213,1.731953,0.726731,1.228873,1.272740,1.395671,145.232789,No Data,
3,barn1,FLOAT,64,16,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,432,381,0.000000,0.000127,0.000089,0.000056,0.000049,0.000062,YES,YES,YES,YES,YES,0.000264,0.000161,0.000161,0.003017,0.000758,0.000758,YES,0.000141,0.000000,0.004466,0.000047,0.001476,0.000659,0.000372,0.000262,0.000246,YES,YES,YES,YES,YES,0.000000,0.000398,0.000141,0.000090,0.000132,YES,YES,YES,YES,YES,0.004483,0.004528,0.004558,0.004558,0.520933,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.258534,1.227767,No Data,141.218900,1.153438,1.082785,1.988498,0.637649,1.234352,1.258534,1.227767,141.218900,1.153438,
3,barn1,FLOAT,64,16,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,432,381,0.000000,0.000112,0.000106,0.000087,0.000096,0.000109,YES,YES,YES,YES,YES,0.000401,0.000158,0.000157,0.003380,0.000901,0.000901,YES,0.000167,0.000000,0.005135,0.000078,0.001450,0.000723,0.000465,0.000393,0.000349,YES,YES,YES,YES,YES,0.000000,0.000328,0.000152,0.000164,0.000264,YES,YES,YES,YES,YES,0.005152,0.005229,0.005257,0.005257,0.525504,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.274014,1.205930,No Data,122.327766,No Data,1.076820,1.969620,0.686382,1.159259,1.274014,1.205930,122.327766,No Data,
4,conesQuarterSize,FLOAT,64,16,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,450,375,0.000000,0.000292,0.000189,0.000101,0.000073,0.000090,YES,YES,YES,YES,YES,0.000453,0.000178,0.000178,0.006430,0.002445,0.002445,YES,0.000320,0.000000,0.010125,0.000059,0.003910,0.001155,0.000606,0.000375,0.000364,YES,YES,YES,YES,YES,0.000000,0.001273,0.000582,0.000191,0.000385,YES,YES,YES,YES,YES,0.010144,0.010202,0.010260,0.010260,1.140518,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.620939,1.159718,No Data,63.081113,0.950737,1.057811,1.649079,0.834609,1.266387,1.620939,1.159718,63.081113,0.950737,
4,conesQuarterSize,FLOAT,64,16,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,450,375,0.000000,0.000245,0.000171,0.000121,0.000136,0.000152,YES,YES,YES,YES,YES,0.000584,0.000313,0.000313,0.006093,0.002167,0.002166,YES,0.000203,0.000000,0.009617,0.000084,0.003049,0.001293,0.000651,0.000535,0.000572,YES,YES,YES,YES,YES,0.000000,0.000929,0.000359,0.000272,0.000584,YES,YES,YES,YES,YES,0.009635,0.009721,0.009755,0.009755,1.141703,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.871717,1.167992,No Data,66.264235,No Data,1.069641,1.840972,0.719465,1.224174,1.871717,1.167992,66.264235,No Data,
