Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of threads,Vectorization,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,64,16,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,192,144,0.000000,0.000022,0.000024,0.000019,0.000016,0.000013,YES,YES,YES,YES,YES,0.000073,0.000016,0.000016,0.000458,0.000159,0.000158,YES,0.000037,0.000000,0.000769,0.000015,0.000159,0.000096,0.000082,0.000066,0.000053,YES,YES,YES,YES,YES,0.000000,0.000048,0.000040,0.000037,0.000033,YES,YES,YES,YES,YES,0.000782,0.000797,0.000805,0.000805,0.012150,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.719588,0.861954,0.719588,3.691214,1.742740,1.111509,1.795085,0.812992,1.014003,0.719588,0.861954,3.691214,1.742740,
0,tsukubaSetHalfSize,FLOAT,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,192,144,0.000000,0.000023,0.000024,0.000017,0.000015,0.000013,YES,YES,YES,YES,YES,0.000070,0.000018,0.000018,0.000944,0.000172,0.000172,YES,0.000130,0.000000,0.001359,0.000015,0.000507,0.000189,0.000120,0.000074,0.000052,YES,YES,YES,YES,YES,0.000000,0.000051,0.000035,0.000034,0.000051,YES,YES,YES,YES,YES,0.001377,0.001392,0.001403,0.001403,0.013011,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.921422,0.840633,0.921422,1.955106,No Data,1.185535,1.610756,0.682657,1.060039,0.921422,0.840633,1.955106,No Data,
1,tsukubaSet,FLOAT,64,16,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,32,AVX512,384,288,0.000000,0.000062,0.000048,0.000030,0.000029,0.000027,YES,YES,YES,YES,YES,0.000135,0.000045,0.000045,0.001077,0.000465,0.000465,YES,0.000076,0.000000,0.001876,0.000027,0.000476,0.000246,0.000133,0.000107,0.000102,YES,YES,YES,YES,YES,0.000000,0.000208,0.000092,0.000057,0.000103,YES,YES,YES,YES,YES,0.001892,0.001918,0.001936,0.001936,0.093945,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.161735,1.270311,1.161735,1.849839,1.780661,1.123346,2.154173,0.556199,1.007383,1.161735,1.270311,1.849839,1.780661,
1,tsukubaSet,FLOAT,64,16,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,384,288,0.000000,0.000073,0.000081,0.000074,0.000083,0.000084,YES,YES,YES,YES,YES,0.000322,0.000108,0.000108,0.002140,0.000611,0.000610,YES,0.000093,0.000000,0.003344,0.000067,0.000903,0.000476,0.000248,0.000250,0.000259,YES,YES,YES,YES,YES,0.000000,0.000174,0.000105,0.000108,0.000222,YES,YES,YES,YES,YES,0.003360,0.003426,0.003448,0.003448,0.092732,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.004876,1.315392,1.004876,1.233334,No Data,1.146069,1.754095,0.678456,1.009847,1.004876,1.315392,1.233334,No Data,
2,venus,FLOAT,16,8,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,64,AVX256,434,383,0.000000,0.000092,0.000066,0.000053,0.000046,0.000061,YES,YES,YES,YES,YES,0.000228,0.000111,0.000111,0.002248,0.000575,0.000575,YES,0.000119,0.000000,0.003392,0.000039,0.001099,0.000474,0.000325,0.000188,0.000148,YES,YES,YES,YES,YES,0.000000,0.000195,0.000116,0.000110,0.000153,YES,YES,YES,YES,YES,0.003408,0.003448,0.003482,0.003482,0.315713,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.062721,1.389115,1.062721,1.194402,1.277171,1.000000,1.986766,0.693828,1.116620,1.062721,1.389115,1.194402,1.225395,
2,venus,FLOAT,64,16,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,64,AVX512,434,383,0.000000,0.000089,0.000073,0.000056,0.000052,0.000066,YES,YES,YES,YES,YES,0.000248,0.000107,0.000107,0.002989,0.000591,0.000590,YES,0.000120,0.000000,0.004173,0.000044,0.001523,0.000647,0.000355,0.000229,0.000226,YES,YES,YES,YES,YES,0.000000,0.000200,0.000130,0.000104,0.000161,YES,YES,YES,YES,YES,0.004194,0.004237,0.004267,0.004267,0.319839,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.317328,1.368327,1.317328,1.103792,No Data,1.042253,1.984055,0.625841,1.136490,1.317328,1.368327,1.103792,No Data,
3,barn1,FLOAT,64,16,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,64,AVX512,432,381,0.000000,0.000133,0.000087,0.000060,0.000063,0.000076,YES,YES,YES,YES,YES,0.000286,0.000161,0.000160,0.003204,0.001090,0.001089,YES,0.000133,0.000000,0.004986,0.000044,0.001451,0.000691,0.000464,0.000279,0.000281,YES,YES,YES,YES,YES,0.000000,0.000434,0.000172,0.000177,0.000293,YES,YES,YES,YES,YES,0.005002,0.005047,0.005092,0.005092,0.526746,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.126512,1.214220,No Data,1.133575,1.094383,1.023796,2.082497,0.642226,1.283699,1.126512,1.214220,1.133575,1.094383,
3,barn1,FLOAT,64,16,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,432,381,0.000000,0.000120,0.000099,0.000070,0.000089,0.000097,YES,YES,YES,YES,YES,0.000353,0.000213,0.000213,0.003550,0.001094,0.001093,YES,0.000153,0.000000,0.005455,0.000061,0.001734,0.000766,0.000417,0.000324,0.000321,YES,YES,YES,YES,YES,0.000000,0.000386,0.000163,0.000203,0.000323,YES,YES,YES,YES,YES,0.005475,0.005536,0.005572,0.005572,0.536924,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.201904,1.180281,No Data,1.093872,No Data,1.083206,2.130734,0.638541,1.219459,1.201904,1.180281,1.093872,No Data,
4,conesQuarterSize,FLOAT,16,8,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,128,AVX256,450,375,0.000000,0.000477,0.000215,0.000156,0.000163,0.000190,YES,YES,YES,YES,YES,0.000725,0.000467,0.000466,0.005957,0.002309,0.002309,YES,0.000253,0.000000,0.010214,0.000084,0.002979,0.001556,0.000630,0.000445,0.000359,YES,YES,YES,YES,YES,0.000000,0.000802,0.000386,0.000440,0.000679,YES,YES,YES,YES,YES,0.010240,0.010325,0.010369,0.010369,1.163976,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.603873,1.136346,No Data,0.991456,1.103672,1.000000,1.962479,0.614867,1.185193,1.603873,1.136346,0.991456,1.063720,
4,conesQuarterSize,FLOAT,64,16,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,128,AVX512,450,375,0.000000,0.000388,0.000212,0.000156,0.000162,0.000190,YES,YES,YES,YES,YES,0.000719,0.000481,0.000481,0.006479,0.002595,0.002595,YES,0.000216,0.000000,0.010891,0.000082,0.003064,0.001496,0.000707,0.000520,0.000689,YES,YES,YES,YES,YES,0.000000,0.000790,0.000384,0.000553,0.000852,YES,YES,YES,YES,YES,0.010915,0.010995,0.011030,0.011030,1.177924,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.655301,1.132076,No Data,1.016032,No Data,1.037559,1.925109,0.641693,1.279460,1.655301,1.132076,1.016032,No Data,
