Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of threads,Vectorization,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,22,AVX256,192,144,0.000000,0.000022,0.000019,0.000016,0.000015,0.000012,YES,YES,YES,YES,YES,0.000063,0.000017,0.000016,0.000334,0.000150,0.000150,YES,0.000027,0.000000,0.000612,0.000011,0.000119,0.000076,0.000048,0.000042,0.000047,YES,YES,YES,YES,YES,0.000000,0.000040,0.000036,0.000029,0.000043,YES,YES,YES,YES,YES,0.000625,0.000636,0.000640,0.000640,0.009476,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.904746,1.105181,0.904746,2.380059,2.084757,1.000000,1.817077,0.828810,0.975595,0.904746,1.105181,2.380059,1.840702,
0,tsukubaSetHalfSize,FLOAT,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,44,AVX512,192,144,0.000000,0.000020,0.000028,0.000028,0.000027,0.000025,YES,YES,YES,YES,YES,0.000108,0.000024,0.000024,0.000714,0.000184,0.000184,YES,0.000080,0.000000,0.001136,0.000023,0.000268,0.000146,0.000109,0.000103,0.000087,YES,YES,YES,YES,YES,0.000000,0.000044,0.000041,0.000040,0.000058,YES,YES,YES,YES,YES,0.001151,0.001174,0.001179,0.001179,0.011337,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.096859,0.964747,1.096859,1.301253,No Data,1.132588,1.465339,0.748817,0.941189,1.096859,0.964747,1.301253,No Data,
1,tsukubaSet,FLOAT,64,16,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,22,AVX512,384,288,0.000000,0.000056,0.000043,0.000021,0.000020,0.000022,YES,YES,YES,YES,YES,0.000109,0.000028,0.000028,0.000976,0.000370,0.000369,YES,0.000068,0.000000,0.001614,0.000018,0.000541,0.000193,0.000090,0.000073,0.000082,YES,YES,YES,YES,YES,0.000000,0.000207,0.000072,0.000036,0.000054,YES,YES,YES,YES,YES,0.001626,0.001651,0.001668,0.001668,0.080751,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.348629,1.477865,1.348629,1.401785,1.809949,1.175261,2.087735,0.578024,0.975643,1.348629,1.477865,1.401785,1.809949,
1,tsukubaSet,FLOAT,64,16,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,44,AVX512,384,288,0.000000,0.000082,0.000052,0.000036,0.000036,0.000038,YES,YES,YES,YES,YES,0.000164,0.000055,0.000055,0.002185,0.000383,0.000383,YES,0.000075,0.000000,0.002962,0.000024,0.001248,0.000450,0.000202,0.000152,0.000131,YES,YES,YES,YES,YES,0.000000,0.000183,0.000068,0.000063,0.000068,YES,YES,YES,YES,YES,0.002976,0.003000,0.003019,0.003019,0.081990,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.147660,1.487729,1.147660,0.958618,No Data,1.050481,1.481240,0.662087,1.174038,1.147660,1.487729,0.958618,No Data,
2,venus,FLOAT,16,8,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,44,AVX256,434,383,0.000000,0.000132,0.000077,0.000042,0.000036,0.000042,YES,YES,YES,YES,YES,0.000201,0.000078,0.000078,0.002076,0.000518,0.000518,YES,0.000110,0.000000,0.003110,0.000025,0.001204,0.000469,0.000197,0.000115,0.000092,YES,YES,YES,YES,YES,0.000000,0.000283,0.000083,0.000069,0.000081,YES,YES,YES,YES,YES,0.003125,0.003152,0.003181,0.003181,0.289950,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.163449,1.512539,1.163449,0.947811,1.188552,1.000000,1.870996,0.702099,1.154625,1.163449,1.512539,0.947811,1.160740,
2,venus,FLOAT,64,16,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,88,AVX512,434,383,0.000000,0.000095,0.000068,0.000047,0.000057,0.000063,YES,YES,YES,YES,YES,0.000236,0.000107,0.000107,0.002572,0.000482,0.000482,YES,0.000100,0.000000,0.003603,0.000040,0.001294,0.000576,0.000285,0.000208,0.000206,YES,YES,YES,YES,YES,0.000000,0.000199,0.000089,0.000080,0.000112,YES,YES,YES,YES,YES,0.003618,0.003659,0.003692,0.003692,0.290056,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.522519,1.508826,1.522519,1.061768,No Data,1.023961,2.054366,0.577056,1.036548,1.522519,1.508826,1.061768,No Data,
3,barn1,FLOAT,64,16,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,44,AVX512,432,381,0.000000,0.000183,0.000088,0.000051,0.000049,0.000060,YES,YES,YES,YES,YES,0.000245,0.000088,0.000088,0.002832,0.000901,0.000900,YES,0.000126,0.000000,0.004381,0.000026,0.001544,0.000652,0.000258,0.000161,0.000212,YES,YES,YES,YES,YES,0.000000,0.000528,0.000135,0.000111,0.000122,YES,YES,YES,YES,YES,0.004399,0.004425,0.004454,0.004454,0.486835,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.287906,1.313760,No Data,0.901512,1.033407,1.041300,2.008773,0.751163,1.235639,1.287906,1.313760,0.901512,1.033407,
3,barn1,FLOAT,64,16,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,88,AVX512,432,381,0.000000,0.000125,0.000090,0.000062,0.000066,0.000076,YES,YES,YES,YES,YES,0.000295,0.000142,0.000142,0.003044,0.000803,0.000803,YES,0.000117,0.000000,0.004513,0.000040,0.001581,0.000670,0.000302,0.000222,0.000264,YES,YES,YES,YES,YES,0.000000,0.000393,0.000127,0.000123,0.000157,YES,YES,YES,YES,YES,0.004530,0.004573,0.004602,0.004602,0.496475,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.455178,1.276440,No Data,1.017948,No Data,1.073806,2.219537,0.623893,1.105113,1.455178,1.276440,1.017948,No Data,
4,conesQuarterSize,FLOAT,64,16,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,88,AVX512,450,375,0.000000,0.000240,0.000183,0.000112,0.000135,0.000127,YES,YES,YES,YES,YES,0.000567,0.000296,0.000296,0.004450,0.002027,0.002027,YES,0.000150,0.000000,0.007798,0.000041,0.002230,0.000907,0.000503,0.000339,0.000466,YES,YES,YES,YES,YES,0.000000,0.001103,0.000307,0.000245,0.000410,YES,YES,YES,YES,YES,0.007817,0.007857,0.007887,0.007887,1.057534,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.108601,1.250721,No Data,0.956401,1.079336,1.005933,2.470625,0.659278,1.278049,2.108601,1.250721,0.956401,1.051988,
4,conesQuarterSize,FLOAT,16,8,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,88,AVX256,450,375,0.000000,0.000279,0.000137,0.000097,0.000115,0.000108,YES,YES,YES,YES,YES,0.000463,0.000274,0.000274,0.005152,0.001869,0.001868,YES,0.000196,0.000000,0.008210,0.000041,0.003022,0.001150,0.000455,0.000298,0.000218,YES,YES,YES,YES,YES,0.000000,0.001022,0.000260,0.000261,0.000341,YES,YES,YES,YES,YES,0.008227,0.008269,0.008297,0.008297,1.051807,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.200480,1.267818,No Data,1.012170,No Data,1.000000,2.410643,0.626934,1.196578,2.200480,1.267818,1.012170,No Data,
