Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown)
0,tsukubaSetHalfSize,FLOAT,30,16,8,NO,,,YES,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,15,AVX256,192,144,15,0,0.000027,0.000019,0.000014,0.000012,0.00001,0.000055,0.000015,0.000015,0.000383,0.000195,0.000194,0.000032,0,0.000707,0.000011,0.000176,0.000073,0.000051,0.000035,0.000039,0,0.000088,0.00004,0.00003,0.000035,0.000725,0.000736,0.000742,0.000742,0.020362,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0,0,0,0,0,0,0.780439,0.514352,0.780439,,0.780439,,1.194942,2.092454,1.730934,,,,,,,,,,,,,,,,,,,0.780439,0.514352,1.194942,2.092454,0.899632,0.784724
0,tsukubaSetHalfSize,FLOAT,30,16,8,NO,,,NO,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,30,AVX256,192,144,15,0,0.000029,0.000024,0.00002,0.000019,0.000015,0.000078,0.00002,0.00002,0.001017,0.000238,0.000238,0.000136,0,0.001511,0.000016,0.000555,0.000208,0.000113,0.000073,0.00006,0,0.000084,0.000058,0.000046,0.000049,0.00153,0.001547,0.001554,0.001554,0.020362,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0,0,0,0,0,0,0.832321,0.53715,0.832321,,,0.832321,0.974696,2.092454,2.911765,,,,,,,,,,,,,,,,,,,0.832321,0.53715,0.974696,2.092454,1.17819,0.653624
1,tsukubaSet,FLOAT,30,16,8,NO,,,YES,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,22,AVX256,384,288,15,0,0.000085,0.000052,0.000023,0.000021,0.000019,0.000116,0.000031,0.000031,0.001471,0.000717,0.000717,0.000162,0,0.002584,0.000017,0.000932,0.000287,0.000113,0.000081,0.000057,0,0.00042,0.000149,0.000069,0.000074,0.002601,0.002618,0.002644,0.002644,0.132974,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0,0,0,0,0,0,0.850871,0.89746,0.850871,,0.850871,,1.102921,2.268637,4.267124,,,,,,,,,,,,,,,,,,,0.850871,0.89746,1.102921,2.268637,1.004404,0.614393
1,tsukubaSet,FLOAT,30,16,8,NO,,,NO,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,22,AVX256,384,288,15,0,0.000077,0.000054,0.000025,0.000021,0.000019,0.000118,0.000034,0.000034,0.004623,0.000787,0.000785,0.000275,0,0.005931,0.000021,0.003113,0.000938,0.00033,0.000141,0.000097,0,0.000459,0.000154,0.000082,0.000089,0.005951,0.005973,0.005997,0.005997,0.132974,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0,0,0,0,0,0,0.577677,0.917314,0.577677,,,0.577677,6.068777,2.268637,3.979346,,,,,,,,,,,,,,,,,,,0.577677,0.917314,6.068777,2.268637,1.406587,0.587586
2,venus,FLOAT,30,16,8,NO,,,YES,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,30,DEFAULT,434,383,15,0,0.000129,0.000123,0.000041,0.000032,0.000031,0.00023,0.000052,0.000052,0.017372,0.001103,0.001102,0.00048,0,0.019748,0.00003,0.011206,0.003507,0.001053,0.000367,0.000183,0,0.000604,0.000238,0.000138,0.000124,0.019769,0.019798,0.019841,0.019841,0.459369,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0,0,0,0,0,0,0.18651,0.954703,0.18651,,0.18651,,0.850331,1.545303,1,,,,,,,,,,,,,,,,,,,0.18651,0.954703,0.850331,0.507439,0.887946,1.823278
2,venus,FLOAT,30,16,8,NO,,,NO,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,22,AVX256,434,383,15,0,0.000167,0.000155,0.00004,0.000023,0.000022,0.00024,0.00005,0.00005,0.007979,0.00109,0.001089,0.000449,0,0.009971,0.000025,0.005691,0.001462,0.000516,0.000197,0.000104,0,0.000652,0.000251,0.000101,0.000084,0.009997,0.010021,0.010068,0.010068,0.459369,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0,0,0,0,0,0,0.5583,0.952707,0.5583,,,0.5583,2.662477,0.469019,3.045295,,,,,,,,,,,,,,,,,,,0.5583,0.952707,2.662477,0.507439,0.280373,0.568127
3,barn1,FLOAT,30,16,8,NO,,,YES,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,30,AVX256,432,381,15,0,0.000248,0.000178,0.000051,0.000036,0.000037,0.000304,0.000072,0.000071,0.005523,0.001791,0.00179,0.000438,0,0.008441,0.000037,0.003716,0.00107,0.000377,0.000213,0.000118,0,0.001034,0.000387,0.00021,0.000162,0.008485,0.008543,0.008589,0.008589,0.728926,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0,0,0,0,0,0,0.667832,0.877435,,,0.667832,,0.960541,1.603783,3.194476,,,,,,,,,,,,,,,,,,,0.667832,0.877435,0.960541,1.603783,1.223994,0.429271
3,barn1,FLOAT,30,16,8,NO,,,NO,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,22,AVX256,432,381,15,0,0.000246,0.000245,0.000055,0.000028,0.000027,0.000357,0.000074,0.000074,0.010745,0.001665,0.001664,0.000605,0,0.013658,0.000031,0.007863,0.001902,0.000623,0.000244,0.000113,0,0.001012,0.000362,0.000169,0.000119,0.013691,0.013723,0.013774,0.013774,0.728926,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0,0,0,0,0,0,0.486211,0.86939,,,,0.486211,1.022868,1.603783,3.008485,,,,,,,,,,,,,,,,,,,0.486211,0.86939,1.022868,1.603783,1.497002,0.53681
4,conesQuarterSize,FLOAT,30,16,8,NO,,,YES,64,5,7,8.533334,15,0.1,0,YES,YES,YES,YES,Optimized CPU,30,AVX256,450,375,15,0,0.000531,0.000611,0.00013,0.000046,0.000052,0.000842,0.000145,0.000145,0.015964,0.004635,0.004634,0.00135,0.000001,0.023497,0.00004,0.012257,0.00253,0.000687,0.000288,0.000168,0,0.002998,0.001051,0.000382,0.000204,0.023533,0.023573,0.023625,0.023625,1.528199,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0,0,0,0,0,0,0.703963,0.865516,,0.703963,0.703963,,0.992634,1.109655,2.573886,,,,,,,,,,,,,,,,,,,0.703963,0.865516,0.992634,1.109655,1.56232,0.461475
4,conesQuarterSize,FLOAT,30,16,8,NO,,,NO,64,5,7,8.533334,15,0.1,0,YES,YES,YES,YES,Optimized CPU,30,AVX256,450,375,15,0,0.000538,0.000591,0.00013,0.000049,0.000055,0.000824,0.000123,0.000123,0.018597,0.004623,0.004622,0.001371,0,0.026087,0.00004,0.014248,0.003006,0.000836,0.000324,0.000187,0,0.002982,0.001062,0.000381,0.000199,0.026125,0.026164,0.026216,0.026216,1.528199,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0,0,0,0,0,0,0.69646,0.872596,,0.69646,,0.69646,1.006989,1.109655,3.21929,,,,,,,,,,,,,,,,,,,0.69646,0.872596,1.006989,1.109655,1.42308,0.470981
