Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown)
0,tsukubaSetHalfSize,FLOAT,64,64,16,NO,,,YES,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,8,AVX512,192,144,15,0,0.000026,0.000014,0.000006,0.000005,0.000005,0.000031,0.000006,0.000005,0.000305,0.000086,0.000085,0.000014,0,0.000474,0.000004,0.000163,0.000053,0.000028,0.000036,0.000024,0,0.000038,0.000016,0.000013,0.000017,0.000488,0.000492,0.000502,0.000502,0.011811,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0,0,0,0,0,0,1.153221,0.886729,1.153221,,1.153221,,1.37087,1.435863,1.056151,1.559938,,,,,,,,,,,,,,,,,,,,,1.153221,0.886729,1.37087,1.435863,1.024668,0.92753
0,tsukubaSetHalfSize,FLOAT,64,64,16,NO,,,NO,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,32,AVX512,192,144,15,0,0.000012,0.000012,0.000011,0.000011,0.00001,0.000046,0.000011,0.000011,0.00049,0.00011,0.00011,0.000017,0,0.000689,0.000009,0.000242,0.000091,0.000054,0.000059,0.000041,0,0.00003,0.00002,0.000031,0.000029,0.000703,0.000712,0.000721,0.000721,0.011811,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0,0,0,0,0,0,1.792285,0.926032,1.792285,,,1.792285,1.337653,1.435863,1.070147,2.639989,,,,,,,,,,,,,,,,,,,,,1.792285,0.926032,1.337653,1.435863,1.061859,0.701844
1,tsukubaSet,FLOAT,64,64,16,NO,,,YES,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,32,AVX512,384,288,15,0,0.00006,0.000033,0.000016,0.000013,0.000014,0.000076,0.000027,0.000027,0.000937,0.000396,0.000395,0.000041,0,0.001545,0.000012,0.000556,0.000182,0.000068,0.000047,0.000089,0,0.000255,0.00005,0.000032,0.000057,0.001562,0.001574,0.00163,0.00163,0.11956,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0,0,0,0,0,0,1.379618,0.998154,1.379618,,1.379618,,1.077741,1.800137,1.082447,3.345485,,,,,,,,,,,,,,,,,,,,,1.379618,0.998154,1.077741,1.800137,1.116912,0.464351
1,tsukubaSet,FLOAT,64,64,16,NO,,,NO,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,48,AVX512,384,288,15,0,0.000109,0.000043,0.00002,0.000016,0.000018,0.000097,0.000042,0.000042,0.001998,0.000527,0.000526,0.000075,0,0.00285,0.000014,0.001306,0.000357,0.000142,0.00008,0.000108,0,0.000358,0.000071,0.000047,0.000052,0.002878,0.002893,0.002935,0.002935,0.11956,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0,0,0,0,0,0,1.180429,1.020235,1.180429,,,1.180429,0.928283,1.800137,1.017868,3.023254,,,,,,,,,,,,,,,,,,,,,1.180429,1.020235,0.928283,1.800137,1.299258,0.472409
2,venus,FLOAT,64,64,16,NO,,,YES,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,434,383,15,0,0.000154,0.00007,0.000034,0.000024,0.000024,0.000153,0.000058,0.000058,0.00262,0.000825,0.000824,0.000196,0,0.004021,0.000026,0.001843,0.000342,0.00017,0.000089,0.000161,0,0.000468,0.000196,0.000089,0.000069,0.004071,0.004098,0.004183,0.004183,0.34255,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0,0,0,0,0,0,0.884752,1.280282,0.884752,,0.884752,,1.005712,1.316544,1.073843,2.802798,,,,,,,,,,,,,,,,,,,,,0.884752,1.280282,1.005712,1.316544,1.54347,0.326979
2,venus,FLOAT,64,64,16,NO,,,NO,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,434,383,15,0,0.000156,0.000071,0.000035,0.000024,0.000024,0.000155,0.000057,0.000057,0.003931,0.000836,0.000835,0.000194,0,0.005327,0.000026,0.002784,0.000581,0.000256,0.000113,0.000188,0,0.000471,0.000193,0.00009,0.000073,0.005377,0.005404,0.005506,0.005506,0.34255,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0,0,0,0,0,0,1.02079,1.277605,1.02079,,,1.02079,0.99963,1.316544,1.044718,2.965787,,,,,,,,,,,,,,,,,,,,,1.02079,1.277605,0.99963,1.316544,1.579379,0.361701
3,barn1,FLOAT,64,64,16,NO,,,YES,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,432,381,15,0,0.000333,0.000152,0.000051,0.000038,0.000028,0.000279,0.00008,0.00008,0.005402,0.001664,0.001663,0.000463,0.000001,0.008179,0.000027,0.004364,0.000481,0.000259,0.000112,0.000177,0,0.001064,0.000315,0.000177,0.000103,0.008233,0.00826,0.008347,0.008347,0.543807,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0,0,0,0,0,0,0.687197,1.176125,,,0.687197,,1.005998,1.140965,1.027873,2.354556,,,,,,,,,,,,,,,,,,,,,0.687197,1.176125,1.005998,1.140965,2.003695,0.374119
3,barn1,FLOAT,64,64,16,NO,,,NO,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,432,381,15,0,0.000302,0.000176,0.000051,0.000037,0.000028,0.000297,0.000076,0.000076,0.006534,0.00167,0.001669,0.00045,0,0.009358,0.000026,0.005133,0.000724,0.000335,0.000139,0.000192,0,0.001074,0.000325,0.000174,0.000097,0.009411,0.009437,0.009523,0.009523,0.543807,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0,0,0,0,0,0,0.703255,1.165342,,,,0.703255,1.008075,1.140965,1.018947,2.530788,,,,,,,,,,,,,,,,,,,,,0.703255,1.165342,1.008075,1.140965,1.840491,0.396114
4,conesQuarterSize,FLOAT,64,64,16,NO,,,YES,64,5,7,8.533334,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,450,375,15,0,0.000459,0.00035,0.00012,0.000061,0.000041,0.000579,0.000117,0.000116,0.015794,0.005221,0.00522,0.001419,0.000001,0.023604,0.000025,0.013482,0.001362,0.000455,0.000178,0.000311,0,0.003698,0.001017,0.000331,0.000173,0.023653,0.023679,0.023759,0.023759,1.154801,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0,0,0,0,0,0,0.699989,1.145375,,0.699989,0.699989,,0.99288,1.055897,1.089301,1.923787,,,,,,,,,,,,,,,,,,,,,0.699989,1.145375,0.99288,1.055897,1.860987,0.443281
4,conesQuarterSize,FLOAT,64,64,16,NO,,,NO,64,5,7,8.533334,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,450,375,15,0.000001,0.000482,0.000356,0.00012,0.000061,0.000046,0.000587,0.000121,0.00012,0.017137,0.005206,0.005205,0.001413,0.000001,0.02492,0.000025,0.014305,0.001731,0.000557,0.000205,0.000329,0,0.003657,0.00103,0.000328,0.00018,0.024978,0.025004,0.025087,0.025087,1.154801,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0,0,0,0,0,0,0.727786,1.154745,,0.727786,,0.727786,1.017403,1.055897,1.103394,1.986979,,,,,,,,,,,,,,,,,,,,,0.727786,1.154745,1.017403,1.055897,1.795113,0.443971
