Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown)
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,YES,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,16,NEON,192,144,15,0,0.000011,0.00001,0.000007,0.000006,0.000006,0.00003,0.000004,0.000004,0.000294,0.000061,0.000061,0.000019,0,0.00042,0.000006,0.000148,0.000055,0.00003,0.000024,0.000021,0,0.000026,0.000015,0.00001,0.00001,0.000442,0.000449,0.000452,0.000452,0.01065,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0,0,0,0,0,0,1.281097,0.983375,1.281097,,1.281097,,1.402574,1.565586,1.575418,,,,,,,,,,,,,,,,,,,1.281097,0.983375,1.402574,1.565586,0.952298,0.784265
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,NO,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,48,NEON,192,144,15,0,0.000009,0.000015,0.000016,0.000015,0.000016,0.000062,0.000008,0.000008,0.000489,0.000077,0.000077,0.000024,0,0.000675,0.000014,0.000222,0.000105,0.000057,0.000051,0.000049,0,0.000024,0.00002,0.000017,0.000015,0.000692,0.000705,0.000708,0.000708,0.01065,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0,0,0,0,0,0,1.82605,1.026961,1.82605,,,1.82605,1.122062,1.565586,1.442107,,,,,,,,,,,,,,,,,,,1.82605,1.026961,1.122062,1.565586,1.009076,0.754527
1,tsukubaSet,FLOAT,64,16,8,NO,,,YES,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0,0.000031,0.000028,0.000021,0.00002,0.000019,0.000089,0.000012,0.000012,0.000872,0.000195,0.000194,0.000044,0,0.001241,0.000019,0.000463,0.00017,0.00009,0.000076,0.000066,0,0.000099,0.00004,0.000025,0.000025,0.001257,0.001277,0.001292,0.001292,0.095051,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0,0,0,0,0,0,1.740401,1.255526,1.740401,,1.740401,,1.012825,1.741482,2.668143,,,,,,,,,,,,,,,,,,,1.740401,1.255526,1.012825,1.741482,0.927777,0.674888
1,tsukubaSet,FLOAT,64,16,8,NO,,,NO,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0,0.00003,0.000028,0.000021,0.00002,0.000019,0.000089,0.000012,0.000012,0.001828,0.000193,0.000193,0.000043,0,0.002197,0.000019,0.001149,0.000376,0.000152,0.000079,0.000066,0,0.000099,0.00004,0.000024,0.000025,0.002216,0.002235,0.002251,0.002251,0.095051,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0,0,0,0,0,0,1.539278,1.2833,1.539278,,,1.539278,0.998664,1.741482,2.113798,,,,,,,,,,,,,,,,,,,1.539278,1.2833,0.998664,1.741482,0.985153,0.580465
2,venus,FLOAT,64,16,8,NO,,,YES,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0,0.000041,0.00004,0.000024,0.00002,0.00002,0.000108,0.000015,0.000015,0.002465,0.000231,0.000231,0.000068,0,0.002931,0.000019,0.001655,0.000458,0.000187,0.000095,0.000068,0,0.000117,0.000045,0.000035,0.000034,0.00295,0.00297,0.002993,0.002993,0.27402,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0,0,0,0,0,0,1.236349,1.600469,1.236349,,1.236349,,0.999626,1.108539,2.47611,,,,,,,,,,,,,,,,,,,1.236349,1.600469,0.999626,1.108539,0.960978,0.481583
2,venus,FLOAT,64,16,8,NO,,,NO,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0,0.000041,0.00004,0.000024,0.00002,0.00002,0.000105,0.000015,0.000015,0.00279,0.000233,0.000233,0.000068,0,0.003252,0.00002,0.00189,0.00051,0.000208,0.000102,0.000071,0,0.000116,0.000044,0.000035,0.000034,0.003271,0.00329,0.003318,0.003318,0.27402,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0,0,0,0,0,0,1.694106,1.597123,1.694106,,,1.694106,0.999036,1.108539,2.598023,,,,,,,,,,,,,,,,,,,1.694106,1.597123,0.999036,1.108539,0.979972,0.476014
3,barn1,FLOAT,64,16,8,NO,,,YES,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0,0.000055,0.000052,0.000028,0.000022,0.000021,0.000124,0.000018,0.000018,0.003702,0.000375,0.000375,0.000099,0,0.004371,0.000022,0.002547,0.000685,0.000273,0.00012,0.00008,0,0.000187,0.00008,0.000057,0.000048,0.004401,0.004423,0.004447,0.004447,0.413098,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0,0,0,0,0,0,1.28975,1.548264,,,1.28975,,0.997568,1.080375,2.252242,,,,,,,,,,,,,,,,,,,1.28975,1.548264,0.997568,1.080375,0.982245,0.381767
3,barn1,FLOAT,64,16,8,NO,,,NO,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0,0.000055,0.000052,0.000028,0.000022,0.000021,0.000123,0.000018,0.000018,0.004055,0.000374,0.000373,0.000095,0,0.004728,0.000021,0.002794,0.000743,0.000292,0.000125,0.000084,0,0.000185,0.000079,0.000058,0.000048,0.004757,0.00478,0.004805,0.004805,0.413098,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0,0,0,0,0,0,1.393909,1.534069,,,,1.393909,0.999427,1.080375,2.501978,,,,,,,,,,,,,,,,,,,1.393909,1.534069,0.999427,1.080375,0.993509,0.355308
4,conesQuarterSize,FLOAT,64,16,8,NO,,,YES,64,5,7,8.533334,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0,0.000164,0.000177,0.000062,0.00003,0.000025,0.000295,0.000033,0.000033,0.010392,0.001554,0.001553,0.000784,0,0.013225,0.000025,0.008004,0.001494,0.000583,0.000198,0.000121,0,0.001063,0.000294,0.000105,0.000087,0.013272,0.013304,0.01333,0.01333,0.926258,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0,0,0,0,0,0,1.247654,1.427983,,1.247654,1.247654,,1.00181,1.059646,1.812793,,,,,,,,,,,,,,,,,,,1.247654,1.427983,1.00181,1.059646,1.38122,0.407476
4,conesQuarterSize,FLOAT,64,16,8,NO,,,NO,64,5,7,8.533334,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0,0.000158,0.000179,0.000062,0.00003,0.000025,0.000299,0.000033,0.000033,0.011142,0.001577,0.001576,0.000793,0,0.014013,0.000042,0.008641,0.001565,0.000602,0.000205,0.000128,0,0.001094,0.000296,0.000104,0.000087,0.014056,0.014098,0.014125,0.014125,0.926258,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0,0,0,0,0,0,1.292611,1.439664,,1.292611,,1.292611,0.986258,1.059646,1.892806,,,,,,,,,,,,,,,,,,,1.292611,1.439664,0.986258,1.059646,1.412177,0.407839
