Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of threads,Vectorization,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX256,192,144,0.000000,0.000033,0.000016,0.000006,0.000004,0.000003,YES,YES,YES,YES,YES,0.000028,0.000003,0.000003,0.000310,0.000076,0.000076,YES,0.000020,0.000000,0.000476,0.000003,0.000211,0.000056,0.000019,0.000012,0.000012,YES,YES,YES,YES,YES,0.000000,0.000042,0.000014,0.000010,0.000011,YES,YES,YES,YES,YES,0.000488,0.000491,0.000498,0.000498,0.007964,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.163014,1.315129,1.163014,0.863021,4.138689,1.000000,2.598839,0.797266,0.797234,1.163014,1.315129,0.863021,2.745607,
0,tsukubaSetHalfSize,FLOAT,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,192,144,0.000000,0.000027,0.000013,0.000006,0.000006,0.000005,YES,YES,YES,YES,YES,0.000030,0.000007,0.000007,0.001119,0.000092,0.000091,YES,0.000058,0.000000,0.001334,0.000005,0.000735,0.000193,0.000088,0.000067,0.000031,YES,YES,YES,YES,YES,0.000000,0.000040,0.000017,0.000015,0.000019,YES,YES,YES,YES,YES,0.001353,0.001359,0.001368,0.001368,0.011065,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.945266,0.988475,0.945266,0.963987,No Data,1.507386,3.495130,0.514173,0.937789,0.945266,0.988475,0.963987,No Data,
1,tsukubaSet,FLOAT,16,8,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX256,384,288,0.000001,0.000164,0.000089,0.000030,0.000012,0.000009,YES,YES,YES,YES,YES,0.000140,0.000019,0.000018,0.004300,0.001773,0.001772,YES,0.000561,0.000001,0.006957,0.000057,0.003696,0.000411,0.000116,0.000040,0.000024,YES,YES,YES,YES,YES,0.000000,0.001223,0.000391,0.000115,0.000042,YES,YES,YES,YES,YES,0.006991,0.007047,0.007089,0.007089,0.084685,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.317290,1.409205,0.317290,0.991773,1.883350,1.000000,2.796672,0.258766,2.516816,0.317290,1.409205,0.991773,1.494515,
1,tsukubaSet,FLOAT,64,16,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,384,288,0.000001,0.000190,0.000088,0.000028,0.000012,0.000009,YES,YES,YES,YES,YES,0.000137,0.000020,0.000020,0.007608,0.001779,0.001778,YES,0.000577,0.000001,0.010456,0.000056,0.005762,0.001241,0.000339,0.000150,0.000103,YES,YES,YES,YES,YES,0.000000,0.001243,0.000374,0.000116,0.000043,YES,YES,YES,YES,YES,0.010496,0.010552,0.010595,0.010595,0.089034,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.326997,1.370025,0.326997,1.040658,No Data,1.260175,3.162836,0.361544,1.417478,0.326997,1.370025,1.040658,No Data,
2,venus,FLOAT,64,16,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,12,AVX512,434,383,0.000000,0.000628,0.000511,0.000083,0.000015,0.000006,YES,YES,YES,YES,YES,0.000614,0.000012,0.000012,0.017947,0.006514,0.006513,YES,0.002231,0.000001,0.027951,0.000055,0.016202,0.001224,0.000284,0.000102,0.000137,YES,YES,YES,YES,YES,0.000000,0.005173,0.001022,0.000240,0.000064,YES,YES,YES,YES,YES,0.027988,0.028043,0.028101,0.028101,0.289488,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131686,1.514952,0.131686,1.032147,1.084108,1.076435,1.781505,0.399636,3.019196,0.131686,1.514952,1.032147,1.084108,
2,venus,FLOAT,64,16,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,434,383,0.000001,0.000634,0.000493,0.000080,0.000013,0.000010,YES,YES,YES,YES,YES,0.000597,0.000025,0.000024,0.020164,0.006525,0.006524,YES,0.002335,0.000001,0.030293,0.000075,0.016957,0.002229,0.000595,0.000182,0.000181,YES,YES,YES,YES,YES,0.000000,0.005281,0.000948,0.000218,0.000068,YES,YES,YES,YES,YES,0.030330,0.030406,0.030464,0.030464,0.295594,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.184509,1.480560,0.184509,1.001890,No Data,1.113958,2.244048,0.420707,2.013959,0.184509,1.480560,1.001890,No Data,
3,barn1,FLOAT,64,16,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,12,AVX512,432,381,0.000001,0.001151,0.001163,0.000160,0.000038,0.000008,YES,YES,YES,YES,YES,0.001366,0.000018,0.000018,0.032273,0.011057,0.011055,YES,0.003813,0.000000,0.049671,0.000069,0.029282,0.002191,0.000459,0.000148,0.000201,YES,YES,YES,YES,YES,0.000000,0.008823,0.001650,0.000448,0.000105,YES,YES,YES,YES,YES,0.049708,0.049776,0.049834,0.049834,0.462873,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.115097,1.381772,No Data,1.000957,1.026459,1.076736,1.647789,0.438124,2.371696,0.115097,1.381772,1.000957,1.026459,
3,barn1,FLOAT,64,16,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,432,381,0.000001,0.001149,0.001217,0.000152,0.000035,0.000012,YES,YES,YES,YES,YES,0.001422,0.000033,0.000032,0.033545,0.010981,0.010980,YES,0.003859,0.000001,0.050981,0.000074,0.029686,0.002767,0.000666,0.000202,0.000238,YES,YES,YES,YES,YES,0.000000,0.008830,0.001634,0.000402,0.000109,YES,YES,YES,YES,YES,0.051020,0.051094,0.051153,0.051153,0.464030,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130926,1.365689,No Data,1.002141,No Data,1.082927,2.013162,0.445738,2.116209,0.130926,1.365689,1.002141,No Data,
4,conesQuarterSize,FLOAT,64,16,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,450,375,0.000000,0.003009,0.004280,0.000657,0.000083,0.000011,YES,YES,YES,YES,YES,0.005042,0.000030,0.000029,0.079854,0.026235,0.026233,YES,0.008445,0.000000,0.122681,0.000066,0.066851,0.010990,0.001254,0.000319,0.000480,YES,YES,YES,YES,YES,0.000000,0.019883,0.005138,0.000997,0.000207,YES,YES,YES,YES,YES,0.122716,0.122781,0.122836,0.122836,0.989441,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.135394,1.336796,No Data,1.033945,1.002795,1.093476,1.548655,0.496182,2.158364,0.135394,1.336796,1.033945,1.002795,
4,conesQuarterSize,FLOAT,64,16,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,450,375,0.000000,0.002994,0.004345,0.000657,0.000084,0.000011,YES,YES,YES,YES,YES,0.005096,0.000029,0.000029,0.080257,0.026240,0.026239,YES,0.008401,0.000000,0.123026,0.000066,0.066253,0.011329,0.001694,0.000445,0.000564,YES,YES,YES,YES,YES,0.000000,0.019900,0.005104,0.001022,0.000204,YES,YES,YES,YES,YES,0.123059,0.123124,0.123180,0.123180,0.989462,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.148225,1.347701,No Data,1.034632,No Data,1.095496,1.683460,0.487100,2.092428,0.148225,1.347701,1.034632,No Data,
