Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,
0,tsukubaSetHalfSize,FLOAT,96,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,12,AVX256_float16Vect,192,144,15,0.000000,0.000017,0.000012,0.000007,0.000009,0.000006,0.000034,0.000007,0.000007,0.000230,0.000086,0.000086,0.000015,0.000000,0.000389,0.000006,0.000114,0.000042,0.000028,0.000022,0.000024,0.000000,0.000030,0.000014,0.000022,0.000020,0.000401,0.000407,0.000416,0.000416,0.008251,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.393072,1.269344,1.393072,1.393072,2.069429,1.826471,,,,,,,,,,,,,,,,,,,
0,tsukubaSetHalfSize,FLOAT,96,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256_float16Vect,192,144,15,0.000000,0.000013,0.000012,0.000016,0.000011,0.000010,0.000048,0.000008,0.000008,0.000532,0.000106,0.000106,0.000019,0.000000,0.000727,0.000009,0.000290,0.000107,0.000054,0.000039,0.000035,0.000000,0.000025,0.000022,0.000026,0.000031,0.000743,0.000751,0.000760,0.000760,0.008251,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.702034,1.325605,1.702034,,1.351185,1.826471,1.702034,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,96,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,48,AVX256_float16Vect,384,288,15,0.000000,0.000059,0.000035,0.000020,0.000029,0.000022,0.000107,0.000030,0.000030,0.000838,0.000497,0.000496,0.000050,0.000000,0.001580,0.000016,0.000482,0.000156,0.000081,0.000061,0.000055,0.000000,0.000338,0.000058,0.000040,0.000048,0.001595,0.001612,0.001656,0.001656,0.081311,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.358460,1.467693,1.358460,1.358460,0.947940,1.247081,,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,96,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256_float16Vect,384,288,15,0.000000,0.000040,0.000039,0.000030,0.000036,0.000031,0.000137,0.000048,0.000048,0.001251,0.000465,0.000465,0.000053,0.000000,0.001993,0.000024,0.000609,0.000276,0.000151,0.000113,0.000096,0.000000,0.000268,0.000067,0.000060,0.000067,0.002013,0.002037,0.002065,0.002065,0.081311,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.677794,1.500161,1.677794,,0.998741,1.247081,1.677794,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,96,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256_float16Vect,434,383,15,0.000000,0.000068,0.000047,0.000031,0.000029,0.000033,0.000138,0.000072,0.000072,0.001485,0.000456,0.000454,0.000064,0.000000,0.002280,0.000027,0.000785,0.000292,0.000166,0.000128,0.000102,0.000000,0.000229,0.000060,0.000067,0.000085,0.002301,0.002328,0.002376,0.002376,0.207932,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.557645,2.109153,1.557645,1.557645,0.998624,1.176304,,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,96,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256_float16Vect,434,383,15,0.000000,0.000067,0.000048,0.000031,0.000029,0.000034,0.000142,0.000068,0.000067,0.001894,0.000449,0.000448,0.000065,0.000000,0.002694,0.000027,0.001061,0.000361,0.000202,0.000151,0.000111,0.000000,0.000234,0.000061,0.000068,0.000079,0.002718,0.002746,0.002795,0.002795,0.207932,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.011404,2.104743,2.011404,,0.995691,1.176304,2.011404,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,96,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256_float16Vect,432,381,15,0.000000,0.000099,0.000061,0.000038,0.000037,0.000036,0.000172,0.000095,0.000095,0.002511,0.000688,0.000686,0.000103,0.000000,0.003679,0.000027,0.001584,0.000419,0.000222,0.000161,0.000111,0.000000,0.000348,0.000103,0.000119,0.000115,0.003701,0.003728,0.003777,0.003777,0.392288,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.518627,1.630394,,1.518627,1.003838,1.121951,,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,96,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256_float16Vect,432,381,15,0.000000,0.000096,0.000061,0.000038,0.000037,0.000038,0.000175,0.000095,0.000094,0.002933,0.000728,0.000727,0.000105,0.000000,0.004139,0.000027,0.001909,0.000508,0.000237,0.000164,0.000117,0.000000,0.000354,0.000103,0.000134,0.000121,0.004162,0.004189,0.004238,0.004238,0.392288,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.580449,1.615446,,,1.004287,1.121951,1.580449,,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,96,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256_float16Vect,450,375,15,0.000000,0.000191,0.000121,0.000075,0.000057,0.000050,0.000306,0.000182,0.000182,0.005964,0.001967,0.001966,0.000338,0.000000,0.008966,0.000027,0.004383,0.000856,0.000349,0.000226,0.000150,0.000000,0.001057,0.000420,0.000297,0.000181,0.008993,0.009021,0.009076,0.009076,0.842957,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.832364,1.569096,,1.832364,0.996715,1.113429,,1.832364,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,96,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256_float16Vect,450,375,15,0.000000,0.000180,0.000118,0.000077,0.000057,0.000058,0.000313,0.000179,0.000178,0.006989,0.001972,0.001970,0.000353,0.000000,0.009998,0.000026,0.005124,0.001048,0.000399,0.000251,0.000159,0.000000,0.001072,0.000406,0.000305,0.000189,0.010025,0.010051,0.010106,0.010106,0.842957,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.806690,1.581931,,,1.001653,1.113429,1.806690,1.806690,,,,,,,,,,,,,,,,,
