Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,
0,tsukubaSetHalfSize,FLOAT,96,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,12,AVX256_float16Vect,192,144,15,0.000000,0.000016,0.000011,0.000007,0.000009,0.000007,0.000035,0.000008,0.000008,0.000232,0.000093,0.000092,0.000016,0.000000,0.000401,0.000006,0.000113,0.000044,0.000027,0.000022,0.000025,0.000000,0.000031,0.000015,0.000026,0.000021,0.000414,0.000424,0.000434,0.000434,0.008198,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.335939,1.277584,1.335939,1.335939,2.216197,1.881312,,,,,,,,,,,,,,,,,,,
0,tsukubaSetHalfSize,FLOAT,96,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256_float16Vect,192,144,15,0.000000,0.000013,0.000012,0.000016,0.000012,0.000011,0.000051,0.000009,0.000009,0.000571,0.000111,0.000110,0.000020,0.000000,0.000782,0.000009,0.000323,0.000107,0.000056,0.000038,0.000039,0.000000,0.000026,0.000025,0.000028,0.000031,0.000798,0.000806,0.000816,0.000816,0.008198,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.584650,1.334211,1.584650,,1.319637,1.881312,1.584650,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,96,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,48,AVX256_float16Vect,384,288,15,0.000000,0.000061,0.000034,0.000022,0.000030,0.000022,0.000108,0.000032,0.000032,0.000867,0.000518,0.000516,0.000050,0.000000,0.001651,0.000018,0.000497,0.000161,0.000089,0.000063,0.000057,0.000000,0.000351,0.000064,0.000045,0.000053,0.001672,0.001690,0.001737,0.001737,0.085063,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.294978,1.402956,1.294978,1.294978,0.984867,1.249876,,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,96,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256_float16Vect,384,288,15,0.000000,0.000042,0.000042,0.000034,0.000039,0.000034,0.000149,0.000048,0.000047,0.001295,0.000500,0.000499,0.000059,0.000000,0.002093,0.000027,0.000626,0.000292,0.000148,0.000116,0.000104,0.000000,0.000276,0.000075,0.000073,0.000075,0.002113,0.002139,0.002171,0.002171,0.085063,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.595813,1.433992,1.595813,,0.996235,1.249876,1.595813,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,96,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,48,AVX256_float16Vect,434,383,15,0.000000,0.000120,0.000056,0.000025,0.000018,0.000025,0.000123,0.000044,0.000044,0.003213,0.000610,0.000610,0.000125,0.000000,0.004247,0.000020,0.002440,0.000408,0.000159,0.000118,0.000079,0.000000,0.000466,0.000068,0.000036,0.000041,0.004266,0.004286,0.004351,0.004351,0.222043,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.850508,1.975119,0.850508,0.850508,0.592311,1.141561,,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,96,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,48,AVX256_float16Vect,434,383,15,0.000000,0.000115,0.000056,0.000024,0.000017,0.000023,0.000119,0.000043,0.000043,0.003800,0.000653,0.000653,0.000125,0.000000,0.004858,0.000019,0.002883,0.000514,0.000190,0.000135,0.000077,0.000000,0.000486,0.000082,0.000040,0.000043,0.004880,0.004899,0.004967,0.004967,0.222043,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.131696,1.970990,1.131696,,0.616976,1.141561,1.131696,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,96,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,48,AVX256_float16Vect,432,381,15,0.000000,0.000173,0.000078,0.000031,0.000019,0.000027,0.000157,0.000077,0.000077,0.004709,0.000851,0.000851,0.000218,0.000000,0.006192,0.000020,0.003608,0.000645,0.000210,0.000147,0.000086,0.000000,0.000575,0.000139,0.000071,0.000059,0.006217,0.006238,0.006306,0.006306,0.417325,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.909530,1.532582,,0.909530,0.653154,1.135652,,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,96,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,48,AVX256_float16Vect,432,381,15,0.000000,0.000160,0.000078,0.000029,0.000018,0.000036,0.000161,0.000072,0.000071,0.005425,0.000978,0.000978,0.000226,0.000000,0.007027,0.000021,0.004143,0.000772,0.000256,0.000163,0.000088,0.000000,0.000668,0.000157,0.000071,0.000069,0.007064,0.007085,0.007162,0.007162,0.417325,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.935137,1.518530,,,0.622233,1.135652,0.935137,,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,96,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256_float16Vect,450,375,15,0.000000,0.000206,0.000205,0.000113,0.000078,0.000056,0.000453,0.000201,0.000200,0.007826,0.002606,0.002604,0.000680,0.000001,0.011983,0.000039,0.005917,0.001033,0.000424,0.000259,0.000158,0.000000,0.001488,0.000551,0.000342,0.000212,0.012036,0.012074,0.012168,0.012168,0.897003,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.366855,1.474555,,1.366855,0.997558,1.103215,,1.366855,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,96,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256_float16Vect,450,375,15,0.000001,0.000197,0.000210,0.000113,0.000080,0.000074,0.000494,0.000196,0.000194,0.009010,0.002653,0.002651,0.000691,0.000001,0.013244,0.000039,0.006774,0.001248,0.000487,0.000294,0.000185,0.000000,0.001517,0.000554,0.000375,0.000195,0.013296,0.013337,0.013423,0.013423,0.897003,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.360180,1.486617,,,0.997583,1.103215,1.360180,1.360180,,,,,,,,,,,,,,,,,
5,conesHalfSize,FLOAT,96,32,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256_float16Vect,900,750,7,0.000001,0.003379,0.004921,0.000865,0.000154,0.000093,0.006037,0.000253,0.000251,0.109166,0.031516,0.031514,0.009216,0.000001,0.159555,0.000064,0.086922,0.018743,0.002477,0.000615,0.000384,0.000000,0.024259,0.005374,0.001211,0.000692,0.159623,0.159686,0.160025,0.160025,7.998435,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.430092,1.277337,,1.430092,0.999695,1.009758,,1.430092,,,,,,,,,,,,,,,,,
5,conesHalfSize,FLOAT,96,32,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256_float16Vect,900,750,7,0.000001,0.003394,0.004907,0.000857,0.000157,0.000095,0.006030,0.000239,0.000236,0.110684,0.031463,0.031459,0.009225,0.000001,0.161127,0.000064,0.087808,0.019103,0.002656,0.000701,0.000441,0.000000,0.024096,0.005404,0.001284,0.000677,0.161181,0.161246,0.161587,0.161587,7.998435,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.432863,1.282388,,,1.004484,1.009758,1.432863,1.432863,,,,,,,,,,,,,,,,,
