Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,
0,tsukubaSetHalfSize,FLOAT,16,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX256,192,144,3,0.000000,0.000027,0.000014,0.000005,0.000004,0.000003,0.000026,0.000004,0.000004,0.000260,0.000068,0.000068,0.000016,0.000000,0.000398,0.000003,0.000162,0.000048,0.000020,0.000013,0.000016,0.000000,0.000035,0.000013,0.000009,0.000012,0.000412,0.000415,0.000423,0.000423,0.009463,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.368953,1.106764,1.368953,1.368953,1.085367,4.961334,,,,,,,,,,,,,,,,,,,
0,tsukubaSetHalfSize,FLOAT,16,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256,192,144,3,0.000000,0.000028,0.000013,0.000007,0.000006,0.000005,0.000032,0.000008,0.000007,0.001862,0.000101,0.000100,0.000026,0.000000,0.002056,0.000005,0.001285,0.000382,0.000120,0.000054,0.000029,0.000000,0.000043,0.000019,0.000019,0.000021,0.002080,0.002090,0.002100,0.002100,0.009463,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.615741,1.155819,0.615741,,0.946816,4.961334,0.615741,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,16,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256,384,288,3,0.000001,0.000211,0.000094,0.000029,0.000013,0.000009,0.000145,0.000018,0.000017,0.004522,0.003015,0.003014,0.000602,0.000001,0.008851,0.000058,0.003945,0.000411,0.000116,0.000041,0.000027,0.000000,0.002474,0.000395,0.000119,0.000048,0.008892,0.008943,0.008984,0.008984,0.081961,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250360,1.456042,0.250360,0.250360,0.986373,1.741370,,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,16,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256,384,288,3,0.000001,0.000199,0.000129,0.000036,0.000013,0.000009,0.000185,0.000022,0.000022,0.009671,0.002035,0.002034,0.002773,0.000001,0.015509,0.000049,0.007428,0.001529,0.000426,0.000137,0.000088,0.000000,0.001449,0.000414,0.000124,0.000055,0.015552,0.015602,0.015645,0.015645,0.081961,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.221442,1.488252,0.221442,,1.073515,1.741370,0.221442,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,16,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX256,434,383,3,0.000000,0.000702,0.000519,0.000104,0.000016,0.000007,0.000660,0.000011,0.000011,0.021462,0.006423,0.006423,0.002334,0.000001,0.031593,0.000068,0.019147,0.001737,0.000392,0.000126,0.000050,0.000000,0.005206,0.000972,0.000183,0.000062,0.031625,0.031693,0.031748,0.031748,0.269180,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.116557,1.629245,0.116557,0.116557,1.104552,1.368552,,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,16,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256,434,383,3,0.000001,0.000690,0.000521,0.000079,0.000014,0.000010,0.000624,0.000027,0.000027,0.032135,0.007079,0.007078,0.002758,0.000000,0.043273,0.000077,0.027342,0.002711,0.000644,0.000204,0.000107,0.000000,0.005316,0.000987,0.000192,0.000071,0.043316,0.043393,0.043449,0.043449,0.269180,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129368,1.625839,0.129368,,0.835730,1.368552,0.129368,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,16,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,12,AVX256,432,381,3,0.000001,0.001192,0.001101,0.000151,0.000026,0.000010,0.001283,0.000017,0.000017,0.036595,0.010603,0.010602,0.003685,0.000001,0.053367,0.000069,0.033211,0.002612,0.000546,0.000160,0.000065,0.000000,0.008502,0.001662,0.000326,0.000103,0.053404,0.053473,0.053532,0.053532,0.440860,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107146,1.450766,,0.107146,1.183115,1.219988,,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,16,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256,432,381,3,0.000001,0.001233,0.001234,0.000147,0.000027,0.000013,0.001484,0.000038,0.000037,0.041458,0.012385,0.012385,0.003811,0.000000,0.065133,0.000079,0.036125,0.004029,0.000912,0.000281,0.000116,0.000000,0.008676,0.001703,0.000315,0.000111,0.065172,0.065246,0.065309,0.065309,0.440860,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.102547,1.437465,,,0.869277,1.219988,0.102547,,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,16,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX256,450,375,3,0.000001,0.003124,0.004236,0.000552,0.000094,0.000014,0.004946,0.000031,0.000030,0.092183,0.025217,0.025215,0.008565,0.000000,0.133886,0.000073,0.077707,0.012334,0.001638,0.000421,0.000120,0.000000,0.019264,0.004803,0.000967,0.000191,0.133916,0.133990,0.134044,0.134044,0.905728,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.124074,1.460350,,0.124074,1.074410,1.030244,,0.124074,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,16,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX256,450,375,3,0.000001,0.003705,0.004293,0.000692,0.000124,0.000030,0.005184,0.000052,0.000051,0.093524,0.026083,0.026081,0.008560,0.000001,0.137936,0.000074,0.076119,0.014321,0.002740,0.000685,0.000205,0.000000,0.019323,0.005396,0.001158,0.000236,0.137967,0.138042,0.138098,0.138098,0.905728,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132213,1.472297,,,1.026084,1.030244,0.132213,0.132213,,,,,,,,,,,,,,,,,
