Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,16,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256,192,144,3,0.000000,0.000020,0.000011,0.000006,0.000006,0.000005,0.000028,0.000008,0.000008,0.000258,0.000096,0.000096,0.000016,0.000000,0.000429,0.000004,0.000140,0.000050,0.000025,0.000021,0.000022,0.000000,0.000043,0.000017,0.000017,0.000019,0.000447,0.000451,0.000459,0.000459,0.009463,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.368953,1.106764,1.368953,,1.368953,,1.085367,,,,,,,,,,,,,,,,,,,,,,,,1.368953,1.106764,1.085367,,,,
0,tsukubaSetHalfSize,FLOAT,16,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256,192,144,3,0.000000,0.000026,0.000012,0.000007,0.000006,0.000005,0.000030,0.000007,0.000007,0.001766,0.000095,0.000095,0.000023,0.000000,0.001949,0.000005,0.001233,0.000344,0.000107,0.000046,0.000029,0.000000,0.000041,0.000018,0.000018,0.000018,0.001970,0.001979,0.001988,0.001988,0.009463,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.615741,1.155819,0.615741,,,0.615741,0.946816,,,,,,,,,,,,,,,,,,,,,,,,0.615741,1.155819,0.946816,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000191,0.000103,0.000037,0.000014,0.000009,0.000156,0.000019,0.000018,0.004388,0.001780,0.001780,0.000573,0.000001,0.008444,0.000059,0.003871,0.000312,0.000091,0.000063,0.000068,0.000000,0.001226,0.000394,0.000119,0.000041,0.008483,0.008645,0.008708,0.008708,0.081961,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.306042,1.456042,0.306042,,0.306042,,1.184840,,,,,,,,,,,,,,,,,,,,,,,,0.306042,1.456042,1.184840,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000001,0.000197,0.000086,0.000028,0.000012,0.000009,0.000135,0.000022,0.000022,0.007768,0.001797,0.001796,0.000591,0.000000,0.011965,0.000057,0.006089,0.001110,0.000305,0.000148,0.000099,0.000000,0.001250,0.000376,0.000115,0.000041,0.012004,0.012171,0.012221,0.012221,0.081961,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.284217,1.488252,0.284217,,,0.284217,1.002600,,,,,,,,,,,,,,,,,,,,,,,,0.284217,1.488252,1.002600,,,,
2,venus,FLOAT,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000742,0.000532,0.000118,0.000021,0.000011,0.000752,0.000039,0.000038,0.020703,0.006892,0.006891,0.002528,0.000001,0.032574,0.000082,0.018941,0.001064,0.000226,0.000095,0.000128,0.000000,0.005584,0.000956,0.000223,0.000075,0.032610,0.032692,0.032752,0.032752,0.269180,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.125708,1.629245,0.125708,,0.125708,,1.112620,,,,,,,,,,,,,,,,,,,,,,,,0.125708,1.629245,1.112620,,,,
2,venus,FLOAT,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000001,0.000731,0.000558,0.000109,0.000015,0.000010,0.000726,0.000033,0.000032,0.022558,0.006890,0.006889,0.002376,0.000001,0.034376,0.000076,0.019405,0.002035,0.000545,0.000174,0.000171,0.000000,0.005601,0.000992,0.000213,0.000066,0.034413,0.034489,0.034546,0.034546,0.269180,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.168848,1.625839,0.168848,,,0.168848,1.037739,,,,,,,,,,,,,,,,,,,,,,,,0.168848,1.625839,1.037739,,,,
3,barn1,FLOAT,16,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256,432,381,3,0.000001,0.001222,0.001200,0.000151,0.000026,0.000013,0.001432,0.000025,0.000024,0.041934,0.012228,0.012227,0.003791,0.000001,0.063099,0.000138,0.039105,0.002211,0.000418,0.000136,0.000064,0.000000,0.010111,0.001718,0.000309,0.000106,0.063138,0.063275,0.063335,0.063335,0.440860,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107146,1.450766,,,0.107146,,1.183115,,,,,,,,,,,,,,,,,,,,,,,,0.107146,1.450766,1.183115,,,,
3,barn1,FLOAT,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.001115,0.001210,0.000157,0.000031,0.000012,0.001420,0.000033,0.000032,0.033750,0.010972,0.010971,0.003895,0.000001,0.051426,0.000080,0.029854,0.002800,0.000662,0.000215,0.000222,0.000000,0.008861,0.001648,0.000399,0.000103,0.051465,0.051545,0.051603,0.051603,0.440860,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.124670,1.437465,,,,0.124670,0.960591,,,,,,,,,,,,,,,,,,,,,,,,0.124670,1.437465,0.960591,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.002881,0.004212,0.000722,0.000090,0.000023,0.005052,0.000044,0.000043,0.082508,0.026804,0.026803,0.008553,0.000001,0.126312,0.000077,0.069531,0.011566,0.000868,0.000234,0.000366,0.000000,0.020388,0.005320,0.000900,0.000199,0.126350,0.126427,0.126486,0.126486,0.905728,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134869,1.460350,,0.134869,0.134869,,1.025715,,,,,,,,,,,,,,,,,,,,,,,,0.134869,1.460350,1.025715,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.002836,0.004244,0.000725,0.000098,0.000022,0.005093,0.000046,0.000045,0.083046,0.027239,0.027238,0.008532,0.000001,0.126814,0.000075,0.069568,0.011594,0.001143,0.000338,0.000437,0.000000,0.020644,0.005498,0.000904,0.000199,0.126850,0.126906,0.126965,0.126965,0.905728,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.149660,1.472297,,0.149660,,0.149660,1.040712,,,,,,,,,,,,,,,,,,,,,,,,0.149660,1.472297,1.040712,,,,
