Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,96,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,192,144,15,0.000000,0.000010,0.000020,0.000020,0.000019,0.000019,0.000079,0.000009,0.000009,0.000355,0.000094,0.000093,0.000032,0.000000,0.000582,0.000018,0.000094,0.000074,0.000065,0.000061,0.000060,0.000000,0.000029,0.000024,0.000022,0.000019,0.000603,0.000621,0.000625,0.000625,0.012478,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.587558,0.839309,1.587558,,1.587558,,1.712273,,,,,,,,,,,,,,,,,,,,,1.587558,0.839309,1.712273,,,,
0,tsukubaSetHalfSize,FLOAT,96,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,192,144,15,0.000000,0.000010,0.000020,0.000020,0.000019,0.000019,0.000078,0.000009,0.000009,0.000480,0.000093,0.000093,0.000033,0.000000,0.000702,0.000017,0.000196,0.000088,0.000065,0.000060,0.000061,0.000000,0.000030,0.000023,0.000023,0.000017,0.000724,0.000741,0.000745,0.000745,0.012478,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.078820,0.876510,2.078820,,,2.078820,1.197617,,,,,,,,,,,,,,,,,,,,,2.078820,0.876510,1.197617,,,,
1,tsukubaSet,FLOAT,96,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,384,288,15,0.000000,0.000023,0.000026,0.000022,0.000020,0.000021,0.000090,0.000012,0.000012,0.000733,0.000197,0.000197,0.000044,0.000000,0.001101,0.000018,0.000355,0.000157,0.000085,0.000072,0.000064,0.000000,0.000096,0.000040,0.000031,0.000029,0.001117,0.001135,0.001148,0.001148,0.119259,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.966681,1.000667,1.966681,,1.966681,,1.003663,,,,,,,,,,,,,,,,,,,,,1.966681,1.000667,1.003663,,,,
1,tsukubaSet,FLOAT,96,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,384,288,15,0.000000,0.000023,0.000025,0.000021,0.000020,0.000021,0.000088,0.000012,0.000012,0.001447,0.000197,0.000197,0.000044,0.000000,0.001808,0.000017,0.000844,0.000317,0.000124,0.000084,0.000069,0.000000,0.000097,0.000041,0.000031,0.000029,0.001824,0.001841,0.001854,0.001854,0.119259,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.869447,1.022804,1.869447,,,1.869447,1.000334,,,,,,,,,,,,,,,,,,,,,1.869447,1.022804,1.000334,,,,
2,venus,FLOAT,96,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,434,383,15,0.000000,0.000038,0.000033,0.000020,0.000020,0.000022,0.000096,0.000013,0.000013,0.002045,0.000206,0.000206,0.000059,0.000000,0.002459,0.000018,0.001339,0.000376,0.000145,0.000099,0.000080,0.000000,0.000100,0.000038,0.000031,0.000033,0.002479,0.002497,0.002517,0.002517,0.324963,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.471400,1.349574,1.471400,,1.471400,,1.000761,,,,,,,,,,,,,,,,,,,,,1.471400,1.349574,1.000761,,,,
2,venus,FLOAT,96,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,434,383,15,0.000000,0.000037,0.000033,0.000020,0.000020,0.000022,0.000096,0.000013,0.000013,0.002309,0.000205,0.000204,0.000059,0.000000,0.002718,0.000018,0.001538,0.000423,0.000157,0.000104,0.000081,0.000000,0.000101,0.000036,0.000033,0.000035,0.002736,0.002755,0.002775,0.002775,0.324963,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.028432,1.346752,2.028432,,,2.028432,1.001263,,,,,,,,,,,,,,,,,,,,,2.028432,1.346752,1.001263,,,,
3,barn1,FLOAT,96,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,432,381,15,0.000000,0.000057,0.000046,0.000022,0.000024,0.000022,0.000115,0.000015,0.000014,0.003010,0.000293,0.000293,0.000070,0.000000,0.003558,0.000018,0.002037,0.000565,0.000195,0.000122,0.000087,0.000000,0.000144,0.000052,0.000048,0.000045,0.003583,0.003601,0.003621,0.003621,0.497441,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.580808,1.285749,,,1.580808,,0.998033,,,,,,,,,,,,,,,,,,,,,1.580808,1.285749,0.998033,,,,
3,barn1,FLOAT,96,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,432,381,15,0.000000,0.000055,0.000046,0.000022,0.000025,0.000022,0.000116,0.000015,0.000015,0.003276,0.000286,0.000286,0.000070,0.000000,0.003817,0.000020,0.002221,0.000613,0.000213,0.000133,0.000095,0.000000,0.000140,0.000053,0.000048,0.000046,0.003842,0.003863,0.003884,0.003884,0.497441,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.725487,1.273961,,,,1.725487,1.000588,,,,,,,,,,,,,,,,,,,,,1.725487,1.273961,1.000588,,,,
4,conesQuarterSize,FLOAT,96,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,450,375,15,0.000000,0.000115,0.000135,0.000061,0.000030,0.000024,0.000252,0.000034,0.000033,0.006939,0.001088,0.001088,0.000298,0.000000,0.008732,0.000023,0.004933,0.001246,0.000402,0.000214,0.000135,0.000000,0.000630,0.000257,0.000112,0.000089,0.008762,0.008785,0.008807,0.008807,1.220203,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.884356,1.083983,,1.884356,1.884356,,0.997864,,,,,,,,,,,,,,,,,,,,,1.884356,1.083983,0.997864,,,,
4,conesQuarterSize,FLOAT,96,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,450,375,15,0.000000,0.000109,0.000131,0.000062,0.000030,0.000024,0.000252,0.000035,0.000034,0.007257,0.001078,0.001077,0.000312,0.000000,0.009038,0.000024,0.005168,0.001299,0.000413,0.000225,0.000144,0.000000,0.000629,0.000243,0.000113,0.000089,0.009069,0.009092,0.009114,0.009114,1.220203,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.999620,1.092851,,1.999620,,1.999620,0.998144,,,,,,,,,,,,,,,,,,,,,1.999620,1.092851,0.998144,,,,
