Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,96,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,24,NEON,192,144,15,0.000000,0.000010,0.000008,0.000006,0.000006,0.000006,0.000027,0.000003,0.000003,0.000236,0.000050,0.000050,0.000017,0.000000,0.000343,0.000006,0.000125,0.000045,0.000025,0.000021,0.000019,0.000000,0.000021,0.000011,0.000010,0.000008,0.000357,0.000363,0.000367,0.000367,0.013590,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.578824,0.770628,1.578824,,1.578824,,1.726696,1.705935,1.642069,,,,,,,,,,,,,,,,,,,1.578824,0.770628,1.726696,1.705935,0.939741,0.782919,
0,tsukubaSetHalfSize,FLOAT,96,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,NEON,192,144,15,0.000000,0.000008,0.000012,0.000012,0.000011,0.000010,0.000045,0.000005,0.000005,0.000455,0.000058,0.000058,0.000021,0.000000,0.000598,0.000010,0.000239,0.000102,0.000047,0.000037,0.000033,0.000000,0.000019,0.000014,0.000014,0.000012,0.000612,0.000622,0.000626,0.000626,0.013590,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.065279,0.804785,2.065279,,,2.065279,1.220656,1.705935,1.437296,,,,,,,,,,,,,,,,,,,2.065279,0.804785,1.220656,1.705935,1.033279,0.755039,
1,tsukubaSet,FLOAT,96,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,72,NEON,384,288,15,0.000000,0.000025,0.000023,0.000014,0.000015,0.000015,0.000067,0.000009,0.000009,0.000763,0.000198,0.000198,0.000041,0.000000,0.001104,0.000013,0.000437,0.000145,0.000073,0.000055,0.000050,0.000000,0.000108,0.000039,0.000026,0.000024,0.001117,0.001131,0.001144,0.001144,0.120428,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.966701,0.990958,1.966701,,1.966701,,1.003518,1.623916,2.243213,,,,,,,,,,,,,,,,,,,1.966701,0.990958,1.003518,1.623916,0.936092,0.688437,
1,tsukubaSet,FLOAT,96,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,384,288,15,0.000000,0.000023,0.000025,0.000022,0.000022,0.000023,0.000091,0.000011,0.000011,0.001442,0.000197,0.000197,0.000044,0.000000,0.001810,0.000019,0.000845,0.000319,0.000127,0.000083,0.000062,0.000000,0.000094,0.000041,0.000031,0.000030,0.001825,0.001845,0.001857,0.001857,0.120428,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.865356,1.012880,1.865356,,,1.865356,0.995106,1.623916,2.031895,,,,,,,,,,,,,,,,,,,1.865356,1.012880,0.995106,1.623916,0.972029,0.594581,
2,venus,FLOAT,96,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,434,383,15,0.000000,0.000037,0.000033,0.000020,0.000021,0.000021,0.000096,0.000013,0.000013,0.002036,0.000216,0.000215,0.000059,0.000000,0.002455,0.000018,0.001340,0.000377,0.000148,0.000096,0.000074,0.000000,0.000102,0.000038,0.000036,0.000036,0.002471,0.002492,0.002512,0.002512,0.326818,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.472997,1.341911,1.472997,,1.472997,,1.001273,1.109615,2.127525,,,,,,,,,,,,,,,,,,,1.472997,1.341911,1.001273,1.109615,0.981104,0.541894,
2,venus,FLOAT,96,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,434,383,15,0.000000,0.000037,0.000034,0.000020,0.000021,0.000022,0.000097,0.000013,0.000013,0.002315,0.000211,0.000211,0.000058,0.000000,0.002732,0.000019,0.001541,0.000429,0.000162,0.000105,0.000077,0.000000,0.000101,0.000039,0.000037,0.000034,0.002748,0.002767,0.002788,0.002788,0.326818,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.016416,1.339105,2.016416,,,2.016416,0.999710,1.109615,2.449594,,,,,,,,,,,,,,,,,,,2.016416,1.339105,0.999710,1.109615,0.995138,0.537145,
3,barn1,FLOAT,96,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,432,381,15,0.000000,0.000057,0.000048,0.000023,0.000025,0.000022,0.000118,0.000016,0.000015,0.003029,0.000304,0.000303,0.000070,0.000000,0.003590,0.000020,0.002039,0.000567,0.000202,0.000124,0.000090,0.000000,0.000143,0.000055,0.000052,0.000049,0.003615,0.003635,0.003656,0.003656,0.497236,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.569025,1.286282,,,1.569025,,0.996590,1.068490,2.150492,,,,,,,,,,,,,,,,,,,1.569025,1.286282,0.996590,1.068490,0.985688,0.485203,
3,barn1,FLOAT,96,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,432,381,15,0.000000,0.000057,0.000048,0.000023,0.000025,0.000023,0.000120,0.000015,0.000015,0.003272,0.000304,0.000304,0.000070,0.000000,0.003844,0.000019,0.002221,0.000615,0.000214,0.000129,0.000092,0.000000,0.000147,0.000055,0.000052,0.000051,0.003868,0.003887,0.003906,0.003906,0.497236,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.714599,1.274488,,,,1.714599,0.999606,1.068490,2.305698,,,,,,,,,,,,,,,,,,,1.714599,1.274488,0.999606,1.068490,0.982931,0.484322,
4,conesQuarterSize,FLOAT,96,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,450,375,15,0.000000,0.000108,0.000133,0.000062,0.000031,0.000024,0.000251,0.000030,0.000030,0.006892,0.001067,0.001066,0.000294,0.000000,0.008650,0.000021,0.004897,0.001236,0.000398,0.000214,0.000136,0.000000,0.000618,0.000249,0.000112,0.000087,0.008682,0.008704,0.008728,0.008728,1.220476,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.905576,1.083741,,1.905576,1.905576,,1.001387,1.035983,1.961829,,,,,,,,,,,,,,,,,,,1.905576,1.083741,1.001387,1.035983,1.121209,0.415283,
4,conesQuarterSize,FLOAT,96,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,450,375,15,0.000000,0.000109,0.000134,0.000063,0.000031,0.000025,0.000253,0.000031,0.000031,0.007189,0.001088,0.001088,0.000299,0.000000,0.008965,0.000022,0.005115,0.001293,0.000409,0.000222,0.000139,0.000000,0.000635,0.000251,0.000114,0.000088,0.008999,0.009021,0.009042,0.009042,1.220476,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.019332,1.092606,,2.019332,,2.019332,1.003169,1.035983,1.969138,,,,,,,,,,,,,,,,,,,2.019332,1.092606,1.003169,1.035983,1.119177,0.423046,
