Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,HALF,12,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,6,AVX256,192,144,15,0.000000,0.000035,0.000022,0.000008,0.000005,0.000005,0.000040,0.000005,0.000005,0.000344,0.000076,0.000076,0.000018,0.000000,0.000522,0.000004,0.000213,0.000063,0.000027,0.000018,0.000022,0.000000,0.000036,0.000015,0.000012,0.000012,0.000533,0.000537,0.000546,0.000546,0.008804,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.304946,1.154425,1.304946,,1.304946,,1.029775,1.818098,,1.000000,1.304946,1.154425,1.029775,1.539545,,
0,tsukubaSetHalfSize,HALF,12,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,192,144,15,0.000000,0.000037,0.000021,0.000009,0.000007,0.000006,0.000044,0.000008,0.000008,0.000612,0.000096,0.000096,0.000016,0.000000,0.000816,0.000005,0.000324,0.000102,0.000054,0.000083,0.000044,0.000000,0.000039,0.000017,0.000019,0.000019,0.000830,0.000835,0.000840,0.000840,0.008804,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.469987,1.172154,1.469987,,,1.469987,0.997971,1.522617,5.434164,1.180932,1.469987,1.172154,0.997971,1.539545,,
1,tsukubaSet,HALF,12,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,384,288,15,0.000000,0.000253,0.000132,0.000036,0.000013,0.000007,0.000195,0.000015,0.000015,0.001979,0.000523,0.000523,0.000112,0.000000,0.003074,0.000014,0.001412,0.000340,0.000100,0.000046,0.000061,0.000000,0.000368,0.000081,0.000029,0.000038,0.003091,0.003105,0.003135,0.003135,0.085439,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,0.661938,1.466109,0.661938,,0.661938,,1.000839,1.378612,5.667706,1.247345,0.661938,1.466109,1.000839,1.378612,,
1,tsukubaSet,HALF,12,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,384,288,15,0.000000,0.000269,0.000132,0.000037,0.000013,0.000007,0.000190,0.000014,0.000014,0.003135,0.000531,0.000530,0.000113,0.000000,0.004259,0.000014,0.002230,0.000526,0.000159,0.000090,0.000121,0.000000,0.000381,0.000082,0.000030,0.000041,0.004279,0.004292,0.004321,0.004321,0.085439,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,0.664786,1.451865,0.664786,,,0.664786,0.997926,1.378612,6.743117,1.355519,0.664786,1.451865,0.997926,1.378612,,
2,venus,HALF,12,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,434,383,15,0.000000,0.000511,0.000276,0.000072,0.000021,0.000009,0.000376,0.000009,0.000009,0.004900,0.001148,0.001148,0.000241,0.000000,0.007153,0.000019,0.003502,0.000799,0.000261,0.000094,0.000142,0.000000,0.000880,0.000174,0.000056,0.000023,0.007171,0.007189,0.007234,0.007234,0.213138,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,0.487793,2.065146,0.487793,,0.487793,,0.983064,1.419023,5.928699,1.191248,0.487793,2.065146,0.983064,1.419023,,
2,venus,HALF,12,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,434,383,15,0.000000,0.000529,0.000270,0.000071,0.000021,0.000009,0.000373,0.000009,0.000009,0.007830,0.001189,0.001188,0.000235,0.000000,0.010183,0.000019,0.005814,0.001305,0.000406,0.000136,0.000169,0.000000,0.000926,0.000174,0.000055,0.000024,0.010202,0.010221,0.010265,0.010265,0.213138,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,0.396942,2.065038,0.396942,,,0.396942,1.000508,1.419023,5.013848,1.039755,0.396942,2.065038,1.000508,1.419023,,
3,barn1,HALF,12,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,432,381,15,0.000000,0.000732,0.000406,0.000106,0.000029,0.000010,0.000548,0.000010,0.000009,0.007873,0.001968,0.001967,0.000353,0.000000,0.011481,0.000018,0.005781,0.001361,0.000402,0.000128,0.000183,0.000000,0.001208,0.000492,0.000226,0.000040,0.011499,0.011518,0.011565,0.011565,0.408973,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,0.356891,1.574562,,,0.356891,,1.006594,1.264333,5.694436,1.265420,0.356891,1.574562,1.006594,1.264333,,
3,barn1,HALF,12,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,432,381,15,0.000000,0.000737,0.000401,0.000104,0.000030,0.000011,0.000553,0.000010,0.000009,0.010762,0.002129,0.002128,0.000352,0.000000,0.014542,0.000018,0.007918,0.001909,0.000567,0.000168,0.000218,0.000000,0.001358,0.000500,0.000211,0.000056,0.014560,0.014578,0.014622,0.014622,0.408973,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,0.373328,1.576826,,,,0.373328,0.996458,1.264333,5.478937,1.201492,0.373328,1.576826,0.996458,1.264333,,
4,conesQuarterSize,HALF,12,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,450,375,15,0.000000,0.001423,0.001005,0.000432,0.000087,0.000017,0.001548,0.000014,0.000013,0.020247,0.007815,0.007814,0.000808,0.000000,0.031893,0.000022,0.015129,0.003624,0.000819,0.000252,0.000420,0.000000,0.005394,0.001773,0.000525,0.000129,0.031923,0.031947,0.032000,0.032000,0.899673,,2.332252,1.489943,0.790667,0.159852,0.111081,0.073624,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.023905,0.020840,0.007052,0.003064,0.000421,0.000415,0.299220,1.465099,,0.299220,0.299220,,0.992560,1.127484,5.325332,1.183055,0.299220,1.465099,0.992560,1.127484,,
4,conesQuarterSize,HALF,12,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,450,375,15,0.000000,0.001422,0.001063,0.000471,0.000086,0.000018,0.001641,0.000014,0.000014,0.024414,0.007725,0.007724,0.000790,0.000000,0.035994,0.000019,0.018363,0.004279,0.000996,0.000288,0.000465,0.000000,0.005331,0.001792,0.000484,0.000123,0.036013,0.036034,0.036079,0.036079,0.899673,,2.332252,1.489943,0.790667,0.159852,0.111081,0.073624,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.023905,0.020840,0.007052,0.003064,0.000421,0.000415,0.310432,1.471768,,0.310432,,0.310432,1.003817,1.127484,5.102724,1.172443,0.310432,1.471768,1.003817,1.127484,,
