Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,16,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX256,192,144,15,0.000000,0.000020,0.000011,0.000006,0.000006,0.000004,0.000027,0.000006,0.000006,0.000245,0.000085,0.000085,0.000016,0.000000,0.000405,0.000004,0.000137,0.000047,0.000024,0.000018,0.000019,0.000000,0.000034,0.000016,0.000017,0.000018,0.000418,0.000422,0.000430,0.000430,0.010793,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.347111,0.970382,1.347111,,1.347111,,0.992521,5.051443,1.000000,2.973231,,,,,,,,,,,,,,,,,,,,,1.347111,0.970382,0.992521,3.126309,1.007521,0.657591,
0,tsukubaSetHalfSize,FLOAT,16,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,192,144,15,0.000000,0.000026,0.000012,0.000006,0.000006,0.000005,0.000029,0.000008,0.000007,0.001029,0.000090,0.000089,0.000123,0.000000,0.001312,0.000005,0.000653,0.000191,0.000084,0.000065,0.000031,0.000000,0.000038,0.000017,0.000016,0.000018,0.001331,0.001336,0.001345,0.001345,0.010793,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.961566,1.013392,0.961566,,,0.961566,1.006146,3.126222,1.615785,3.436704,,,,,,,,,,,,,,,,,,,,,0.961566,1.013392,1.006146,3.126309,0.926209,0.473366,
1,tsukubaSet,FLOAT,16,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,384,288,15,0.000000,0.000178,0.000094,0.000029,0.000010,0.000006,0.000141,0.000010,0.000010,0.004425,0.001751,0.001751,0.000561,0.000000,0.007109,0.000050,0.003773,0.000415,0.000096,0.000058,0.000055,0.000000,0.001213,0.000389,0.000109,0.000038,0.007140,0.007180,0.007220,0.007220,0.085796,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.311555,1.390964,0.311555,,0.311555,,1.028089,1.494437,1.019768,2.493296,,,,,,,,,,,,,,,,,,,,,0.311555,1.390964,1.028089,1.494437,2.475600,0.257353,
1,tsukubaSet,FLOAT,16,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,384,288,15,0.000001,0.000193,0.000087,0.000028,0.000012,0.000009,0.000143,0.000020,0.000020,0.007690,0.001838,0.001838,0.000608,0.000000,0.010636,0.000057,0.005817,0.001239,0.000328,0.000147,0.000109,0.000000,0.001297,0.000377,0.000115,0.000043,0.010675,0.010748,0.010789,0.010789,0.085796,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.321103,1.421735,0.321103,,,0.321103,1.066639,1.494437,1.177255,2.903809,,,,,,,,,,,,,,,,,,,,,0.321103,1.421735,1.066639,1.494437,1.480790,0.363478,
2,venus,FLOAT,16,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,434,383,15,0.000001,0.000648,0.000505,0.000080,0.000015,0.000006,0.000608,0.000012,0.000011,0.018123,0.006596,0.006594,0.002251,0.000000,0.028237,0.000074,0.016371,0.001237,0.000283,0.000103,0.000143,0.000000,0.005246,0.001045,0.000240,0.000065,0.028275,0.028344,0.028399,0.028399,0.286021,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130304,1.533316,0.130304,,0.130304,,1.043451,1.096493,1.078210,1.670930,,,,,,,,,,,,,,,,,,,,,0.130304,1.533316,1.043451,1.096493,3.020296,0.396920,
2,venus,FLOAT,16,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,434,383,15,0.000001,0.000646,0.000497,0.000082,0.000015,0.000010,0.000604,0.000025,0.000024,0.020729,0.006574,0.006573,0.002356,0.000001,0.030966,0.000077,0.017517,0.002182,0.000582,0.000175,0.000180,0.000000,0.005341,0.000948,0.000222,0.000067,0.031004,0.031081,0.031139,0.031139,0.286021,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.180511,1.530110,0.180511,,,0.180511,1.010628,1.096493,1.113667,2.123300,,,,,,,,,,,,,,,,,,,,,0.180511,1.530110,1.010628,1.096493,2.094659,0.427753,
3,barn1,FLOAT,16,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,432,381,15,0.000001,0.001113,0.001154,0.000153,0.000038,0.000008,0.001360,0.000018,0.000017,0.032442,0.011072,0.011071,0.003822,0.000000,0.049779,0.000068,0.029382,0.002184,0.000473,0.000155,0.000202,0.000000,0.008850,0.001679,0.000440,0.000103,0.049821,0.049887,0.049943,0.049943,0.463497,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.114846,1.379911,,,0.114846,,1.013435,1.033700,1.075228,1.587420,,,,,,,,,,,,,,,,,,,,,0.114846,1.379911,1.013435,1.033700,2.325736,0.438393,
3,barn1,FLOAT,16,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,432,381,15,0.000001,0.001174,0.001217,0.000157,0.000034,0.000013,0.001419,0.000030,0.000029,0.033887,0.011044,0.011043,0.003883,0.000000,0.051474,0.000074,0.029973,0.002734,0.000653,0.000195,0.000239,0.000000,0.008901,0.001633,0.000388,0.000105,0.051514,0.051570,0.051626,0.051626,0.463497,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129726,1.367259,,,,0.129726,1.002211,1.033700,1.076593,1.957641,,,,,,,,,,,,,,,,,,,,,0.129726,1.367259,1.002211,1.033700,2.140502,0.450659,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,450,375,15,0.000000,0.002836,0.004203,0.000803,0.000094,0.000011,0.005112,0.000029,0.000029,0.079395,0.025793,0.025792,0.008251,0.000000,0.121489,0.000066,0.066220,0.011163,0.001258,0.000306,0.000455,0.000000,0.019428,0.005201,0.000959,0.000201,0.121524,0.121589,0.121644,0.121644,0.978810,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.136722,1.351315,,0.136722,0.136722,,1.044391,1.007894,1.102704,1.532420,,,,,,,,,,,,,,,,,,,,,0.136722,1.351315,1.044391,1.007894,2.087493,0.490906,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,450,375,15,0.000001,0.002932,0.004233,0.000667,0.000083,0.000011,0.004991,0.000029,0.000028,0.080272,0.025955,0.025953,0.008299,0.000000,0.122450,0.000066,0.066018,0.011559,0.001685,0.000423,0.000538,0.000000,0.019558,0.005191,0.000986,0.000198,0.122482,0.122548,0.122604,0.122604,0.978810,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.148921,1.362369,,0.148921,,0.148921,1.049694,1.007894,1.089319,1.760057,,,,,,,,,,,,,,,,,,,,,0.148921,1.362369,1.049694,1.007894,2.034661,0.478610,
