Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,NEON,192,144,15,0.000000,0.000010,0.000010,0.000007,0.000006,0.000007,0.000030,0.000004,0.000004,0.000283,0.000061,0.000060,0.000019,0.000000,0.000409,0.000006,0.000149,0.000055,0.000030,0.000024,0.000021,0.000000,0.000026,0.000015,0.000010,0.000009,0.000425,0.000432,0.000435,0.000435,0.010541,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.333166,0.993528,1.333166,,1.333166,,1.461274,1.630246,1.641216,,,,,,,,,,,,,,,,,,,1.333166,0.993528,1.461274,1.630246,0.918075,0.769257,
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,NEON,192,144,15,0.000000,0.000009,0.000015,0.000016,0.000016,0.000016,0.000064,0.000008,0.000008,0.000489,0.000078,0.000077,0.000025,0.000000,0.000672,0.000014,0.000222,0.000105,0.000058,0.000050,0.000051,0.000000,0.000024,0.000020,0.000017,0.000016,0.000689,0.000706,0.000709,0.000709,0.010541,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.824898,1.037564,1.824898,,,1.824898,1.119321,1.630246,1.465947,,,,,,,,,,,,,,,,,,,1.824898,1.037564,1.119321,1.630246,1.015267,0.743944,
1,tsukubaSet,FLOAT,64,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,NEON,384,288,15,0.000000,0.000028,0.000026,0.000017,0.000015,0.000015,0.000072,0.000010,0.000010,0.000881,0.000193,0.000193,0.000045,0.000000,0.001235,0.000014,0.000524,0.000168,0.000080,0.000055,0.000050,0.000000,0.000105,0.000041,0.000022,0.000023,0.001251,0.001266,0.001281,0.001281,0.093762,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.755966,1.272783,1.755966,,1.755966,,1.036697,1.758805,2.701798,,,,,,,,,,,,,,,,,,,1.755966,1.272783,1.036697,1.758805,0.908431,0.668471,
1,tsukubaSet,FLOAT,64,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000030,0.000028,0.000021,0.000020,0.000020,0.000090,0.000012,0.000012,0.001836,0.000189,0.000189,0.000044,0.000000,0.002203,0.000019,0.001154,0.000379,0.000152,0.000080,0.000066,0.000000,0.000099,0.000040,0.000024,0.000026,0.002219,0.002238,0.002253,0.002253,0.093762,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.537748,1.300939,1.537748,,,1.537748,1.000241,1.758805,2.119892,,,,,,,,,,,,,,,,,,,1.537748,1.300939,1.000241,1.758805,0.951367,0.579794,
2,venus,FLOAT,64,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000041,0.000040,0.000024,0.000020,0.000020,0.000104,0.000015,0.000015,0.002513,0.000225,0.000225,0.000068,0.000000,0.002974,0.000019,0.001692,0.000466,0.000188,0.000095,0.000067,0.000000,0.000114,0.000044,0.000034,0.000033,0.002990,0.003010,0.003033,0.003033,0.278289,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.220121,1.575921,1.220121,,1.220121,,0.993606,1.101470,2.442691,,,,,,,,,,,,,,,,,,,1.220121,1.575921,0.993606,1.101470,0.965507,0.484855,
2,venus,FLOAT,64,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000042,0.000040,0.000024,0.000020,0.000021,0.000105,0.000015,0.000015,0.002817,0.000230,0.000229,0.000067,0.000000,0.003274,0.000019,0.001911,0.000516,0.000210,0.000102,0.000072,0.000000,0.000113,0.000045,0.000036,0.000034,0.003295,0.003314,0.003341,0.003341,0.278289,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.682600,1.572626,1.682600,,,1.682600,1.001149,1.101470,2.530279,,,,,,,,,,,,,,,,,,,1.682600,1.572626,1.001149,1.101470,0.973797,0.478490,
3,barn1,FLOAT,64,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000000,0.000055,0.000052,0.000029,0.000023,0.000022,0.000126,0.000018,0.000018,0.003726,0.000374,0.000373,0.000098,0.000000,0.004393,0.000021,0.002553,0.000693,0.000273,0.000120,0.000081,0.000000,0.000184,0.000081,0.000056,0.000049,0.004421,0.004442,0.004465,0.004465,0.406651,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.284510,1.572812,,,1.284510,,1.002831,1.095657,2.266431,,,,,,,,,,,,,,,,,,,1.284510,1.572812,1.002831,1.095657,0.968806,0.372476,
3,barn1,FLOAT,64,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000000,0.000056,0.000052,0.000028,0.000023,0.000022,0.000126,0.000018,0.000018,0.004103,0.000380,0.000379,0.000095,0.000000,0.004816,0.000021,0.002836,0.000755,0.000298,0.000127,0.000084,0.000000,0.000189,0.000083,0.000058,0.000050,0.004847,0.004869,0.004892,0.004892,0.406651,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.368883,1.558391,,,,1.368883,0.985754,1.095657,2.433870,,,,,,,,,,,,,,,,,,,1.368883,1.558391,0.985754,1.095657,1.003479,0.365365,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000000,0.000165,0.000175,0.000062,0.000030,0.000025,0.000295,0.000033,0.000033,0.010726,0.001574,0.001573,0.000791,0.000000,0.013587,0.000025,0.008316,0.001512,0.000587,0.000201,0.000118,0.000000,0.001083,0.000298,0.000105,0.000088,0.013632,0.013657,0.013684,0.013684,0.945349,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.215422,1.399145,,1.215422,1.215422,,0.975515,1.010631,1.776952,,,,,,,,,,,,,,,,,,,1.215422,1.399145,0.975515,1.010631,1.411616,0.422229,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000000,0.000162,0.000174,0.000063,0.000031,0.000026,0.000297,0.000033,0.000032,0.010880,0.001545,0.001545,0.000794,0.000001,0.013705,0.000026,0.008364,0.001581,0.000609,0.000200,0.000122,0.000000,0.001055,0.000295,0.000108,0.000087,0.013752,0.013802,0.013829,0.013829,0.945349,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.320288,1.410590,,1.320288,,1.320288,1.016913,1.010631,1.802485,,,,,,,,,,,,,,,,,,,1.320288,1.410590,1.016913,1.010631,1.371991,0.413678,
