Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Parallel Params Per Kernel Setting,Blur Images Parallel Dimensions,Init Message Values Parallel Dimensions,Level 0 Data Costs Parallel Dimensions,Level 1 Data Costs Parallel Dimensions,Level 2 Data Costs Parallel Dimensions,Level 3 Data Costs Parallel Dimensions,Level 4 Data Costs Parallel Dimensions,Level 0 BP Thread Parallel Dimensions,Level 1 BP Thread Parallel Dimensions,Level 2 BP Thread Parallel Dimensions,Level 3 BP Thread Parallel Dimensions,Level 4 BP Thread Parallel Dimensions,Level 0 Copy Thread Parallel Dimensions,Level 1 Copy Thread Parallel Dimensions,Level 2 Copy Thread Parallel Dimensions,Level 3 Copy Thread Parallel Dimensions,Level 4 Copy Thread Parallel Dimensions,Get Output Disparity Parallel Dimensions,Acceleration,Device 0,Cuda version,Cuda Runtime Version,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,CUDA output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,CUDA output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT_1,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT_2,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT_3,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT_1,Speedup using double-precision relative to float (actually slowdown)_1,Speedup using double-precision relative to float (actually slowdown)_2,Speedup using double-precision relative to float (actually slowdown)_3,Speedup using half-precision relative to float_1,Speedup using half-precision relative to float_2,Speedup using half-precision relative to float_3,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs_1,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs_2,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs_3,Speedup w/ templated loop iteration count (known at compile-time) - All Runs_1,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) - FLOAT on smallest 3 stereo sets,Speedup relative to AMD Rome (48 Cores) - FLOAT on largest 3 stereo sets,Speedup relative to AMD Rome (48 Cores) - FLOAT on smallest 3 stereo sets (disparity count templated only),Speedup relative to AMD Rome (48 Cores) - FLOAT on largest 3 stereo sets (disparity count templated only),Speedup relative to AMD Rome (48 Cores) - FLOAT on smallest 3 stereo sets (disparity count not templated only),Speedup relative to AMD Rome (48 Cores) - FLOAT on largest 3 stereo sets (disparity count not templated only),Speedup relative to AMD Rome (48 Cores) - FLOAT on runs w/ disparity count templated,Speedup relative to AMD Rome (48 Cores) - FLOAT on runs w/ disparity count not templated,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT on smallest 3 stereo sets,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT on largest 3 stereo sets,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT on smallest 3 stereo sets (disparity count templated only),Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT on largest 3 stereo sets (disparity count templated only),Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT on smallest 3 stereo sets (disparity count not templated only),Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT on largest 3 stereo sets (disparity count not templated only),Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT on runs w/ disparity count templated,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT on runs w/ disparity count not templated,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT on smallest 3 stereo sets,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT on largest 3 stereo sets,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - DOUBLE on smallest 3 stereo sets,Speedup relative to AMD Rome (48 Cores) - DOUBLE on largest 3 stereo sets,Speedup relative to AMD Rome (48 Cores) - DOUBLE on smallest 3 stereo sets (disparity count templated only),Speedup relative to AMD Rome (48 Cores) - DOUBLE on largest 3 stereo sets (disparity count templated only),Speedup relative to AMD Rome (48 Cores) - DOUBLE on smallest 3 stereo sets (disparity count not templated only),Speedup relative to AMD Rome (48 Cores) - DOUBLE on largest 3 stereo sets (disparity count not templated only),Speedup relative to AMD Rome (48 Cores) - DOUBLE on runs w/ disparity count templated,Speedup relative to AMD Rome (48 Cores) - DOUBLE on runs w/ disparity count not templated,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE on smallest 3 stereo sets,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE on largest 3 stereo sets,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE on smallest 3 stereo sets (disparity count templated only),Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE on largest 3 stereo sets (disparity count templated only),Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE on smallest 3 stereo sets (disparity count not templated only),Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE on largest 3 stereo sets (disparity count not templated only),Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE on runs w/ disparity count templated,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE on runs w/ disparity count not templated,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE on smallest 3 stereo sets,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE on largest 3 stereo sets,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) - HALF on smallest 3 stereo sets,Speedup relative to AMD Rome (48 Cores) - HALF on largest 3 stereo sets,Speedup relative to AMD Rome (48 Cores) - HALF on smallest 3 stereo sets (disparity count templated only),Speedup relative to AMD Rome (48 Cores) - HALF on largest 3 stereo sets (disparity count templated only),Speedup relative to AMD Rome (48 Cores) - HALF on smallest 3 stereo sets (disparity count not templated only),Speedup relative to AMD Rome (48 Cores) - HALF on largest 3 stereo sets (disparity count not templated only),Speedup relative to AMD Rome (48 Cores) - HALF on runs w/ disparity count templated,Speedup relative to AMD Rome (48 Cores) - HALF on runs w/ disparity count not templated,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF on smallest 3 stereo sets,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF on largest 3 stereo sets,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF on smallest 3 stereo sets (disparity count templated only),Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF on largest 3 stereo sets (disparity count templated only),Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF on smallest 3 stereo sets (disparity count not templated only),Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF on largest 3 stereo sets (disparity count not templated only),Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF on runs w/ disparity count templated,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF on runs w/ disparity count not templated,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF on smallest 3 stereo sets,Speedup w/ templated loop iteration count (known at compile-time) - HALF on largest 3 stereo sets,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs on smallest 3 stereo sets,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs on largest 3 stereo sets,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs on smallest 3 stereo sets (disparity count templated only),Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs on largest 3 stereo sets (disparity count templated only),Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs on smallest 3 stereo sets (disparity count not templated only),Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs on largest 3 stereo sets (disparity count not templated only),Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs on runs w/ disparity count templated,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs on runs w/ disparity count not templated,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs on smallest 3 stereo sets,Speedup w/ templated loop iteration count (known at compile-time) - All Runs on largest 3 stereo sets,Speedup using half-precision relative to float,Speedup using half-precision relative to float on smallest 3 stereo sets,Speedup using half-precision relative to float on largest 3 stereo sets,Speedup using half-precision relative to float on smallest 3 stereo sets (disparity count templated only),Speedup using half-precision relative to float on largest 3 stereo sets (disparity count templated only),Speedup using half-precision relative to float on smallest 3 stereo sets (disparity count not templated only),Speedup using half-precision relative to float on largest 3 stereo sets (disparity count not templated only),Speedup using half-precision relative to float on runs w/ disparity count templated,Speedup using half-precision relative to float on runs w/ disparity count not templated,Speedup using double-precision relative to float (actually slowdown),Speedup using double-precision relative to float (actually slowdown) on smallest 3 stereo sets,Speedup using double-precision relative to float (actually slowdown) on largest 3 stereo sets,Speedup using double-precision relative to float (actually slowdown) on smallest 3 stereo sets (disparity count templated only),Speedup using double-precision relative to float (actually slowdown) on largest 3 stereo sets (disparity count templated only),Speedup using double-precision relative to float (actually slowdown) on smallest 3 stereo sets (disparity count not templated only),Speedup using double-precision relative to float (actually slowdown) on largest 3 stereo sets (disparity count not templated only),Speedup using double-precision relative to float (actually slowdown) on runs w/ disparity count templated,Speedup using double-precision relative to float (actually slowdown) on runs w/ disparity count not templated,
0,tsukubaSetHalfSize,FLOAT,12,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,16 x 1,16 x 1,256 x 1,16 x 1,16 x 1,16 x 1,16 x 1,16 x 1,16 x 1,16 x 1,16 x 1,16 x 1,16 x 1,64 x 1,16 x 1,16 x 1,16 x 1,128 x 1,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,192,144,15,0.000000,0.000007,0.000015,0.000015,0.000015,0.000016,0.000061,0.000007,0.000006,0.000274,0.000079,0.000079,0.000010,0.000000,0.000439,0.000062,0.000062,0.000054,0.000052,0.000053,0.000053,0.000000,0.000019,0.000018,0.000021,0.000020,0.000448,0.000509,0.000529,0.000529,0.009515,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.014855,1.014855,1.014855,1.535899,0.681074,0.681074,0.681074,1.019394,1.019394,1.019394,1.014855,1.014855,1.014855,1.535899,1.095901,1.100691,1.095901,,1.095901,,,,1.095901,,1.014855,,,,,,,,,1.535899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.095901,1.100691,1.014855,,,,,,,,,1.535899,,,1.019394,,,,,,,,,0.681074,,,,,,,,,
0,tsukubaSetHalfSize,FLOAT,12,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,64 x 8,256 x 1,256 x 2,256 x 1,256 x 1,256 x 1,256 x 2,256 x 1,256 x 1,256 x 1,256 x 1,64 x 1,16 x 1,256 x 1,256 x 1,256 x 1,256 x 1,256 x 1,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,192,144,15,0.000000,0.000007,0.000015,0.000014,0.000014,0.000016,0.000060,0.000007,0.000006,0.000568,0.000079,0.000079,0.000010,0.000000,0.000731,0.000052,0.000114,0.000113,0.000108,0.000113,0.000120,0.000000,0.000019,0.000018,0.000021,0.000021,0.000741,0.000792,0.000812,0.000812,0.009515,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.068227,1.068227,1.068227,1.535899,0.714119,0.714119,0.714119,1.033615,1.033615,1.033615,1.068227,1.068227,1.068227,1.535899,1.592268,1.149477,1.592268,,,,1.592268,,,1.592268,1.068227,,,,,,,,,1.535899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.592268,1.149477,1.068227,,,,,,,,,1.535899,,,1.033615,,,,,,,,,0.714119,,,,,,,,,
1,tsukubaSet,FLOAT,12,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 12,128 x 1,32 x 1,16 x 1,128 x 1,128 x 1,128 x 1,32 x 4,32 x 6,128 x 1,128 x 1,128 x 1,16 x 1,256 x 1,16 x 1,128 x 1,128 x 1,32 x 5,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,384,288,15,0.000000,0.000013,0.000031,0.000020,0.000017,0.000017,0.000085,0.000007,0.000007,0.000551,0.000163,0.000163,0.000048,0.000000,0.000869,0.000129,0.000291,0.000087,0.000059,0.000057,0.000058,0.000000,0.000077,0.000033,0.000023,0.000030,0.000881,0.001010,0.001069,0.001069,0.098668,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.009362,1.009362,1.009362,1.887149,0.416916,0.416916,0.416916,1.202020,1.202020,1.202020,1.009362,1.009362,1.009362,1.887149,2.103972,1.209503,2.103972,,2.103972,,,,2.103972,,1.009362,,,,,,,,,1.887149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.103972,1.209503,1.009362,,,,,,,,,1.887149,,,1.202020,,,,,,,,,0.416916,,,,,,,,,
1,tsukubaSet,FLOAT,12,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 16,64 x 2,32 x 1,32 x 1,16 x 1,16 x 1,16 x 1,32 x 1,32 x 2,32 x 2,16 x 1,32 x 1,16 x 1,256 x 1,16 x 1,16 x 1,256 x 1,64 x 5,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,384,288,15,0.000000,0.000014,0.000031,0.000020,0.000017,0.000016,0.000085,0.000007,0.000007,0.001492,0.000164,0.000164,0.000049,0.000000,0.001813,0.000130,0.000790,0.000230,0.000156,0.000150,0.000165,0.000000,0.000077,0.000034,0.000023,0.000030,0.001825,0.001958,0.002018,0.002018,0.098668,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054297,1.054297,1.054297,1.887149,0.520002,0.520002,0.520002,1.289189,1.289189,1.289189,1.054297,1.054297,1.054297,1.887149,1.717199,1.236260,1.717199,,,,1.717199,,,1.717199,1.054297,,,,,,,,,1.887149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.717199,1.236260,1.054297,,,,,,,,,1.887149,,,1.289189,,,,,,,,,0.520002,,,,,,,,,
2,venus,FLOAT,12,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 6,256 x 1,32 x 1,16 x 1,16 x 1,16 x 1,256 x 1,32 x 8,32 x 5,32 x 3,256 x 1,256 x 1,16 x 1,256 x 1,32 x 6,16 x 1,128 x 1,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,434,383,15,0.000000,0.000024,0.000048,0.000024,0.000021,0.000021,0.000115,0.000007,0.000007,0.000895,0.000253,0.000253,0.000087,0.000000,0.001381,0.000179,0.000525,0.000169,0.000069,0.000064,0.000063,0.000000,0.000140,0.000052,0.000031,0.000030,0.001391,0.001569,0.001654,0.001654,0.405472,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.015569,1.015569,1.015569,2.131387,0.358949,0.358949,0.358949,1.243520,1.243520,1.243520,1.015569,1.015569,1.015569,2.131387,2.236643,1.081605,2.236643,,2.236643,,,,2.236643,,1.015569,,,,,,,,,2.131387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.236643,1.081605,1.015569,,,,,,,,,2.131387,,,1.243520,,,,,,,,,0.358949,,,,,,,,,
2,venus,FLOAT,12,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,128 x 1,16 x 1,32 x 1,16 x 1,16 x 1,16 x 1,16 x 1,32 x 1,256 x 1,32 x 3,64 x 1,64 x 1,16 x 1,64 x 1,32 x 5,16 x 1,16 x 1,32 x 14,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,434,383,15,0.000000,0.000024,0.000048,0.000024,0.000022,0.000021,0.000115,0.000007,0.000007,0.002744,0.000268,0.000268,0.000087,0.000000,0.003248,0.000179,0.001708,0.000441,0.000214,0.000186,0.000191,0.000000,0.000141,0.000055,0.000036,0.000034,0.003259,0.003439,0.003526,0.003526,0.405472,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.155848,1.155848,1.155848,2.131387,0.434867,0.434867,0.434867,1.312570,1.312570,1.312570,1.155848,1.155848,1.155848,2.131387,1.593987,1.079344,1.593987,,,,1.593987,,,1.593987,1.155848,,,,,,,,,2.131387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.593987,1.079344,1.155848,,,,,,,,,2.131387,,,1.312570,,,,,,,,,0.434867,,,,,,,,,
3,barn1,FLOAT,12,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,128 x 2,256 x 1,16 x 1,32 x 1,16 x 1,16 x 1,16 x 1,32 x 5,32 x 5,64 x 1,128 x 1,16 x 1,16 x 1,128 x 1,256 x 1,16 x 1,64 x 1,32 x 1,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,432,381,15,0.000000,0.000032,0.000065,0.000036,0.000028,0.000026,0.000155,0.000007,0.000007,0.001929,0.000392,0.000392,0.000128,0.000000,0.002643,0.000178,0.001287,0.000360,0.000119,0.000080,0.000079,0.000000,0.000216,0.000080,0.000050,0.000045,0.002653,0.002831,0.002918,0.002918,0.696408,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.077795,,,,0.374100,,,1.392117,,,1.077795,,,,1.965809,0.918405,,,,,,,1.965809,,1.077795,,,,,,,,,2.445925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.965809,0.918405,1.077795,,,,,,,,,2.445925,,,1.392117,,,,,,,,,0.374100,,,,,,,,,
3,barn1,FLOAT,12,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,64 x 8,32 x 2,16 x 1,16 x 1,32 x 3,16 x 1,16 x 1,16 x 1,256 x 1,32 x 1,32 x 1,16 x 1,16 x 1,256 x 1,32 x 5,16 x 1,256 x 1,32 x 1,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,432,381,15,0.000000,0.000032,0.000066,0.000037,0.000028,0.000027,0.000157,0.000007,0.000007,0.006144,0.000393,0.000393,0.000124,0.000000,0.006857,0.000182,0.004369,0.000899,0.000366,0.000253,0.000256,0.000000,0.000216,0.000081,0.000050,0.000046,0.006867,0.007049,0.007137,0.007137,0.696408,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.129757,,,,0.558827,,,1.633024,,,1.129757,,,,0.938429,0.909985,,,,,,,,0.938429,1.129757,,,,,,,,,2.445925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.938429,0.909985,1.129757,,,,,,,,,2.445925,,,1.633024,,,,,,,,,0.558827,,,,,,,,,
4,conesQuarterSize,FLOAT,12,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,64 x 4,16 x 1,16 x 1,32 x 2,64 x 1,16 x 1,256 x 1,32 x 5,32 x 5,32 x 2,64 x 1,64 x 1,16 x 1,128 x 1,32 x 3,128 x 1,64 x 1,32 x 1,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,450,375,15,0.000000,0.000069,0.000123,0.000065,0.000052,0.000040,0.000281,0.000008,0.000008,0.009381,0.000781,0.000781,0.000288,0.000000,0.010811,0.000183,0.006728,0.001726,0.000454,0.000248,0.000194,0.000000,0.000459,0.000149,0.000093,0.000079,0.010821,0.011000,0.011090,0.011090,1.498214,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.112642,1.112642,1.112642,1.622156,0.429764,0.429764,0.429764,2.590178,2.590178,2.590178,1.112642,1.112642,1.112642,1.622156,1.499695,0.882838,,1.499695,,1.499695,,,1.499695,,1.112642,,,,,,,,,1.622156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.499695,0.882838,1.112642,,,,,,,,,1.622156,,,2.590178,,,,,,,,,0.429764,,,,,,,,,
4,conesQuarterSize,FLOAT,12,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,64 x 6,64 x 2,16 x 1,32 x 5,32 x 3,64 x 1,128 x 1,256 x 1,256 x 1,256 x 1,256 x 1,32 x 1,16 x 1,128 x 3,256 x 1,256 x 1,64 x 2,16 x 1,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,450,375,15,0.000000,0.000070,0.000122,0.000065,0.000053,0.000041,0.000281,0.000008,0.000008,0.016309,0.000777,0.000776,0.000264,0.000000,0.017707,0.000185,0.011689,0.002816,0.000872,0.000483,0.000447,0.000000,0.000456,0.000149,0.000090,0.000079,0.017718,0.017898,0.017989,0.017989,1.498214,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.059490,1.059490,1.059490,1.622156,0.581222,0.581222,0.581222,1.476066,1.476066,1.476066,1.059490,1.059490,1.059490,1.622156,1.014949,0.890060,,1.014949,,,,1.014949,,1.014949,1.059490,,,,,,,,,1.622156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.014949,0.890060,1.059490,,,,,,,,,1.622156,,,1.476066,,,,,,,,,0.581222,,,,,,,,,
