Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of threads,Vectorization,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,64,16,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,192,144,0.000000,0.000018,0.000018,0.000013,0.000010,0.000009,YES,YES,YES,YES,YES,0.000051,0.000016,0.000015,0.000334,0.000119,0.000119,YES,0.000026,0.000000,0.000566,0.000010,0.000124,0.000070,0.000055,0.000046,0.000037,YES,YES,YES,YES,YES,0.000000,0.000035,0.000026,0.000022,0.000033,YES,YES,YES,YES,YES,0.000581,0.000590,0.000595,0.000595,0.010787,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.973683,0.970883,0.973683,1.979921,1.943941,1.030483,1.808784,0.810594,1.044604,0.973683,0.970883,1.979921,1.943941,
0,tsukubaSetHalfSize,FLOAT,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,32,AVX512,192,144,0.000000,0.000021,0.000021,0.000018,0.000018,0.000016,YES,YES,YES,YES,YES,0.000075,0.000022,0.000022,0.000782,0.000177,0.000176,YES,0.000043,0.000000,0.001123,0.000016,0.000390,0.000159,0.000103,0.000073,0.000053,YES,YES,YES,YES,YES,0.000000,0.000044,0.000033,0.000033,0.000064,YES,YES,YES,YES,YES,0.001137,0.001153,0.001157,0.001157,0.012803,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.117743,0.854301,1.117743,1.162506,No Data,1.104710,1.381900,0.740711,1.019008,1.117743,0.854301,1.162506,No Data,
1,tsukubaSet,FLOAT,64,16,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,32,AVX512,384,288,0.000000,0.000052,0.000042,0.000024,0.000022,0.000024,YES,YES,YES,YES,YES,0.000112,0.000046,0.000046,0.000967,0.000376,0.000376,YES,0.000063,0.000000,0.001631,0.000020,0.000445,0.000226,0.000111,0.000087,0.000094,YES,YES,YES,YES,YES,0.000000,0.000183,0.000070,0.000042,0.000081,YES,YES,YES,YES,YES,0.001644,0.001665,0.001696,0.001696,0.094581,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.326275,1.261769,1.326275,1.186294,1.635190,1.063904,2.446614,0.702746,1.070316,1.326275,1.261769,1.186294,1.635190,
1,tsukubaSet,FLOAT,64,16,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,384,288,0.000000,0.000047,0.000041,0.000031,0.000029,0.000036,YES,YES,YES,YES,YES,0.000138,0.000069,0.000068,0.001959,0.000438,0.000437,YES,0.000070,0.000000,0.002716,0.000024,0.001070,0.000403,0.000215,0.000148,0.000118,YES,YES,YES,YES,YES,0.000000,0.000163,0.000084,0.000063,0.000126,YES,YES,YES,YES,YES,0.002730,0.002755,0.002773,0.002773,0.093051,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.249258,1.310883,1.249258,1.045557,No Data,1.057298,2.043327,0.609350,1.217523,1.249258,1.310883,1.045557,No Data,
2,venus,FLOAT,16,8,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX256,434,383,0.000000,0.000087,0.000054,0.000033,0.000028,0.000043,YES,YES,YES,YES,YES,0.000161,0.000111,0.000111,0.001931,0.000446,0.000446,YES,0.000104,0.000000,0.002839,0.000028,0.001075,0.000403,0.000214,0.000139,0.000098,YES,YES,YES,YES,YES,0.000000,0.000201,0.000079,0.000054,0.000108,YES,YES,YES,YES,YES,0.002852,0.002880,0.002906,0.002906,0.313628,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.273324,1.398347,1.273324,1.040893,1.347796,1.000000,2.660840,0.642144,1.205490,1.273324,1.398347,1.040893,1.278922,
2,venus,FLOAT,64,16,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,64,AVX512,434,383,0.000000,0.000072,0.000058,0.000045,0.000042,0.000055,YES,YES,YES,YES,YES,0.000203,0.000102,0.000102,0.002634,0.000546,0.000546,YES,0.000100,0.000000,0.003647,0.000032,0.001396,0.000538,0.000309,0.000192,0.000197,YES,YES,YES,YES,YES,0.000000,0.000179,0.000126,0.000094,0.000139,YES,YES,YES,YES,YES,0.003661,0.003693,0.003717,0.003717,0.315538,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.512326,1.386979,1.512326,1.005440,No Data,1.053853,2.643009,0.633387,1.196894,1.512326,1.386979,1.005440,No Data,
3,barn1,FLOAT,64,16,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,432,381,0.000000,0.000133,0.000074,0.000037,0.000031,0.000051,YES,YES,YES,YES,YES,0.000194,0.000175,0.000175,0.002631,0.000798,0.000798,YES,0.000110,0.000000,0.004050,0.000028,0.001384,0.000556,0.000289,0.000188,0.000212,YES,YES,YES,YES,YES,0.000000,0.000408,0.000133,0.000090,0.000178,YES,YES,YES,YES,YES,0.004066,0.004094,0.004124,0.004124,0.523266,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.390689,1.222293,No Data,1.043041,1.235471,1.066817,3.064876,0.663020,1.259550,1.390689,1.222293,1.043041,1.235471,
3,barn1,FLOAT,64,16,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,64,AVX512,432,381,0.000000,0.000131,0.000080,0.000053,0.000054,0.000071,YES,YES,YES,YES,YES,0.000258,0.000147,0.000147,0.003315,0.001062,0.001062,YES,0.000116,0.000000,0.005009,0.000033,0.001758,0.000666,0.000401,0.000219,0.000257,YES,YES,YES,YES,YES,0.000000,0.000427,0.000161,0.000177,0.000295,YES,YES,YES,YES,YES,0.005025,0.005065,0.005096,0.005096,0.522868,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.314318,1.212010,No Data,0.991347,No Data,1.048001,3.525053,0.648452,1.263508,1.314318,1.212010,0.991347,No Data,
4,conesQuarterSize,FLOAT,16,8,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,64,AVX256,450,375,0.000000,0.000441,0.000155,0.000074,0.000068,0.000099,YES,YES,YES,YES,YES,0.000404,0.000214,0.000214,0.005533,0.002226,0.002225,YES,0.000238,0.000000,0.009068,0.000039,0.003569,0.001121,0.000432,0.000239,0.000168,YES,YES,YES,YES,YES,0.000000,0.001229,0.000370,0.000192,0.000422,YES,YES,YES,YES,YES,0.009099,0.009138,0.009178,0.009178,1.137977,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.812133,1.162308,No Data,1.003523,1.113414,1.000000,2.819541,0.461873,1.254978,1.812133,1.162308,1.003523,1.113414,
4,conesQuarterSize,FLOAT,16,8,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,64,AVX256,450,375,0.000000,0.000438,0.000157,0.000070,0.000063,0.000095,YES,YES,YES,YES,YES,0.000388,0.000206,0.000205,0.006555,0.002299,0.002298,YES,0.000244,0.000000,0.010090,0.000039,0.004349,0.001275,0.000486,0.000251,0.000171,YES,YES,YES,YES,YES,0.000000,0.001248,0.000383,0.000225,0.000423,YES,YES,YES,YES,YES,0.010123,0.010163,0.010219,0.010219,1.138072,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.786766,1.171718,No Data,0.998614,No Data,1.000000,2.764934,0.468785,1.283208,1.786766,1.171718,0.998614,No Data,
5,conesHalfSize,FLOAT,64,16,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,64,AVX512,900,750,0.000000,0.002111,0.003041,0.000713,0.000142,0.000079,YES,YES,YES,YES,YES,0.003983,0.000220,0.000219,0.065892,0.017477,0.017476,YES,0.005845,0.000001,0.095523,0.000072,0.052062,0.010263,0.002207,0.000865,0.000469,YES,YES,YES,YES,YES,0.000000,0.013308,0.002774,0.001080,0.000323,YES,YES,YES,YES,YES,0.095570,0.095641,0.095852,0.095852,9.617838,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.387551,1.062266,No Data,1.005625,1.024810,1.036241,2.456872,0.504366,1.762407,2.387551,1.062266,1.005625,1.024810,
5,conesHalfSize,FLOAT,64,16,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,64,AVX512,900,750,0.000000,0.002118,0.003060,0.000711,0.000140,0.000079,YES,YES,YES,YES,YES,0.003994,0.000184,0.000183,0.068376,0.017488,0.017486,YES,0.005834,0.000001,0.097914,0.000071,0.053912,0.010694,0.002320,0.000913,0.000463,YES,YES,YES,YES,YES,0.000000,0.013326,0.002756,0.001092,0.000324,YES,YES,YES,YES,YES,0.097959,0.098030,0.098230,0.098230,9.620335,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.357043,1.066189,No Data,0.999373,No Data,1.032558,2.498230,0.509211,1.725753,2.357043,1.066189,0.999373,No Data,
6,conesFullSizeCropped,FLOAT,64,16,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,64,AVX512,900,750,0.000000,0.004157,0.006263,0.001643,0.000351,0.000136,YES,YES,YES,YES,YES,0.008394,0.000468,0.000467,0.137059,0.035952,0.035949,YES,0.012145,0.000001,0.198134,0.000072,0.105582,0.024485,0.004476,0.001669,0.000833,YES,YES,YES,YES,YES,0.000000,0.026457,0.006629,0.002280,0.000589,YES,YES,YES,YES,YES,0.198187,0.198259,0.198457,0.198457,19.295729,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.368590,0.968043,No Data,1.000487,1.000141,1.027286,2.318680,0.512409,1.715450,2.368590,0.968043,1.000487,1.000141,
6,conesFullSizeCropped,FLOAT,64,16,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,64,AVX512,900,750,0.000000,0.004201,0.006279,0.001654,0.000358,0.000138,YES,YES,YES,YES,YES,0.008422,0.000429,0.000429,0.137069,0.035959,0.035956,YES,0.012162,0.000001,0.198152,0.000072,0.105299,0.024670,0.004533,0.001682,0.000848,YES,YES,YES,YES,YES,0.000000,0.026494,0.006630,0.002252,0.000603,YES,YES,YES,YES,YES,0.198203,0.198275,0.198485,0.198485,19.290335,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.387860,0.964753,No Data,0.998922,No Data,1.050851,2.382510,0.507781,1.677066,2.387860,0.964753,0.998922,No Data,
0,tsukubaSetHalfSize,DOUBLE,64,16,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,192,144,0.000000,0.000020,0.000020,0.000014,0.000011,0.000010,YES,YES,YES,YES,YES,0.000055,0.000013,0.000013,0.000460,0.000123,0.000123,YES,0.000031,0.000000,0.000706,0.000010,0.000203,0.000108,0.000055,0.000056,0.000037,YES,YES,YES,YES,YES,0.000000,0.000049,0.000028,0.000023,0.000020,YES,YES,YES,YES,YES,0.000719,0.000729,0.000734,0.000734,0.011867,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.810594,No Data,0.979324,0.935687,1.607827,2.127345,
0,tsukubaSetHalfSize,DOUBLE,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,192,144,0.000000,0.000024,0.000031,0.000026,0.000024,0.000021,YES,YES,YES,YES,YES,0.000104,0.000023,0.000022,0.001125,0.000194,0.000193,YES,0.000058,0.000000,0.001521,0.000022,0.000555,0.000266,0.000141,0.000085,0.000065,YES,YES,YES,YES,YES,0.000000,0.000066,0.000044,0.000033,0.000052,YES,YES,YES,YES,YES,0.001536,0.001558,0.001562,0.001562,0.009994,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.740711,No Data,1.293536,1.128592,1.110811,No Data,
