Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of threads,Vectorization,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,22,AVX256,192,144,0.000000,0.000026,0.000022,0.000019,0.000016,0.000016,YES,YES,YES,YES,YES,0.000074,0.000025,0.000025,0.000387,0.000175,0.000175,YES,0.000033,0.000000,0.000723,0.000014,0.000141,0.000081,0.000057,0.000049,0.000059,YES,YES,YES,YES,YES,0.000000,0.000048,0.000038,0.000035,0.000053,YES,YES,YES,YES,YES,0.000737,0.000753,0.000759,0.000759,0.010081,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.763538,1.038941,0.763538,3.180229,2.032469,1.000000,1.614242,0.805963,0.932066,0.763538,1.038941,3.180229,1.692744,
0,tsukubaSetHalfSize,FLOAT,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,22,AVX512,192,144,0.000000,0.000031,0.000022,0.000019,0.000018,0.000016,YES,YES,YES,YES,YES,0.000076,0.000023,0.000023,0.000832,0.000191,0.000190,YES,0.000101,0.000000,0.001245,0.000016,0.000416,0.000164,0.000105,0.000085,0.000061,YES,YES,YES,YES,YES,0.000000,0.000057,0.000037,0.000037,0.000058,YES,YES,YES,YES,YES,0.001263,0.001280,0.001285,0.001285,0.011201,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.006577,0.976493,1.006577,2.045962,No Data,1.200695,1.407153,0.774244,1.062059,1.006577,0.976493,2.045962,No Data,
1,tsukubaSet,FLOAT,64,16,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,22,AVX512,384,288,0.000000,0.000063,0.000054,0.000029,0.000025,0.000029,YES,YES,YES,YES,YES,0.000138,0.000046,0.000046,0.001169,0.000419,0.000418,YES,0.000079,0.000000,0.001922,0.000019,0.000606,0.000251,0.000115,0.000094,0.000104,YES,YES,YES,YES,YES,0.000000,0.000229,0.000077,0.000049,0.000063,YES,YES,YES,YES,YES,0.001937,0.001956,0.001976,0.001976,0.082137,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.138147,1.452934,1.138147,1.808562,1.623428,1.134734,2.231340,0.621466,1.062032,1.138147,1.452934,1.808562,1.623428,
1,tsukubaSet,FLOAT,64,16,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,44,AVX512,384,288,0.000000,0.000091,0.000051,0.000033,0.000028,0.000041,YES,YES,YES,YES,YES,0.000155,0.000074,0.000074,0.002311,0.000443,0.000442,YES,0.000067,0.000000,0.003152,0.000021,0.001313,0.000504,0.000217,0.000159,0.000116,YES,YES,YES,YES,YES,0.000000,0.000200,0.000078,0.000064,0.000097,YES,YES,YES,YES,YES,0.003168,0.003189,0.003208,0.003208,0.080471,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.079821,1.515804,1.079821,1.425956,No Data,1.137817,1.569024,0.630044,1.141880,1.079821,1.515804,1.425956,No Data,
2,venus,FLOAT,64,16,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,44,AVX512,434,383,0.000000,0.000128,0.000067,0.000032,0.000028,0.000043,YES,YES,YES,YES,YES,0.000174,0.000076,0.000075,0.002442,0.000547,0.000546,YES,0.000095,0.000000,0.003478,0.000022,0.001307,0.000577,0.000253,0.000152,0.000150,YES,YES,YES,YES,YES,0.000000,0.000300,0.000099,0.000067,0.000087,YES,YES,YES,YES,YES,0.003493,0.003514,0.003540,0.003540,0.287550,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.045205,1.525162,1.045205,1.494177,1.325318,1.071314,1.718813,0.593202,1.196102,1.045205,1.525162,1.494177,1.317281,
2,venus,FLOAT,16,8,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,88,AVX256,434,383,0.000000,0.000141,0.000096,0.000069,0.000082,0.000087,YES,YES,YES,YES,YES,0.000339,0.000143,0.000142,0.002928,0.000861,0.000860,YES,0.000136,0.000000,0.004527,0.000042,0.001511,0.000659,0.000378,0.000224,0.000157,YES,YES,YES,YES,YES,0.000000,0.000295,0.000170,0.000156,0.000230,YES,YES,YES,YES,YES,0.004543,0.004587,0.004664,0.004664,0.288987,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.205240,1.514406,1.205240,1.099867,No Data,1.000000,1.365131,0.676762,1.149428,1.205240,1.514406,1.099867,No Data,
3,barn1,FLOAT,64,16,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,44,AVX512,432,381,0.000000,0.000167,0.000083,0.000042,0.000035,0.000043,YES,YES,YES,YES,YES,0.000204,0.000100,0.000100,0.002846,0.000861,0.000861,YES,0.000115,0.000000,0.004299,0.000022,0.001541,0.000661,0.000272,0.000164,0.000207,YES,YES,YES,YES,YES,0.000000,0.000476,0.000129,0.000108,0.000160,YES,YES,YES,YES,YES,0.004314,0.004335,0.004360,0.004360,0.489811,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.315443,1.305779,No Data,1.772241,1.277068,1.143384,1.827624,0.542486,0.994015,1.315443,1.305779,1.772241,1.277068,
3,barn1,FLOAT,64,16,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,88,AVX512,432,381,0.000000,0.000119,0.000079,0.000055,0.000065,0.000099,YES,YES,YES,YES,YES,0.000301,0.000178,0.000178,0.003656,0.001113,0.001112,YES,0.000128,0.000000,0.005491,0.000035,0.001837,0.000736,0.000399,0.000277,0.000401,YES,YES,YES,YES,YES,0.000000,0.000496,0.000166,0.000162,0.000313,YES,YES,YES,YES,YES,0.005508,0.005543,0.005568,0.005568,0.487731,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.202711,1.299324,No Data,1.201986,No Data,1.031462,1.519806,0.662231,1.089203,1.202711,1.299324,1.201986,No Data,
4,conesQuarterSize,FLOAT,64,16,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,88,AVX512,450,375,0.000000,0.000317,0.000174,0.000115,0.000132,0.000163,YES,YES,YES,YES,YES,0.000586,0.000288,0.000287,0.005654,0.002669,0.002669,YES,0.000167,0.000000,0.009661,0.000039,0.002782,0.001229,0.000609,0.000378,0.000661,YES,YES,YES,YES,YES,0.000000,0.001257,0.000411,0.000316,0.000672,YES,YES,YES,YES,YES,0.009678,0.009717,0.009752,0.009752,1.049862,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.705416,1.259861,No Data,1.185354,1.111387,1.130158,1.582044,0.573211,1.216907,1.705416,1.259861,1.185354,1.111387,
4,conesQuarterSize,FLOAT,64,16,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,132,AVX512,450,375,0.000000,0.000320,0.000227,0.000146,0.000200,0.000211,YES,YES,YES,YES,YES,0.000774,0.000297,0.000297,0.006446,0.002688,0.002687,YES,0.000212,0.000000,0.010737,0.000053,0.002808,0.001678,0.000727,0.000457,0.000791,YES,YES,YES,YES,YES,0.000000,0.001019,0.000493,0.000406,0.000765,YES,YES,YES,YES,YES,0.010756,0.010808,0.010838,0.010838,1.051187,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.684609,1.268566,No Data,0.995097,No Data,1.039020,1.512554,0.624415,1.233781,1.684609,1.268566,0.995097,No Data,
