Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Blur Images Parallel Dimensions,Init Message Values Parallel Dimensions,Level 0 Data Costs Parallel Dimensions,Level 1 Data Costs Parallel Dimensions,Level 2 Data Costs Parallel Dimensions,Level 3 Data Costs Parallel Dimensions,Level 4 Data Costs Parallel Dimensions,Level 0 BP Thread Parallel Dimensions,Level 1 BP Thread Parallel Dimensions,Level 2 BP Thread Parallel Dimensions,Level 3 BP Thread Parallel Dimensions,Level 4 BP Thread Parallel Dimensions,Level 0 Copy Thread Parallel Dimensions,Level 1 Copy Thread Parallel Dimensions,Level 2 Copy Thread Parallel Dimensions,Level 3 Copy Thread Parallel Dimensions,Level 4 Copy Thread Parallel Dimensions,Get Output Disparity Parallel Dimensions,Run Success,Acceleration,Device 0,Cuda version,Cuda Runtime Version,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,CUDA output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,CUDA output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,256 x 2,256 x 2,256 x 2,256 x 2,256 x 2,64 x 7,64 x 8,256 x 2,256 x 2,256 x 2,256 x 2,256 x 2,16 x 1,256 x 2,256 x 2,128 x 4,256 x 2,128 x 3,YES,CUDA,NVIDIA H100 PCIe with 114 multiprocessors,12020,12020,192,144,0.000000,0.000011,0.000024,0.000023,0.000024,0.000022,YES,YES,YES,YES,YES,0.000094,0.000011,0.000011,0.000427,0.000111,0.000111,YES,0.000020,0.000000,0.000680,0.000061,0.000087,0.000085,0.000085,0.000085,0.000083,YES,YES,YES,YES,YES,0.000000,0.000028,0.000027,0.000029,0.000027,YES,YES,YES,YES,YES,0.000697,0.000761,0.000788,0.000788,0.015999,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.735050,0.654600,0.735050,1.145059,1.663317,1.162478,1.216909,0.735050,0.654600,1.145059,1.663317,
0,tsukubaSetHalfSize,FLOAT,16,8,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,32 x 1,32 x 4,32 x 4,32 x 2,32 x 2,32 x 1,32 x 5,32 x 4,32 x 2,16 x 1,32 x 5,32 x 3,16 x 1,32 x 2,16 x 1,32 x 4,32 x 3,32 x 2,YES,CUDA,NVIDIA H100 PCIe with 114 multiprocessors,12020,12020,192,144,0.000000,0.000014,0.000030,0.000029,0.000028,0.000029,YES,YES,YES,YES,YES,0.000116,0.000013,0.000012,0.000890,0.000126,0.000125,YES,0.000019,0.000000,0.001179,0.000085,0.000182,0.000180,0.000182,0.000174,0.000174,YES,YES,YES,YES,YES,0.000000,0.000032,0.000032,0.000031,0.000031,YES,YES,YES,YES,YES,0.001200,0.001277,0.001311,0.001311,0.015376,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.986164,0.711301,0.986164,0.925236,No Data,1.110696,1.216731,0.986164,0.711301,0.925236,No Data,
1,tsukubaSet,FLOAT,16,8,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,64 x 6,32 x 2,128 x 3,256 x 1,256 x 1,64 x 4,32 x 10,64 x 1,32 x 4,128 x 1,256 x 1,32 x 2,16 x 1,32 x 3,256 x 1,64 x 2,32 x 2,128 x 2,YES,CUDA,NVIDIA H100 PCIe with 114 multiprocessors,12020,12020,384,288,0.000000,0.000017,0.000034,0.000033,0.000032,0.000032,YES,YES,YES,YES,YES,0.000132,0.000014,0.000014,0.000613,0.000184,0.000183,YES,0.000033,0.000000,0.001004,0.000206,0.000169,0.000113,0.000108,0.000108,0.000106,YES,YES,YES,YES,YES,0.000000,0.000055,0.000041,0.000041,0.000046,YES,YES,YES,YES,YES,0.001028,0.001231,0.001330,0.001330,0.160778,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.691579,0.742257,1.691579,0.985340,1.278317,1.116656,1.470183,1.691579,0.742257,0.985340,1.278317,
1,tsukubaSet,FLOAT,16,8,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,256 x 2,128 x 1,128 x 1,256 x 2,32 x 8,64 x 2,32 x 12,64 x 8,32 x 4,32 x 3,32 x 8,64 x 2,16 x 1,64 x 1,256 x 1,64 x 3,128 x 1,64 x 2,YES,CUDA,NVIDIA H100 PCIe with 114 multiprocessors,12020,12020,384,288,0.000000,0.000012,0.000029,0.000028,0.000026,0.000027,YES,YES,YES,YES,YES,0.000110,0.000009,0.000009,0.001225,0.000152,0.000152,YES,0.000030,0.000000,0.001543,0.000101,0.000335,0.000216,0.000222,0.000214,0.000238,YES,YES,YES,YES,YES,0.000000,0.000048,0.000033,0.000033,0.000038,YES,YES,YES,YES,YES,0.001554,0.001656,0.001700,0.001700,0.084437,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.038170,1.444610,2.038170,1.027166,No Data,0.694066,0.963643,2.038170,1.444610,1.027166,No Data,
2,venus,FLOAT,16,8,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,64 x 3,32 x 1,32 x 2,128 x 2,16 x 1,16 x 1,64 x 2,32 x 2,32 x 1,32 x 1,32 x 2,64 x 2,16 x 1,32 x 2,32 x 1,16 x 1,32 x 2,64 x 3,YES,CUDA,NVIDIA H100 PCIe with 114 multiprocessors,12020,12020,434,383,0.000000,0.000015,0.000037,0.000032,0.000032,0.000031,YES,YES,YES,YES,YES,0.000133,0.000010,0.000010,0.000687,0.000230,0.000230,YES,0.000069,0.000000,0.001148,0.000141,0.000325,0.000100,0.000088,0.000086,0.000086,YES,YES,YES,YES,YES,0.000000,0.000098,0.000044,0.000043,0.000044,YES,YES,YES,YES,YES,0.001163,0.001303,0.001365,0.001365,0.254400,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.711357,1.723905,2.711357,0.989052,1.936613,0.686473,1.156370,2.711357,1.723905,0.989052,1.936613,
2,venus,FLOAT,16,8,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,256 x 1,32 x 1,64 x 3,128 x 3,64 x 7,64 x 4,32 x 12,256 x 2,256 x 2,32 x 2,64 x 2,32 x 5,16 x 1,32 x 1,32 x 1,64 x 1,64 x 2,32 x 3,YES,CUDA,NVIDIA H100 PCIe with 114 multiprocessors,12020,12020,434,383,0.000000,0.000015,0.000043,0.000037,0.000037,0.000037,YES,YES,YES,YES,YES,0.000154,0.000010,0.000009,0.001952,0.000232,0.000232,YES,0.000060,0.000000,0.002425,0.000143,0.000805,0.000316,0.000278,0.000272,0.000280,YES,YES,YES,YES,YES,0.000000,0.000099,0.000044,0.000044,0.000044,YES,YES,YES,YES,YES,0.002439,0.002581,0.002643,0.002643,0.248194,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.126642,1.763315,2.126642,1.040750,No Data,0.618867,1.078105,2.126642,1.763315,1.040750,No Data,
3,barn1,FLOAT,16,8,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,128 x 2,256 x 1,64 x 4,32 x 3,16 x 1,16 x 1,32 x 5,32 x 6,128 x 2,256 x 1,32 x 2,32 x 4,16 x 1,256 x 1,16 x 1,64 x 1,32 x 3,32 x 4,YES,CUDA,NVIDIA H100 PCIe with 114 multiprocessors,12020,12020,432,381,0.000001,0.000021,0.000048,0.000055,0.000053,0.000053,YES,YES,YES,YES,YES,0.000209,0.000014,0.000013,0.001329,0.000378,0.000377,YES,0.000111,0.000000,0.002063,0.000250,0.000713,0.000215,0.000133,0.000128,0.000128,YES,YES,YES,YES,YES,0.000000,0.000188,0.000063,0.000062,0.000063,YES,YES,YES,YES,YES,0.002094,0.002351,0.002468,0.002468,0.788130,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.323799,0.811522,No Data,0.852556,1.840255,0.607990,1.244182,2.323799,0.811522,0.852556,1.840255,
3,barn1,FLOAT,16,8,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,128 x 4,256 x 2,256 x 2,256 x 2,256 x 2,128 x 4,256 x 2,256 x 2,256 x 2,256 x 1,256 x 2,256 x 2,16 x 1,256 x 2,256 x 2,256 x 2,256 x 2,256 x 2,YES,CUDA,NVIDIA H100 PCIe with 114 multiprocessors,12020,12020,432,381,0.000001,0.000022,0.000046,0.000053,0.000052,0.000052,YES,YES,YES,YES,YES,0.000204,0.000013,0.000013,0.003402,0.000379,0.000378,YES,0.000087,0.000000,0.004109,0.000259,0.001677,0.000492,0.000413,0.000410,0.000409,YES,YES,YES,YES,YES,0.000000,0.000185,0.000066,0.000063,0.000064,YES,YES,YES,YES,YES,0.004132,0.004390,0.004542,0.004542,0.419601,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.474429,1.510296,No Data,1.112835,No Data,0.628882,1.234319,1.474429,1.510296,1.112835,No Data,
4,conesQuarterSize,FLOAT,16,8,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,64 x 4,128 x 1,32 x 1,16 x 1,16 x 1,32 x 4,32 x 5,32 x 5,32 x 1,64 x 2,64 x 1,64 x 1,16 x 1,256 x 1,32 x 4,64 x 2,128 x 1,128 x 1,YES,CUDA,NVIDIA H100 PCIe with 114 multiprocessors,12020,12020,450,375,0.000000,0.000038,0.000136,0.000092,0.000100,0.000076,YES,YES,YES,YES,YES,0.000405,0.000013,0.000013,0.004270,0.000674,0.000674,YES,0.000186,0.000000,0.005587,0.000150,0.002837,0.000783,0.000245,0.000192,0.000214,YES,YES,YES,YES,YES,0.000000,0.000371,0.000137,0.000080,0.000085,YES,YES,YES,YES,YES,0.005601,0.005754,0.005819,0.005819,0.954278,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.858087,1.386052,No Data,1.038588,1.756920,0.400890,1.810737,2.858087,1.386052,1.038588,1.756920,
4,conesQuarterSize,FLOAT,16,8,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,64 x 8,16 x 1,32 x 1,16 x 1,16 x 1,32 x 12,32 x 10,256 x 2,256 x 2,32 x 2,32 x 1,64 x 2,16 x 1,128 x 3,64 x 1,64 x 1,32 x 4,128 x 2,YES,CUDA,NVIDIA H100 PCIe with 114 multiprocessors,12020,12020,450,375,0.000000,0.000038,0.000136,0.000091,0.000100,0.000075,YES,YES,YES,YES,YES,0.000402,0.000011,0.000011,0.008721,0.000662,0.000662,YES,0.000155,0.000000,0.009993,0.000150,0.005012,0.001653,0.000700,0.000676,0.000679,YES,YES,YES,YES,YES,0.000000,0.000357,0.000131,0.000080,0.000095,YES,YES,YES,YES,YES,0.010009,0.010157,0.010224,0.010224,0.955893,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.785902,1.395031,No Data,1.095019,No Data,0.569285,1.356931,1.785902,1.395031,1.095019,No Data,
