Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Blur Images Parallel Dimensions,Init Message Values Parallel Dimensions,Level 0 Data Costs Parallel Dimensions,Level 1 Data Costs Parallel Dimensions,Level 2 Data Costs Parallel Dimensions,Level 3 Data Costs Parallel Dimensions,Level 4 Data Costs Parallel Dimensions,Level 0 BP Thread Parallel Dimensions,Level 1 BP Thread Parallel Dimensions,Level 2 BP Thread Parallel Dimensions,Level 3 BP Thread Parallel Dimensions,Level 4 BP Thread Parallel Dimensions,Level 0 Copy Thread Parallel Dimensions,Level 1 Copy Thread Parallel Dimensions,Level 2 Copy Thread Parallel Dimensions,Level 3 Copy Thread Parallel Dimensions,Level 4 Copy Thread Parallel Dimensions,Get Output Disparity Parallel Dimensions,Run Success,Acceleration,Device 0,Cuda version,Cuda Runtime Version,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,CUDA output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,CUDA output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,128 x 4,64 x 2,256 x 2,128 x 1,32 x 1,64 x 1,32 x 5,32 x 3,128 x 1,32 x 1,32 x 1,32 x 1,16 x 1,64 x 1,16 x 1,32 x 1,32 x 1,256 x 2,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,192,144,0.000000,0.000007,0.000015,0.000015,0.000015,0.000016,YES,YES,YES,YES,YES,0.000061,0.000006,0.000006,0.000271,0.000078,0.000077,YES,0.000010,0.000000,0.000433,0.000060,0.000060,0.000053,0.000052,0.000052,0.000052,YES,YES,YES,YES,YES,0.000000,0.000020,0.000019,0.000020,0.000019,YES,YES,YES,YES,YES,0.000442,0.000498,0.000518,0.000518,0.010586,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.118848,0.989349,1.118848,1.016736,1.555881,0.662553,1.015322,1.118848,0.989349,1.016736,1.555881,
0,tsukubaSetHalfSize,FLOAT,16,8,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,64 x 3,64 x 2,64 x 2,32 x 2,32 x 2,32 x 2,128 x 2,32 x 6,32 x 2,64 x 1,256 x 1,64 x 2,16 x 1,64 x 1,32 x 2,64 x 2,128 x 2,32 x 2,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,192,144,0.000000,0.000007,0.000015,0.000015,0.000014,0.000016,YES,YES,YES,YES,YES,0.000060,0.000006,0.000006,0.000561,0.000079,0.000079,YES,0.000010,0.000000,0.000723,0.000054,0.000114,0.000108,0.000107,0.000113,0.000118,YES,YES,YES,YES,YES,0.000000,0.000019,0.000018,0.000021,0.000021,YES,YES,YES,YES,YES,0.000732,0.000786,0.000806,0.000806,0.010586,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.604731,1.033231,1.604731,1.021686,No Data,0.705208,1.047542,1.604731,1.033231,1.021686,No Data,
1,tsukubaSet,FLOAT,16,8,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,64 x 6,32 x 2,32 x 1,32 x 1,32 x 1,32 x 1,32 x 1,32 x 4,32 x 6,128 x 1,32 x 1,32 x 1,16 x 1,32 x 2,32 x 1,32 x 1,32 x 1,32 x 2,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,384,288,0.000000,0.000013,0.000031,0.000020,0.000016,0.000016,YES,YES,YES,YES,YES,0.000084,0.000006,0.000006,0.000554,0.000162,0.000162,YES,0.000049,0.000000,0.000869,0.000130,0.000297,0.000087,0.000057,0.000055,0.000057,YES,YES,YES,YES,YES,0.000000,0.000077,0.000034,0.000022,0.000029,YES,YES,YES,YES,YES,0.000881,0.001011,0.001072,0.001072,0.118316,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.097695,1.008648,2.097695,1.021014,1.891801,0.413324,1.234133,2.097695,1.008648,1.021014,1.891801,
1,tsukubaSet,FLOAT,16,8,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,128 x 3,256 x 1,32 x 1,16 x 1,16 x 1,16 x 1,256 x 1,32 x 1,32 x 6,32 x 2,16 x 1,16 x 1,16 x 1,128 x 1,32 x 1,16 x 1,16 x 1,64 x 7,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,384,288,0.000000,0.000014,0.000031,0.000020,0.000016,0.000016,YES,YES,YES,YES,YES,0.000084,0.000007,0.000006,0.001504,0.000164,0.000164,YES,0.000050,0.000000,0.001825,0.000129,0.000809,0.000229,0.000152,0.000149,0.000165,YES,YES,YES,YES,YES,0.000000,0.000077,0.000034,0.000023,0.000029,YES,YES,YES,YES,YES,0.001837,0.001968,0.002029,0.002029,0.117202,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.707866,1.040754,1.707866,1.047139,No Data,0.516835,1.319569,1.707866,1.040754,1.047139,No Data,
2,venus,FLOAT,16,8,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,128 x 2,16 x 1,32 x 1,16 x 1,16 x 1,16 x 1,16 x 1,32 x 8,16 x 1,32 x 1,16 x 1,16 x 1,16 x 1,128 x 1,32 x 5,16 x 1,16 x 1,32 x 4,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,434,383,0.000000,0.000024,0.000049,0.000024,0.000021,0.000022,YES,YES,YES,YES,YES,0.000116,0.000007,0.000007,0.000904,0.000259,0.000258,YES,0.000089,0.000000,0.001400,0.000184,0.000538,0.000172,0.000068,0.000063,0.000063,YES,YES,YES,YES,YES,0.000000,0.000145,0.000052,0.000032,0.000029,YES,YES,YES,YES,YES,0.001411,0.001595,0.001689,0.001689,0.333945,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.191440,1.313274,2.191440,1.002219,2.129733,0.363482,1.355908,2.191440,1.313274,1.002219,2.129733,
2,venus,FLOAT,16,8,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,32 x 16,256 x 1,32 x 1,16 x 1,16 x 1,128 x 1,256 x 1,32 x 1,256 x 1,64 x 2,16 x 1,64 x 1,16 x 1,128 x 3,32 x 2,16 x 1,256 x 1,128 x 4,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,434,383,0.000000,0.000024,0.000049,0.000024,0.000021,0.000022,YES,YES,YES,YES,YES,0.000116,0.000007,0.000007,0.002802,0.000275,0.000275,YES,0.000089,0.000000,0.003314,0.000181,0.001753,0.000458,0.000212,0.000187,0.000192,YES,YES,YES,YES,YES,0.000000,0.000147,0.000057,0.000037,0.000034,YES,YES,YES,YES,YES,0.003326,0.003508,0.003596,0.003596,0.329765,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.562985,1.327141,1.562985,1.163743,No Data,0.487552,1.338498,1.562985,1.327141,1.163743,No Data,
3,barn1,FLOAT,16,8,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,128 x 2,16 x 1,16 x 1,32 x 1,32 x 1,16 x 1,16 x 1,32 x 5,32 x 5,64 x 1,256 x 1,16 x 1,16 x 1,64 x 2,32 x 5,16 x 1,32 x 3,32 x 1,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,432,381,0.000000,0.000033,0.000067,0.000037,0.000028,0.000026,YES,YES,YES,YES,YES,0.000158,0.000007,0.000007,0.002006,0.000398,0.000398,YES,0.000131,0.000000,0.002733,0.000176,0.001347,0.000376,0.000121,0.000080,0.000079,YES,YES,YES,YES,YES,0.000000,0.000220,0.000081,0.000050,0.000046,YES,YES,YES,YES,YES,0.002745,0.002921,0.003009,0.003009,0.524127,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.905962,1.220287,No Data,1.074906,2.419046,0.387375,1.292495,1.905962,1.220287,1.074906,2.419046,
3,barn1,FLOAT,16,8,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,32 x 14,16 x 1,16 x 1,16 x 1,32 x 1,16 x 1,64 x 1,16 x 1,256 x 1,64 x 1,128 x 1,64 x 1,16 x 1,128 x 3,32 x 5,16 x 1,256 x 1,32 x 1,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,432,381,0.000000,0.000033,0.000067,0.000036,0.000027,0.000026,YES,YES,YES,YES,YES,0.000157,0.000007,0.000007,0.006279,0.000398,0.000397,YES,0.000127,0.000000,0.007002,0.000177,0.004496,0.000916,0.000357,0.000253,0.000256,YES,YES,YES,YES,YES,0.000000,0.000220,0.000082,0.000050,0.000045,YES,YES,YES,YES,YES,0.007014,0.007192,0.007280,0.007280,0.520631,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.919970,1.217217,No Data,1.124187,No Data,0.564269,1.559933,0.919970,1.217217,1.124187,No Data,
4,conesQuarterSize,FLOAT,16,8,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,256 x 1,256 x 1,16 x 1,128 x 2,32 x 3,16 x 1,32 x 1,32 x 5,32 x 5,128 x 1,64 x 1,64 x 1,16 x 1,128 x 1,32 x 5,256 x 1,64 x 1,32 x 1,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,450,375,0.000000,0.000072,0.000125,0.000065,0.000053,0.000041,YES,YES,YES,YES,YES,0.000285,0.000008,0.000008,0.008335,0.000799,0.000799,YES,0.000294,0.000000,0.009793,0.000179,0.006043,0.001522,0.000383,0.000216,0.000167,YES,YES,YES,YES,YES,0.000000,0.000473,0.000152,0.000094,0.000079,YES,YES,YES,YES,YES,0.009805,0.009987,0.010078,0.010078,1.276976,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.650285,1.035791,No Data,1.101281,1.820630,0.392227,2.447681,1.650285,1.035791,1.101281,1.820630,
4,conesQuarterSize,FLOAT,16,8,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,64 x 8,64 x 1,16 x 1,256 x 2,32 x 3,16 x 1,128 x 1,32 x 1,256 x 1,256 x 1,128 x 1,16 x 1,16 x 1,128 x 3,32 x 3,128 x 1,128 x 1,16 x 1,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,450,375,0.000000,0.000071,0.000125,0.000065,0.000053,0.000041,YES,YES,YES,YES,YES,0.000284,0.000008,0.000008,0.016648,0.000789,0.000789,YES,0.000269,0.000000,0.018070,0.000181,0.011981,0.002847,0.000875,0.000483,0.000451,YES,YES,YES,YES,YES,0.000000,0.000466,0.000152,0.000091,0.000080,YES,YES,YES,YES,YES,0.018081,0.018258,0.018348,0.018348,1.282533,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.995111,1.039739,No Data,1.062056,No Data,0.602678,1.425368,0.995111,1.039739,1.062056,No Data,
