Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Time init settings malloc (3 timings),Level 0 Data Costs (3 timings),Level 1 Data Costs (3 timings),Level 2 Data Costs (3 timings),Level 3 Data Costs (3 timings),Level 4 Data Costs (3 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (3 timings),Time to init message values (3 timings),Time to init message values (kernel portion only) (3 timings),Total time BP Iters (3 timings),Total time Copy Data (3 timings),Total time Copy Data (kernel portion only) (3 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (3 timings),Time final free (3 timings),Total timed (3 timings),Smoothing Runtime (3 timings),Level 0 BP Runtime (3 timings),Level 1 BP Runtime (3 timings),Level 2 BP Runtime (3 timings),Level 3 BP Runtime (3 timings),Level 4 BP Runtime (3 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (3 timings),Level 1 Copy Runtime (3 timings),Level 2 Copy Runtime (3 timings),Level 3 Copy Runtime (3 timings),Level 4 Copy Runtime (3 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (3 timings),Total Runtime not including data transfer time (3 timings),Total runtime including data transfer time (3 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,64,16,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,192,144,0.000000,0.000021,0.000012,0.000006,0.000006,0.000005,No timings,No timings,No timings,No timings,No timings,0.000030,0.000007,0.000007,0.000261,0.000099,0.000098,No timings,0.000014,0.000000,0.000431,0.000005,0.000121,0.000048,0.000027,0.000039,0.000027,No timings,No timings,No timings,No timings,No timings,0.000000,0.000041,0.000017,0.000016,0.000025,No timings,No timings,No timings,No timings,No timings,0.000449,0.000453,0.000462,0.000462,0.010860,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.390090,0.964372,1.390090,1.108121,No Data,No Data,No Data,No Data,No Data,1.390090,0.964372,1.108121,No Data,
0,tsukubaSetHalfSize,FLOAT,16,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,192,144,0.000000,0.000026,0.000012,0.000006,0.000006,0.000005,No timings,No timings,No timings,No timings,No timings,0.000029,0.000007,0.000007,0.000996,0.000090,0.000090,No timings,0.000132,0.000000,0.001345,0.000005,0.000636,0.000180,0.000086,0.000067,0.000030,No timings,No timings,No timings,No timings,No timings,0.000000,0.000041,0.000017,0.000015,0.000018,No timings,No timings,No timings,No timings,No timings,0.001366,0.001506,0.001516,0.001516,0.010860,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.914150,1.007116,0.914150,1.071772,No Data,No Data,No Data,No Data,No Data,0.914150,1.007116,1.071772,No Data,
1,tsukubaSet,FLOAT,16,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX256,384,288,0.000001,0.000148,0.000095,0.000026,0.000010,0.000008,No timings,No timings,No timings,No timings,No timings,0.000138,0.000020,0.000020,0.005163,0.002587,0.002586,No timings,0.000606,0.000000,0.008002,0.000055,0.004550,0.000435,0.000111,0.000040,0.000024,No timings,No timings,No timings,No timings,No timings,0.000000,0.002085,0.000363,0.000119,0.000036,No timings,No timings,No timings,No timings,No timings,0.008038,0.008093,0.008144,0.008144,0.083725,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.287542,1.425368,0.287542,1.041104,No Data,No Data,No Data,No Data,No Data,0.287542,1.425368,1.041104,No Data,
1,tsukubaSet,FLOAT,16,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,384,288,0.000001,0.000376,0.000125,0.000027,0.000012,0.000008,No timings,No timings,No timings,No timings,No timings,0.000171,0.000025,0.000025,0.008080,0.002222,0.002221,No timings,0.000634,0.000001,0.012148,0.000057,0.006054,0.001170,0.000311,0.000156,0.000114,No timings,No timings,No timings,No timings,No timings,0.000000,0.001701,0.000372,0.000110,0.000039,No timings,No timings,No timings,No timings,No timings,0.012190,0.012216,0.012257,0.012257,0.083725,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.295394,1.456899,0.295394,1.045084,No Data,No Data,No Data,No Data,No Data,0.295394,1.456899,1.045084,No Data,
2,venus,FLOAT,16,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,434,383,0.000000,0.000647,0.000485,0.000087,0.000017,0.000010,No timings,No timings,No timings,No timings,No timings,0.000589,0.000025,0.000025,0.020432,0.006779,0.006778,No timings,0.002420,0.000001,0.030799,0.000078,0.018901,0.001070,0.000227,0.000092,0.000140,No timings,No timings,No timings,No timings,No timings,0.000000,0.005437,0.001075,0.000217,0.000069,No timings,No timings,No timings,No timings,No timings,0.030838,0.030896,0.030953,0.030953,0.285591,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.119251,1.535625,0.119251,0.997492,No Data,No Data,No Data,No Data,No Data,0.119251,1.535625,0.997492,No Data,
2,venus,FLOAT,16,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,434,383,0.000000,0.000692,0.000481,0.000081,0.000013,0.000010,No timings,No timings,No timings,No timings,No timings,0.000584,0.000024,0.000023,0.023585,0.007456,0.007455,No timings,0.002478,0.000001,0.033936,0.000091,0.020340,0.002038,0.000541,0.000169,0.000184,No timings,No timings,No timings,No timings,No timings,0.000000,0.006191,0.000991,0.000219,0.000068,No timings,No timings,No timings,No timings,No timings,0.033979,0.034056,0.034116,0.034116,0.285591,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.157920,1.532414,0.157920,0.958498,No Data,No Data,No Data,No Data,No Data,0.157920,1.532414,0.958498,No Data,
3,barn1,FLOAT,16,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,432,381,0.000000,0.001160,0.001301,0.000167,0.000036,0.000015,No timings,No timings,No timings,No timings,No timings,0.001592,0.000047,0.000047,0.034387,0.011344,0.011342,No timings,0.004009,0.000001,0.052352,0.000076,0.031517,0.002161,0.000363,0.000125,0.000214,No timings,No timings,No timings,No timings,No timings,0.000000,0.009007,0.001728,0.000403,0.000110,No timings,No timings,No timings,No timings,No timings,0.052396,0.052472,0.052531,0.052531,0.459102,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110971,1.393122,No Data,1.016335,No Data,No Data,No Data,No Data,No Data,0.110971,1.393122,1.016335,No Data,
3,barn1,FLOAT,16,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,432,381,0.000001,0.001197,0.001257,0.000169,0.000036,0.000010,No timings,No timings,No timings,No timings,No timings,0.001535,0.000034,0.000033,0.036418,0.011860,0.011859,No timings,0.004219,0.000001,0.055517,0.000076,0.032245,0.003037,0.000675,0.000201,0.000249,No timings,No timings,No timings,No timings,No timings,0.000000,0.009425,0.001704,0.000399,0.000121,No timings,No timings,No timings,No timings,No timings,0.055562,0.055637,0.055697,0.055697,0.459102,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.121786,1.380349,No Data,1.012828,No Data,No Data,No Data,No Data,No Data,0.121786,1.380349,1.012828,No Data,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,450,375,0.000001,0.003214,0.004436,0.000736,0.000094,0.000024,No timings,No timings,No timings,No timings,No timings,0.005292,0.000109,0.000108,0.085580,0.028342,0.028341,No timings,0.008681,0.000001,0.131331,0.000077,0.071915,0.011763,0.001048,0.000233,0.000475,No timings,No timings,No timings,No timings,No timings,0.000000,0.021523,0.005660,0.000955,0.000210,No timings,No timings,No timings,No timings,No timings,0.131373,0.131450,0.131512,0.131512,0.947107,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130792,1.396548,No Data,1.034241,No Data,No Data,No Data,No Data,No Data,0.130792,1.396548,1.034241,No Data,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,450,375,0.000000,0.002995,0.004279,0.000713,0.000098,0.000026,No timings,No timings,No timings,No timings,No timings,0.005118,0.000049,0.000048,0.098145,0.028813,0.028811,No timings,0.010164,0.000001,0.145326,0.000077,0.078144,0.018053,0.001173,0.000317,0.000490,No timings,No timings,No timings,No timings,No timings,0.000000,0.022103,0.005572,0.000928,0.000209,No timings,No timings,No timings,No timings,No timings,0.145368,0.145445,0.145505,0.145505,0.947107,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.146499,1.407972,No Data,1.167490,No Data,No Data,No Data,No Data,No Data,0.146499,1.407972,1.167490,No Data,
5,conesHalfSize,FLOAT,16,64,16,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,900,750,0.000001,0.032666,0.040063,0.008683,0.001835,0.000233,No timings,No timings,No timings,No timings,No timings,0.050533,0.000298,0.000296,0.843627,0.220226,0.220224,No timings,0.080550,0.000001,1.239823,0.000373,0.645300,0.156417,0.031291,0.002775,0.000656,No timings,No timings,No timings,No timings,No timings,0.000000,0.156834,0.042117,0.014836,0.002287,No timings,No timings,No timings,No timings,No timings,1.239868,1.240241,1.240476,1.240476,8.159192,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.193725,1.252171,No Data,1.050077,No Data,No Data,No Data,No Data,No Data,0.193725,1.252171,1.050077,No Data,
5,conesHalfSize,FLOAT,16,64,16,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,900,750,0.000001,0.031644,0.039771,0.009534,0.001962,0.000234,No timings,No timings,No timings,No timings,No timings,0.051500,0.000308,0.000306,0.868766,0.211618,0.211615,No timings,0.081540,0.000001,1.248566,0.000394,0.672782,0.155781,0.033191,0.004022,0.000825,No timings,No timings,No timings,No timings,No timings,0.000000,0.151821,0.042033,0.015471,0.002569,No timings,No timings,No timings,No timings,No timings,1.248615,1.249010,1.249302,1.249302,8.159192,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.196310,1.257122,No Data,1.059249,No Data,No Data,No Data,No Data,No Data,0.196310,1.257122,1.059249,No Data,
6,conesFullSizeCropped,FLOAT,16,64,16,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,900,750,0.000001,0.065209,0.087631,0.019895,0.003785,0.000608,No timings,No timings,No timings,No timings,No timings,0.114610,0.000837,0.000836,1.803115,0.465099,0.465095,No timings,0.175712,0.000001,2.657623,0.000541,1.373286,0.333440,0.084047,0.016452,0.001174,No timings,No timings,No timings,No timings,No timings,0.000000,0.325626,0.089672,0.039606,0.007612,No timings,No timings,No timings,No timings,No timings,2.657670,2.657937,2.658181,2.658181,15.247163,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.191666,1.225087,No Data,1.083857,No Data,No Data,No Data,No Data,No Data,0.191666,1.225087,1.083857,No Data,
6,conesFullSizeCropped,FLOAT,16,64,16,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,900,750,0.000001,0.062162,0.080072,0.018471,0.004059,0.000623,No timings,No timings,No timings,No timings,No timings,0.103330,0.000670,0.000668,1.823422,0.456577,0.456574,No timings,0.170216,0.000001,2.615691,0.000371,1.383988,0.340470,0.079405,0.016691,0.001180,No timings,No timings,No timings,No timings,No timings,0.000000,0.324802,0.087618,0.037585,0.006683,No timings,No timings,No timings,No timings,No timings,2.615737,2.616108,2.616350,2.616350,15.247163,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.186150,1.220581,No Data,1.027595,No Data,No Data,No Data,No Data,No Data,0.186150,1.220581,1.027595,No Data,
0,tsukubaSetHalfSize,DOUBLE,16,64,16,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,192,144,0.000000,0.000025,0.000013,0.000006,0.000005,0.000005,No timings,No timings,No timings,No timings,No timings,0.000029,0.000006,0.000006,0.000400,0.000103,0.000103,No timings,0.000022,0.000000,0.000587,0.000005,0.000231,0.000074,0.000031,0.000040,0.000025,No timings,No timings,No timings,No timings,No timings,0.000000,0.000057,0.000020,0.000013,0.000013,No timings,No timings,No timings,No timings,No timings,0.000606,0.000611,0.000620,0.000620,0.010860,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,1.133192,1.022438,0.976900,No Data,
0,tsukubaSetHalfSize,DOUBLE,16,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,192,144,0.000000,0.000029,0.000013,0.000006,0.000005,0.000005,No timings,No timings,No timings,No timings,No timings,0.000030,0.000006,0.000006,0.002114,0.000106,0.000105,No timings,0.000070,0.000000,0.002339,0.000008,0.001418,0.000425,0.000155,0.000067,0.000037,No timings,No timings,No timings,No timings,No timings,0.000000,0.000056,0.000023,0.000014,0.000012,No timings,No timings,No timings,No timings,No timings,0.002366,0.002372,0.002417,0.002417,0.010860,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.821830,1.038626,0.983372,No Data,
1,tsukubaSet,DOUBLE,16,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,384,288,0.000001,0.000603,0.000695,0.000071,0.000021,0.000007,No timings,No timings,No timings,No timings,No timings,0.000781,0.000016,0.000015,0.019597,0.005564,0.005563,No timings,0.002366,0.000001,0.029211,0.000049,0.018294,0.000915,0.000174,0.000078,0.000089,No timings,No timings,No timings,No timings,No timings,0.000000,0.004598,0.000790,0.000146,0.000057,No timings,No timings,No timings,No timings,No timings,0.029252,0.029303,0.029341,0.029341,0.083725,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.125605,1.457305,0.999274,No Data,
1,tsukubaSet,DOUBLE,16,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,384,288,0.000001,0.000626,0.000515,0.000078,0.000016,0.000008,No timings,No timings,No timings,No timings,No timings,0.000618,0.000028,0.000028,0.022279,0.005868,0.005867,No timings,0.002380,0.000001,0.033793,0.000054,0.018509,0.002701,0.000691,0.000229,0.000115,No timings,No timings,No timings,No timings,No timings,0.000000,0.004894,0.000752,0.000163,0.000064,No timings,No timings,No timings,No timings,No timings,0.033839,0.034038,0.034077,0.034077,0.083725,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.187752,1.466419,1.080293,No Data,
2,venus,DOUBLE,16,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,434,383,0.000000,0.001746,0.002175,0.000272,0.000024,0.000008,No timings,No timings,No timings,No timings,No timings,0.002480,0.000022,0.000022,0.046911,0.013579,0.013578,No timings,0.005742,0.000001,0.070490,0.000074,0.041905,0.004305,0.000411,0.000162,0.000140,No timings,No timings,No timings,No timings,No timings,0.000000,0.011138,0.001952,0.000387,0.000111,No timings,No timings,No timings,No timings,No timings,0.070531,0.070571,0.070625,0.070625,0.285591,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.084607,1.523338,0.993782,No Data,
2,venus,DOUBLE,16,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,434,383,0.000000,0.001792,0.002098,0.000274,0.000032,0.000009,No timings,No timings,No timings,No timings,No timings,0.002424,0.000023,0.000022,0.048903,0.013805,0.013804,No timings,0.005655,0.000001,0.072777,0.000075,0.042217,0.005181,0.000990,0.000314,0.000186,No timings,No timings,No timings,No timings,No timings,0.000000,0.011386,0.001966,0.000382,0.000109,No timings,No timings,No timings,No timings,No timings,0.072821,0.072895,0.072953,0.072953,0.285591,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.129041,1.513912,0.999780,No Data,
3,barn1,DOUBLE,16,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,432,381,0.000000,0.002818,0.004115,0.000543,0.000079,0.000013,No timings,No timings,No timings,No timings,No timings,0.004751,0.000038,0.000037,0.076162,0.021941,0.021939,No timings,0.008583,0.000001,0.114352,0.000073,0.064364,0.010603,0.000817,0.000222,0.000201,No timings,No timings,No timings,No timings,No timings,0.000000,0.017296,0.003752,0.000725,0.000167,No timings,No timings,No timings,No timings,No timings,0.114396,0.114469,0.114527,0.114527,0.459102,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.104861,1.396256,0.981421,No Data,
3,barn1,DOUBLE,16,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,432,381,0.000001,0.002899,0.004165,0.000552,0.000079,0.000014,No timings,No timings,No timings,No timings,No timings,0.004808,0.000039,0.000038,0.077362,0.022119,0.022118,No timings,0.008535,0.000001,0.115698,0.000074,0.064633,0.010807,0.001301,0.000375,0.000248,No timings,No timings,No timings,No timings,No timings,0.000000,0.017528,0.003734,0.000698,0.000166,No timings,No timings,No timings,No timings,No timings,0.115743,0.115817,0.115874,0.115874,0.459102,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.137157,1.404860,1.000241,No Data,
