Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Time init settings malloc (3 timings),Level 0 Data Costs (3 timings),Level 1 Data Costs (3 timings),Level 2 Data Costs (3 timings),Level 3 Data Costs (3 timings),Level 4 Data Costs (3 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (3 timings),Time to init message values (3 timings),Time to init message values (kernel portion only) (3 timings),Total time BP Iters (3 timings),Total time Copy Data (3 timings),Total time Copy Data (kernel portion only) (3 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (3 timings),Time final free (3 timings),Total timed (3 timings),Smoothing Runtime (3 timings),Level 0 BP Runtime (3 timings),Level 1 BP Runtime (3 timings),Level 2 BP Runtime (3 timings),Level 3 BP Runtime (3 timings),Level 4 BP Runtime (3 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (3 timings),Level 1 Copy Runtime (3 timings),Level 2 Copy Runtime (3 timings),Level 3 Copy Runtime (3 timings),Level 4 Copy Runtime (3 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (3 timings),Total Runtime not including data transfer time (3 timings),Total runtime including data transfer time (3 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX256,192,144,0.000000,0.000020,0.000011,0.000005,0.000006,0.000004,No timings,No timings,No timings,No timings,No timings,0.000026,0.000006,0.000006,0.000250,0.000088,0.000087,No timings,0.000016,0.000000,0.000403,0.000005,0.000140,0.000052,0.000023,0.000017,0.000018,No timings,No timings,No timings,No timings,No timings,0.000000,0.000036,0.000016,0.000017,0.000018,No timings,No timings,No timings,No timings,No timings,0.000421,0.000425,0.000433,0.000433,0.010802,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.409572,0.969585,1.409572,1.052317,No Data,No Data,No Data,No Data,No Data,1.409572,0.969585,1.052317,No Data,
0,tsukubaSetHalfSize,FLOAT,16,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,192,144,0.000000,0.000026,0.000012,0.000006,0.000006,0.000005,No timings,No timings,No timings,No timings,No timings,0.000030,0.000007,0.000007,0.001100,0.000095,0.000094,No timings,0.000020,0.000000,0.001277,0.000005,0.000715,0.000202,0.000083,0.000067,0.000030,No timings,No timings,No timings,No timings,No timings,0.000000,0.000042,0.000018,0.000016,0.000020,No timings,No timings,No timings,No timings,No timings,0.001298,0.001303,0.001312,0.001312,0.010802,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.797524,1.012560,0.797524,0.809203,No Data,No Data,No Data,No Data,No Data,0.797524,1.012560,0.809203,No Data,
1,tsukubaSet,FLOAT,16,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX256,384,288,0.000001,0.000169,0.000144,0.000032,0.000014,0.000010,No timings,No timings,No timings,No timings,No timings,0.000200,0.000019,0.000019,0.004233,0.002783,0.002782,No timings,0.000533,0.000001,0.008250,0.000059,0.003668,0.000448,0.000113,0.000040,0.000031,No timings,No timings,No timings,No timings,No timings,0.000000,0.001497,0.000381,0.000111,0.000051,No timings,No timings,No timings,No timings,No timings,0.008287,0.008305,0.008346,0.008346,0.081767,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.252515,1.459493,0.252515,0.936942,No Data,No Data,No Data,No Data,No Data,0.252515,1.459493,0.936942,No Data,
1,tsukubaSet,FLOAT,16,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,384,288,0.000001,0.000185,0.000117,0.000032,0.000013,0.000009,No timings,No timings,No timings,No timings,No timings,0.000171,0.000019,0.000018,0.007704,0.001962,0.001961,No timings,0.000578,0.000001,0.010415,0.000057,0.005710,0.001175,0.000309,0.000162,0.000100,No timings,No timings,No timings,No timings,No timings,0.000000,0.001419,0.000381,0.000119,0.000044,No timings,No timings,No timings,No timings,No timings,0.010454,0.010510,0.010554,0.010554,0.081767,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.288539,1.491779,0.288539,0.878958,No Data,No Data,No Data,No Data,No Data,0.288539,1.491779,0.878958,No Data,
2,venus,FLOAT,16,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,434,383,0.000001,0.000657,0.000528,0.000085,0.000013,0.000010,No timings,No timings,No timings,No timings,No timings,0.000704,0.000035,0.000034,0.021133,0.006596,0.006595,No timings,0.002506,0.000001,0.031387,0.000081,0.019475,0.001054,0.000233,0.000089,0.000129,No timings,No timings,No timings,No timings,No timings,0.000000,0.005363,0.001015,0.000214,0.000066,No timings,No timings,No timings,No timings,No timings,0.031425,0.031506,0.031563,0.031563,0.277272,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.121063,1.581699,0.121063,1.032581,No Data,No Data,No Data,No Data,No Data,0.121063,1.581699,1.032581,No Data,
2,venus,FLOAT,16,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,434,383,0.000001,0.000636,0.000491,0.000088,0.000020,0.000011,No timings,No timings,No timings,No timings,No timings,0.000610,0.000029,0.000029,0.022553,0.007617,0.007616,No timings,0.004200,0.000001,0.035810,0.000077,0.019066,0.002091,0.000537,0.000168,0.000428,No timings,No timings,No timings,No timings,No timings,0.000000,0.005559,0.000973,0.000210,0.000064,No timings,No timings,No timings,No timings,No timings,0.035847,0.036053,0.036109,0.036109,0.277272,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.164623,1.578392,0.164623,1.057542,No Data,No Data,No Data,No Data,No Data,0.164623,1.578392,1.057542,No Data,
3,barn1,FLOAT,16,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,432,381,0.000001,0.001203,0.001237,0.000159,0.000036,0.000016,No timings,No timings,No timings,No timings,No timings,0.001441,0.000042,0.000041,0.032748,0.010940,0.010938,No timings,0.003913,0.000001,0.050221,0.000090,0.029830,0.001948,0.000483,0.000126,0.000216,No timings,No timings,No timings,No timings,No timings,0.000000,0.008830,0.001601,0.000400,0.000110,No timings,No timings,No timings,No timings,No timings,0.050264,0.050355,0.050413,0.050413,0.447872,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.108750,1.428054,No Data,0.955821,No Data,No Data,No Data,No Data,No Data,0.108750,1.428054,0.955821,No Data,
3,barn1,FLOAT,16,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,432,381,0.000001,0.001120,0.001227,0.000159,0.000036,0.000014,No timings,No timings,No timings,No timings,No timings,0.001518,0.000033,0.000033,0.034548,0.011286,0.011285,No timings,0.003889,0.000001,0.052281,0.000074,0.030532,0.002878,0.000673,0.000202,0.000250,No timings,No timings,No timings,No timings,No timings,0.000000,0.008928,0.001705,0.000401,0.000107,No timings,No timings,No timings,No timings,No timings,0.052324,0.052398,0.052457,0.052457,0.447872,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.128554,1.414961,No Data,1.006912,No Data,No Data,No Data,No Data,No Data,0.128554,1.414961,1.006912,No Data,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,450,375,0.000001,0.003000,0.004263,0.000721,0.000095,0.000024,No timings,No timings,No timings,No timings,No timings,0.005136,0.000050,0.000049,0.082583,0.026223,0.026222,No timings,0.008547,0.000001,0.125478,0.000090,0.069280,0.011666,0.000970,0.000239,0.000441,No timings,No timings,No timings,No timings,No timings,0.000000,0.019624,0.005341,0.000959,0.000214,No timings,No timings,No timings,No timings,No timings,0.125523,0.125614,0.125675,0.125675,0.938076,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.137745,1.409993,No Data,1.040868,No Data,No Data,No Data,No Data,No Data,0.137745,1.409993,1.040868,No Data,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,450,375,0.000000,0.002902,0.004154,0.000727,0.000103,0.000025,No timings,No timings,No timings,No timings,No timings,0.005020,0.000049,0.000048,0.083813,0.026972,0.026971,No timings,0.008452,0.000001,0.127207,0.000083,0.069827,0.011942,0.001183,0.000320,0.000481,No timings,No timings,No timings,No timings,No timings,0.000000,0.020138,0.005566,0.001045,0.000204,No timings,No timings,No timings,No timings,No timings,0.127251,0.127326,0.127388,0.127388,0.938076,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150577,1.421527,No Data,1.050572,No Data,No Data,No Data,No Data,No Data,0.150577,1.421527,1.050572,No Data,
