Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,16,64,16,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000021,0.000012,0.000006,0.000006,0.000005,0.000029,0.000007,0.000007,0.000263,0.000090,0.000090,0.000014,0.000000,0.000477,0.000005,0.000126,0.000044,0.000031,0.000040,0.000026,0.000000,0.000038,0.000017,0.000016,0.000019,0.000494,0.000499,0.000507,0.000507,0.010870,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.375724,0.963512,1.375724,,1.375724,,1.204664,,,,,,,,,,,,,,,,,,,,,,,,1.375724,0.963512,1.204664,,,,
0,tsukubaSetHalfSize,FLOAT,16,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000026,0.000012,0.000007,0.000006,0.000005,0.000030,0.000008,0.000007,0.001030,0.000089,0.000089,0.000090,0.000000,0.001269,0.000005,0.000648,0.000194,0.000083,0.000065,0.000035,0.000000,0.000038,0.000017,0.000015,0.000018,0.001288,0.001293,0.001302,0.001302,0.010870,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.851891,1.006217,0.851891,,,0.851891,0.857620,,,,,,,,,,,,,,,,,,,,,,,,0.851891,1.006217,0.857620,,,,
1,tsukubaSet,FLOAT,16,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000160,0.000099,0.000031,0.000012,0.000010,0.000153,0.000022,0.000021,0.004278,0.002126,0.002125,0.000578,0.000001,0.007304,0.000045,0.003730,0.000321,0.000092,0.000058,0.000074,0.000000,0.001579,0.000395,0.000109,0.000055,0.007344,0.007389,0.007432,0.007432,0.082507,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305688,1.446415,0.305688,,0.305688,,1.010063,,,,,,,,,,,,,,,,,,,,,,,,0.305688,1.446415,1.010063,,,,
1,tsukubaSet,FLOAT,16,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000001,0.000179,0.000093,0.000029,0.000011,0.000016,0.000149,0.000024,0.000023,0.007696,0.001880,0.001879,0.000620,0.000001,0.012330,0.000057,0.005902,0.001117,0.000286,0.000136,0.000100,0.000000,0.001336,0.000379,0.000111,0.000051,0.012370,0.012633,0.012676,0.012676,0.082507,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.278872,1.478412,0.278872,,,0.278872,1.020333,,,,,,,,,,,,,,,,,,,,,,,,0.278872,1.478412,1.020333,,,,
2,venus,FLOAT,16,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000001,0.000654,0.000505,0.000084,0.000018,0.000010,0.000616,0.000027,0.000027,0.020882,0.006725,0.006724,0.002473,0.000001,0.031338,0.000077,0.019337,0.001084,0.000223,0.000089,0.000136,0.000000,0.005453,0.001016,0.000223,0.000070,0.031378,0.031455,0.031512,0.031512,0.285356,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.122945,1.536893,0.122945,,0.122945,,1.046953,,,,,,,,,,,,,,,,,,,,,,,,0.122945,1.536893,1.046953,,,,
2,venus,FLOAT,16,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000001,0.000623,0.000526,0.000089,0.000013,0.000017,0.000632,0.000029,0.000029,0.022249,0.006780,0.006780,0.002382,0.000001,0.032697,0.000076,0.019224,0.001997,0.000529,0.000164,0.000170,0.000000,0.005469,0.000972,0.000225,0.000073,0.032735,0.032812,0.032871,0.032871,0.285356,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.170614,1.533679,0.170614,,,0.170614,0.997740,,,,,,,,,,,,,,,,,,,,,,,,0.170614,1.533679,0.997740,,,,
3,barn1,FLOAT,16,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.001146,0.001206,0.000152,0.000032,0.000013,0.001452,0.000037,0.000036,0.032385,0.010947,0.010946,0.003925,0.000001,0.049812,0.000074,0.029763,0.001946,0.000351,0.000132,0.000182,0.000000,0.008728,0.001692,0.000422,0.000105,0.049852,0.049926,0.049982,0.049982,0.454149,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107090,1.408315,,,0.107090,,0.933197,,,,,,,,,,,,,,,,,,,,,,,,0.107090,1.408315,0.933197,,,,
3,barn1,FLOAT,16,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.001137,0.001188,0.000147,0.000031,0.000013,0.001377,0.000030,0.000029,0.033880,0.011041,0.011040,0.003907,0.000001,0.051241,0.000075,0.029923,0.002881,0.000665,0.000206,0.000224,0.000000,0.008906,0.001630,0.000405,0.000104,0.051278,0.051353,0.051409,0.051409,0.454149,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.126134,1.395403,,,,0.126134,0.968223,,,,,,,,,,,,,,,,,,,,,,,,0.126134,1.395403,0.968223,,,,
4,conesQuarterSize,FLOAT,16,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX256,450,375,3,0.000000,0.003413,0.004413,0.000627,0.000078,0.000024,0.005152,0.000048,0.000047,0.097242,0.027108,0.027106,0.008786,0.000001,0.142019,0.000078,0.082612,0.013324,0.000984,0.000271,0.000104,0.000000,0.019548,0.005170,0.000885,0.000226,0.142058,0.142136,0.142196,0.142196,0.954791,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.125168,1.385308,,0.125168,0.125168,,1.070177,,,,,,,,,,,,,,,,,,,,,,,,0.125168,1.385308,1.070177,,,,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.002788,0.004154,0.000719,0.000090,0.000022,0.004990,0.000044,0.000043,0.084597,0.027276,0.027273,0.008521,0.000000,0.128266,0.000086,0.070354,0.011598,0.001146,0.000304,0.000422,0.000000,0.020806,0.005375,0.000905,0.000197,0.128305,0.128380,0.128438,0.128438,0.954791,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.151283,1.396640,,0.151283,,0.151283,1.064204,,,,,,,,,,,,,,,,,,,,,,,,0.151283,1.396640,1.064204,,,,
