Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of threads,Vectorization,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX256,192,144,0.000000,0.000019,0.000021,0.000017,0.000015,0.000012,YES,YES,YES,YES,YES,0.000067,0.000015,0.000014,0.000388,0.000137,0.000136,YES,0.000032,0.000000,0.000659,0.000013,0.000150,0.000087,0.000059,0.000044,0.000047,YES,YES,YES,YES,YES,0.000000,0.000041,0.000030,0.000029,0.000036,YES,YES,YES,YES,YES,0.000674,0.000687,0.000692,0.000692,0.011207,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.836862,0.934529,0.836862,913.677189,2.344332,1.000000,2.121954,0.889332,1.014448,0.836862,0.934529,913.677189,1.726767,
0,tsukubaSetHalfSize,FLOAT,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,192,144,0.000000,0.000020,0.000020,0.000016,0.000014,0.000013,YES,YES,YES,YES,YES,0.000063,0.000015,0.000015,0.000833,0.000136,0.000135,YES,0.000100,0.000000,0.001164,0.000013,0.000445,0.000169,0.000100,0.000069,0.000049,YES,YES,YES,YES,YES,0.000000,0.000040,0.000028,0.000025,0.000040,YES,YES,YES,YES,YES,0.001179,0.001192,0.001196,0.001196,0.011413,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.081503,0.958286,1.081503,2.146833,No Data,1.357642,1.905945,0.586848,0.939389,1.081503,0.958286,2.146833,No Data,
1,tsukubaSet,FLOAT,64,16,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,32,AVX512,384,288,0.000000,0.000056,0.000056,0.000037,0.000035,0.000034,YES,YES,YES,YES,YES,0.000164,0.000041,0.000041,0.001173,0.000405,0.000405,YES,0.000092,0.000000,0.001928,0.000031,0.000480,0.000267,0.000157,0.000134,0.000135,YES,YES,YES,YES,YES,0.000000,0.000193,0.000092,0.000050,0.000067,YES,YES,YES,YES,YES,0.001943,0.001975,0.001994,0.001994,0.092597,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.127935,1.288802,1.127935,1.800992,1.719180,1.090036,2.615443,0.626074,1.025217,1.127935,1.288802,1.800992,1.719180,
1,tsukubaSet,FLOAT,64,16,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,64,AVX512,384,288,0.000000,0.000099,0.000073,0.000065,0.000061,0.000066,YES,YES,YES,YES,YES,0.000264,0.000082,0.000082,0.002299,0.000495,0.000494,YES,0.000114,0.000000,0.003338,0.000055,0.001146,0.000485,0.000232,0.000238,0.000205,YES,YES,YES,YES,YES,0.000000,0.000205,0.000084,0.000077,0.000132,YES,YES,YES,YES,YES,0.003355,0.003410,0.003428,0.003428,0.092292,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.010530,1.321664,1.010530,185.560800,No Data,1.215603,1.740364,0.644065,1.143368,1.010530,1.321664,185.560800,No Data,
2,venus,FLOAT,16,8,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,32,AVX256,434,383,0.000000,0.000111,0.000072,0.000044,0.000038,0.000043,YES,YES,YES,YES,YES,0.000196,0.000049,0.000049,0.002587,0.000507,0.000506,YES,0.000143,0.000000,0.003598,0.000036,0.001459,0.000516,0.000268,0.000207,0.000130,YES,YES,YES,YES,YES,0.000000,0.000233,0.000105,0.000083,0.000087,YES,YES,YES,YES,YES,0.003613,0.003650,0.003683,0.003683,0.313633,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.004809,1.398325,1.004809,172.797732,1.446276,1.000000,1.985860,0.670279,1.209612,1.004809,1.398325,172.797732,1.181087,
2,venus,FLOAT,64,16,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,64,AVX512,434,383,0.000000,0.000080,0.000081,0.000076,0.000066,0.000072,YES,YES,YES,YES,YES,0.000295,0.000098,0.000098,0.003088,0.000534,0.000534,YES,0.000136,0.000000,0.004248,0.000054,0.001432,0.000638,0.000461,0.000301,0.000250,YES,YES,YES,YES,YES,0.000000,0.000191,0.000119,0.000105,0.000125,YES,YES,YES,YES,YES,0.004264,0.004319,0.004350,0.004350,0.313919,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.292267,1.394131,1.292267,146.586814,No Data,1.224530,1.925322,0.661012,1.069985,1.292267,1.394131,146.586814,No Data,
3,barn1,FLOAT,64,16,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,32,AVX512,432,381,0.000000,0.000152,0.000093,0.000048,0.000043,0.000047,YES,YES,YES,YES,YES,0.000234,0.000073,0.000073,0.003575,0.000819,0.000819,YES,0.000174,0.000000,0.005027,0.000044,0.002031,0.000676,0.000350,0.000293,0.000213,YES,YES,YES,YES,YES,0.000000,0.000478,0.000138,0.000101,0.000104,YES,YES,YES,YES,YES,0.005042,0.005090,0.005122,0.005122,0.522560,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.119745,1.223945,No Data,124.616086,1.070856,1.075689,2.080891,0.731518,1.220850,1.119745,1.223945,124.616086,1.070856,
3,barn1,FLOAT,64,16,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,64,AVX512,432,381,0.000000,0.000121,0.000097,0.000090,0.000085,0.000098,YES,YES,YES,YES,YES,0.000369,0.000136,0.000136,0.003693,0.000871,0.000871,YES,0.000147,0.000000,0.005327,0.000056,0.001748,0.000743,0.000567,0.000338,0.000294,YES,YES,YES,YES,YES,0.000000,0.000357,0.000152,0.000147,0.000206,YES,YES,YES,YES,YES,0.005346,0.005452,0.005485,0.005485,0.522691,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.220932,1.212421,No Data,116.369921,No Data,1.124274,2.122487,0.668888,1.100637,1.220932,1.212421,116.369921,No Data,
4,conesQuarterSize,FLOAT,64,16,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,64,AVX512,450,375,0.000000,0.000280,0.000177,0.000119,0.000100,0.000114,YES,YES,YES,YES,YES,0.000521,0.000229,0.000229,0.005783,0.002294,0.002294,YES,0.000213,0.000000,0.009309,0.000064,0.002948,0.001196,0.000686,0.000456,0.000484,YES,YES,YES,YES,YES,0.000000,0.001093,0.000415,0.000255,0.000488,YES,YES,YES,YES,YES,0.009330,0.009396,0.009437,0.009437,1.141687,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.762360,1.158531,No Data,68.159013,1.065102,1.055805,2.251972,0.712509,1.110461,1.762360,1.158531,68.159013,1.065102,
4,conesQuarterSize,FLOAT,64,16,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,450,375,0.000000,0.000269,0.000176,0.000127,0.000143,0.000161,YES,YES,YES,YES,YES,0.000611,0.000383,0.000383,0.006194,0.002266,0.002265,YES,0.000215,0.000000,0.009915,0.000083,0.003119,0.001287,0.000651,0.000544,0.000607,YES,YES,YES,YES,YES,0.000000,0.000929,0.000364,0.000296,0.000696,YES,YES,YES,YES,YES,0.009933,0.010014,0.010051,0.010051,1.143990,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.816509,1.165657,No Data,64.008299,No Data,1.044309,2.195337,0.694841,1.122706,1.816509,1.165657,64.008299,No Data,
