Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Time init settings malloc (3 timings),Level 0 Data Costs (3 timings),Level 1 Data Costs (3 timings),Level 2 Data Costs (3 timings),Level 3 Data Costs (3 timings),Level 4 Data Costs (3 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (3 timings),Time to init message values (3 timings),Time to init message values (kernel portion only) (3 timings),Total time BP Iters (3 timings),Total time Copy Data (3 timings),Total time Copy Data (kernel portion only) (3 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (3 timings),Time final free (3 timings),Total timed (3 timings),Smoothing Runtime (3 timings),Level 0 BP Runtime (3 timings),Level 1 BP Runtime (3 timings),Level 2 BP Runtime (3 timings),Level 3 BP Runtime (3 timings),Level 4 BP Runtime (3 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (3 timings),Level 1 Copy Runtime (3 timings),Level 2 Copy Runtime (3 timings),Level 3 Copy Runtime (3 timings),Level 4 Copy Runtime (3 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (3 timings),Total Runtime not including data transfer time (3 timings),Total runtime including data transfer time (3 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX256,192,144,0.000000,0.000020,0.000014,0.000005,0.000003,0.000003,No timings,No timings,No timings,No timings,No timings,0.000025,0.000003,0.000003,0.000246,0.000072,0.000072,No timings,0.000015,0.000000,0.000382,0.000005,0.000158,0.000046,0.000018,0.000012,0.000012,No timings,No timings,No timings,No timings,No timings,0.000000,0.000036,0.000013,0.000011,0.000010,No timings,No timings,No timings,No timings,No timings,0.000395,0.000403,0.000411,0.000411,0.010802,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.409572,0.969585,1.409572,1.052317,4.926455,1.000000,3.088966,0.647206,0.935919,1.409572,0.969585,1.052317,3.944128,
0,tsukubaSetHalfSize,FLOAT,16,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,192,144,0.000000,0.000026,0.000012,0.000006,0.000006,0.000005,No timings,No timings,No timings,No timings,No timings,0.000029,0.000008,0.000008,0.001218,0.000098,0.000098,No timings,0.000021,0.000000,0.001419,0.000005,0.000844,0.000196,0.000085,0.000066,0.000031,No timings,No timings,No timings,No timings,No timings,0.000000,0.000038,0.000017,0.000019,0.000021,No timings,No timings,No timings,No timings,No timings,0.001439,0.001612,0.001621,0.001621,0.010802,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.797524,1.012560,0.797524,0.809203,No Data,1.249060,2.431927,0.613362,1.076774,0.797524,1.012560,0.809203,No Data,
1,tsukubaSet,FLOAT,16,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX256,384,288,0.000001,0.000193,0.000103,0.000035,0.000015,0.000009,No timings,No timings,No timings,No timings,No timings,0.000162,0.000022,0.000021,0.004501,0.002840,0.002839,No timings,0.000571,0.000000,0.008594,0.000066,0.003965,0.000407,0.000113,0.000040,0.000025,No timings,No timings,No timings,No timings,No timings,0.000000,0.002314,0.000386,0.000115,0.000042,No timings,No timings,No timings,No timings,No timings,0.008633,0.008858,0.008908,0.008908,0.081767,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.252515,1.459493,0.252515,0.936942,1.870257,1.000000,2.100562,0.286602,3.030364,0.252515,1.459493,0.936942,1.347936,
1,tsukubaSet,FLOAT,16,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,384,288,0.000001,0.000184,0.000088,0.000033,0.000012,0.000009,No timings,No timings,No timings,No timings,No timings,0.000143,0.000025,0.000024,0.007610,0.001803,0.001802,No timings,0.000591,0.000001,0.011706,0.000064,0.005711,0.001203,0.000312,0.000139,0.000101,No timings,No timings,No timings,No timings,No timings,0.000000,0.001257,0.000370,0.000114,0.000044,No timings,No timings,No timings,No timings,No timings,0.011745,0.011964,0.012007,0.012007,0.081767,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.288539,1.491779,0.288539,0.878958,No Data,1.387497,2.510344,0.368609,1.776104,0.288539,1.491779,0.878958,No Data,
2,venus,FLOAT,16,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,434,383,0.000000,0.000841,0.000518,0.000080,0.000021,0.000006,No timings,No timings,No timings,No timings,No timings,0.000660,0.000010,0.000010,0.019828,0.006508,0.006507,No timings,0.002342,0.000001,0.030407,0.000052,0.017836,0.001246,0.000298,0.000099,0.000140,No timings,No timings,No timings,No timings,No timings,0.000000,0.005255,0.001001,0.000204,0.000052,No timings,No timings,No timings,No timings,No timings,0.030438,0.030512,0.030567,0.030567,0.277272,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.121063,1.581699,0.121063,1.032581,1.117044,1.039982,1.603402,0.409775,2.585741,0.121063,1.581699,1.032581,1.117044,
2,venus,FLOAT,16,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,434,383,0.000000,0.000749,0.000548,0.000078,0.000014,0.000023,No timings,No timings,No timings,No timings,No timings,0.000649,0.000027,0.000027,0.023325,0.006824,0.006823,No timings,0.002398,0.000001,0.033968,0.000077,0.020379,0.002018,0.000542,0.000173,0.000187,No timings,No timings,No timings,No timings,No timings,0.000000,0.005591,0.000959,0.000214,0.000066,No timings,No timings,No timings,No timings,No timings,0.034008,0.034085,0.034144,0.034144,0.277272,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.164623,1.578392,0.164623,1.057542,No Data,1.073526,1.778285,0.464675,2.140034,0.164623,1.578392,1.057542,No Data,
3,barn1,FLOAT,16,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,432,381,0.000000,0.001125,0.001352,0.000158,0.000036,0.000014,No timings,No timings,No timings,No timings,No timings,0.001633,0.000037,0.000036,0.034874,0.011118,0.011117,No timings,0.003960,0.000001,0.052537,0.000109,0.032067,0.001961,0.000344,0.000126,0.000204,No timings,No timings,No timings,No timings,No timings,0.000000,0.008975,0.001635,0.000401,0.000106,No timings,No timings,No timings,No timings,No timings,0.052575,0.052685,0.052743,0.052743,0.447872,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.108750,1.428054,No Data,0.955821,0.987752,1.034644,1.420016,0.456861,2.213706,0.108750,1.428054,0.955821,0.987752,
3,barn1,FLOAT,16,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,432,381,0.000001,0.001194,0.001276,0.000159,0.000035,0.000012,No timings,No timings,No timings,No timings,No timings,0.001541,0.000034,0.000034,0.034148,0.011025,0.011024,No timings,0.003865,0.000001,0.051937,0.000073,0.029809,0.002923,0.000676,0.000204,0.000253,No timings,No timings,No timings,No timings,No timings,0.000000,0.008933,0.001593,0.000381,0.000105,No timings,No timings,No timings,No timings,No timings,0.051982,0.052038,0.052097,0.052097,0.447872,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.128554,1.414961,No Data,1.006912,No Data,1.077088,1.921129,0.443434,1.877760,0.128554,1.414961,1.006912,No Data,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,450,375,0.000000,0.002834,0.004030,0.000686,0.000094,0.000017,No timings,No timings,No timings,No timings,No timings,0.004829,0.000036,0.000035,0.078676,0.026190,0.026189,No timings,0.008065,0.000001,0.120582,0.000065,0.065405,0.011034,0.001393,0.000314,0.000518,No timings,No timings,No timings,No timings,No timings,0.000000,0.019277,0.005526,0.001194,0.000212,No timings,No timings,No timings,No timings,No timings,0.120617,0.120682,0.120740,0.120740,0.938076,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.137745,1.409993,No Data,1.040868,1.004268,1.151749,1.467646,0.471313,2.029514,0.137745,1.409993,1.040868,1.004268,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,450,375,0.000001,0.002914,0.004188,0.000701,0.000085,0.000011,No timings,No timings,No timings,No timings,No timings,0.005001,0.000029,0.000028,0.079254,0.025749,0.025748,No timings,0.008133,0.000000,0.121095,0.000065,0.064844,0.011679,0.001701,0.000412,0.000607,No timings,No timings,No timings,No timings,No timings,0.000000,0.019376,0.005149,0.001017,0.000206,No timings,No timings,No timings,No timings,No timings,0.121131,0.121196,0.121256,0.121256,0.938076,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150577,1.421527,No Data,1.050572,No Data,1.123078,1.742456,0.476464,2.000957,0.150577,1.421527,1.050572,No Data,
