Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of threads,Vectorization,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,24,AVX256,192,144,0.000000,0.000017,0.000013,0.000013,0.000012,0.000011,YES,YES,YES,YES,YES,0.000049,0.000010,0.000010,0.000274,0.000121,0.000121,YES,0.000020,0.000000,0.000490,0.000009,0.000110,0.000051,0.000037,0.000035,0.000041,YES,YES,YES,YES,YES,0.000000,0.000033,0.000031,0.000030,0.000029,YES,YES,YES,YES,YES,0.000503,0.000512,0.000520,0.000520,0.007084,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.114604,1.478405,1.114604,1221.958494,2.106309,1.000000,1.544571,0.801980,1.001941,1.114604,1.478405,1221.958494,1.786157,
0,tsukubaSetHalfSize,FLOAT,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,24,AVX512,192,144,0.000000,0.000017,0.000012,0.000011,0.000011,0.000011,YES,YES,YES,YES,YES,0.000046,0.000014,0.000014,0.000668,0.000112,0.000111,YES,0.000029,0.000000,0.000894,0.000010,0.000367,0.000117,0.000075,0.000064,0.000044,YES,YES,YES,YES,YES,0.000000,0.000030,0.000025,0.000023,0.000033,YES,YES,YES,YES,YES,0.000909,0.000919,0.000929,0.000929,0.007160,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.392542,1.527659,1.392542,3.699286,No Data,1.179241,1.721832,0.633898,0.947372,1.392542,1.527659,3.699286,No Data,
1,tsukubaSet,FLOAT,64,16,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,24,AVX512,384,288,0.000000,0.000054,0.000033,0.000016,0.000013,0.000014,YES,YES,YES,YES,YES,0.000078,0.000024,0.000024,0.000791,0.000366,0.000366,YES,0.000040,0.000000,0.001360,0.000012,0.000426,0.000145,0.000068,0.000057,0.000078,YES,YES,YES,YES,YES,0.000000,0.000241,0.000050,0.000035,0.000038,YES,YES,YES,YES,YES,0.001375,0.001389,0.001436,0.001436,0.078794,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.566031,1.514577,1.566031,2.641877,1.859489,1.240645,2.493343,0.563815,0.875782,1.566031,1.514577,2.641877,1.859489,
1,tsukubaSet,FLOAT,64,16,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,384,288,0.000000,0.000043,0.000042,0.000032,0.000030,0.000033,YES,YES,YES,YES,YES,0.000136,0.000044,0.000044,0.001913,0.000380,0.000376,YES,0.000055,0.000000,0.002570,0.000026,0.001071,0.000394,0.000163,0.000141,0.000142,YES,YES,YES,YES,YES,0.000000,0.000193,0.000058,0.000057,0.000063,YES,YES,YES,YES,YES,0.002587,0.002612,0.002671,0.002671,0.078632,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.297159,1.551268,1.297159,1.659327,No Data,1.268156,2.063853,0.715663,1.166408,1.297159,1.551268,1.659327,No Data,
2,venus,FLOAT,16,8,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX256,434,383,0.000000,0.000072,0.000054,0.000032,0.000029,0.000035,YES,YES,YES,YES,YES,0.000150,0.000048,0.000048,0.001897,0.000360,0.000359,YES,0.000081,0.000000,0.002618,0.000028,0.000972,0.000407,0.000223,0.000175,0.000102,YES,YES,YES,YES,YES,0.000000,0.000193,0.000066,0.000050,0.000053,YES,YES,YES,YES,YES,0.002638,0.002666,0.002750,0.002750,0.225676,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.345846,1.943324,1.345846,230.614869,1.715285,1.000000,2.635718,0.750871,1.054001,1.345846,1.943324,230.614869,1.303238,
2,venus,FLOAT,64,16,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,434,383,0.000000,0.000072,0.000053,0.000033,0.000028,0.000034,YES,YES,YES,YES,YES,0.000150,0.000045,0.000044,0.002759,0.000383,0.000381,YES,0.000064,0.000000,0.003462,0.000027,0.001533,0.000518,0.000299,0.000169,0.000197,YES,YES,YES,YES,YES,0.000000,0.000203,0.000072,0.000054,0.000050,YES,YES,YES,YES,YES,0.003480,0.003507,0.003583,0.003583,0.228336,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.568635,1.916670,1.568635,170.954630,No Data,1.316171,2.384494,0.461683,1.058981,1.568635,1.916670,170.954630,No Data,
3,barn1,FLOAT,16,8,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX256,432,381,0.000000,0.000102,0.000070,0.000038,0.000030,0.000048,YES,YES,YES,YES,YES,0.000187,0.000107,0.000107,0.002736,0.000548,0.000547,YES,0.000112,0.000000,0.003808,0.000029,0.001559,0.000588,0.000250,0.000222,0.000112,YES,YES,YES,YES,YES,0.000000,0.000325,0.000092,0.000062,0.000069,YES,YES,YES,YES,YES,0.003828,0.003860,0.003945,0.003945,0.408355,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.454055,1.566249,No Data,161.257494,1.529439,1.000000,2.529374,0.442535,1.238643,1.454055,1.566249,161.257494,1.261067,
3,barn1,FLOAT,64,16,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,432,381,0.000000,0.000122,0.000073,0.000037,0.000030,0.000037,YES,YES,YES,YES,YES,0.000178,0.000062,0.000061,0.003677,0.000683,0.000682,YES,0.000104,0.000000,0.004846,0.000029,0.002154,0.000694,0.000375,0.000214,0.000241,YES,YES,YES,YES,YES,0.000000,0.000400,0.000119,0.000085,0.000070,YES,YES,YES,YES,YES,0.004865,0.004894,0.004975,0.004975,0.408144,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.346313,1.552688,No Data,123.901617,No Data,1.212813,2.205242,0.448182,1.290880,1.346313,1.552688,123.901617,No Data,
4,conesQuarterSize,FLOAT,64,16,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,144,AVX512,450,375,0.000001,0.000178,0.000196,0.000129,0.000115,0.000117,YES,YES,YES,YES,YES,0.000561,0.000232,0.000231,0.006050,0.002438,0.002434,YES,0.000278,0.000000,0.009709,0.000088,0.003488,0.001004,0.000624,0.000408,0.000490,YES,YES,YES,YES,YES,0.000000,0.001223,0.000545,0.000371,0.000284,YES,YES,YES,YES,YES,0.009767,0.009872,0.009990,0.009990,0.906155,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.664854,1.459662,No Data,64.580554,1.091879,1.101895,2.049377,0.367045,1.555410,1.664854,1.459662,64.580554,1.091879,
4,conesQuarterSize,FLOAT,64,16,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,144,AVX512,450,375,0.000001,0.000180,0.000196,0.000128,0.000112,0.000116,YES,YES,YES,YES,YES,0.000559,0.000231,0.000230,0.006932,0.002460,0.002456,YES,0.000276,0.000000,0.010646,0.000087,0.004076,0.001269,0.000660,0.000431,0.000495,YES,YES,YES,YES,YES,0.000000,0.001221,0.000561,0.000370,0.000291,YES,YES,YES,YES,YES,0.010704,0.010788,0.010907,0.010907,0.906786,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.673924,1.470579,No Data,59.039025,No Data,1.149253,1.976616,0.377114,1.459065,1.673924,1.470579,59.039025,No Data,
