Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Blur Images Parallel Dimensions,Init Message Values Parallel Dimensions,Level 0 Data Costs Parallel Dimensions,Level 1 Data Costs Parallel Dimensions,Level 2 Data Costs Parallel Dimensions,Level 3 Data Costs Parallel Dimensions,Level 4 Data Costs Parallel Dimensions,Level 0 BP Thread Parallel Dimensions,Level 1 BP Thread Parallel Dimensions,Level 2 BP Thread Parallel Dimensions,Level 3 BP Thread Parallel Dimensions,Level 4 BP Thread Parallel Dimensions,Level 0 Copy Thread Parallel Dimensions,Level 1 Copy Thread Parallel Dimensions,Level 2 Copy Thread Parallel Dimensions,Level 3 Copy Thread Parallel Dimensions,Level 4 Copy Thread Parallel Dimensions,Get Output Disparity Parallel Dimensions,Run Success,Acceleration,Device 0,Cuda version,Cuda Runtime Version,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,CUDA output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,CUDA output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,64 x 4,64 x 2,64 x 2,64 x 2,64 x 1,128 x 1,64 x 2,32 x 4,256 x 2,128 x 3,128 x 3,32 x 3,16 x 1,16 x 1,64 x 1,64 x 2,64 x 2,32 x 4,YES,CUDA,Tesla P100-PCIE-16GB with 56 multiprocessors,12030,12030,192,144,0.000000,0.000011,0.000022,0.000021,0.000020,0.000022,YES,YES,YES,YES,YES,0.000085,0.000009,0.000009,0.000466,0.000115,0.000115,YES,0.000018,0.000000,0.000709,0.000107,0.000107,0.000089,0.000089,0.000089,0.000087,YES,YES,YES,YES,YES,0.000000,0.000033,0.000025,0.000028,0.000028,YES,YES,YES,YES,YES,0.000729,0.000835,0.000887,0.000887,0.019222,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.653587,0.544838,0.653587,1.026141,2.342591,0.894949,0.989441,0.653587,0.544838,1.026141,2.342591,
0,tsukubaSetHalfSize,FLOAT,16,8,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,32 x 16,256 x 2,64 x 4,64 x 1,256 x 1,64 x 1,256 x 1,32 x 8,256 x 1,16 x 1,128 x 1,32 x 16,16 x 1,16 x 1,256 x 1,128 x 3,64 x 1,128 x 3,YES,CUDA,Tesla P100-PCIE-16GB with 56 multiprocessors,12030,12030,192,144,0.000000,0.000012,0.000022,0.000020,0.000020,0.000021,YES,YES,YES,YES,YES,0.000085,0.000011,0.000010,0.001647,0.000118,0.000118,YES,0.000023,0.000000,0.001899,0.000108,0.000363,0.000316,0.000311,0.000329,0.000321,YES,YES,YES,YES,YES,0.000000,0.000035,0.000025,0.000028,0.000029,YES,YES,YES,YES,YES,0.001919,0.002030,0.002077,0.002077,0.019453,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.622607,0.562250,0.622607,1.053136,No Data,0.873372,1.068078,0.622607,0.562250,1.053136,No Data,
1,tsukubaSet,FLOAT,16,8,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,32 x 3,32 x 3,128 x 2,32 x 2,32 x 3,32 x 3,32 x 3,64 x 1,32 x 3,32 x 3,32 x 4,32 x 3,16 x 1,32 x 4,16 x 1,32 x 1,32 x 1,32 x 1,YES,CUDA,Tesla P100-PCIE-16GB with 56 multiprocessors,12030,12030,384,288,0.000001,0.000027,0.000052,0.000030,0.000025,0.000024,YES,YES,YES,YES,YES,0.000132,0.000011,0.000011,0.001043,0.000298,0.000297,YES,0.000091,0.000000,0.001603,0.000301,0.000538,0.000173,0.000108,0.000112,0.000108,YES,YES,YES,YES,YES,0.000000,0.000169,0.000062,0.000031,0.000034,YES,YES,YES,YES,YES,0.001632,0.001942,0.002123,0.002123,0.189618,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.059268,0.629364,1.059268,1.001750,2.727334,0.724010,1.123713,1.059268,0.629364,1.001750,2.727334,
1,tsukubaSet,FLOAT,16,8,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,32 x 10,128 x 2,128 x 1,128 x 3,16 x 1,256 x 1,64 x 1,32 x 2,32 x 8,16 x 1,16 x 1,128 x 2,16 x 1,32 x 16,16 x 1,64 x 1,32 x 1,32 x 2,YES,CUDA,Tesla P100-PCIE-16GB with 56 multiprocessors,12030,12030,384,288,0.000001,0.000028,0.000054,0.000030,0.000024,0.000024,YES,YES,YES,YES,YES,0.000133,0.000013,0.000012,0.004710,0.000303,0.000302,YES,0.000086,0.000000,0.005277,0.000310,0.002256,0.000779,0.000548,0.000554,0.000570,YES,YES,YES,YES,YES,0.000000,0.000169,0.000063,0.000032,0.000037,YES,YES,YES,YES,YES,0.005306,0.005621,0.005791,0.005791,0.197461,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.598211,0.617737,0.598211,1.008611,No Data,0.649742,1.249338,0.598211,0.617737,1.008611,No Data,
2,venus,FLOAT,16,8,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,256 x 1,64 x 1,256 x 1,32 x 1,32 x 1,64 x 1,256 x 1,32 x 1,128 x 1,32 x 1,32 x 4,32 x 4,16 x 1,128 x 2,128 x 1,256 x 1,256 x 1,32 x 8,YES,CUDA,Tesla P100-PCIE-16GB with 56 multiprocessors,12030,12030,434,383,0.000001,0.000053,0.000085,0.000045,0.000034,0.000033,YES,YES,YES,YES,YES,0.000197,0.000012,0.000012,0.001817,0.000538,0.000537,YES,0.000160,0.000000,0.002780,0.000418,0.001029,0.000352,0.000146,0.000138,0.000136,YES,YES,YES,YES,YES,0.000000,0.000343,0.000106,0.000047,0.000042,YES,YES,YES,YES,YES,0.002804,0.003218,0.003453,0.003453,0.498608,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.071687,0.879570,1.071687,0.992648,2.978266,0.628995,1.167721,1.071687,0.879570,0.992648,2.978266,
2,venus,FLOAT,16,8,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,64 x 3,64 x 1,32 x 1,64 x 2,128 x 1,64 x 1,256 x 1,32 x 2,64 x 7,32 x 4,128 x 1,32 x 3,16 x 1,256 x 1,128 x 1,64 x 1,64 x 2,32 x 16,YES,CUDA,Tesla P100-PCIE-16GB with 56 multiprocessors,12030,12030,434,383,0.000001,0.000054,0.000085,0.000043,0.000032,0.000031,YES,YES,YES,YES,YES,0.000192,0.000013,0.000013,0.008607,0.000535,0.000535,YES,0.000159,0.000000,0.009566,0.000444,0.004943,0.001444,0.000798,0.000700,0.000715,YES,YES,YES,YES,YES,0.000000,0.000340,0.000107,0.000047,0.000042,YES,YES,YES,YES,YES,0.009602,0.010046,0.010284,0.010284,0.506747,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.546582,0.863634,0.546582,1.008896,No Data,0.621446,1.278421,0.546582,0.863634,1.008896,No Data,
3,barn1,FLOAT,16,8,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,128 x 2,32 x 2,32 x 1,256 x 1,32 x 1,16 x 1,16 x 1,32 x 5,32 x 5,32 x 1,32 x 3,32 x 3,16 x 1,128 x 2,256 x 1,128 x 1,32 x 1,32 x 1,YES,CUDA,Tesla P100-PCIE-16GB with 56 multiprocessors,12030,12030,432,381,0.000001,0.000066,0.000118,0.000060,0.000040,0.000038,YES,YES,YES,YES,YES,0.000257,0.000012,0.000012,0.003891,0.000854,0.000853,YES,0.000248,0.000000,0.005331,0.000432,0.002507,0.000778,0.000249,0.000175,0.000173,YES,YES,YES,YES,YES,0.000000,0.000576,0.000157,0.000072,0.000047,YES,YES,YES,YES,YES,0.005359,0.005794,0.006045,0.006045,0.800012,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.948778,0.799470,No Data,1.037755,2.917219,0.383229,1.053301,0.948778,0.799470,1.037755,2.917219,
3,barn1,FLOAT,16,8,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,64 x 3,64 x 1,32 x 1,64 x 2,256 x 1,32 x 1,256 x 1,256 x 2,32 x 14,32 x 1,128 x 2,32 x 3,16 x 1,256 x 2,128 x 1,256 x 1,32 x 1,32 x 1,YES,CUDA,Tesla P100-PCIE-16GB with 56 multiprocessors,12030,12030,432,381,0.000001,0.000069,0.000120,0.000059,0.000040,0.000038,YES,YES,YES,YES,YES,0.000258,0.000013,0.000013,0.015427,0.000856,0.000855,YES,0.000253,0.000000,0.016887,0.000463,0.009451,0.002634,0.001307,0.000993,0.001039,YES,YES,YES,YES,YES,0.000000,0.000573,0.000157,0.000073,0.000052,YES,YES,YES,YES,YES,0.016923,0.017376,0.017636,0.017636,0.805868,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379751,0.786383,No Data,1.014688,No Data,0.650480,1.318973,0.379751,0.786383,1.014688,No Data,
4,conesQuarterSize,FLOAT,16,8,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,32 x 6,32 x 2,32 x 1,128 x 2,64 x 1,64 x 1,64 x 1,32 x 5,256 x 1,64 x 1,64 x 1,32 x 2,16 x 1,128 x 2,128 x 2,32 x 1,16 x 1,32 x 1,YES,CUDA,Tesla P100-PCIE-16GB with 56 multiprocessors,12030,12030,450,375,0.000001,0.000168,0.000232,0.000101,0.000077,0.000060,YES,YES,YES,YES,YES,0.000469,0.000017,0.000016,0.020337,0.001782,0.001782,YES,0.000551,0.000000,0.023326,0.000475,0.014943,0.003586,0.000951,0.000465,0.000392,YES,YES,YES,YES,YES,0.000000,0.001217,0.000324,0.000129,0.000104,YES,YES,YES,YES,YES,0.023372,0.023843,0.024101,0.024101,1.778389,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.690064,0.743752,No Data,1.054343,1.610750,0.456424,1.693083,0.690064,0.743752,1.054343,1.610750,
4,conesQuarterSize,FLOAT,16,8,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,32 x 16,256 x 1,32 x 1,128 x 2,64 x 1,64 x 1,64 x 1,256 x 1,32 x 14,256 x 1,256 x 1,256 x 1,16 x 1,128 x 2,64 x 4,128 x 1,32 x 2,256 x 1,YES,CUDA,Tesla P100-PCIE-16GB with 56 multiprocessors,12030,12030,450,375,0.000001,0.000164,0.000235,0.000100,0.000077,0.000059,YES,YES,YES,YES,YES,0.000472,0.000016,0.000016,0.035053,0.001779,0.001778,YES,0.000545,0.000000,0.038029,0.000466,0.021311,0.006708,0.002959,0.002073,0.001994,YES,YES,YES,YES,YES,0.000000,0.001220,0.000331,0.000132,0.000096,YES,YES,YES,YES,YES,0.038082,0.038555,0.038821,0.038821,1.817765,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.470322,0.733593,No Data,1.037912,No Data,0.667705,1.220104,0.470322,0.733593,1.037912,No Data,
