Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Blur Images Parallel Dimensions,Init Message Values Parallel Dimensions,Level 0 Data Costs Parallel Dimensions,Level 1 Data Costs Parallel Dimensions,Level 2 Data Costs Parallel Dimensions,Level 3 Data Costs Parallel Dimensions,Level 4 Data Costs Parallel Dimensions,Level 0 BP Thread Parallel Dimensions,Level 1 BP Thread Parallel Dimensions,Level 2 BP Thread Parallel Dimensions,Level 3 BP Thread Parallel Dimensions,Level 4 BP Thread Parallel Dimensions,Level 0 Copy Thread Parallel Dimensions,Level 1 Copy Thread Parallel Dimensions,Level 2 Copy Thread Parallel Dimensions,Level 3 Copy Thread Parallel Dimensions,Level 4 Copy Thread Parallel Dimensions,Get Output Disparity Parallel Dimensions,Run Success,Acceleration,Device 0,Cuda version,Cuda Runtime Version,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,CUDA output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,CUDA output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,64 x 3,16 x 1,256 x 2,256 x 1,256 x 1,128 x 1,32 x 3,256 x 1,256 x 1,32 x 1,256 x 1,256 x 1,16 x 1,64 x 1,128 x 1,256 x 1,128 x 1,128 x 2,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,192,144,0.000000,0.000007,0.000015,0.000014,0.000014,0.000016,YES,YES,YES,YES,YES,0.000059,0.000006,0.000006,0.000265,0.000075,0.000075,YES,0.000010,0.000000,0.000423,0.000060,0.000060,0.000052,0.000051,0.000051,0.000051,YES,YES,YES,YES,YES,0.000000,0.000019,0.000018,0.000019,0.000019,YES,YES,YES,YES,YES,0.000432,0.000491,0.000511,0.000511,0.010654,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.133506,0.983015,1.133506,1.023205,1.571532,0.654913,0.963631,1.133506,0.983015,1.023205,1.571532,
0,tsukubaSetHalfSize,FLOAT,16,8,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,128 x 3,64 x 2,64 x 2,64 x 1,128 x 1,128 x 1,64 x 2,128 x 1,64 x 1,128 x 1,128 x 1,256 x 1,16 x 1,64 x 1,256 x 1,128 x 1,128 x 1,256 x 2,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,192,144,0.000000,0.000007,0.000014,0.000014,0.000014,0.000015,YES,YES,YES,YES,YES,0.000058,0.000006,0.000006,0.000557,0.000077,0.000077,YES,0.000010,0.000000,0.000715,0.000059,0.000111,0.000111,0.000107,0.000111,0.000117,YES,YES,YES,YES,YES,0.000000,0.000018,0.000018,0.000020,0.000021,YES,YES,YES,YES,YES,0.000725,0.000783,0.000803,0.000803,0.010656,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.609564,1.026355,1.609564,1.072537,No Data,0.705268,1.034556,1.609564,1.026355,1.072537,No Data,
1,tsukubaSet,FLOAT,16,8,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,32 x 8,128 x 1,32 x 1,32 x 1,16 x 1,16 x 1,64 x 1,32 x 1,32 x 6,256 x 1,256 x 1,256 x 1,16 x 1,32 x 1,32 x 1,32 x 1,32 x 1,32 x 3,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,384,288,0.000000,0.000014,0.000031,0.000020,0.000016,0.000016,YES,YES,YES,YES,YES,0.000084,0.000007,0.000006,0.000554,0.000162,0.000161,YES,0.000049,0.000000,0.000868,0.000129,0.000297,0.000087,0.000057,0.000055,0.000057,YES,YES,YES,YES,YES,0.000000,0.000077,0.000034,0.000022,0.000028,YES,YES,YES,YES,YES,0.000881,0.001011,0.001073,0.001073,0.117965,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.096112,1.011645,2.096112,1.001456,1.888873,0.414178,1.218951,2.096112,1.011645,1.001456,1.888873,
1,tsukubaSet,FLOAT,16,8,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,32 x 5,32 x 2,32 x 1,16 x 1,16 x 1,16 x 1,16 x 1,32 x 1,32 x 6,32 x 2,16 x 1,16 x 1,16 x 1,32 x 4,32 x 1,16 x 1,32 x 4,32 x 5,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,384,288,0.000000,0.000014,0.000031,0.000021,0.000017,0.000017,YES,YES,YES,YES,YES,0.000085,0.000007,0.000007,0.001506,0.000165,0.000165,YES,0.000050,0.000000,0.001828,0.000128,0.000808,0.000229,0.000154,0.000150,0.000166,YES,YES,YES,YES,YES,0.000000,0.000077,0.000035,0.000023,0.000029,YES,YES,YES,YES,YES,0.001839,0.001967,0.002027,0.002027,0.116304,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.709222,1.048798,1.709222,1.046919,No Data,0.515362,1.296471,1.709222,1.048798,1.046919,No Data,
2,venus,FLOAT,16,8,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,32 x 5,256 x 1,32 x 1,16 x 1,16 x 1,16 x 1,32 x 1,32 x 8,32 x 5,32 x 1,16 x 1,256 x 1,16 x 1,256 x 1,32 x 1,16 x 1,32 x 2,32 x 6,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,434,383,0.000000,0.000024,0.000048,0.000025,0.000022,0.000022,YES,YES,YES,YES,YES,0.000117,0.000007,0.000007,0.000905,0.000260,0.000260,YES,0.000089,0.000000,0.001405,0.000179,0.000538,0.000173,0.000068,0.000064,0.000064,YES,YES,YES,YES,YES,0.000000,0.000146,0.000052,0.000032,0.000030,YES,YES,YES,YES,YES,0.001417,0.001597,0.001683,0.001683,0.330346,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.198281,1.327582,2.198281,1.004512,2.137840,0.361480,1.317996,2.198281,1.327582,1.004512,2.137840,
2,venus,FLOAT,16,8,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,32 x 16,16 x 1,32 x 1,16 x 1,16 x 1,16 x 1,16 x 1,32 x 1,256 x 1,64 x 2,16 x 1,64 x 1,16 x 1,64 x 2,32 x 6,16 x 1,32 x 2,256 x 2,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,434,383,0.000000,0.000024,0.000049,0.000025,0.000022,0.000022,YES,YES,YES,YES,YES,0.000118,0.000007,0.000007,0.002800,0.000276,0.000276,YES,0.000088,0.000000,0.003314,0.000178,0.001753,0.000461,0.000210,0.000185,0.000194,YES,YES,YES,YES,YES,0.000000,0.000147,0.000057,0.000037,0.000035,YES,YES,YES,YES,YES,0.003327,0.003511,0.003599,0.003599,0.328168,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.561919,1.333597,1.561919,1.155539,No Data,0.487550,1.328379,1.561919,1.333597,1.155539,No Data,
3,barn1,FLOAT,16,8,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,32 x 6,32 x 1,16 x 1,32 x 1,32 x 3,16 x 1,32 x 1,32 x 5,32 x 5,32 x 3,32 x 1,32 x 2,16 x 1,128 x 1,32 x 1,16 x 1,32 x 2,32 x 1,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,432,381,0.000000,0.000033,0.000067,0.000037,0.000028,0.000027,YES,YES,YES,YES,YES,0.000158,0.000007,0.000007,0.002012,0.000400,0.000400,YES,0.000130,0.000000,0.002743,0.000177,0.001350,0.000380,0.000122,0.000080,0.000079,YES,YES,YES,YES,YES,0.000000,0.000223,0.000081,0.000051,0.000045,YES,YES,YES,YES,YES,0.002756,0.002937,0.003025,0.003025,0.528172,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.896259,1.210942,No Data,1.073299,2.399281,0.389959,1.431342,1.896259,1.210942,1.073299,2.399281,
3,barn1,FLOAT,16,8,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,32 x 12,64 x 1,16 x 1,32 x 1,64 x 1,16 x 1,128 x 1,16 x 1,256 x 1,64 x 2,64 x 1,32 x 1,16 x 1,256 x 1,32 x 5,64 x 1,256 x 1,32 x 1,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,432,381,0.000000,0.000033,0.000067,0.000037,0.000028,0.000027,YES,YES,YES,YES,YES,0.000159,0.000007,0.000007,0.006249,0.000400,0.000400,YES,0.000127,0.000000,0.006975,0.000177,0.004451,0.000926,0.000360,0.000253,0.000258,YES,YES,YES,YES,YES,0.000000,0.000220,0.000082,0.000051,0.000046,YES,YES,YES,YES,YES,0.006987,0.007170,0.007257,0.007257,0.523879,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.922826,1.209670,No Data,1.129814,No Data,0.563619,1.543855,0.922826,1.209670,1.129814,No Data,
4,conesQuarterSize,FLOAT,16,8,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,32 x 6,64 x 1,16 x 1,128 x 1,128 x 1,16 x 1,64 x 1,32 x 5,32 x 5,32 x 1,64 x 1,64 x 1,16 x 1,64 x 1,32 x 3,128 x 1,64 x 1,32 x 1,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,450,375,0.000000,0.000072,0.000125,0.000066,0.000053,0.000041,YES,YES,YES,YES,YES,0.000285,0.000008,0.000008,0.008296,0.000804,0.000804,YES,0.000295,0.000000,0.009760,0.000181,0.006013,0.001518,0.000378,0.000217,0.000168,YES,YES,YES,YES,YES,0.000000,0.000476,0.000151,0.000093,0.000082,YES,YES,YES,YES,YES,0.009774,0.009958,0.010049,0.010049,1.231905,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.655074,1.073687,No Data,1.101100,1.826401,0.391244,2.239545,1.655074,1.073687,1.101100,1.826401,
4,conesQuarterSize,FLOAT,16,8,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,256 x 1,256 x 1,16 x 1,128 x 3,64 x 1,16 x 1,64 x 1,32 x 1,256 x 1,32 x 2,64 x 1,16 x 1,16 x 1,128 x 3,32 x 3,128 x 1,256 x 1,16 x 1,YES,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12010,12010,450,375,0.000000,0.000072,0.000125,0.000066,0.000053,0.000040,YES,YES,YES,YES,YES,0.000284,0.000008,0.000008,0.016645,0.000792,0.000792,YES,0.000270,0.000000,0.018067,0.000181,0.011944,0.002864,0.000901,0.000484,0.000446,YES,YES,YES,YES,YES,0.000000,0.000470,0.000151,0.000091,0.000080,YES,YES,YES,YES,YES,0.018080,0.018261,0.018353,0.018353,1.231608,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.994845,1.082731,No Data,1.056595,No Data,0.603576,1.419632,0.994845,1.082731,1.056595,No Data,
